t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,59,17.986145,0.000000,0.000000,0.000000,events/second
1681858241,59,9.618088,0.000000,0.000000,0.000000,events/second
1681858244,4578,505.793993,0.000000,0.000000,0.000000,events/second
1681858247,4578,373.637695,0.000000,0.000000,0.000000,events/second
1681858250,4578,304.200080,0.000000,0.000000,0.000000,events/second
1681858253,4578,253.418992,0.000000,0.000000,0.000000,events/second
1681858256,4578,217.414094,0.000000,0.000000,0.000000,events/second
1681858259,4578,184.110305,0.000000,0.000000,0.000000,events/second
1681858262,4578,168.894518,0.000000,0.000000,0.000000,events/second
1681858265,4578,152.221489,0.000000,0.000000,0.000000,events/second
1681858268,4578,138.583793,0.000000,0.000000,0.000000,events/second
1681858271,4578,126.972925,0.000000,0.000000,0.000000,events/second
1681858274,4578,117.266871,0.000000,0.000000,0.000000,events/second
1681858277,4578,108.859483,0.000000,0.000000,0.000000,events/second
1681858280,4578,101.527086,0.000000,0.000000,0.000000,events/second
1681858283,4578,95.114281,0.000000,0.000000,0.000000,events/second
1681858286,4578,89.684281,0.000000,0.000000,0.000000,events/second
1681858289,4578,84.725898,0.000000,0.000000,0.000000,events/second
1681858292,4578,80.228331,0.000000,0.000000,0.000000,events/second
1681858295,4578,76.155888,0.000000,0.000000,0.000000,events/second
1681858298,4578,72.617240,0.000000,0.000000,0.000000,events/second
1681858301,4578,69.299849,0.000000,0.000000,0.000000,events/second
1681858304,4578,66.299543,0.000000,0.000000,0.000000,events/second
1681858307,4578,63.541312,0.000000,0.000000,0.000000,events/second
1681858310,4578,61.009148,0.000000,0.000000,0.000000,events/second
1681858313,4578,58.650333,0.000000,0.000000,0.000000,events/second
1681858316,4578,56.491856,0.000000,0.000000,0.000000,events/second
1681858319,4578,54.467050,0.000000,0.000000,0.000000,events/second
1681858322,4578,52.570103,0.000000,0.000000,0.000000,events/second
1681858325,4578,50.816921,0.000000,0.000000,0.000000,events/second
1681858328,4578,49.185787,0.000000,0.000000,0.000000,events/second
1681858331,4578,47.677913,0.000000,0.000000,0.000000,events/second
1681858334,4578,46.232596,0.000000,0.000000,0.000000,events/second
1681858337,4578,44.874705,0.000000,0.000000,0.000000,events/second
1681858340,4578,43.591649,0.000000,0.000000,0.000000,events/second
1681858343,4578,42.376357,0.000000,0.000000,0.000000,events/second
1681858346,4578,41.233291,0.000000,0.000000,0.000000,events/second
1681858349,4578,40.150971,0.000000,0.000000,0.000000,events/second
1681858352,4578,39.114977,0.000000,0.000000,0.000000,events/second
1681858355,4578,38.141000,0.000000,0.000000,0.000000,events/second
1681858358,4578,37.214841,0.000000,0.000000,0.000000,events/second
1681858361,4578,36.325830,0.000000,0.000000,0.000000,events/second
1681858364,4578,35.483776,0.000000,0.000000,0.000000,events/second
1681858367,4578,34.678048,0.000000,0.000000,0.000000,events/second
1681858370,4695,34.772938,0.000000,0.000000,0.000000,events/second
1681858373,4740,34.325719,0.000000,0.000000,0.000000,events/second
1681858376,5509,39.062642,0.000000,0.000000,0.000000,events/second
1681858379,5509,38.245689,0.000000,0.000000,0.000000,events/second
1681858382,5509,37.468981,0.000000,0.000000,0.000000,events/second
1681858385,5557,37.040903,0.000000,0.000000,0.000000,events/second
1681858388,6350,41.490151,0.000000,0.000000,0.000000,events/second
1681858391,6350,40.697503,0.000000,0.000000,0.000000,events/second
1681858394,6350,39.930789,0.000000,0.000000,0.000000,events/second
1681858397,6350,39.193268,0.000000,0.000000,0.000000,events/second
1681858400,6350,38.476395,0.000000,0.000000,0.000000,events/second
1681858403,6350,37.792332,0.000000,0.000000,0.000000,events/second
1681858406,6350,37.128216,0.000000,0.000000,0.000000,events/second
1681858409,6350,36.490480,0.000000,0.000000,0.000000,events/second
1681858412,6350,35.871020,0.000000,0.000000,0.000000,events/second
1681858415,6350,35.273130,0.000000,0.000000,0.000000,events/second
1681858418,6350,34.695572,0.000000,0.000000,0.000000,events/second
1681858421,6350,34.135051,0.000000,0.000000,0.000000,events/second
1681858424,6350,33.595174,0.000000,0.000000,0.000000,events/second
1681858427,6350,33.069822,0.000000,0.000000,0.000000,events/second
1681858430,6350,32.561111,0.000000,0.000000,0.000000,events/second
1681858433,6350,32.067259,0.000000,0.000000,0.000000,events/second
1681858436,6350,31.587964,0.000000,0.000000,0.000000,events/second
1681858439,6350,31.125055,0.000000,0.000000,0.000000,events/second
1681858442,6350,30.672725,0.000000,0.000000,0.000000,events/second
1681858445,6350,30.235823,0.000000,0.000000,0.000000,events/second
1681858448,6350,29.808300,0.000000,0.000000,0.000000,events/second
1681858451,6350,29.394768,0.000000,0.000000,0.000000,events/second
1681858454,6350,28.992422,0.000000,0.000000,0.000000,events/second
1681858457,6350,28.601298,0.000000,0.000000,0.000000,events/second
1681858460,6350,28.219601,0.000000,0.000000,0.000000,events/second
1681858463,6350,27.848887,0.000000,0.000000,0.000000,events/second
1681858466,6350,27.486642,0.000000,0.000000,0.000000,events/second
1681858469,6350,27.134353,0.000000,0.000000,0.000000,events/second
1681858472,6350,26.791174,0.000000,0.000000,0.000000,events/second
1681858475,6350,26.455672,0.000000,0.000000,0.000000,events/second
1681858478,6350,26.129638,0.000000,0.000000,0.000000,events/second
1681858481,6350,25.811004,0.000000,0.000000,0.000000,events/second
1681858484,6350,25.500325,0.000000,0.000000,0.000000,events/second
1681858487,6350,25.196531,0.000000,0.000000,0.000000,events/second
1681858490,6350,24.900581,0.000000,0.000000,0.000000,events/second
1681858493,6350,24.611238,0.000000,0.000000,0.000000,events/second
1681858496,6350,24.328384,0.000000,0.000000,0.000000,events/second
1681858499,6350,24.050854,0.000000,0.000000,0.000000,events/second
1681858502,6350,23.781374,0.000000,0.000000,0.000000,events/second
1681858505,6350,23.516313,0.000000,0.000000,0.000000,events/second
1681858508,6350,23.259029,0.000000,0.000000,0.000000,events/second
1681858511,6350,23.005770,0.000000,0.000000,0.000000,events/second
1681858514,6350,22.758000,0.000000,0.000000,0.000000,events/second
1681858517,6350,22.516251,0.000000,0.000000,0.000000,events/second
1681858520,6350,22.279277,0.000000,0.000000,0.000000,events/second
1681858523,6350,22.047087,0.000000,0.000000,0.000000,events/second
1681858526,6350,21.819859,0.000000,0.000000,0.000000,events/second
1681858529,6350,21.597487,0.000000,0.000000,0.000000,events/second
1681858532,6350,21.379134,0.000000,0.000000,0.000000,events/second
