t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,19,5.786754,0.000000,0.000000,0.000000,events/second
1681858241,19,3.096915,0.000000,0.000000,0.000000,events/second
1681858244,4335,478.921568,0.000000,0.000000,0.000000,events/second
1681858247,4335,353.772138,0.000000,0.000000,0.000000,events/second
1681858250,4335,288.038711,0.000000,0.000000,0.000000,events/second
1681858253,4335,239.957767,0.000000,0.000000,0.000000,events/second
1681858256,4335,205.867324,0.000000,0.000000,0.000000,events/second
1681858259,4335,174.304368,0.000000,0.000000,0.000000,events/second
1681858262,4335,159.926327,0.000000,0.000000,0.000000,events/second
1681858265,4335,144.139177,0.000000,0.000000,0.000000,events/second
1681858268,4335,131.225835,0.000000,0.000000,0.000000,events/second
1681858271,4335,120.231666,0.000000,0.000000,0.000000,events/second
1681858274,4335,111.040600,0.000000,0.000000,0.000000,events/second
1681858277,4335,103.080036,0.000000,0.000000,0.000000,events/second
1681858280,4335,96.136344,0.000000,0.000000,0.000000,events/second
1681858283,4335,90.064452,0.000000,0.000000,0.000000,events/second
1681858286,4335,84.922898,0.000000,0.000000,0.000000,events/second
1681858289,4335,80.227739,0.000000,0.000000,0.000000,events/second
1681858292,4335,75.969182,0.000000,0.000000,0.000000,events/second
1681858295,4335,72.112685,0.000000,0.000000,0.000000,events/second
1681858298,4335,68.761993,0.000000,0.000000,0.000000,events/second
1681858301,4335,65.620364,0.000000,0.000000,0.000000,events/second
1681858304,4335,62.779836,0.000000,0.000000,0.000000,events/second
1681858307,4335,60.168075,0.000000,0.000000,0.000000,events/second
1681858310,4335,57.770284,0.000000,0.000000,0.000000,events/second
1681858313,4335,55.536846,0.000000,0.000000,0.000000,events/second
1681858316,4335,53.492861,0.000000,0.000000,0.000000,events/second
1681858319,4335,51.575608,0.000000,0.000000,0.000000,events/second
1681858322,4335,49.779385,0.000000,0.000000,0.000000,events/second
1681858325,4335,48.119243,0.000000,0.000000,0.000000,events/second
1681858328,4335,46.574787,0.000000,0.000000,0.000000,events/second
1681858331,4335,45.146991,0.000000,0.000000,0.000000,events/second
1681858334,4335,43.778365,0.000000,0.000000,0.000000,events/second
1681858337,4335,42.492609,0.000000,0.000000,0.000000,events/second
1681858340,4335,41.277667,0.000000,0.000000,0.000000,events/second
1681858343,4335,40.126891,0.000000,0.000000,0.000000,events/second
1681858346,4335,39.044503,0.000000,0.000000,0.000000,events/second
1681858349,4335,38.019632,0.000000,0.000000,0.000000,events/second
1681858352,4335,37.038635,0.000000,0.000000,0.000000,events/second
1681858355,4335,36.116370,0.000000,0.000000,0.000000,events/second
1681858358,4335,35.239380,0.000000,0.000000,0.000000,events/second
1681858361,4335,34.397526,0.000000,0.000000,0.000000,events/second
1681858364,4335,33.600204,0.000000,0.000000,0.000000,events/second
1681858367,4335,32.837251,0.000000,0.000000,0.000000,events/second
1681858370,4440,32.884223,0.000000,0.000000,0.000000,events/second
1681858373,4478,32.427635,0.000000,0.000000,0.000000,events/second
1681858376,5225,37.048747,0.000000,0.000000,0.000000,events/second
1681858379,5225,36.273944,0.000000,0.000000,0.000000,events/second
1681858382,5225,35.537287,0.000000,0.000000,0.000000,events/second
1681858385,5267,35.107787,0.000000,0.000000,0.000000,events/second
1681858388,5803,37.915977,0.000000,0.000000,0.000000,events/second
1681858391,5803,37.191663,0.000000,0.000000,0.000000,events/second
1681858394,5803,36.490998,0.000000,0.000000,0.000000,events/second
1681858397,5803,35.817012,0.000000,0.000000,0.000000,events/second
1681858400,5803,35.161808,0.000000,0.000000,0.000000,events/second
1681858403,5803,34.536762,0.000000,0.000000,0.000000,events/second
1681858406,5803,33.929856,0.000000,0.000000,0.000000,events/second
1681858409,5803,33.347057,0.000000,0.000000,0.000000,events/second
1681858412,5803,32.780961,0.000000,0.000000,0.000000,events/second
1681858415,5803,32.234562,0.000000,0.000000,0.000000,events/second
1681858418,5803,31.706753,0.000000,0.000000,0.000000,events/second
1681858421,5803,31.194534,0.000000,0.000000,0.000000,events/second
1681858424,5803,30.701170,0.000000,0.000000,0.000000,events/second
1681858427,5803,30.221072,0.000000,0.000000,0.000000,events/second
1681858430,5803,29.756170,0.000000,0.000000,0.000000,events/second
1681858433,5803,29.304853,0.000000,0.000000,0.000000,events/second
1681858436,5803,28.866854,0.000000,0.000000,0.000000,events/second
1681858439,5803,28.443839,0.000000,0.000000,0.000000,events/second
1681858442,5803,28.030475,0.000000,0.000000,0.000000,events/second
1681858445,5803,27.631207,0.000000,0.000000,0.000000,events/second
1681858448,5803,27.240499,0.000000,0.000000,0.000000,events/second
1681858451,5803,26.862605,0.000000,0.000000,0.000000,events/second
1681858454,5803,26.494881,0.000000,0.000000,0.000000,events/second
1681858457,5803,26.137489,0.000000,0.000000,0.000000,events/second
1681858460,5803,25.788671,0.000000,0.000000,0.000000,events/second
1681858463,5803,25.449894,0.000000,0.000000,0.000000,events/second
1681858466,5803,25.118851,0.000000,0.000000,0.000000,events/second
1681858469,5803,24.796907,0.000000,0.000000,0.000000,events/second
1681858472,5803,24.483283,0.000000,0.000000,0.000000,events/second
1681858475,5803,24.176684,0.000000,0.000000,0.000000,events/second
1681858478,5803,23.878749,0.000000,0.000000,0.000000,events/second
1681858481,5803,23.587563,0.000000,0.000000,0.000000,events/second
1681858484,5803,23.303645,0.000000,0.000000,0.000000,events/second
1681858487,5803,23.026017,0.000000,0.000000,0.000000,events/second
1681858490,5803,22.755569,0.000000,0.000000,0.000000,events/second
1681858493,5803,22.491146,0.000000,0.000000,0.000000,events/second
1681858496,5803,22.232665,0.000000,0.000000,0.000000,events/second
1681858499,5803,21.979043,0.000000,0.000000,0.000000,events/second
1681858502,5803,21.732776,0.000000,0.000000,0.000000,events/second
1681858505,5803,21.490547,0.000000,0.000000,0.000000,events/second
1681858508,5803,21.255428,0.000000,0.000000,0.000000,events/second
1681858511,5803,21.023981,0.000000,0.000000,0.000000,events/second
1681858514,5803,20.797559,0.000000,0.000000,0.000000,events/second
1681858517,5803,20.576633,0.000000,0.000000,0.000000,events/second
1681858520,5803,20.360076,0.000000,0.000000,0.000000,events/second
1681858523,5803,20.147882,0.000000,0.000000,0.000000,events/second
1681858526,5803,19.940233,0.000000,0.000000,0.000000,events/second
