t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,1,0.304276,0.000000,0.000000,0.000000,events/second
1681858241,1,0.162959,0.000000,0.000000,0.000000,events/second
1681858244,2,0.220926,0.000000,0.000000,0.000000,events/second
1681858247,2,0.163157,0.000000,0.000000,0.000000,events/second
1681858250,2,0.132877,0.000000,0.000000,0.000000,events/second
1681858253,2,0.110699,0.000000,0.000000,0.000000,events/second
1681858256,2,0.094973,0.000000,0.000000,0.000000,events/second
1681858259,2,0.080408,0.000000,0.000000,0.000000,events/second
1681858262,2,0.073780,0.000000,0.000000,0.000000,events/second
1681858265,2,0.066498,0.000000,0.000000,0.000000,events/second
1681858268,2,0.060540,0.000000,0.000000,0.000000,events/second
1681858271,2,0.055468,0.000000,0.000000,0.000000,events/second
1681858274,2,0.051228,0.000000,0.000000,0.000000,events/second
1681858277,2,0.047556,0.000000,0.000000,0.000000,events/second
1681858280,2,0.044352,0.000000,0.000000,0.000000,events/second
1681858283,2,0.041550,0.000000,0.000000,0.000000,events/second
1681858286,2,0.039179,0.000000,0.000000,0.000000,events/second
1681858289,2,0.037013,0.000000,0.000000,0.000000,events/second
1681858292,2,0.035048,0.000000,0.000000,0.000000,events/second
1681858295,2,0.033269,0.000000,0.000000,0.000000,events/second
1681858298,2,0.031723,0.000000,0.000000,0.000000,events/second
1681858301,2,0.030273,0.000000,0.000000,0.000000,events/second
1681858304,2,0.028964,0.000000,0.000000,0.000000,events/second
1681858307,2,0.027759,0.000000,0.000000,0.000000,events/second
1681858310,2,0.026653,0.000000,0.000000,0.000000,events/second
1681858313,2,0.025622,0.000000,0.000000,0.000000,events/second
1681858316,2,0.024679,0.000000,0.000000,0.000000,events/second
1681858319,2,0.023795,0.000000,0.000000,0.000000,events/second
1681858322,2,0.022966,0.000000,0.000000,0.000000,events/second
1681858325,2,0.022200,0.000000,0.000000,0.000000,events/second
1681858328,2,0.021488,0.000000,0.000000,0.000000,events/second
1681858331,2,0.020829,0.000000,0.000000,0.000000,events/second
1681858334,2,0.020197,0.000000,0.000000,0.000000,events/second
1681858337,2,0.019604,0.000000,0.000000,0.000000,events/second
1681858340,2,0.019044,0.000000,0.000000,0.000000,events/second
1681858343,2,0.018513,0.000000,0.000000,0.000000,events/second
1681858346,2,0.018013,0.000000,0.000000,0.000000,events/second
1681858349,2,0.017541,0.000000,0.000000,0.000000,events/second
1681858352,2,0.017088,0.000000,0.000000,0.000000,events/second
1681858355,2,0.016663,0.000000,0.000000,0.000000,events/second
1681858358,2,0.016258,0.000000,0.000000,0.000000,events/second
1681858361,2,0.015870,0.000000,0.000000,0.000000,events/second
1681858364,2,0.015502,0.000000,0.000000,0.000000,events/second
1681858367,2,0.015150,0.000000,0.000000,0.000000,events/second
1681858370,2,0.014813,0.000000,0.000000,0.000000,events/second
1681858373,2,0.014483,0.000000,0.000000,0.000000,events/second
1681858376,4,0.028362,0.000000,0.000000,0.000000,events/second
1681858379,4,0.027769,0.000000,0.000000,0.000000,events/second
1681858382,4,0.027205,0.000000,0.000000,0.000000,events/second
1681858385,4,0.026662,0.000000,0.000000,0.000000,events/second
1681858388,4,0.026135,0.000000,0.000000,0.000000,events/second
1681858391,4,0.025636,0.000000,0.000000,0.000000,events/second
1681858394,4,0.025153,0.000000,0.000000,0.000000,events/second
1681858397,4,0.024688,0.000000,0.000000,0.000000,events/second
1681858400,4,0.024237,0.000000,0.000000,0.000000,events/second
1681858403,4,0.023806,0.000000,0.000000,0.000000,events/second
1681858406,4,0.023388,0.000000,0.000000,0.000000,events/second
1681858409,4,0.022986,0.000000,0.000000,0.000000,events/second
1681858412,4,0.022596,0.000000,0.000000,0.000000,events/second
1681858415,4,0.022219,0.000000,0.000000,0.000000,events/second
1681858418,4,0.021855,0.000000,0.000000,0.000000,events/second
1681858421,4,0.021502,0.000000,0.000000,0.000000,events/second
1681858424,4,0.021162,0.000000,0.000000,0.000000,events/second
1681858427,4,0.020831,0.000000,0.000000,0.000000,events/second
1681858430,4,0.020511,0.000000,0.000000,0.000000,events/second
1681858433,4,0.020200,0.000000,0.000000,0.000000,events/second
1681858436,4,0.019898,0.000000,0.000000,0.000000,events/second
1681858439,4,0.019606,0.000000,0.000000,0.000000,events/second
1681858442,4,0.019321,0.000000,0.000000,0.000000,events/second
1681858445,4,0.019046,0.000000,0.000000,0.000000,events/second
1681858448,4,0.018777,0.000000,0.000000,0.000000,events/second
1681858451,4,0.018516,0.000000,0.000000,0.000000,events/second
1681858454,4,0.018263,0.000000,0.000000,0.000000,events/second
1681858457,4,0.018016,0.000000,0.000000,0.000000,events/second
1681858460,4,0.017776,0.000000,0.000000,0.000000,events/second
1681858463,4,0.017542,0.000000,0.000000,0.000000,events/second
1681858466,4,0.017314,0.000000,0.000000,0.000000,events/second
1681858469,4,0.017092,0.000000,0.000000,0.000000,events/second
1681858472,4,0.016876,0.000000,0.000000,0.000000,events/second
1681858475,4,0.016665,0.000000,0.000000,0.000000,events/second
1681858478,4,0.016460,0.000000,0.000000,0.000000,events/second
1681858481,4,0.016259,0.000000,0.000000,0.000000,events/second
1681858484,4,0.016063,0.000000,0.000000,0.000000,events/second
1681858487,4,0.015872,0.000000,0.000000,0.000000,events/second
1681858490,4,0.015685,0.000000,0.000000,0.000000,events/second
1681858493,4,0.015503,0.000000,0.000000,0.000000,events/second
1681858496,4,0.015325,0.000000,0.000000,0.000000,events/second
1681858499,4,0.015150,0.000000,0.000000,0.000000,events/second
1681858502,4,0.014980,0.000000,0.000000,0.000000,events/second
1681858505,4,0.014813,0.000000,0.000000,0.000000,events/second
1681858508,4,0.014651,0.000000,0.000000,0.000000,events/second
1681858511,4,0.014492,0.000000,0.000000,0.000000,events/second
1681858514,4,0.014336,0.000000,0.000000,0.000000,events/second
1681858517,4,0.014183,0.000000,0.000000,0.000000,events/second
1681858520,4,0.014034,0.000000,0.000000,0.000000,events/second
1681858523,4,0.013888,0.000000,0.000000,0.000000,events/second
1681858526,4,0.013745,0.000000,0.000000,0.000000,events/second
1681858529,4,0.013605,0.000000,0.000000,0.000000,events/second
1681858532,4,0.013467,0.000000,0.000000,0.000000,events/second
1681858535,4,0.013332,0.000000,0.000000,0.000000,events/second
1681858538,4,0.013201,0.000000,0.000000,0.000000,events/second
1681858541,4,0.013071,0.000000,0.000000,0.000000,events/second
