t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,2,0.607982,0.000000,0.000000,0.000000,events/second
1681858241,2,0.325881,0.000000,0.000000,0.000000,events/second
1681858244,2,0.220905,0.000000,0.000000,0.000000,events/second
1681858247,2,0.163025,0.000000,0.000000,0.000000,events/second
1681858250,2,0.132870,0.000000,0.000000,0.000000,events/second
1681858253,2,0.110694,0.000000,0.000000,0.000000,events/second
1681858256,2,0.094970,0.000000,0.000000,0.000000,events/second
1681858259,2,0.080392,0.000000,0.000000,0.000000,events/second
1681858262,2,0.073777,0.000000,0.000000,0.000000,events/second
1681858265,2,0.066496,0.000000,0.000000,0.000000,events/second
1681858268,2,0.060540,0.000000,0.000000,0.000000,events/second
1681858271,2,0.055467,0.000000,0.000000,0.000000,events/second
1681858274,2,0.051227,0.000000,0.000000,0.000000,events/second
1681858277,2,0.047555,0.000000,0.000000,0.000000,events/second
1681858280,2,0.044352,0.000000,0.000000,0.000000,events/second
1681858283,2,0.041550,0.000000,0.000000,0.000000,events/second
1681858286,2,0.039179,0.000000,0.000000,0.000000,events/second
1681858289,2,0.037013,0.000000,0.000000,0.000000,events/second
1681858292,2,0.035048,0.000000,0.000000,0.000000,events/second
1681858295,2,0.033269,0.000000,0.000000,0.000000,events/second
1681858298,2,0.031723,0.000000,0.000000,0.000000,events/second
1681858301,2,0.030272,0.000000,0.000000,0.000000,events/second
1681858304,2,0.028963,0.000000,0.000000,0.000000,events/second
1681858307,2,0.027759,0.000000,0.000000,0.000000,events/second
1681858310,2,0.026652,0.000000,0.000000,0.000000,events/second
1681858313,2,0.025622,0.000000,0.000000,0.000000,events/second
1681858316,2,0.024679,0.000000,0.000000,0.000000,events/second
1681858319,2,0.023794,0.000000,0.000000,0.000000,events/second
1681858322,2,0.022966,0.000000,0.000000,0.000000,events/second
1681858325,2,0.022200,0.000000,0.000000,0.000000,events/second
1681858328,2,0.021487,0.000000,0.000000,0.000000,events/second
1681858331,2,0.020829,0.000000,0.000000,0.000000,events/second
1681858334,2,0.020197,0.000000,0.000000,0.000000,events/second
1681858337,2,0.019604,0.000000,0.000000,0.000000,events/second
1681858340,2,0.019044,0.000000,0.000000,0.000000,events/second
1681858343,2,0.018513,0.000000,0.000000,0.000000,events/second
1681858346,2,0.018013,0.000000,0.000000,0.000000,events/second
1681858349,2,0.017541,0.000000,0.000000,0.000000,events/second
1681858352,2,0.017088,0.000000,0.000000,0.000000,events/second
1681858355,2,0.016662,0.000000,0.000000,0.000000,events/second
1681858358,2,0.016258,0.000000,0.000000,0.000000,events/second
1681858361,2,0.015869,0.000000,0.000000,0.000000,events/second
1681858364,2,0.015502,0.000000,0.000000,0.000000,events/second
1681858367,2,0.015150,0.000000,0.000000,0.000000,events/second
1681858370,3,0.022219,0.000000,0.000000,0.000000,events/second
1681858373,3,0.021724,0.000000,0.000000,0.000000,events/second
