t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,3,0.911523,0.000000,0.000000,0.000000,events/second
1681858241,3,0.488831,0.000000,0.000000,0.000000,events/second
1681858244,21,2.317311,0.000000,0.000000,0.000000,events/second
1681858247,21,1.710333,0.000000,0.000000,0.000000,events/second
1681858250,21,1.395141,0.000000,0.000000,0.000000,events/second
1681858253,21,1.162300,0.000000,0.000000,0.000000,events/second
1681858256,21,0.997196,0.000000,0.000000,0.000000,events/second
1681858259,21,0.844025,0.000000,0.000000,0.000000,events/second
1681858262,21,0.774660,0.000000,0.000000,0.000000,events/second
1681858265,21,0.698219,0.000000,0.000000,0.000000,events/second
1681858268,21,0.635671,0.000000,0.000000,0.000000,events/second
1681858271,21,0.582413,0.000000,0.000000,0.000000,events/second
1681858274,21,0.537888,0.000000,0.000000,0.000000,events/second
1681858277,21,0.499335,0.000000,0.000000,0.000000,events/second
1681858280,21,0.465693,0.000000,0.000000,0.000000,events/second
1681858283,21,0.436276,0.000000,0.000000,0.000000,events/second
1681858286,21,0.411378,0.000000,0.000000,0.000000,events/second
1681858289,21,0.388636,0.000000,0.000000,0.000000,events/second
1681858292,21,0.368007,0.000000,0.000000,0.000000,events/second
1681858295,21,0.349322,0.000000,0.000000,0.000000,events/second
1681858298,21,0.333094,0.000000,0.000000,0.000000,events/second
1681858301,21,0.317861,0.000000,0.000000,0.000000,events/second
1681858304,21,0.304117,0.000000,0.000000,0.000000,events/second
1681858307,21,0.291466,0.000000,0.000000,0.000000,events/second
1681858310,21,0.279850,0.000000,0.000000,0.000000,events/second
1681858313,21,0.269032,0.000000,0.000000,0.000000,events/second
1681858316,21,0.259129,0.000000,0.000000,0.000000,events/second
1681858319,21,0.249843,0.000000,0.000000,0.000000,events/second
1681858322,21,0.241142,0.000000,0.000000,0.000000,events/second
1681858325,21,0.233099,0.000000,0.000000,0.000000,events/second
1681858328,21,0.225619,0.000000,0.000000,0.000000,events/second
1681858331,21,0.218703,0.000000,0.000000,0.000000,events/second
1681858334,21,0.212073,0.000000,0.000000,0.000000,events/second
1681858337,21,0.205845,0.000000,0.000000,0.000000,events/second
1681858340,21,0.199959,0.000000,0.000000,0.000000,events/second
1681858343,21,0.194385,0.000000,0.000000,0.000000,events/second
1681858346,21,0.189141,0.000000,0.000000,0.000000,events/second
1681858349,21,0.184177,0.000000,0.000000,0.000000,events/second
1681858352,21,0.179424,0.000000,0.000000,0.000000,events/second
1681858355,21,0.174957,0.000000,0.000000,0.000000,events/second
1681858358,21,0.170708,0.000000,0.000000,0.000000,events/second
1681858361,21,0.166630,0.000000,0.000000,0.000000,events/second
1681858364,21,0.162768,0.000000,0.000000,0.000000,events/second
1681858367,21,0.159072,0.000000,0.000000,0.000000,events/second
1681858370,31,0.229595,0.000000,0.000000,0.000000,events/second
1681858373,40,0.289658,0.000000,0.000000,0.000000,events/second
1681858376,70,0.496339,0.000000,0.000000,0.000000,events/second
1681858379,70,0.485962,0.000000,0.000000,0.000000,events/second
1681858382,70,0.476093,0.000000,0.000000,0.000000,events/second
1681858385,76,0.506583,0.000000,0.000000,0.000000,events/second
1681858388,95,0.620711,0.000000,0.000000,0.000000,events/second
1681858391,95,0.608855,0.000000,0.000000,0.000000,events/second
1681858394,95,0.597385,0.000000,0.000000,0.000000,events/second
1681858397,95,0.586351,0.000000,0.000000,0.000000,events/second
1681858400,95,0.575624,0.000000,0.000000,0.000000,events/second
1681858403,95,0.565393,0.000000,0.000000,0.000000,events/second
1681858406,95,0.555457,0.000000,0.000000,0.000000,events/second
1681858409,95,0.545916,0.000000,0.000000,0.000000,events/second
1681858412,95,0.536649,0.000000,0.000000,0.000000,events/second
1681858415,95,0.527704,0.000000,0.000000,0.000000,events/second
1681858418,95,0.519063,0.000000,0.000000,0.000000,events/second
