t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,6,1.819085,0.000000,0.000000,0.000000,events/second
1681858241,6,0.977440,0.000000,0.000000,0.000000,events/second
1681858244,23,2.537270,0.000000,0.000000,0.000000,events/second
1681858247,23,1.872283,0.000000,0.000000,0.000000,events/second
1681858250,23,1.527872,0.000000,0.000000,0.000000,events/second
1681858253,23,1.272901,0.000000,0.000000,0.000000,events/second
1681858256,23,1.092092,0.000000,0.000000,0.000000,events/second
1681858259,23,0.924251,0.000000,0.000000,0.000000,events/second
1681858262,23,0.848328,0.000000,0.000000,0.000000,events/second
1681858265,23,0.764692,0.000000,0.000000,0.000000,events/second
1681858268,23,0.696189,0.000000,0.000000,0.000000,events/second
1681858271,23,0.637860,0.000000,0.000000,0.000000,events/second
1681858274,23,0.589097,0.000000,0.000000,0.000000,events/second
1681858277,23,0.546878,0.000000,0.000000,0.000000,events/second
1681858280,23,0.510027,0.000000,0.000000,0.000000,events/second
1681858283,23,0.477814,0.000000,0.000000,0.000000,events/second
1681858286,23,0.450547,0.000000,0.000000,0.000000,events/second
1681858289,23,0.425638,0.000000,0.000000,0.000000,events/second
1681858292,23,0.403050,0.000000,0.000000,0.000000,events/second
1681858295,23,0.382583,0.000000,0.000000,0.000000,events/second
1681858298,23,0.364810,0.000000,0.000000,0.000000,events/second
1681858301,23,0.348127,0.000000,0.000000,0.000000,events/second
1681858304,23,0.333075,0.000000,0.000000,0.000000,events/second
1681858307,23,0.319220,0.000000,0.000000,0.000000,events/second
1681858310,23,0.306498,0.000000,0.000000,0.000000,events/second
1681858313,23,0.294651,0.000000,0.000000,0.000000,events/second
1681858316,23,0.283804,0.000000,0.000000,0.000000,events/second
1681858319,23,0.273634,0.000000,0.000000,0.000000,events/second
1681858322,23,0.264104,0.000000,0.000000,0.000000,events/second
1681858325,23,0.255296,0.000000,0.000000,0.000000,events/second
1681858328,23,0.247103,0.000000,0.000000,0.000000,events/second
1681858331,23,0.239530,0.000000,0.000000,0.000000,events/second
1681858334,23,0.232268,0.000000,0.000000,0.000000,events/second
1681858337,23,0.225447,0.000000,0.000000,0.000000,events/second
1681858340,23,0.219002,0.000000,0.000000,0.000000,events/second
