t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,2,0.600575,0.000000,0.000000,0.000000,events/second
1681858241,2,0.325619,0.000000,0.000000,0.000000,events/second
1681858244,2,0.220534,0.000000,0.000000,0.000000,events/second
1681858247,2,0.162643,0.000000,0.000000,0.000000,events/second
1681858250,2,0.132828,0.000000,0.000000,0.000000,events/second
1681858253,2,0.110668,0.000000,0.000000,0.000000,events/second
1681858256,2,0.094950,0.000000,0.000000,0.000000,events/second
1681858259,2,0.080299,0.000000,0.000000,0.000000,events/second
1681858262,2,0.073744,0.000000,0.000000,0.000000,events/second
1681858265,2,0.066490,0.000000,0.000000,0.000000,events/second
1681858268,2,0.060534,0.000000,0.000000,0.000000,events/second
1681858271,2,0.055462,0.000000,0.000000,0.000000,events/second
1681858274,2,0.051222,0.000000,0.000000,0.000000,events/second
1681858277,2,0.047553,0.000000,0.000000,0.000000,events/second
1681858280,2,0.044346,0.000000,0.000000,0.000000,events/second
1681858283,2,0.041544,0.000000,0.000000,0.000000,events/second
1681858286,2,0.039176,0.000000,0.000000,0.000000,events/second
1681858289,2,0.037010,0.000000,0.000000,0.000000,events/second
1681858292,2,0.035047,0.000000,0.000000,0.000000,events/second
1681858295,2,0.033266,0.000000,0.000000,0.000000,events/second
1681858298,2,0.031721,0.000000,0.000000,0.000000,events/second
1681858301,2,0.030270,0.000000,0.000000,0.000000,events/second
1681858304,2,0.028962,0.000000,0.000000,0.000000,events/second
1681858307,2,0.027757,0.000000,0.000000,0.000000,events/second
1681858310,2,0.026651,0.000000,0.000000,0.000000,events/second
1681858313,2,0.025621,0.000000,0.000000,0.000000,events/second
1681858316,2,0.024678,0.000000,0.000000,0.000000,events/second
1681858319,2,0.023794,0.000000,0.000000,0.000000,events/second
1681858322,2,0.022965,0.000000,0.000000,0.000000,events/second
1681858325,2,0.022199,0.000000,0.000000,0.000000,events/second
1681858328,2,0.021487,0.000000,0.000000,0.000000,events/second
1681858331,2,0.020828,0.000000,0.000000,0.000000,events/second
1681858334,2,0.020197,0.000000,0.000000,0.000000,events/second
1681858337,2,0.019604,0.000000,0.000000,0.000000,events/second
1681858340,2,0.019043,0.000000,0.000000,0.000000,events/second
1681858343,2,0.018513,0.000000,0.000000,0.000000,events/second
1681858346,2,0.018013,0.000000,0.000000,0.000000,events/second
1681858349,2,0.017540,0.000000,0.000000,0.000000,events/second
1681858352,2,0.017088,0.000000,0.000000,0.000000,events/second
1681858355,2,0.016662,0.000000,0.000000,0.000000,events/second
1681858358,2,0.016258,0.000000,0.000000,0.000000,events/second
1681858361,2,0.015869,0.000000,0.000000,0.000000,events/second
1681858364,2,0.015502,0.000000,0.000000,0.000000,events/second
1681858367,2,0.015149,0.000000,0.000000,0.000000,events/second
1681858370,2,0.014812,0.000000,0.000000,0.000000,events/second
1681858373,2,0.014482,0.000000,0.000000,0.000000,events/second
1681858376,2,0.014181,0.000000,0.000000,0.000000,events/second
1681858379,2,0.013884,0.000000,0.000000,0.000000,events/second
1681858382,2,0.013602,0.000000,0.000000,0.000000,events/second
1681858385,2,0.013331,0.000000,0.000000,0.000000,events/second
1681858388,2,0.013067,0.000000,0.000000,0.000000,events/second
1681858391,2,0.012818,0.000000,0.000000,0.000000,events/second
1681858394,2,0.012576,0.000000,0.000000,0.000000,events/second
1681858397,2,0.012344,0.000000,0.000000,0.000000,events/second
1681858400,2,0.012118,0.000000,0.000000,0.000000,events/second
1681858403,2,0.011903,0.000000,0.000000,0.000000,events/second
1681858406,2,0.011694,0.000000,0.000000,0.000000,events/second
1681858409,2,0.011493,0.000000,0.000000,0.000000,events/second
1681858412,2,0.011298,0.000000,0.000000,0.000000,events/second
1681858415,2,0.011109,0.000000,0.000000,0.000000,events/second
1681858418,2,0.010928,0.000000,0.000000,0.000000,events/second
1681858421,2,0.010751,0.000000,0.000000,0.000000,events/second
1681858424,2,0.010581,0.000000,0.000000,0.000000,events/second
1681858427,2,0.010416,0.000000,0.000000,0.000000,events/second
1681858430,2,0.010255,0.000000,0.000000,0.000000,events/second
1681858433,2,0.010100,0.000000,0.000000,0.000000,events/second
1681858436,2,0.009949,0.000000,0.000000,0.000000,events/second
1681858439,2,0.009803,0.000000,0.000000,0.000000,events/second
1681858442,2,0.009661,0.000000,0.000000,0.000000,events/second
1681858445,2,0.009523,0.000000,0.000000,0.000000,events/second
1681858448,2,0.009388,0.000000,0.000000,0.000000,events/second
1681858451,2,0.009258,0.000000,0.000000,0.000000,events/second
1681858454,2,0.009131,0.000000,0.000000,0.000000,events/second
1681858457,2,0.009008,0.000000,0.000000,0.000000,events/second
1681858460,2,0.008888,0.000000,0.000000,0.000000,events/second
1681858463,2,0.008771,0.000000,0.000000,0.000000,events/second
1681858466,2,0.008657,0.000000,0.000000,0.000000,events/second
1681858469,2,0.008546,0.000000,0.000000,0.000000,events/second
1681858472,2,0.008438,0.000000,0.000000,0.000000,events/second
1681858475,2,0.008332,0.000000,0.000000,0.000000,events/second
1681858478,2,0.008230,0.000000,0.000000,0.000000,events/second
1681858481,2,0.008129,0.000000,0.000000,0.000000,events/second
1681858484,2,0.008031,0.000000,0.000000,0.000000,events/second
1681858487,2,0.007936,0.000000,0.000000,0.000000,events/second
1681858490,2,0.007843,0.000000,0.000000,0.000000,events/second
1681858493,2,0.007751,0.000000,0.000000,0.000000,events/second
1681858496,2,0.007662,0.000000,0.000000,0.000000,events/second
1681858499,2,0.007575,0.000000,0.000000,0.000000,events/second
1681858502,2,0.007490,0.000000,0.000000,0.000000,events/second
1681858505,2,0.007407,0.000000,0.000000,0.000000,events/second
1681858508,2,0.007326,0.000000,0.000000,0.000000,events/second
1681858511,2,0.007246,0.000000,0.000000,0.000000,events/second
1681858514,2,0.007168,0.000000,0.000000,0.000000,events/second
1681858517,2,0.007092,0.000000,0.000000,0.000000,events/second
1681858520,2,0.007017,0.000000,0.000000,0.000000,events/second
1681858523,2,0.006944,0.000000,0.000000,0.000000,events/second
1681858526,2,0.006872,0.000000,0.000000,0.000000,events/second
1681858529,2,0.006802,0.000000,0.000000,0.000000,events/second
1681858532,2,0.006733,0.000000,0.000000,0.000000,events/second
1681858535,2,0.006666,0.000000,0.000000,0.000000,events/second
1681858538,2,0.006600,0.000000,0.000000,0.000000,events/second
1681858541,2,0.006535,0.000000,0.000000,0.000000,events/second
1681858544,2,0.006472,0.000000,0.000000,0.000000,events/second
1681858547,2,0.006410,0.000000,0.000000,0.000000,events/second
1681858550,2,0.006349,0.000000,0.000000,0.000000,events/second
1681858553,2,0.006289,0.000000,0.000000,0.000000,events/second
1681858556,2,0.006230,0.000000,0.000000,0.000000,events/second
1681858559,2,0.006172,0.000000,0.000000,0.000000,events/second
1681858562,2,0.006116,0.000000,0.000000,0.000000,events/second
1681858565,2,0.006060,0.000000,0.000000,0.000000,events/second
1681858568,2,0.006005,0.000000,0.000000,0.000000,events/second
1681858571,2,0.005952,0.000000,0.000000,0.000000,events/second
1681858574,2,0.005899,0.000000,0.000000,0.000000,events/second
1681858577,2,0.005848,0.000000,0.000000,0.000000,events/second
1681858580,2,0.005797,0.000000,0.000000,0.000000,events/second
1681858583,2,0.005747,0.000000,0.000000,0.000000,events/second
1681858586,2,0.005698,0.000000,0.000000,0.000000,events/second
1681858589,2,0.005649,0.000000,0.000000,0.000000,events/second
1681858592,2,0.005602,0.000000,0.000000,0.000000,events/second
1681858595,2,0.005555,0.000000,0.000000,0.000000,events/second
1681858598,2,0.005509,0.000000,0.000000,0.000000,events/second
1681858601,2,0.005464,0.000000,0.000000,0.000000,events/second
