t,value
1681858238,67108864
1681858241,67108864
1681858244,67108864
1681858247,67108864
1681858250,67108864
1681858253,67108864
1681858256,67108864
1681858259,67108864
1681858262,67108864
1681858265,67108864
1681858268,67108864
1681858271,67108864
1681858274,67108864
1681858277,67108864
1681858280,67108864
1681858283,67108864
1681858286,67108864
1681858289,67108864
1681858292,67108864
1681858295,67108864
1681858298,67108864
1681858301,67108864
1681858304,67108864
1681858307,67108864
1681858310,67108864
1681858313,67108864
1681858316,67108864
1681858319,67108864
1681858322,67108864
1681858325,67108864
1681858328,67108864
1681858331,67108864
1681858334,67108864
1681858337,67108864
1681858340,67108864
1681858343,67108864
1681858346,67108864
1681858349,67108864
1681858352,67108864
1681858355,67108864
1681858358,67108864
1681858361,67108864
1681858364,67108864
1681858367,67108864
1681858370,83886080
1681858373,83886080
1681858376,117440512
1681858379,117440512
1681858382,117440512
1681858385,117440512
1681858388,117440512
1681858391,117440512
1681858394,117440512
1681858397,117440512
1681858400,117440512
1681858403,117440512
1681858406,117440512
1681858409,117440512
1681858412,117440512
1681858415,117440512
1681858418,117440512
1681858421,117440512
1681858424,117440512
1681858427,117440512
1681858430,117440512
1681858433,117440512
1681858436,117440512
1681858439,117440512
1681858442,117440512
1681858445,117440512
1681858448,117440512
1681858451,117440512
1681858454,117440512
1681858457,117440512
1681858460,117440512
1681858463,117440512
1681858466,117440512
1681858469,117440512
1681858472,117440512
1681858475,117440512
1681858478,117440512
1681858481,117440512
1681858484,117440512
1681858487,117440512
1681858490,117440512
1681858493,117440512
1681858496,117440512
1681858499,117440512
1681858502,117440512
1681858505,117440512
1681858508,117440512
1681858511,117440512
1681858514,117440512
1681858517,117440512
1681858520,117440512
1681858523,117440512
1681858526,117440512
1681858529,117440512
1681858532,117440512
1681858535,117440512
1681858538,117440512
1681858541,117440512
1681858544,117440512
1681858547,117440512
1681858550,117440512
1681858553,117440512
1681858556,117440512
1681858559,117440512
1681858562,117440512
1681858565,117440512
1681858568,117440512
1681858571,117440512
1681858574,117440512
1681858577,117440512
1681858580,117440512
1681858583,117440512
1681858586,117440512
1681858589,117440512
1681858592,117440512
1681858595,117440512
1681858598,117440512
1681858601,117440512
1681858604,117440512
1681858607,117440512
1681858610,117440512
1681858613,117440512
1681858616,117440512
1681858619,117440512
1681858622,117440512
1681858625,117440512
1681858628,117440512
1681858631,117440512
1681858634,117440512
1681858637,117440512
1681858640,117440512
1681858643,117440512
1681858646,117440512
1681858649,117440512
1681858652,117440512
1681858655,117440512
1681858658,117440512
1681858661,117440512
1681858664,117440512
1681858667,117440512
1681858670,117440512
1681858673,117440512
1681858676,117440512
1681858679,117440512
1681858682,117440512
1681858685,117440512
1681858688,117440512
1681858691,117440512
1681858694,117440512
1681858697,117440512
1681858700,117440512
1681858703,117440512
1681858706,117440512
1681858709,117440512
1681858712,117440512
1681858715,117440512
1681858718,117440512
1681858721,117440512
1681858724,117440512
1681858727,117440512
1681858730,117440512
1681858733,117440512
1681858736,117440512
1681858739,117440512
1681858742,117440512
1681858745,117440512
1681858748,117440512
1681858751,117440512
1681858754,117440512
1681858757,117440512
1681858760,117440512
1681858763,117440512
1681858766,117440512
1681858769,117440512
1681858772,117440512
1681858775,117440512
1681858778,117440512
1681858781,117440512
1681858784,117440512
1681858787,117440512
1681858790,117440512
1681858793,117440512
1681858796,117440512
1681858799,117440512
1681858802,117440512
1681858805,117440512
1681858808,117440512
1681858811,117440512
1681858814,117440512
1681858817,117440512
1681858820,117440512
1681858823,117440512
1681858826,117440512
1681858829,117440512
1681858832,117440512
1681858835,117440512
1681858838,117440512
1681858841,117440512
1681858844,117440512
1681858847,117440512
1681858850,117440512
1681858853,117440512
1681858856,117440512
1681858859,117440512
1681858862,117440512
1681858865,117440512
1681858868,117440512
1681858871,117440512
1681858874,117440512
1681858877,117440512
1681858880,117440512
1681858883,117440512
