t,value
1681858238,3145728
1681858241,3145728
1681858244,3145728
1681858247,3145728
1681858250,3145728
1681858253,3145728
1681858256,3145728
1681858259,3145728
1681858262,3145728
1681858265,3145728
1681858268,3145728
1681858271,3145728
1681858274,3145728
1681858277,3145728
1681858280,3145728
1681858283,3145728
1681858286,3145728
1681858289,3145728
1681858292,3145728
1681858295,3145728
1681858298,3145728
1681858301,3145728
1681858304,3145728
1681858307,3145728
1681858310,3145728
1681858313,3145728
1681858316,3145728
1681858319,3145728
1681858322,3145728
1681858325,3145728
1681858328,3145728
1681858331,3145728
1681858334,3145728
1681858337,3145728
1681858340,3145728
1681858343,3145728
1681858346,3145728
1681858349,3145728
1681858352,3145728
1681858355,3145728
1681858358,3145728
1681858361,3145728
1681858364,3145728
1681858367,3145728
1681858370,3145728
1681858373,3145728
1681858376,3145728
1681858379,3145728
1681858382,3145728
1681858385,3145728
1681858388,3145728
1681858391,3145728
1681858394,3145728
1681858397,3145728
1681858400,3145728
1681858403,3145728
1681858406,3145728
1681858409,3145728
1681858412,3145728
1681858415,3145728
1681858418,3145728
1681858421,3145728
1681858424,3145728
1681858427,3145728
1681858430,3145728
1681858433,3145728
1681858436,3145728
1681858439,3145728
1681858442,3145728
1681858445,3145728
1681858448,3145728
1681858451,3145728
1681858454,3145728
1681858457,3145728
1681858460,3145728
1681858463,3145728
1681858466,3145728
1681858469,3145728
1681858472,3145728
1681858475,3145728
1681858478,3145728
1681858481,3145728
1681858484,3145728
1681858487,3145728
1681858490,3145728
1681858493,3145728
1681858496,3145728
1681858499,3145728
1681858502,3145728
1681858505,3145728
1681858508,3145728
1681858511,3145728
1681858514,3145728
1681858517,3145728
1681858520,3145728
1681858523,3145728
1681858526,3145728
1681858529,3145728
1681858532,3145728
1681858535,3145728
1681858538,3145728
1681858541,3145728
1681858544,3145728
1681858547,3145728
1681858550,3145728
1681858553,3145728
1681858556,3145728
1681858559,3145728
1681858562,3145728
1681858565,3145728
1681858568,3145728
1681858571,3145728
1681858574,3145728
1681858577,3145728
1681858580,3145728
1681858583,3145728
1681858586,3145728
1681858589,3145728
1681858592,3145728
1681858595,3145728
1681858598,3145728
1681858601,3145728
1681858604,3145728
1681858607,3145728
1681858610,3145728
1681858613,3145728
1681858616,3145728
1681858619,3145728
1681858622,3145728
1681858625,3145728
1681858628,3145728
1681858631,3145728
1681858634,3145728
1681858637,3145728
1681858640,3145728
1681858643,3145728
1681858646,3145728
1681858649,3145728
1681858652,3145728
1681858655,3145728
1681858658,3145728
1681858661,3145728
1681858664,3145728
1681858667,3145728
1681858670,3145728
1681858673,3145728
1681858676,3145728
1681858679,3145728
1681858682,3145728
1681858685,3145728
1681858688,3145728
1681858691,3145728
1681858694,3145728
1681858697,3145728
1681858700,3145728
1681858703,3145728
1681858706,3145728
1681858709,3145728
1681858712,3145728
1681858715,3145728
1681858718,3145728
1681858721,3145728
1681858724,3145728
1681858727,3145728
1681858730,3145728
1681858733,3145728
1681858736,3145728
1681858739,3145728
1681858742,3145728
1681858745,3145728
1681858748,3145728
1681858751,3145728
1681858754,3145728
1681858757,3145728
1681858760,3145728
1681858763,3145728
1681858766,3145728
1681858769,3145728
1681858772,3145728
1681858775,3145728
1681858778,3145728
1681858781,3145728
1681858784,3145728
1681858787,3145728
1681858790,3145728
1681858793,3145728
1681858796,3145728
1681858799,3145728
1681858802,3145728
1681858805,3145728
1681858808,3145728
1681858811,3145728
1681858814,3145728
1681858817,3145728
1681858820,3145728
1681858823,3145728
1681858826,3145728
1681858829,3145728
1681858832,3145728
1681858835,3145728
1681858838,3145728
1681858841,3145728
1681858844,3145728
1681858847,3145728
1681858850,3145728
1681858853,3145728
1681858856,3145728
1681858859,3145728
1681858862,3145728
1681858865,3145728
1681858868,3145728
1681858871,3145728
1681858874,3145728
1681858877,3145728
1681858880,3145728
1681858883,3145728
1681858886,3145728
1681858889,3145728
1681858892,3145728
1681858895,3145728
1681858898,3145728
1681858901,3145728
1681858904,3145728
1681858907,3145728
1681858910,3145728
1681858913,3145728
1681858916,3145728
1681858919,3145728
1681858922,3145728
1681858925,3145728
1681858928,3145728
1681858931,3145728
1681858934,3145728
1681858937,3145728
1681858940,3145728
1681858943,3145728
1681858946,3145728
1681858949,3145728
1681858952,3145728
1681858955,3145728
1681858958,3145728
1681858961,3145728
1681858964,3145728
1681858967,3145728
1681858970,3145728
1681858973,3145728
1681858976,3145728
1681858979,3145728
1681858982,3145728
1681858985,3145728
1681858988,3145728
1681858991,3145728
1681858994,3145728
1681858997,3145728
1681859000,3145728
1681859003,3145728
1681859006,3145728
1681859009,3145728
1681859012,3145728
1681859015,3145728
1681859018,3145728
1681859021,3145728
1681859024,3145728
1681859027,3145728
1681859030,3145728
1681859033,3145728
1681859036,3145728
1681859039,3145728
1681859042,3145728
1681859045,3145728
1681859048,3145728
1681859051,3145728
1681859054,3145728
1681859057,3145728
1681859060,3145728
1681859063,3145728
1681859066,3145728
1681859069,3145728
1681859072,3145728
1681859075,3145728
1681859078,3145728
1681859081,3145728
1681859084,3145728
1681859087,3145728
1681859090,3145728
1681859093,3145728
1681859096,3145728
1681859099,3145728
1681859102,3145728
1681859105,3145728
1681859108,3145728
1681859111,3145728
1681859114,3145728
1681859117,3145728
1681859120,3145728
1681859123,3145728
1681859126,3145728
1681859129,3145728
1681859132,3145728
1681859135,3145728
1681859138,3145728
1681859141,3145728
1681859144,3145728
1681859147,3145728
1681859150,3145728
1681859153,3145728
1681859156,3145728
1681859159,3145728
1681859162,3145728
1681859165,3145728
1681859168,3145728
1681859171,3145728
1681859174,3145728
1681859177,3145728
1681859180,3145728
1681859183,3145728
1681859186,3145728
1681859189,3145728
1681859192,3145728
1681859195,3145728
1681859198,3145728
1681859201,3145728
