t,value
1681858238,532676608
1681858241,532676608
1681858244,532676608
1681858247,532676608
1681858250,532676608
1681858253,532676608
1681858256,532676608
1681858259,532676608
1681858262,532676608
1681858265,532676608
1681858268,532676608
1681858271,532676608
1681858274,532676608
1681858277,532152320
1681858280,532152320
1681858283,532152320
1681858286,532152320
1681858289,532152320
1681858292,532152320
1681858295,532152320
1681858298,532152320
1681858301,532152320
1681858304,532152320
1681858307,532152320
1681858310,532152320
1681858313,532152320
1681858316,532152320
1681858319,532152320
1681858322,532152320
1681858325,532152320
1681858328,532152320
1681858331,532152320
1681858334,532152320
1681858337,532152320
1681858340,532152320
1681858343,532152320
1681858346,532152320
1681858349,532152320
1681858352,532152320
1681858355,532152320
1681858358,532152320
1681858361,532152320
1681858364,532152320
1681858367,532152320
1681858370,532152320
1681858373,532152320
1681858376,532152320
1681858379,532152320
1681858382,532152320
1681858385,532152320
1681858388,532152320
1681858391,532152320
1681858394,532152320
1681858397,532152320
1681858400,532152320
1681858403,532152320
1681858406,532152320
1681858409,532152320
1681858412,532152320
1681858415,532152320
1681858418,532152320
1681858421,532152320
1681858424,532152320
1681858427,532152320
1681858430,532152320
1681858433,532152320
1681858436,532152320
1681858439,532152320
1681858442,532152320
1681858445,532152320
1681858448,532152320
1681858451,532152320
1681858454,532152320
1681858457,532152320
1681858460,532152320
1681858463,532152320
1681858466,532152320
1681858469,532152320
1681858472,532152320
1681858475,532152320
1681858478,532152320
1681858481,532152320
1681858484,532152320
1681858487,532152320
1681858490,532152320
1681858493,532152320
1681858496,532152320
1681858499,532152320
1681858502,532152320
1681858505,532152320
1681858508,532152320
1681858511,532152320
1681858514,532152320
1681858517,532152320
1681858520,532152320
1681858523,532152320
1681858526,532152320
1681858529,532152320
1681858532,532152320
1681858535,532152320
1681858538,532152320
1681858541,532152320
1681858544,532152320
1681858547,532152320
1681858550,532152320
1681858553,532152320
1681858556,532152320
1681858559,532152320
1681858562,532152320
1681858565,532152320
1681858568,532152320
1681858571,532152320
1681858574,532152320
1681858577,532152320
1681858580,532152320
1681858583,532152320
1681858586,532152320
1681858589,532152320
1681858592,532152320
1681858595,532152320
1681858598,532152320
1681858601,532152320
1681858604,532152320
1681858607,532152320
1681858610,532152320
1681858613,532152320
1681858616,532152320
1681858619,532152320
1681858622,532152320
1681858625,532152320
1681858628,532152320
1681858631,532152320
1681858634,532152320
1681858637,532152320
1681858640,532152320
1681858643,532152320
1681858646,532152320
1681858649,532152320
1681858652,532152320
1681858655,532152320
1681858658,532152320
1681858661,532152320
1681858664,532152320
1681858667,532152320
1681858670,532152320
1681858673,532152320
1681858676,532152320
1681858679,532152320
1681858682,532152320
1681858685,532152320
1681858688,532152320
1681858691,532152320
1681858694,532152320
1681858697,532152320
1681858700,532152320
1681858703,532152320
1681858706,532152320
1681858709,532152320
1681858712,532152320
1681858715,532152320
