t,value
1681858238,4194304
1681858241,4194304
1681858244,4194304
1681858247,4194304
1681858250,4194304
1681858253,4194304
1681858256,4194304
1681858259,4194304
1681858262,4194304
1681858265,4194304
1681858268,4194304
1681858271,4194304
1681858274,4194304
1681858277,4718592
1681858280,4718592
1681858283,4718592
1681858286,4718592
1681858289,4718592
1681858292,4718592
1681858295,4718592
1681858298,4718592
1681858301,4718592
1681858304,4718592
1681858307,4718592
1681858310,4718592
1681858313,4718592
1681858316,4718592
1681858319,4718592
1681858322,4718592
1681858325,4718592
1681858328,4718592
1681858331,4718592
1681858334,4718592
1681858337,4718592
1681858340,4718592
1681858343,4718592
1681858346,4718592
1681858349,4718592
1681858352,4718592
1681858355,4718592
1681858358,4718592
1681858361,4718592
1681858364,4718592
1681858367,4718592
1681858370,4718592
1681858373,4718592
1681858376,4718592
1681858379,4718592
1681858382,4718592
1681858385,4718592
1681858388,4718592
1681858391,4718592
1681858394,4718592
1681858397,4718592
1681858400,4718592
1681858403,4718592
1681858406,4718592
1681858409,4718592
1681858412,4718592
1681858415,4718592
1681858418,4718592
1681858421,4718592
1681858424,4718592
1681858427,4718592
1681858430,4718592
1681858433,4718592
1681858436,4718592
1681858439,4718592
1681858442,4718592
1681858445,4718592
1681858448,4718592
1681858451,4718592
1681858454,4718592
1681858457,4718592
1681858460,4718592
1681858463,4718592
1681858466,4718592
1681858469,4718592
1681858472,4718592
1681858475,4718592
1681858478,4718592
1681858481,4718592
1681858484,4718592
1681858487,4718592
1681858490,4718592
1681858493,4718592
1681858496,4718592
1681858499,4718592
1681858502,4718592
1681858505,4718592
1681858508,4718592
1681858511,4718592
1681858514,4718592
1681858517,4718592
1681858520,4718592
1681858523,4718592
1681858526,4718592
1681858529,4718592
1681858532,4718592
1681858535,4718592
1681858538,4718592
1681858541,4718592
1681858544,4718592
1681858547,4718592
1681858550,4718592
1681858553,4718592
1681858556,4718592
1681858559,4718592
1681858562,4718592
1681858565,4718592
1681858568,4718592
1681858571,4718592
1681858574,4718592
1681858577,4718592
1681858580,4718592
1681858583,4718592
1681858586,4718592
1681858589,4718592
1681858592,4718592
1681858595,4718592
1681858598,4718592
1681858601,4718592
1681858604,4718592
1681858607,4718592
1681858610,4718592
1681858613,4718592
1681858616,4718592
