t,value
1681858238,229520
1681858241,229520
1681858244,230592
1681858247,230592
1681858250,230592
1681858253,230592
1681858256,230592
1681858259,230592
1681858262,230592
1681858265,230592
1681858268,230592
1681858271,250392
1681858274,326352
1681858277,382432
1681858280,447608
1681858283,511400
1681858286,587264
1681858289,660032
1681858292,735856
1681858295,777728
1681858298,844296
1681858301,938224
1681858304,1045656
1681858307,1153672
1681858310,1266360
1681858313,1367968
1681858316,1453016
1681858319,1542280
1681858322,1624528
1681858325,1706920
1681858328,1790304
1681858331,1812184
1681858334,1812184
1681858337,1812184
1681858340,1812184
1681858343,1812184
1681858346,1812184
1681858349,1812184
1681858352,1812184
1681858355,1812184
1681858358,1812184
1681858361,1812184
1681858364,1812184
1681858367,1812184
1681858370,1812808
1681858373,1813232
1681858376,1815592
1681858379,1815592
1681858382,1815592
1681858385,1815968
1681858388,1826504
1681858391,1826504
1681858394,1826504
1681858397,1826504
1681858400,1826504
1681858403,1826504
1681858406,1826504
1681858409,1826504
1681858412,1826504
1681858415,1826504
1681858418,1826504
1681858421,1826504
1681858424,1826504
1681858427,1826504
1681858430,1826504
1681858433,1826504
1681858436,1826504
1681858439,1826504
1681858442,1826504
1681858445,1826504
1681858448,1826504
1681858451,1826504
1681858454,1826504
1681858457,1826504
1681858460,1826504
1681858463,1826504
1681858466,1826504
1681858469,1826504
1681858472,1826504
1681858475,1826504
1681858478,1826504
1681858481,1826504
1681858484,1826504
1681858487,1826504
1681858490,1826504
1681858493,1826504
1681858496,1826504
1681858499,1826504
1681858502,1826504
1681858505,1826504
1681858508,1826504
1681858511,1826504
1681858514,1826504
1681858517,1826504
1681858520,1826504
1681858523,1826504
1681858526,1826504
1681858529,1826504
1681858532,1826504
1681858535,1826504
1681858538,1826504
1681858541,1826504
1681858544,1826504
1681858547,1826504
1681858550,1826504
1681858553,1826504
1681858556,1826504
1681858559,1826504
1681858562,1826504
1681858565,1826504
1681858568,1826504
1681858571,1826504
1681858574,1826504
1681858577,1826504
1681858580,1826504
1681858583,1826504
1681858586,1826504
1681858589,1826504
1681858592,1826504
1681858595,1826504
1681858598,1826504
