t,value
1681858238,0
1681858241,0
1681858244,0
1681858247,0
1681858250,0
1681858253,0
1681858256,0
1681858259,0
1681858262,0
1681858265,0
1681858268,0
1681858271,200
1681858274,923
1681858277,1222
1681858280,1566
1681858283,1905
1681858286,2308
1681858289,2696
1681858292,3100
1681858295,3319
1681858298,3525
1681858301,3674
1681858304,3736
1681858307,3847
1681858310,4095
1681858313,4205
1681858316,4205
1681858319,4205
1681858322,4205
1681858325,4205
1681858328,4205
1681858331,4205
1681858334,4205
1681858337,4205
1681858340,4205
1681858343,4205
1681858346,4205
1681858349,4205
1681858352,4205
1681858355,4205
1681858358,4205
1681858361,4205
1681858364,4205
1681858367,4205
1681858370,4205
1681858373,4205
1681858376,4205
1681858379,4205
1681858382,4205
1681858385,4205
1681858388,4205
1681858391,4205
1681858394,4205
1681858397,4205
1681858400,4205
1681858403,4205
1681858406,4205
1681858409,4205
1681858412,4205
1681858415,4205
1681858418,4205
1681858421,4205
1681858424,4205
1681858427,4205
1681858430,4205
1681858433,4205
1681858436,4205
1681858439,4205
1681858442,4205
1681858445,4205
1681858448,4205
1681858451,4205
1681858454,4205
1681858457,4205
1681858460,4205
1681858463,4205
1681858466,4205
1681858469,4205
1681858472,4205
1681858475,4205
1681858478,4205
1681858481,4205
1681858484,4205
1681858487,4205
1681858490,4205
1681858493,4205
1681858496,4205
1681858499,4205
1681858502,4205
1681858505,4205
1681858508,4205
1681858511,4205
1681858514,4205
1681858517,4205
1681858520,4205
1681858523,4205
1681858526,4205
1681858529,4205
1681858532,4205
1681858535,4205
1681858538,4205
1681858541,4205
1681858544,4205
1681858547,4205
1681858550,4205
1681858553,4205
1681858556,4205
1681858559,4205
1681858562,4205
1681858565,4205
1681858568,4205
1681858571,4205
1681858574,4205
1681858577,4205
1681858580,4205
1681858583,4205
1681858586,4205
1681858589,4205
1681858592,4205
1681858595,4205
1681858598,4205
1681858601,4205
1681858604,4205
1681858607,4205
1681858610,4205
1681858613,4205
1681858616,4205
1681858619,4205
1681858622,4205
1681858625,4205
1681858628,4205
1681858631,4205
1681858634,4205
1681858637,4205
1681858640,4205
1681858643,4205
1681858646,4205
1681858649,4205
1681858652,4205
1681858655,4205
1681858658,4205
1681858661,4205
1681858664,4205
1681858667,4205
1681858670,4205
1681858673,4205
1681858676,4205
1681858679,4205
1681858682,4205
1681858685,4205
1681858688,4205
1681858691,4205
1681858694,4205
1681858697,4205
1681858700,4205
1681858703,4205
1681858706,4205
1681858709,4205
1681858712,4205
1681858715,4205
1681858718,4205
1681858721,4205
1681858724,4205
1681858727,4205
1681858730,4205
1681858733,4205
1681858736,4205
1681858739,4205
1681858742,4205
1681858745,4205
1681858748,4205
1681858751,4205
1681858754,4205
1681858757,4205
1681858760,4205
1681858763,4205
1681858766,4205
1681858769,4205
1681858772,4205
1681858775,4205
1681858778,4205
1681858781,4205
1681858784,4205
1681858787,4205
1681858790,4205
1681858793,4205
1681858796,4205
1681858799,4205
1681858802,4205
1681858805,4205
1681858808,4205
1681858811,4205
1681858814,4205
1681858817,4205
1681858820,4205
1681858823,4205
1681858826,4205
1681858829,4205
1681858832,4205
1681858835,4205
1681858838,4205
1681858841,4205
1681858844,4205
1681858847,4205
1681858850,4205
1681858853,4205
1681858856,4205
1681858859,4205
1681858862,4205
1681858865,4205
1681858868,4205
1681858871,4205
1681858874,4205
1681858877,4205
1681858880,4205
1681858883,4205
1681858886,4205
1681858889,4205
1681858892,4205
1681858895,4205
1681858898,4205
1681858901,4205
1681858904,4205
1681858907,4205
1681858910,4205
1681858913,4205
1681858916,4205
1681858919,4205
1681858922,4205
1681858925,4205
1681858928,4205
1681858931,4205
1681858934,4205
1681858937,4205
1681858940,4205
