t,value
1681858238,0
1681858241,0
1681858244,0
1681858247,0
1681858250,0
1681858253,0
1681858256,0
1681858259,0
1681858262,0
1681858265,0
1681858268,0
1681858271,0
1681858274,0
1681858277,0
1681858280,0
1681858283,0
1681858286,0
1681858289,0
1681858292,0
1681858295,0
1681858298,270
1681858301,419
1681858304,481
1681858307,592
1681858310,840
1681858313,1041
1681858316,1629
1681858319,2031
1681858322,2294
1681858325,2462
1681858328,2661
1681858331,2717
1681858334,2717
1681858337,2717
1681858340,2717
1681858343,2717
1681858346,2717
1681858349,2717
1681858352,2717
1681858355,2717
1681858358,2717
1681858361,2717
1681858364,2717
1681858367,2717
1681858370,2717
1681858373,2717
1681858376,2717
1681858379,2717
1681858382,2717
1681858385,2717
1681858388,2717
1681858391,2717
1681858394,2717
1681858397,2717
1681858400,2717
1681858403,2717
1681858406,2717
1681858409,2717
1681858412,2717
1681858415,2717
1681858418,2717
1681858421,2717
1681858424,2717
1681858427,2717
1681858430,2717
1681858433,2717
1681858436,2717
1681858439,2717
1681858442,2717
1681858445,2717
1681858448,2717
1681858451,2717
1681858454,2717
1681858457,2717
1681858460,2717
1681858463,2717
1681858466,2717
1681858469,2717
1681858472,2717
1681858475,2717
1681858478,2717
1681858481,2717
1681858484,2717
1681858487,2717
1681858490,2717
1681858493,2717
1681858496,2717
1681858499,2717
1681858502,2717
1681858505,2717
1681858508,2717
1681858511,2717
1681858514,2717
1681858517,2717
1681858520,2717
1681858523,2717
1681858526,2717
1681858529,2717
1681858532,2717
1681858535,2717
1681858538,2717
1681858541,2717
1681858544,2717
1681858547,2717
1681858550,2717
1681858553,2717
1681858556,2717
1681858559,2717
1681858562,2717
1681858565,2717
1681858568,2717
1681858571,2717
1681858574,2717
1681858577,2717
1681858580,2717
1681858583,2717
1681858586,2717
1681858589,2717
1681858592,2717
1681858595,2717
1681858598,2717
1681858601,2717
1681858604,2717
1681858607,2717
1681858610,2717
1681858613,2717
1681858616,2717
1681858619,2717
1681858622,2717
1681858625,2717
1681858628,2717
1681858631,2717
1681858634,2717
1681858637,2717
1681858640,2717
1681858643,2717
1681858646,2717
1681858649,2717
1681858652,2717
1681858655,2717
1681858658,2717
1681858661,2717
1681858664,2717
1681858667,2717
1681858670,2717
1681858673,2717
1681858676,2717
1681858679,2717
1681858682,2717
1681858685,2717
1681858688,2717
1681858691,2717
1681858694,2717
1681858697,2717
1681858700,2717
1681858703,2717
1681858706,2717
1681858709,2717
1681858712,2717
1681858715,2717
1681858718,2717
1681858721,2717
1681858724,2717
1681858727,2717
1681858730,2717
1681858733,2717
1681858736,2717
1681858739,2717
1681858742,2717
1681858745,2717
1681858748,2717
1681858751,2717
1681858754,2717
1681858757,2717
1681858760,2717
1681858763,2717
1681858766,2717
1681858769,2717
1681858772,2717
1681858775,2717
1681858778,2717
1681858781,2717
1681858784,2717
1681858787,2717
1681858790,2717
1681858793,2717
1681858796,2717
1681858799,2717
1681858802,2717
1681858805,2717
1681858808,2717
1681858811,2717
1681858814,2717
1681858817,2717
1681858820,2717
1681858823,2717
1681858826,2717
1681858829,2717
1681858832,2717
1681858835,2717
1681858838,2717
1681858841,2717
1681858844,2717
1681858847,2717
1681858850,2717
1681858853,2717
1681858856,2717
1681858859,2717
1681858862,2717
1681858865,2717
1681858868,2717
1681858871,2717
1681858874,2717
1681858877,2717
1681858880,2717
1681858883,2717
1681858886,2717
1681858889,2717
1681858892,2717
1681858895,2717
1681858898,2717
1681858901,2717
1681858904,2717
1681858907,2717
1681858910,2717
1681858913,2717
1681858916,2717
1681858919,2717
1681858922,2717
1681858925,2717
1681858928,2717
1681858931,2717
1681858934,2717
1681858937,2717
1681858940,2717
1681858943,2717
1681858946,2717
