t,value
1681858238,0
1681858241,0
1681858244,0
1681858247,0
1681858250,0
1681858253,0
1681858256,0
1681858259,0
1681858262,0
1681858265,0
1681858268,0
1681858271,0
1681858274,0
1681858277,0
1681858280,0
1681858283,0
1681858286,0
1681858289,0
1681858292,0
1681858295,0
1681858298,2
1681858301,2
1681858304,2
1681858307,2
1681858310,2
1681858313,4
1681858316,4
1681858319,4
1681858322,4
1681858325,4
1681858328,4
1681858331,4
1681858334,4
1681858337,4
1681858340,4
1681858343,4
1681858346,4
1681858349,4
1681858352,4
1681858355,4
1681858358,4
1681858361,4
1681858364,4
1681858367,4
1681858370,4
1681858373,4
1681858376,4
1681858379,4
1681858382,4
1681858385,4
1681858388,4
1681858391,4
1681858394,4
1681858397,4
1681858400,4
1681858403,4
1681858406,4
1681858409,4
1681858412,4
1681858415,4
1681858418,4
1681858421,4
1681858424,4
1681858427,4
1681858430,4
1681858433,4
1681858436,4
1681858439,4
1681858442,4
1681858445,4
1681858448,4
1681858451,4
1681858454,4
1681858457,4
1681858460,4
1681858463,4
1681858466,4
1681858469,4
1681858472,4
1681858475,4
1681858478,4
1681858481,4
1681858484,4
1681858487,4
1681858490,4
1681858493,4
1681858496,4
1681858499,4
1681858502,4
1681858505,4
1681858508,4
1681858511,4
1681858514,4
1681858517,4
1681858520,4
1681858523,4
1681858526,4
1681858529,4
1681858532,4
1681858535,4
1681858538,4
1681858541,4
1681858544,4
1681858547,4
1681858550,4
1681858553,4
1681858556,4
1681858559,4
1681858562,4
1681858565,4
1681858568,4
1681858571,4
1681858574,4
1681858577,4
1681858580,4
1681858583,4
1681858586,4
1681858589,4
1681858592,4
1681858595,4
1681858598,4
1681858601,4
1681858604,4
1681858607,4
1681858610,4
1681858613,4
1681858616,4
1681858619,4
1681858622,4
1681858625,4
1681858628,4
1681858631,4
1681858634,4
1681858637,4
1681858640,4
1681858643,4
1681858646,4
1681858649,4
1681858652,4
1681858655,4
1681858658,4
1681858661,4
1681858664,4
1681858667,4
1681858670,4
1681858673,4
1681858676,4
1681858679,4
1681858682,4
1681858685,4
1681858688,4
1681858691,4
1681858694,4
1681858697,4
1681858700,4
1681858703,4
1681858706,4
1681858709,4
1681858712,4
1681858715,4
1681858718,4
1681858721,4
1681858724,4
1681858727,4
1681858730,4
1681858733,4
1681858736,4
1681858739,4
1681858742,4
1681858745,4
1681858748,4
1681858751,4
1681858754,4
1681858757,4
1681858760,4
1681858763,4
1681858766,4
1681858769,4
1681858772,4
1681858775,4
1681858778,4
1681858781,4
1681858784,4
1681858787,4
1681858790,4
1681858793,4
1681858796,4
1681858799,4
1681858802,4
1681858805,4
1681858808,4
1681858811,4
1681858814,4
1681858817,4
1681858820,4
1681858823,4
1681858826,4
1681858829,4
1681858832,4
1681858835,4
1681858838,4
1681858841,4
1681858844,4
1681858847,4
1681858850,4
1681858853,4
1681858856,4
1681858859,4
1681858862,4
1681858865,4
1681858868,4
1681858871,4
1681858874,4
1681858877,4
1681858880,4
1681858883,4
1681858886,4
1681858889,4
1681858892,4
1681858895,4
1681858898,4
1681858901,4
1681858904,4
1681858907,4
1681858910,4
1681858913,4
1681858916,4
1681858919,4
1681858922,4
1681858925,4
1681858928,4
1681858931,4
1681858934,4
1681858937,4
1681858940,4
1681858943,4
1681858946,4
1681858949,4
1681858952,4
1681858955,4
1681858958,4
1681858961,4
1681858964,4
1681858967,4
1681858970,4
1681858973,4
1681858976,4
1681858979,4
1681858982,4
1681858985,4
1681858988,4
1681858991,4
1681858994,4
1681858997,4
1681859000,4
1681859003,4
1681859006,4
1681859009,4
1681859012,4
1681859015,4
1681859018,4
1681859021,4
1681859024,4
1681859027,4
1681859030,4
1681859033,4
1681859036,4
