t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,64,17.915160,0.000000,0.000000,0.000000,events/second
1681858241,64,10.042838,0.000000,0.000000,0.000000,events/second
1681858244,64,6.880237,0.000000,0.000000,0.000000,events/second
1681858247,64,5.107110,0.000000,0.000000,0.000000,events/second
1681858250,64,4.186406,0.000000,0.000000,0.000000,events/second
1681858253,64,3.496792,0.000000,0.000000,0.000000,events/second
1681858256,64,3.005489,0.000000,0.000000,0.000000,events/second
1681858259,64,2.545084,0.000000,0.000000,0.000000,events/second
1681858262,64,2.339949,0.000000,0.000000,0.000000,events/second
1681858265,64,2.111544,0.000000,0.000000,0.000000,events/second
1681858268,64,1.923716,0.000000,0.000000,0.000000,events/second
1681858271,34155,941.151089,0.000000,0.000000,0.000000,events/second
1681858274,151608,3860.085015,0.000000,0.000000,0.000000,events/second
1681858277,220353,5210.799214,0.000000,0.000000,0.000000,events/second
1681858280,301441,6649.941053,0.000000,0.000000,0.000000,events/second
1681858283,381492,7885.728140,0.000000,0.000000,0.000000,events/second
1681858286,470307,9171.049840,0.000000,0.000000,0.000000,events/second
1681858289,559372,10307.372328,0.000000,0.000000,0.000000,events/second
1681858292,652961,11396.387246,0.000000,0.000000,0.000000,events/second
1681858295,701890,11630.142332,0.000000,0.000000,0.000000,events/second
1681858298,799381,12632.616050,0.000000,0.000000,0.000000,events/second
1681858301,855738,12906.640146,0.000000,0.000000,0.000000,events/second
1681858304,881254,12719.108508,0.000000,0.000000,0.000000,events/second
1681858307,932740,12904.081177,0.000000,0.000000,0.000000,events/second
1681858310,1043261,13859.777740,0.000000,0.000000,0.000000,events/second
1681858313,1137866,14533.641314,0.000000,0.000000,0.000000,events/second
1681858316,1359830,16731.503895,0.000000,0.000000,0.000000,events/second
1681858319,1503936,17843.434921,0.000000,0.000000,0.000000,events/second
1681858322,1612204,18462.963098,0.000000,0.000000,0.000000,events/second
1681858325,1700016,18821.345708,0.000000,0.000000,0.000000,events/second
1681858328,1830725,19619.912201,0.000000,0.000000,0.000000,events/second
1681858331,1851174,19232.726968,0.000000,0.000000,0.000000,events/second
1681858334,1851174,18651.104428,0.000000,0.000000,0.000000,events/second
1681858337,1851174,18104.600981,0.000000,0.000000,0.000000,events/second
1681858340,1851174,17588.091892,0.000000,0.000000,0.000000,events/second
1681858343,1851174,17098.811577,0.000000,0.000000,0.000000,events/second
1681858346,1851174,16638.528640,0.000000,0.000000,0.000000,events/second
1681858349,1851174,16202.658189,0.000000,0.000000,0.000000,events/second
1681858352,1851174,15785.455093,0.000000,0.000000,0.000000,events/second
1681858355,1851174,15393.139925,0.000000,0.000000,0.000000,events/second
1681858358,1851174,15020.054537,0.000000,0.000000,0.000000,events/second
1681858361,1851174,14661.648654,0.000000,0.000000,0.000000,events/second
1681858364,1851174,14322.637563,0.000000,0.000000,0.000000,events/second
1681858367,1851174,13997.878711,0.000000,0.000000,0.000000,events/second
1681858370,1851174,13686.888906,0.000000,0.000000,0.000000,events/second
1681858373,1851174,13382.080927,0.000000,0.000000,0.000000,events/second
1681858376,1851174,13104.316193,0.000000,0.000000,0.000000,events/second
1681858379,1851174,12830.630052,0.000000,0.000000,0.000000,events/second
1681858382,1851174,12570.617422,0.000000,0.000000,0.000000,events/second
1681858385,1851174,12320.130260,0.000000,0.000000,0.000000,events/second
1681858388,1851174,12076.921861,0.000000,0.000000,0.000000,events/second
1681858391,1851174,11846.692558,0.000000,0.000000,0.000000,events/second
1681858394,1851174,11623.806156,0.000000,0.000000,0.000000,events/second
1681858397,1851174,11409.397159,0.000000,0.000000,0.000000,events/second
1681858400,1851174,11200.989707,0.000000,0.000000,0.000000,events/second
1681858403,1851174,11002.166669,0.000000,0.000000,0.000000,events/second
1681858406,1851174,10809.115697,0.000000,0.000000,0.000000,events/second
1681858409,1851174,10623.691941,0.000000,0.000000,0.000000,events/second
1681858412,1851174,10443.490361,0.000000,0.000000,0.000000,events/second
1681858415,1851174,10269.725947,0.000000,0.000000,0.000000,events/second
1681858418,1851174,10101.772030,0.000000,0.000000,0.000000,events/second
1681858421,1851174,9938.782217,0.000000,0.000000,0.000000,events/second
1681858424,1851174,9781.764754,0.000000,0.000000,0.000000,events/second
1681858427,1851174,9628.990894,0.000000,0.000000,0.000000,events/second
1681858430,1851174,9481.001767,0.000000,0.000000,0.000000,events/second
1681858433,1851174,9337.364656,0.000000,0.000000,0.000000,events/second
1681858436,1851174,9197.931494,0.000000,0.000000,0.000000,events/second
1681858439,1851174,9063.378998,0.000000,0.000000,0.000000,events/second
1681858442,1851174,8931.826936,0.000000,0.000000,0.000000,events/second
1681858445,1851174,8804.748527,0.000000,0.000000,0.000000,events/second
1681858448,1851174,8680.251357,0.000000,0.000000,0.000000,events/second
1681858451,1851174,8560.018610,0.000000,0.000000,0.000000,events/second
1681858454,1851174,8442.943306,0.000000,0.000000,0.000000,events/second
1681858457,1851174,8329.187279,0.000000,0.000000,0.000000,events/second
1681858460,1851174,8218.222558,0.000000,0.000000,0.000000,events/second
