t,value
1681858238,0
1681858241,0
1681858244,0
1681858247,0
1681858250,0
1681858253,0
1681858256,0
1681858259,0
1681858262,0
1681858265,0
1681858268,0
1681858271,57
1681858274,308
1681858277,608
1681858280,951
1681858283,1291
1681858286,1693
1681858289,2081
1681858292,2485
1681858295,2701
1681858298,2701
1681858301,2701
1681858304,2701
1681858307,2701
1681858310,2701
1681858313,2701
1681858316,2701
1681858319,2701
1681858322,2701
1681858325,2701
1681858328,2701
1681858331,2701
1681858334,2701
1681858337,2701
1681858340,2701
1681858343,2701
1681858346,2701
1681858349,2701
1681858352,2701
1681858355,2701
1681858358,2701
1681858361,2701
1681858364,2701
1681858367,2701
1681858370,2701
1681858373,2701
1681858376,2701
1681858379,2701
1681858382,2701
1681858385,2701
1681858388,2701
1681858391,2701
1681858394,2701
1681858397,2701
1681858400,2701
1681858403,2701
1681858406,2701
1681858409,2701
1681858412,2701
1681858415,2701
1681858418,2701
1681858421,2701
1681858424,2701
1681858427,2701
1681858430,2701
1681858433,2701
1681858436,2701
1681858439,2701
1681858442,2701
1681858445,2701
1681858448,2701
1681858451,2701
1681858454,2701
1681858457,2701
1681858460,2701
1681858463,2701
1681858466,2701
1681858469,2701
1681858472,2701
1681858475,2701
1681858478,2701
1681858481,2701
1681858484,2701
1681858487,2701
1681858490,2701
1681858493,2701
1681858496,2701
1681858499,2701
1681858502,2701
1681858505,2701
1681858508,2701
1681858511,2701
1681858514,2701
1681858517,2701
1681858520,2701
1681858523,2701
1681858526,2701
1681858529,2701
1681858532,2701
1681858535,2701
1681858538,2701
1681858541,2701
1681858544,2701
1681858547,2701
1681858550,2701
1681858553,2701
1681858556,2701
1681858559,2701
1681858562,2701
1681858565,2701
1681858568,2701
1681858571,2701
1681858574,2701
1681858577,2701
1681858580,2701
1681858583,2701
1681858586,2701
1681858589,2701
1681858592,2701
1681858595,2701
1681858598,2701
1681858601,2701
1681858604,2701
1681858607,2701
1681858610,2701
1681858613,2701
1681858616,2701
1681858619,2701
1681858622,2701
1681858625,2701
1681858628,2701
1681858631,2701
1681858634,2701
1681858637,2701
1681858640,2701
1681858643,2701
1681858646,2701
1681858649,2701
1681858652,2701
1681858655,2701
1681858658,2701
1681858661,2701
1681858664,2701
1681858667,2701
1681858670,2701
1681858673,2701
1681858676,2701
1681858679,2701
1681858682,2701
1681858685,2701
1681858688,2701
1681858691,2701
1681858694,2701
1681858697,2701
1681858700,2701
1681858703,2701
1681858706,2701
1681858709,2701
1681858712,2701
1681858715,2701
1681858718,2701
1681858721,2701
1681858724,2701
1681858727,2701
1681858730,2701
1681858733,2701
1681858736,2701
1681858739,2701
1681858742,2701
1681858745,2701
1681858748,2701
1681858751,2701
1681858754,2701
1681858757,2701
1681858760,2701
1681858763,2701
1681858766,2701
1681858769,2701
1681858772,2701
1681858775,2701
1681858778,2701
1681858781,2701
1681858784,2701
1681858787,2701
1681858790,2701
1681858793,2701
1681858796,2701
1681858799,2701
1681858802,2701
1681858805,2701
1681858808,2701
1681858811,2701
1681858814,2701
1681858817,2701
1681858820,2701
1681858823,2701
1681858826,2701
1681858829,2701
1681858832,2701
1681858835,2701
1681858838,2701
1681858841,2701
1681858844,2701
1681858847,2701
1681858850,2701
1681858853,2701
1681858856,2701
1681858859,2701
1681858862,2701
1681858865,2701
1681858868,2701
1681858871,2701
1681858874,2701
1681858877,2701
1681858880,2701
1681858883,2701
1681858886,2701
1681858889,2701
1681858892,2701
1681858895,2701
1681858898,2701
1681858901,2701
1681858904,2701
1681858907,2701
1681858910,2701
1681858913,2701
1681858916,2701
1681858919,2701
1681858922,2701
1681858925,2701
1681858928,2701
1681858931,2701
1681858934,2701
1681858937,2701
1681858940,2701
1681858943,2701
