t,value
1681858238,1572864
1681858241,1572864
1681858244,1572864
1681858247,1572864
1681858250,1572864
1681858253,1572864
1681858256,1572864
1681858259,1572864
1681858262,1572864
1681858265,1572864
1681858268,1572864
1681858271,1572864
1681858274,1572864
1681858277,1572864
1681858280,1572864
1681858283,1572864
1681858286,1572864
1681858289,1572864
1681858292,1572864
1681858295,1572864
1681858298,1572864
1681858301,1572864
1681858304,1572864
1681858307,1572864
1681858310,1572864
1681858313,1572864
1681858316,1572864
1681858319,1572864
1681858322,1572864
1681858325,1572864
1681858328,1572864
1681858331,1572864
1681858334,1572864
1681858337,1572864
1681858340,1572864
1681858343,1572864
1681858346,1572864
1681858349,1572864
1681858352,1572864
1681858355,1572864
1681858358,1572864
1681858361,1572864
1681858364,1572864
1681858367,1572864
1681858370,1572864
1681858373,1572864
1681858376,1572864
1681858379,1572864
1681858382,1572864
1681858385,1572864
1681858388,1572864
1681858391,1572864
1681858394,1572864
1681858397,1572864
1681858400,1572864
1681858403,1572864
1681858406,1572864
1681858409,1572864
1681858412,1572864
1681858415,1572864
1681858418,1572864
1681858421,1572864
1681858424,1572864
1681858427,1572864
1681858430,1572864
1681858433,1572864
1681858436,1572864
1681858439,1572864
1681858442,1572864
1681858445,1572864
1681858448,1572864
1681858451,1572864
1681858454,1572864
1681858457,1572864
1681858460,1572864
1681858463,1572864
1681858466,1572864
1681858469,1572864
1681858472,1572864
1681858475,1572864
1681858478,1572864
1681858481,1572864
1681858484,1572864
1681858487,1572864
1681858490,1572864
1681858493,1572864
1681858496,1572864
1681858499,1572864
1681858502,1572864
1681858505,1572864
1681858508,1572864
1681858511,1572864
1681858514,1572864
1681858517,1572864
1681858520,1572864
1681858523,1572864
1681858526,1572864
1681858529,1572864
1681858532,1572864
1681858535,1572864
1681858538,1572864
1681858541,1572864
1681858544,1572864
1681858547,1572864
1681858550,1572864
1681858553,1572864
1681858556,1572864
1681858559,1572864
1681858562,1572864
1681858565,1572864
1681858568,1572864
1681858571,1572864
1681858574,1572864
1681858577,1572864
1681858580,1572864
1681858583,1572864
1681858586,1572864
1681858589,1572864
1681858592,1572864
1681858595,1572864
1681858598,1572864
1681858601,1572864
1681858604,1572864
1681858607,1572864
1681858610,1572864
1681858613,1572864
1681858616,1572864
1681858619,1572864
1681858622,1572864
1681858625,1572864
1681858628,1572864
1681858631,1572864
1681858634,1572864
1681858637,1572864
1681858640,1572864
1681858643,1572864
1681858646,1572864
1681858649,1572864
1681858652,1572864
1681858655,1572864
1681858658,1572864
1681858661,1572864
1681858664,1572864
1681858667,1572864
1681858670,1572864
1681858673,1572864
1681858676,1572864
1681858679,1572864
1681858682,1572864
1681858685,1572864
1681858688,1572864
1681858691,1572864
1681858694,1572864
1681858697,1572864
1681858700,1572864
1681858703,1572864
1681858706,1572864
1681858709,1572864
1681858712,1572864
1681858715,1572864
1681858718,1572864
1681858721,1572864
1681858724,1572864
1681858727,1572864
1681858730,1572864
1681858733,1572864
1681858736,1572864
1681858739,1572864
1681858742,1572864
1681858745,1572864
1681858748,1572864
1681858751,1572864
1681858754,1572864
1681858757,1572864
1681858760,1572864
1681858763,1572864
1681858766,1572864
1681858769,1572864
1681858772,1572864
1681858775,1572864
1681858778,1572864
1681858781,1572864
1681858784,1572864
1681858787,1572864
1681858790,1572864
1681858793,1572864
1681858796,1572864
1681858799,1572864
1681858802,1572864
1681858805,1572864
1681858808,1572864
1681858811,1572864
1681858814,1572864
1681858817,1572864
1681858820,1572864
1681858823,1572864
1681858826,1572864
1681858829,1572864
1681858832,1572864
1681858835,1572864
1681858838,1572864
1681858841,1572864
1681858844,1572864
1681858847,1572864
1681858850,1572864
1681858853,1572864
1681858856,1572864
1681858859,1572864
1681858862,1572864
1681858865,1572864
1681858868,1572864
1681858871,1572864
1681858874,1572864
1681858877,1572864
1681858880,1572864
1681858883,1572864
1681858886,1572864
1681858889,1572864
1681858892,1572864
1681858895,1572864
1681858898,1572864
1681858901,1572864
1681858904,1572864
1681858907,1572864
1681858910,1572864
1681858913,1572864
1681858916,1572864
1681858919,1572864
1681858922,1572864
1681858925,1572864
1681858928,1572864
1681858931,1572864
1681858934,1572864
1681858937,1572864
1681858940,1572864
1681858943,1572864
1681858946,1572864
1681858949,1572864
1681858952,1572864
1681858955,1572864
1681858958,1572864
1681858961,1572864
1681858964,1572864
1681858967,1572864
1681858970,1572864
1681858973,1572864
1681858976,1572864
1681858979,1572864
1681858982,1572864
1681858985,1572864
1681858988,1572864
1681858991,1572864
1681858994,1572864
1681858997,1572864
1681859000,1572864
1681859003,1572864
1681859006,1572864
1681859009,1572864
1681859012,1572864
1681859015,1572864
1681859018,1572864
1681859021,1572864
1681859024,1572864
1681859027,1572864
1681859030,1572864
1681859033,1572864
1681859036,1572864
1681859039,1572864
1681859042,1572864
1681859045,1572864
1681859048,1572864
1681859051,1572864
1681859054,1572864
1681859057,1572864
1681859060,1572864
1681859063,1572864
1681859066,1572864
1681859069,1572864
1681859072,1572864
1681859075,1572864
1681859078,1572864
1681859081,1572864
1681859084,1572864
1681859087,1572864
1681859090,1572864
1681859093,1572864
1681859096,1572864
1681859099,1572864
1681859102,1572864
1681859105,1572864
1681859108,1572864
1681859111,1572864
1681859114,1572864
1681859117,1572864
1681859120,1572864
1681859123,1572864
1681859126,1572864
1681859129,1572864
1681859132,1572864
1681859135,1572864
1681859138,1572864
1681859141,1572864
1681859144,1572864
1681859147,1572864
1681859150,1572864
1681859153,1572864
1681859156,1572864
1681859159,1572864
1681859162,1572864
1681859165,1572864
