t,value
1681858238,9223372036854775807
1681858241,9223372036854775807
1681858244,9223372036854775807
1681858247,9223372036854775807
1681858250,9223372036854775807
1681858253,9223372036854775807
1681858256,9223372036854775807
1681858259,9223372036854775807
1681858262,9223372036854775807
1681858265,9223372036854775807
1681858268,9223372036854775807
1681858271,9223372036854775807
1681858274,9223372036852678655
1681858277,9223372036854775807
1681858280,9223372036854775807
1681858283,9223372036854775807
1681858286,9223372036854775807
1681858289,9223372036854775807
1681858292,9223372036854775807
1681858295,9223372036854775807
1681858298,9223372036854775807
1681858301,9223372036854775807
1681858304,9223372036854775807
1681858307,9223372036854775807
1681858310,9223372036854775807
1681858313,9223372036854775807
1681858316,9223372036854775807
1681858319,9223372036854775807
1681858322,9223372036854775807
1681858325,9223372036852678655
1681858328,9223372036854775807
1681858331,9223372036854775807
1681858334,9223372036854775807
1681858337,9223372036854775807
1681858340,9223372036854775807
1681858343,9223372036854775807
1681858346,9223372036854775807
1681858349,9223372036854775807
1681858352,9223372036854775807
1681858355,9223372036854775807
1681858358,9223372036854775807
1681858361,9223372036854775807
1681858364,9223372036854775807
1681858367,9223372036854775807
1681858370,9223372036854775807
1681858373,9223372036854775807
1681858376,9223372036854775807
1681858379,9223372036854775807
1681858382,9223372036854775807
1681858385,9223372036854775807
1681858388,9223372036854775807
1681858391,9223372036854775807
1681858394,9223372036854775807
1681858397,9223372036854775807
1681858400,9223372036854775807
1681858403,9223372036854775807
1681858406,9223372036854775807
1681858409,9223372036854775807
1681858412,9223372036854775807
1681858415,9223372036854775807
1681858418,9223372036854775807
1681858421,9223372036854775807
1681858424,9223372036854775807
1681858427,9223372036854775807
1681858430,9223372036854775807
1681858433,9223372036854775807
1681858436,9223372036854775807
1681858439,9223372036854775807
1681858442,9223372036854775807
1681858445,9223372036854775807
1681858448,9223372036854775807
1681858451,9223372036854775807
1681858454,9223372036854775807
1681858457,9223372036854775807
1681858460,9223372036854775807
1681858463,9223372036854775807
1681858466,9223372036854775807
1681858469,9223372036854775807
1681858472,9223372036854775807
1681858475,9223372036854775807
1681858478,9223372036854775807
1681858481,9223372036854775807
1681858484,9223372036854775807
1681858487,9223372036854775807
1681858490,9223372036854775807
1681858493,9223372036854775807
1681858496,9223372036854775807
1681858499,9223372036854775807
1681858502,9223372036854775807
1681858505,9223372036854775807
1681858508,9223372036854775807
1681858511,9223372036854775807
1681858514,9223372036854775807
1681858517,9223372036854775807
1681858520,9223372036854775807
1681858523,9223372036854775807
1681858526,9223372036854775807
1681858529,9223372036854775807
1681858532,9223372036854775807
1681858535,9223372036854775807
1681858538,9223372036854775807
1681858541,9223372036854775807
1681858544,9223372036854775807
1681858547,9223372036854775807
1681858550,9223372036854775807
1681858553,9223372036854775807
1681858556,9223372036854775807
1681858559,9223372036854775807
1681858562,9223372036854775807
1681858565,9223372036854775807
1681858568,9223372036854775807
1681858571,9223372036854775807
1681858574,9223372036854775807
1681858577,9223372036854775807
1681858580,9223372036854775807
1681858583,9223372036854775807
1681858586,9223372036854775807
1681858589,9223372036854775807
1681858592,9223372036854775807
1681858595,9223372036854775807
1681858598,9223372036854775807
1681858601,9223372036854775807
1681858604,9223372036854775807
1681858607,9223372036854775807
1681858610,9223372036854775807
1681858613,9223372036854775807
1681858616,9223372036854775807
1681858619,9223372036854775807
1681858622,9223372036854775807
1681858625,9223372036854775807
1681858628,9223372036854775807
1681858631,9223372036854775807
1681858634,9223372036854775807
1681858637,9223372036854775807
1681858640,9223372036854775807
1681858643,9223372036854775807
1681858646,9223372036854775807
1681858649,9223372036854775807
1681858652,9223372036854775807
1681858655,9223372036854775807
1681858658,9223372036854775807
1681858661,9223372036854775807
1681858664,9223372036854775807
1681858667,9223372036854775807
1681858670,9223372036854775807
1681858673,9223372036854775807
1681858676,9223372036854775807
1681858679,9223372036854775807
1681858682,9223372036854775807
1681858685,9223372036854775807
1681858688,9223372036854775807
1681858691,9223372036854775807
1681858694,9223372036854775807
1681858697,9223372036854775807
1681858700,9223372036854775807
1681858703,9223372036854775807
1681858706,9223372036854775807
1681858709,9223372036854775807
1681858712,9223372036854775807
1681858715,9223372036854775807
1681858718,9223372036854775807
1681858721,9223372036854775807
1681858724,9223372036854775807
1681858727,9223372036854775807
1681858730,9223372036854775807
1681858733,9223372036854775807
1681858736,9223372036854775807
1681858739,9223372036854775807
1681858742,9223372036854775807
1681858745,9223372036854775807
1681858748,9223372036854775807
1681858751,9223372036854775807
1681858754,9223372036854775807
1681858757,9223372036854775807
1681858760,9223372036854775807
1681858763,9223372036854775807
1681858766,9223372036854775807
1681858769,9223372036854775807
1681858772,9223372036854775807
1681858775,9223372036854775807
1681858778,9223372036854775807
1681858781,9223372036854775807
1681858784,9223372036854775807
1681858787,9223372036854775807
1681858790,9223372036854775807
1681858793,9223372036854775807
1681858796,9223372036854775807
1681858799,9223372036854775807
1681858802,9223372036854775807
1681858805,9223372036854775807
1681858808,9223372036854775807
1681858811,9223372036854775807
1681858814,9223372036854775807
1681858817,9223372036854775807
1681858820,9223372036854775807
1681858823,9223372036854775807
1681858826,9223372036854775807
1681858829,9223372036854775807
1681858832,9223372036854775807
1681858835,9223372036854775807
1681858838,9223372036854775807
1681858841,9223372036854775807
1681858844,9223372036854775807
1681858847,9223372036854775807
1681858850,9223372036854775807
1681858853,9223372036854775807
1681858856,9223372036854775807
1681858859,9223372036854775807
1681858862,9223372036854775807
1681858865,9223372036854775807
1681858868,9223372036854775807
1681858871,9223372036854775807
1681858874,9223372036854775807
1681858877,9223372036854775807
1681858880,9223372036854775807
1681858883,9223372036854775807
1681858886,9223372036854775807
1681858889,9223372036854775807
1681858892,9223372036854775807
1681858895,9223372036854775807
1681858898,9223372036854775807
1681858901,9223372036854775807
1681858904,9223372036854775807
1681858907,9223372036854775807
1681858910,9223372036854775807
1681858913,9223372036854775807
1681858916,9223372036854775807
1681858919,9223372036854775807
1681858922,9223372036854775807
1681858925,9223372036854775807
1681858928,9223372036854775807
1681858931,9223372036854775807
1681858934,9223372036854775807
1681858937,9223372036854775807
1681858940,9223372036854775807
1681858943,9223372036854775807
1681858946,9223372036854775807
1681858949,9223372036854775807
1681858952,9223372036854775807
1681858955,9223372036854775807
1681858958,9223372036854775807
1681858961,9223372036854775807
1681858964,9223372036854775807
1681858967,9223372036854775807
1681858970,9223372036854775807
1681858973,9223372036854775807
1681858976,9223372036854775807
1681858979,9223372036854775807
1681858982,9223372036854775807
1681858985,9223372036854775807
1681858988,9223372036854775807
1681858991,9223372036854775807
1681858994,9223372036854775807
1681858997,9223372036854775807
1681859000,9223372036854775807
1681859003,9223372036854775807
1681859006,9223372036854775807
1681859009,9223372036854775807
1681859012,9223372036854775807
1681859015,9223372036854775807
1681859018,9223372036854775807
1681859021,9223372036854775807
1681859024,9223372036854775807
1681859027,9223372036854775807
1681859030,9223372036854775807
1681859033,9223372036854775807
1681859036,9223372036854775807
1681859039,9223372036854775807
1681859042,9223372036854775807
1681859045,9223372036854775807
1681859048,9223372036854775807
1681859051,9223372036854775807
1681859054,9223372036854775807
1681859057,9223372036854775807
1681859060,9223372036854775807
1681859063,9223372036854775807
1681859066,9223372036854775807
1681859069,9223372036854775807
1681859072,9223372036854775807
1681859075,9223372036854775807
1681859078,9223372036854775807
1681859081,9223372036854775807
1681859084,9223372036854775807
1681859087,9223372036854775807
1681859090,9223372036854775807
1681859093,9223372036854775807
1681859096,9223372036854775807
1681859099,9223372036854775807
1681859102,9223372036854775807
1681859105,9223372036854775807
1681859108,9223372036854775807
1681859111,9223372036854775807
1681859114,9223372036854775807
1681859117,9223372036854775807
1681859120,9223372036854775807
1681859123,9223372036854775807
1681859126,9223372036854775807
1681859129,9223372036854775807
1681859132,9223372036854775807
1681859135,9223372036854775807
1681859138,9223372036854775807
1681859141,9223372036854775807
1681859144,9223372036854775807
1681859147,9223372036854775807
1681859150,9223372036854775807
1681859153,9223372036854775807
1681859156,9223372036854775807
1681859159,9223372036854775807
1681859162,9223372036854775807
1681859165,9223372036854775807
1681859168,9223372036854775807
1681859171,9223372036854775807
1681859174,9223372036854775807
1681859177,9223372036854775807
1681859180,9223372036854775807
1681859183,9223372036854775807
1681859186,9223372036854775807
1681859189,9223372036854775807
1681859192,9223372036854775807
1681859195,9223372036854775807
1681859198,9223372036854775807
1681859201,9223372036854775807
1681859204,9223372036854775807
1681859207,9223372036854775807
1681859210,9223372036854775807
1681859213,9223372036854775807
1681859216,9223372036854775807
1681859219,9223372036854775807
1681859222,9223372036854775807
1681859225,9223372036854775807
1681859228,9223372036854775807
1681859231,9223372036854775807
1681859234,9223372036854775807
1681859237,9223372036854775807
1681859240,9223372036854775807
1681859243,9223372036854775807
1681859246,9223372036854775807
1681859249,9223372036854775807
1681859252,9223372036854775807
1681859255,9223372036854775807
1681859258,9223372036854775807
1681859261,9223372036854775807
1681859264,9223372036854775807
1681859267,9223372036854775807
1681859270,9223372036854775807
