t,value
1681858238,810925
1681858241,810925
1681858244,810925
1681858247,810925
1681858250,810925
1681858253,810925
1681858256,810925
1681858259,810925
1681858262,810925
1681858265,810925
1681858268,810925
1681858271,810925
1681858274,810925
1681858277,810925
1681858280,810925
1681858283,810925
1681858286,810925
1681858289,810925
1681858292,810925
1681858295,810925
1681858298,810925
1681858301,810925
1681858304,810925
1681858307,810925
1681858310,810925
1681858313,810925
1681858316,810925
1681858319,810925
1681858322,810925
1681858325,810925
1681858328,810925
1681858331,810925
1681858334,810925
1681858337,810925
1681858340,810925
1681858343,810925
1681858346,810925
1681858349,810925
1681858352,810925
1681858355,810925
1681858358,810925
1681858361,810925
1681858364,810925
1681858367,810925
1681858370,810925
1681858373,810925
1681858376,810925
1681858379,810925
1681858382,810925
1681858385,810925
1681858388,810925
1681858391,810925
1681858394,810925
1681858397,810925
1681858400,810925
1681858403,810925
1681858406,810925
1681858409,810925
1681858412,810925
1681858415,810925
1681858418,810925
1681858421,810925
1681858424,810925
1681858427,810925
1681858430,810925
1681858433,810925
1681858436,810925
1681858439,810925
1681858442,810925
1681858445,810925
1681858448,810925
1681858451,810925
1681858454,810925
1681858457,810925
1681858460,810925
1681858463,810925
1681858466,810925
1681858469,810925
1681858472,810925
1681858475,810925
1681858478,810925
1681858481,810925
1681858484,810925
1681858487,810925
1681858490,810925
1681858493,810925
1681858496,810925
1681858499,810925
1681858502,810925
1681858505,810925
1681858508,810925
1681858511,810925
1681858514,810925
1681858517,810925
1681858520,810925
1681858523,810925
1681858526,810925
1681858529,810925
1681858532,810925
1681858535,810925
1681858538,810925
1681858541,810925
1681858544,810925
1681858547,810925
1681858550,810925
1681858553,810925
1681858556,810925
1681858559,810925
1681858562,810925
1681858565,810925
1681858568,810925
1681858571,810925
1681858574,810925
1681858577,810925
1681858580,810925
1681858583,810925
1681858586,810925
1681858589,810925
1681858592,810925
1681858595,810925
1681858598,810925
1681858601,810925
1681858604,810925
1681858607,810925
1681858610,810925
1681858613,810925
1681858616,810925
1681858619,810925
1681858622,810925
1681858625,810925
1681858628,810925
1681858631,810925
1681858634,810925
1681858637,810925
1681858640,810925
1681858643,810925
1681858646,810925
1681858649,810925
1681858652,810925
1681858655,810925
1681858658,810925
1681858661,810925
1681858664,810925
1681858667,810925
1681858670,810925
1681858673,810925
1681858676,810925
1681858679,810925
1681858682,810925
1681858685,810925
1681858688,810925
1681858691,810925
1681858694,810925
1681858697,810925
1681858700,810925
1681858703,810925
1681858706,810925
1681858709,810925
1681858712,810925
1681858715,810925
1681858718,810925
1681858721,810925
1681858724,810925
1681858727,810925
1681858730,810925
1681858733,810925
1681858736,810925
1681858739,810925
1681858742,810925
1681858745,810925
1681858748,810925
1681858751,810925
1681858754,810925
1681858757,810925
1681858760,810925
1681858763,810925
1681858766,810925
1681858769,810925
1681858772,810925
1681858775,810925
1681858778,810925
1681858781,810925
1681858784,810925
1681858787,810925
1681858790,810925
1681858793,810925
1681858796,810925
1681858799,810925
1681858802,810925
1681858805,810925
1681858808,810925
1681858811,810925
1681858814,810925
1681858817,810925
1681858820,810925
1681858823,810925
1681858826,810925
1681858829,810925
1681858832,810925
1681858835,819814
1681858838,819814
1681858841,819814
1681858844,819814
1681858847,819814
1681858850,819814
1681858853,819814
1681858856,819814
1681858859,819814
1681858862,819814
1681858865,819814
1681858868,819814
1681858871,819814
1681858874,819814
1681858877,819814
1681858880,819814
1681858883,819814
1681858886,819814
1681858889,819814
1681858892,819814
1681858895,819814
1681858898,819814
1681858901,819814
1681858904,819814
1681858907,819814
1681858910,819814
1681858913,819814
1681858916,819814
1681858919,819814
1681858922,819814
1681858925,819814
1681858928,819814
1681858931,819814
1681858934,819814
1681858937,819814
1681858940,819814
1681858943,819814
1681858946,819814
1681858949,819814
1681858952,819814
1681858955,819814
1681858958,819814
1681858961,819814
1681858964,819814
1681858967,819814
1681858970,819814
1681858973,819814
1681858976,819814
1681858979,819814
1681858982,819814
1681858985,819814
1681858988,819814
1681858991,819814
1681858994,819814
1681858997,819814
1681859000,819814
1681859003,819814
1681859006,819814
1681859009,819814
1681859012,819814
1681859015,819814
1681859018,819814
1681859021,819814
1681859024,819814
1681859027,819814
1681859030,819814
1681859033,819814
1681859036,819814
1681859039,819814
1681859042,819814
1681859045,819814
1681859048,819814
1681859051,819814
1681859054,819814
1681859057,819814
1681859060,819814
1681859063,819814
1681859066,819814
1681859069,819814
1681859072,819814
1681859075,819814
1681859078,819814
1681859081,819814
1681859084,819814
1681859087,819814
1681859090,819814
1681859093,819814
1681859096,819814
1681859099,819814
1681859102,819814
1681859105,819814
1681859108,819814
1681859111,819814
1681859114,819814
1681859117,819814
1681859120,819814
1681859123,819814
1681859126,819814
1681859129,819814
1681859132,819814
1681859135,819814
1681859138,819814
1681859141,819814
1681859144,819814
1681859147,819814
1681859150,819814
1681859153,819814
1681859156,819814
1681859159,819814
1681859162,819814
1681859165,819814
1681859168,819814
1681859171,819814
1681859174,819814
1681859177,819814
1681859180,819814
1681859183,819814
1681859186,819814
1681859189,819814
1681859192,819814
1681859195,819814
1681859198,819814
1681859201,819814
1681859204,819814
1681859207,819814
1681859210,819814
1681859213,819814
1681859216,819814
1681859219,819814
1681859222,819814
1681859225,819814
1681859228,819814
1681859231,819814
1681859234,819814
1681859237,819814
1681859240,819814
1681859243,819814
1681859246,819814
1681859249,819814
1681859252,819814
1681859255,819814
1681859258,819814
1681859261,819814
1681859264,819814
1681859267,819814
1681859270,819814
1681859273,819814
1681859276,819814
1681859279,819814
1681859282,819814
1681859285,819814
1681859288,819814
1681859291,819814
1681859294,819814
1681859297,819814
1681859300,819814
1681859303,819814
1681859306,819814
1681859309,819814
1681859312,819814
1681859315,819814
1681859318,819814
1681859321,819814
1681859324,819814
1681859327,819814
1681859330,819814
1681859333,819814
1681859336,819814
1681859339,819814
1681859342,819814
1681859345,819814
1681859348,819814
1681859351,819814
1681859354,819814
1681859357,819814
1681859360,819814
1681859363,819814
1681859366,819814
1681859369,819814
1681859372,819814
1681859375,819814
1681859378,819814
1681859381,819814
1681859384,819814
1681859387,819814
1681859390,819814
1681859393,819814
1681859396,819814
1681859399,819814
1681859402,819814
1681859405,819814
1681859408,819814
1681859411,819814
1681859414,819814
1681859417,819814
1681859420,819814
1681859423,819814
1681859426,819814
1681859429,819814
1681859432,819814
1681859435,819814
1681859438,819814
1681859441,819814
1681859444,819814
1681859447,819814
1681859450,819814
1681859453,819814
1681859456,819814
1681859459,819814
1681859462,819814
1681859465,819814
1681859468,819814
1681859471,819814
1681859474,819814
1681859477,819814
1681859480,819814
1681859483,819814
1681859486,819814
1681859489,819814
1681859492,819814
1681859495,819814
1681859498,819814
1681859501,819814
1681859504,819814
1681859507,819814
1681859510,819814
1681859513,819814
1681859516,819814
1681859519,819814
1681859522,819814
1681859525,819814
1681859528,819814
1681859531,819814
1681859534,819814
1681859537,819814
1681859540,819814
1681859543,819814
1681859546,819814
1681859549,819814
1681859552,819814
1681859555,819814
1681859558,819814
1681859561,819814
1681859564,819814
1681859567,819814
1681859570,819814
1681859573,819814
1681859576,819814
1681859579,819814
1681859582,819814
1681859585,819814
1681859588,819814
1681859591,819814
1681859594,819814
1681859597,819814
1681859600,819814
1681859603,819814
1681859606,819814
1681859609,819814
1681859612,819814
1681859615,819814
1681859618,819814
1681859621,819814
1681859624,819814
1681859627,819814
1681859630,819814
1681859633,819814
1681859636,819814
1681859639,819814
1681859642,819814
1681859645,819814
1681859648,819814
1681859651,819814
1681859654,819814
1681859657,819814
1681859660,819814
1681859663,819814
1681859666,819814
1681859669,819814
1681859672,819814
1681859675,819814
1681859678,819814
1681859681,819814
1681859684,819814
1681859687,819814
1681859690,819814
1681859693,819814
1681859696,819814
1681859699,819814
1681859702,819814
1681859705,819814
1681859708,819814
1681859711,819814
1681859714,819814
1681859717,819814
1681859720,819814
1681859723,819814
1681859726,819814
1681859729,819814
1681859732,819814
1681859735,819814
1681859738,819814
1681859741,819814
1681859744,819814
1681859747,819814
1681859750,819814
1681859753,819814
1681859756,819814
1681859759,819814
1681859762,819814
1681859765,819814
1681859768,819814
1681859771,819814
1681859774,819814
1681859777,819814
1681859780,819814
1681859783,819814
1681859786,819814
1681859789,819814
1681859792,819814
1681859795,819814
1681859798,819814
1681859801,819814
1681859804,819814
1681859807,819814
1681859810,819814
1681859813,819814
1681859816,819814
1681859819,819814
1681859822,819814
1681859825,819814
1681859828,819814
1681859831,819814
1681859834,819814
1681859837,819814
1681859840,819814
1681859843,819814
1681859846,819814
1681859849,819814
1681859852,819814
1681859855,819814
1681859858,819814
1681859861,819814
1681859864,819814
1681859867,819814
1681859870,819814
1681859873,819814
1681859876,819814
1681859879,819814
1681859882,819814
1681859885,819814
1681859888,819814
1681859891,819814
1681859894,819814
1681859897,819814
1681859900,819814
1681859903,819814
1681859906,819814
1681859909,819814
1681859912,819814
1681859915,819814
1681859918,819814
1681859921,819814
1681859924,819814
1681859927,819814
1681859930,819814
1681859933,819814
1681859936,819814
1681859939,819814
1681859942,819814
1681859945,819814
1681859948,819814
1681859951,819814
1681859954,819814
1681859957,819814
1681859960,819814
1681859963,819814
1681859966,819814
1681859969,819814
1681859972,819814
1681859975,819814
1681859978,819814
1681859981,819814
1681859984,819814
1681859987,819814
1681859990,819814
1681859993,819814
1681859996,819814
1681859999,819814
1681860002,819814
1681860005,819814
1681860008,819814
1681860011,819814
1681860014,819814
1681860017,819814
1681860020,819814
1681860023,819814
1681860026,819814
1681860029,819814
1681860032,819814
1681860035,819814
1681860038,819814
1681860041,819814
1681860044,819814
1681860047,819814
1681860050,819814
1681860053,819814
1681860056,819814
1681860059,819814
1681860062,819814
1681860065,819814
1681860068,819814
1681860071,819814
1681860074,819814
1681860077,819814
1681860080,819814
1681860083,819814
1681860086,819814
1681860089,819814
1681860092,819814
1681860095,819814
1681860098,819814
1681860101,819814
1681860104,819814
1681860107,819814
1681860110,819814
1681860113,819814
1681860116,819814
1681860119,819814
