t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858241,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858244,6,0.644862,0.000000,0.000000,0.000000,events/second
1681858247,6,0.478709,0.000000,0.000000,0.000000,events/second
1681858250,6,0.392434,0.000000,0.000000,0.000000,events/second
1681858253,6,0.327794,0.000000,0.000000,0.000000,events/second
1681858256,6,0.281738,0.000000,0.000000,0.000000,events/second
1681858259,6,0.238542,0.000000,0.000000,0.000000,events/second
1681858262,6,0.219308,0.000000,0.000000,0.000000,events/second
1681858265,6,0.197948,0.000000,0.000000,0.000000,events/second
1681858268,6,0.180341,0.000000,0.000000,0.000000,events/second
1681858271,72,1.983864,0.000000,0.000000,0.000000,events/second
1681858274,325,8.274499,0.000000,0.000000,0.000000,events/second
1681858277,625,14.779322,0.000000,0.000000,0.000000,events/second
1681858280,972,21.442096,0.000000,0.000000,0.000000,events/second
1681858283,1321,27.297943,0.000000,0.000000,0.000000,events/second
1681858286,1712,33.383334,0.000000,0.000000,0.000000,events/second
1681858289,2099,38.676475,0.000000,0.000000,0.000000,events/second
1681858292,2504,43.702487,0.000000,0.000000,0.000000,events/second
1681858295,2715,44.985788,0.000000,0.000000,0.000000,events/second
1681858298,2919,46.127710,0.000000,0.000000,0.000000,events/second
1681858301,3198,48.232760,0.000000,0.000000,0.000000,events/second
1681858304,3512,50.687461,0.000000,0.000000,0.000000,events/second
1681858307,3829,52.971538,0.000000,0.000000,0.000000,events/second
1681858310,4161,55.278182,0.000000,0.000000,0.000000,events/second
1681858313,4471,57.105580,0.000000,0.000000,0.000000,events/second
1681858316,4746,58.394329,0.000000,0.000000,0.000000,events/second
1681858319,5034,59.725163,0.000000,0.000000,0.000000,events/second
1681858322,5302,60.717622,0.000000,0.000000,0.000000,events/second
1681858325,5570,61.665969,0.000000,0.000000,0.000000,events/second
1681858328,5842,62.607952,0.000000,0.000000,0.000000,events/second
1681858331,5907,61.370108,0.000000,0.000000,0.000000,events/second
1681858334,5907,59.514243,0.000000,0.000000,0.000000,events/second
1681858337,5907,57.770405,0.000000,0.000000,0.000000,events/second
1681858340,5907,56.122279,0.000000,0.000000,0.000000,events/second
1681858343,5907,54.561036,0.000000,0.000000,0.000000,events/second
1681858346,5907,53.092325,0.000000,0.000000,0.000000,events/second
1681858349,5907,51.701504,0.000000,0.000000,0.000000,events/second
