t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858241,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858244,6,0.644791,0.000000,0.000000,0.000000,events/second
1681858247,6,0.478680,0.000000,0.000000,0.000000,events/second
1681858250,6,0.392419,0.000000,0.000000,0.000000,events/second
1681858253,6,0.327784,0.000000,0.000000,0.000000,events/second
1681858256,6,0.281729,0.000000,0.000000,0.000000,events/second
1681858259,6,0.238521,0.000000,0.000000,0.000000,events/second
1681858262,6,0.219302,0.000000,0.000000,0.000000,events/second
1681858265,6,0.197945,0.000000,0.000000,0.000000,events/second
1681858268,6,0.180339,0.000000,0.000000,0.000000,events/second
1681858271,6,0.165320,0.000000,0.000000,0.000000,events/second
1681858274,6,0.152758,0.000000,0.000000,0.000000,events/second
1681858277,6,0.141880,0.000000,0.000000,0.000000,events/second
1681858280,6,0.132357,0.000000,0.000000,0.000000,events/second
1681858283,6,0.123967,0.000000,0.000000,0.000000,events/second
1681858286,6,0.116997,0.000000,0.000000,0.000000,events/second
1681858289,6,0.110556,0.000000,0.000000,0.000000,events/second
1681858292,6,0.104718,0.000000,0.000000,0.000000,events/second
1681858295,6,0.099415,0.000000,0.000000,0.000000,events/second
1681858298,115,1.817272,0.000000,0.000000,0.000000,events/second
1681858301,348,5.248557,0.000000,0.000000,0.000000,events/second
1681858304,635,9.164668,0.000000,0.000000,0.000000,events/second
1681858307,898,12.423111,0.000000,0.000000,0.000000,events/second
1681858310,1142,15.171189,0.000000,0.000000,0.000000,events/second
1681858313,1331,17.000010,0.000000,0.000000,0.000000,events/second
1681858316,1464,18.012821,0.000000,0.000000,0.000000,events/second
1681858319,1607,19.065950,0.000000,0.000000,0.000000,events/second
1681858322,1769,20.258195,0.000000,0.000000,0.000000,events/second
1681858325,1921,21.267453,0.000000,0.000000,0.000000,events/second
1681858328,2025,21.701563,0.000000,0.000000,0.000000,events/second
1681858331,2065,21.454025,0.000000,0.000000,0.000000,events/second
1681858334,2065,20.805250,0.000000,0.000000,0.000000,events/second
1681858337,2065,20.195621,0.000000,0.000000,0.000000,events/second
1681858340,2065,19.619477,0.000000,0.000000,0.000000,events/second
1681858343,2065,19.073690,0.000000,0.000000,0.000000,events/second
1681858346,2065,18.560253,0.000000,0.000000,0.000000,events/second
1681858349,2065,18.074034,0.000000,0.000000,0.000000,events/second
