t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858241,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858244,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858247,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858250,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858253,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858256,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858259,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858262,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858265,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858268,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858271,66,1.818495,0.000000,0.000000,0.000000,events/second
1681858274,319,8.121530,0.000000,0.000000,0.000000,events/second
1681858277,619,14.637174,0.000000,0.000000,0.000000,events/second
1681858280,967,21.331363,0.000000,0.000000,0.000000,events/second
1681858283,1316,27.189860,0.000000,0.000000,0.000000,events/second
1681858286,1706,33.265733,0.000000,0.000000,0.000000,events/second
1681858289,2093,38.565286,0.000000,0.000000,0.000000,events/second
1681858292,2498,43.597226,0.000000,0.000000,0.000000,events/second
1681858295,2709,44.885689,0.000000,0.000000,0.000000,events/second
1681858298,2805,44.325189,0.000000,0.000000,0.000000,events/second
1681858301,2850,42.983565,0.000000,0.000000,0.000000,events/second
1681858304,2877,41.522143,0.000000,0.000000,0.000000,events/second
1681858307,2931,40.547759,0.000000,0.000000,0.000000,events/second
1681858310,3019,40.106445,0.000000,0.000000,0.000000,events/second
1681858313,3140,40.104953,0.000000,0.000000,0.000000,events/second
1681858316,3282,40.380959,0.000000,0.000000,0.000000,events/second
1681858319,3427,40.658796,0.000000,0.000000,0.000000,events/second
1681858322,3533,40.458929,0.000000,0.000000,0.000000,events/second
1681858325,3649,40.397958,0.000000,0.000000,0.000000,events/second
1681858328,3817,40.905908,0.000000,0.000000,0.000000,events/second
1681858331,3842,39.915808,0.000000,0.000000,0.000000,events/second
1681858334,3842,38.708752,0.000000,0.000000,0.000000,events/second
1681858337,3842,37.574522,0.000000,0.000000,0.000000,events/second
1681858340,3842,36.502597,0.000000,0.000000,0.000000,events/second
1681858343,3842,35.487143,0.000000,0.000000,0.000000,events/second
1681858346,3842,34.531884,0.000000,0.000000,0.000000,events/second
1681858349,3842,33.627263,0.000000,0.000000,0.000000,events/second
