t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,1,0.278914,0.000000,0.000000,0.000000,events/second
1681858241,1,0.156839,0.000000,0.000000,0.000000,events/second
1681858244,1,0.107418,0.000000,0.000000,0.000000,events/second
1681858247,1,0.079769,0.000000,0.000000,0.000000,events/second
1681858250,1,0.065398,0.000000,0.000000,0.000000,events/second
1681858253,1,0.054627,0.000000,0.000000,0.000000,events/second
1681858256,1,0.046952,0.000000,0.000000,0.000000,events/second
1681858259,1,0.039749,0.000000,0.000000,0.000000,events/second
1681858262,1,0.036549,0.000000,0.000000,0.000000,events/second
1681858265,1,0.032990,0.000000,0.000000,0.000000,events/second
1681858268,1,0.030056,0.000000,0.000000,0.000000,events/second
1681858271,67,1.846026,0.000000,0.000000,0.000000,events/second
1681858274,320,8.146884,0.000000,0.000000,0.000000,events/second
1681858277,620,14.660706,0.000000,0.000000,0.000000,events/second
1681858280,968,21.353172,0.000000,0.000000,0.000000,events/second
1681858283,1317,27.210159,0.000000,0.000000,0.000000,events/second
1681858286,1707,33.284941,0.000000,0.000000,0.000000,events/second
1681858289,2094,38.583341,0.000000,0.000000,0.000000,events/second
1681858292,2499,43.614380,0.000000,0.000000,0.000000,events/second
1681858295,2710,44.901730,0.000000,0.000000,0.000000,events/second
1681858298,2806,44.340609,0.000000,0.000000,0.000000,events/second
1681858301,2851,42.998365,0.000000,0.000000,0.000000,events/second
1681858304,2878,41.536261,0.000000,0.000000,0.000000,events/second
1681858307,2932,40.561331,0.000000,0.000000,0.000000,events/second
1681858310,3020,40.119529,0.000000,0.000000,0.000000,events/second
1681858313,3141,40.117468,0.000000,0.000000,0.000000,events/second
1681858316,3283,40.393070,0.000000,0.000000,0.000000,events/second
1681858319,3428,40.670410,0.000000,0.000000,0.000000,events/second
1681858322,3534,40.469802,0.000000,0.000000,0.000000,events/second
1681858325,3650,40.408755,0.000000,0.000000,0.000000,events/second
1681858328,3818,40.916421,0.000000,0.000000,0.000000,events/second
1681858331,3843,39.926094,0.000000,0.000000,0.000000,events/second
1681858334,3843,38.718738,0.000000,0.000000,0.000000,events/second
1681858337,3843,37.584217,0.000000,0.000000,0.000000,events/second
1681858340,3843,36.512018,0.000000,0.000000,0.000000,events/second
1681858343,3843,35.496305,0.000000,0.000000,0.000000,events/second
1681858346,3843,34.540802,0.000000,0.000000,0.000000,events/second
1681858349,3843,33.635950,0.000000,0.000000,0.000000,events/second
1681858352,3843,32.769874,0.000000,0.000000,0.000000,events/second
1681858355,3843,31.955456,0.000000,0.000000,0.000000,events/second
1681858358,3843,31.180912,0.000000,0.000000,0.000000,events/second
1681858361,3843,30.436694,0.000000,0.000000,0.000000,events/second
1681858364,3843,29.733164,0.000000,0.000000,0.000000,events/second
1681858367,3843,29.058861,0.000000,0.000000,0.000000,events/second
1681858370,3843,28.413252,0.000000,0.000000,0.000000,events/second
1681858373,3843,27.780155,0.000000,0.000000,0.000000,events/second
1681858376,3843,27.203947,0.000000,0.000000,0.000000,events/second
1681858379,3843,26.635810,0.000000,0.000000,0.000000,events/second
1681858382,3843,26.096052,0.000000,0.000000,0.000000,events/second
1681858385,3843,25.576076,0.000000,0.000000,0.000000,events/second
1681858388,3843,25.070872,0.000000,0.000000,0.000000,events/second
1681858391,3843,24.593249,0.000000,0.000000,0.000000,events/second
1681858394,3843,24.130546,0.000000,0.000000,0.000000,events/second
1681858397,3843,23.685457,0.000000,0.000000,0.000000,events/second
1681858400,3843,23.252815,0.000000,0.000000,0.000000,events/second
1681858403,3843,22.839887,0.000000,0.000000,0.000000,events/second
1681858406,3843,22.439304,0.000000,0.000000,0.000000,events/second
1681858409,3843,22.054353,0.000000,0.000000,0.000000,events/second
1681858412,3843,21.680259,0.000000,0.000000,0.000000,events/second
1681858415,3843,21.319463,0.000000,0.000000,0.000000,events/second
1681858418,3843,20.970890,0.000000,0.000000,0.000000,events/second
1681858421,3843,20.632525,0.000000,0.000000,0.000000,events/second
1681858424,3843,20.306587,0.000000,0.000000,0.000000,events/second
1681858427,3843,19.988224,0.000000,0.000000,0.000000,events/second
1681858430,3843,19.682209,0.000000,0.000000,0.000000,events/second
1681858433,3843,19.383978,0.000000,0.000000,0.000000,events/second
1681858436,3843,19.094514,0.000000,0.000000,0.000000,events/second
1681858439,3843,18.815240,0.000000,0.000000,0.000000,events/second
1681858442,3843,18.542159,0.000000,0.000000,0.000000,events/second
1681858445,3843,18.278337,0.000000,0.000000,0.000000,events/second
1681858448,3843,18.019858,0.000000,0.000000,0.000000,events/second
1681858451,3843,17.770251,0.000000,0.000000,0.000000,events/second
1681858454,3843,17.527227,0.000000,0.000000,0.000000,events/second
1681858457,3843,17.291107,0.000000,0.000000,0.000000,events/second
1681858460,3843,17.060753,0.000000,0.000000,0.000000,events/second
1681858463,3843,16.836838,0.000000,0.000000,0.000000,events/second
1681858466,3843,16.618059,0.000000,0.000000,0.000000,events/second
1681858469,3843,16.405021,0.000000,0.000000,0.000000,events/second
1681858472,3843,16.197989,0.000000,0.000000,0.000000,events/second
1681858475,3843,15.995316,0.000000,0.000000,0.000000,events/second
1681858478,3843,15.798420,0.000000,0.000000,0.000000,events/second
1681858481,3843,15.605939,0.000000,0.000000,0.000000,events/second
1681858484,3843,15.418173,0.000000,0.000000,0.000000,events/second
1681858487,3843,15.234635,0.000000,0.000000,0.000000,events/second
1681858490,3843,15.055969,0.000000,0.000000,0.000000,events/second
1681858493,3843,14.881194,0.000000,0.000000,0.000000,events/second
1681858496,3843,14.710328,0.000000,0.000000,0.000000,events/second
1681858499,3843,14.542652,0.000000,0.000000,0.000000,events/second
1681858502,3843,14.379866,0.000000,0.000000,0.000000,events/second
1681858505,3843,14.219731,0.000000,0.000000,0.000000,events/second
1681858508,3843,14.064261,0.000000,0.000000,0.000000,events/second
1681858511,3843,13.911262,0.000000,0.000000,0.000000,events/second
1681858514,3843,13.761574,0.000000,0.000000,0.000000,events/second
1681858517,3843,13.615466,0.000000,0.000000,0.000000,events/second
1681858520,3843,13.472318,0.000000,0.000000,0.000000,events/second
1681858523,3843,13.331935,0.000000,0.000000,0.000000,events/second
1681858526,3843,13.194715,0.000000,0.000000,0.000000,events/second
1681858529,3843,13.060360,0.000000,0.000000,0.000000,events/second
1681858532,3843,12.928324,0.000000,0.000000,0.000000,events/second
1681858535,3843,12.799091,0.000000,0.000000,0.000000,events/second
1681858538,3843,12.672873,0.000000,0.000000,0.000000,events/second
1681858541,3843,12.548208,0.000000,0.000000,0.000000,events/second
1681858544,3843,12.426179,0.000000,0.000000,0.000000,events/second
1681858547,3843,12.307387,0.000000,0.000000,0.000000,events/second
1681858550,3843,12.190050,0.000000,0.000000,0.000000,events/second
1681858553,3843,12.075108,0.000000,0.000000,0.000000,events/second
1681858556,3843,11.962488,0.000000,0.000000,0.000000,events/second
1681858559,3843,11.850879,0.000000,0.000000,0.000000,events/second
1681858562,3843,11.743172,0.000000,0.000000,0.000000,events/second
1681858565,3843,11.636229,0.000000,0.000000,0.000000,events/second
1681858568,3843,11.531510,0.000000,0.000000,0.000000,events/second
1681858571,3843,11.428658,0.000000,0.000000,0.000000,events/second
1681858574,3843,11.327932,0.000000,0.000000,0.000000,events/second
1681858577,3843,11.228421,0.000000,0.000000,0.000000,events/second
1681858580,3843,11.130706,0.000000,0.000000,0.000000,events/second
1681858583,3843,11.035196,0.000000,0.000000,0.000000,events/second
1681858586,3843,10.940974,0.000000,0.000000,0.000000,events/second
1681858589,3843,10.847993,0.000000,0.000000,0.000000,events/second
1681858592,3843,10.757003,0.000000,0.000000,0.000000,events/second
1681858595,3843,10.667693,0.000000,0.000000,0.000000,events/second
1681858598,3843,10.579656,0.000000,0.000000,0.000000,events/second
1681858601,3843,10.491955,0.000000,0.000000,0.000000,events/second
1681858604,3843,10.407556,0.000000,0.000000,0.000000,events/second
1681858607,3843,10.323505,0.000000,0.000000,0.000000,events/second
1681858610,3843,10.241083,0.000000,0.000000,0.000000,events/second
1681858613,3843,10.159991,0.000000,0.000000,0.000000,events/second
1681858616,3843,10.079891,0.000000,0.000000,0.000000,events/second
1681858619,3843,10.001194,0.000000,0.000000,0.000000,events/second
1681858622,3843,9.923822,0.000000,0.000000,0.000000,events/second
1681858625,3843,9.847461,0.000000,0.000000,0.000000,events/second
1681858628,3843,9.772184,0.000000,0.000000,0.000000,events/second
1681858631,3843,9.698447,0.000000,0.000000,0.000000,events/second
1681858634,3843,9.625507,0.000000,0.000000,0.000000,events/second
1681858637,3843,9.553768,0.000000,0.000000,0.000000,events/second
1681858640,3843,9.483047,0.000000,0.000000,0.000000,events/second
1681858643,3843,9.413384,0.000000,0.000000,0.000000,events/second
1681858646,3843,9.344691,0.000000,0.000000,0.000000,events/second
1681858649,3843,9.277094,0.000000,0.000000,0.000000,events/second
1681858652,3843,9.210202,0.000000,0.000000,0.000000,events/second
1681858655,3843,9.144595,0.000000,0.000000,0.000000,events/second
1681858658,3843,9.079628,0.000000,0.000000,0.000000,events/second
1681858661,3843,9.015779,0.000000,0.000000,0.000000,events/second
1681858664,3843,8.952736,0.000000,0.000000,0.000000,events/second
1681858667,3843,8.890451,0.000000,0.000000,0.000000,events/second
1681858670,3843,8.829403,0.000000,0.000000,0.000000,events/second
1681858673,3843,8.768965,0.000000,0.000000,0.000000,events/second
1681858676,3843,8.709311,0.000000,0.000000,0.000000,events/second
1681858679,3843,8.650587,0.000000,0.000000,0.000000,events/second
1681858682,3843,8.592242,0.000000,0.000000,0.000000,events/second
1681858685,3843,8.535228,0.000000,0.000000,0.000000,events/second
1681858688,3843,8.478495,0.000000,0.000000,0.000000,events/second
1681858691,3843,8.422869,0.000000,0.000000,0.000000,events/second
1681858694,3843,8.368034,0.000000,0.000000,0.000000,events/second
1681858697,3843,8.313605,0.000000,0.000000,0.000000,events/second
1681858700,3843,8.260021,0.000000,0.000000,0.000000,events/second
1681858703,3843,8.207103,0.000000,0.000000,0.000000,events/second
1681858706,3843,8.154895,0.000000,0.000000,0.000000,events/second
1681858709,3843,8.103371,0.000000,0.000000,0.000000,events/second
1681858712,3843,8.052419,0.000000,0.000000,0.000000,events/second
1681858715,3843,8.001975,0.000000,0.000000,0.000000,events/second
1681858718,3843,7.952378,0.000000,0.000000,0.000000,events/second
1681858721,3843,7.903263,0.000000,0.000000,0.000000,events/second
1681858724,3843,7.854884,0.000000,0.000000,0.000000,events/second
1681858727,3843,7.806844,0.000000,0.000000,0.000000,events/second
1681858730,3843,7.759746,0.000000,0.000000,0.000000,events/second
1681858733,3843,7.712941,0.000000,0.000000,0.000000,events/second
