t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858241,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858244,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858247,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858250,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858253,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858256,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858259,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858262,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858265,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858268,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858271,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858274,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858277,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858280,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858283,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858286,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858289,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858292,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858295,200,3.313678,0.000000,0.000000,0.000000,events/second
1681858298,200,3.159861,0.000000,0.000000,0.000000,events/second
1681858301,200,3.016275,0.000000,0.000000,0.000000,events/second
1681858304,200,2.886390,0.000000,0.000000,0.000000,events/second
1681858307,200,2.766736,0.000000,0.000000,0.000000,events/second
1681858310,200,2.656862,0.000000,0.000000,0.000000,events/second
1681858313,200,2.554374,0.000000,0.000000,0.000000,events/second
1681858316,200,2.460684,0.000000,0.000000,0.000000,events/second
1681858319,200,2.372781,0.000000,0.000000,0.000000,events/second
1681858322,200,2.290260,0.000000,0.000000,0.000000,events/second
1681858325,200,2.214132,0.000000,0.000000,0.000000,events/second
1681858328,200,2.143306,0.000000,0.000000,0.000000,events/second
1681858331,200,2.077836,0.000000,0.000000,0.000000,events/second
1681858334,200,2.015006,0.000000,0.000000,0.000000,events/second
1681858337,200,1.955964,0.000000,0.000000,0.000000,events/second
1681858340,200,1.900165,0.000000,0.000000,0.000000,events/second
1681858343,200,1.847306,0.000000,0.000000,0.000000,events/second
1681858346,200,1.797580,0.000000,0.000000,0.000000,events/second
1681858349,200,1.750490,0.000000,0.000000,0.000000,events/second
1681858352,200,1.705417,0.000000,0.000000,0.000000,events/second
