t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858241,1,0.156752,0.000000,0.000000,0.000000,events/second
1681858244,6,0.643652,0.000000,0.000000,0.000000,events/second
1681858247,6,0.478301,0.000000,0.000000,0.000000,events/second
1681858250,6,0.392304,0.000000,0.000000,0.000000,events/second
1681858253,6,0.327703,0.000000,0.000000,0.000000,events/second
1681858256,6,0.281666,0.000000,0.000000,0.000000,events/second
1681858259,6,0.238434,0.000000,0.000000,0.000000,events/second
1681858262,6,0.219262,0.000000,0.000000,0.000000,events/second
1681858265,6,0.197923,0.000000,0.000000,0.000000,events/second
1681858268,6,0.180322,0.000000,0.000000,0.000000,events/second
1681858271,73,2.011140,0.000000,0.000000,0.000000,events/second
1681858274,326,8.298883,0.000000,0.000000,0.000000,events/second
1681858277,626,14.801802,0.000000,0.000000,0.000000,events/second
1681858280,974,21.483888,0.000000,0.000000,0.000000,events/second
1681858283,1324,27.345757,0.000000,0.000000,0.000000,events/second
1681858286,1713,33.400125,0.000000,0.000000,0.000000,events/second
1681858289,2100,38.690915,0.000000,0.000000,0.000000,events/second
1681858292,2505,43.717513,0.000000,0.000000,0.000000,events/second
1681858295,2916,48.312572,0.000000,0.000000,0.000000,events/second
1681858298,3121,49.308358,0.000000,0.000000,0.000000,events/second
1681858301,3399,51.260914,0.000000,0.000000,0.000000,events/second
1681858304,3713,53.584977,0.000000,0.000000,0.000000,events/second
1681858307,4030,55.749052,0.000000,0.000000,0.000000,events/second
1681858310,4362,57.945410,0.000000,0.000000,0.000000,events/second
1681858313,4672,59.669479,0.000000,0.000000,0.000000,events/second
1681858316,4947,60.864112,0.000000,0.000000,0.000000,events/second
1681858319,5235,62.106818,0.000000,0.000000,0.000000,events/second
1681858322,5503,63.015634,0.000000,0.000000,0.000000,events/second
1681858325,5771,63.888154,0.000000,0.000000,0.000000,events/second
1681858328,6043,64.759410,0.000000,0.000000,0.000000,events/second
1681858331,6107,63.446313,0.000000,0.000000,0.000000,events/second
1681858334,6107,61.527895,0.000000,0.000000,0.000000,events/second
1681858337,6107,59.725026,0.000000,0.000000,0.000000,events/second
1681858340,6107,58.021253,0.000000,0.000000,0.000000,events/second
1681858343,6107,56.407207,0.000000,0.000000,0.000000,events/second
1681858346,6107,54.888808,0.000000,0.000000,0.000000,events/second
1681858349,6107,53.450974,0.000000,0.000000,0.000000,events/second
1681858352,6107,52.074623,0.000000,0.000000,0.000000,events/second
1681858355,6107,50.780514,0.000000,0.000000,0.000000,events/second
1681858358,6107,49.549696,0.000000,0.000000,0.000000,events/second
1681858361,6107,48.366717,0.000000,0.000000,0.000000,events/second
1681858364,6107,47.249081,0.000000,0.000000,0.000000,events/second
