t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,49152,14470.072456,0.000000,0.000000,0.000000,events/second
1681858241,49152,7979.407440,0.000000,0.000000,0.000000,events/second
1681858244,49152,5398.393167,0.000000,0.000000,0.000000,events/second
1681858247,49152,3987.630622,0.000000,0.000000,0.000000,events/second
1681858250,49152,3260.603171,0.000000,0.000000,0.000000,events/second
1681858253,49152,2717.177270,0.000000,0.000000,0.000000,events/second
1681858256,49152,2331.377309,0.000000,0.000000,0.000000,events/second
1681858259,49152,1970.071996,0.000000,0.000000,0.000000,events/second
1681858262,49152,1810.746402,0.000000,0.000000,0.000000,events/second
1681858265,49152,1633.246487,0.000000,0.000000,0.000000,events/second
1681858268,49152,1487.049693,0.000000,0.000000,0.000000,events/second
1681858271,49152,1362.392080,0.000000,0.000000,0.000000,events/second
1681858274,49152,1258.303782,0.000000,0.000000,0.000000,events/second
1681858277,49152,1168.298988,0.000000,0.000000,0.000000,events/second
1681858280,49152,1089.442077,0.000000,0.000000,0.000000,events/second
1681858283,49152,1019.641631,0.000000,0.000000,0.000000,events/second
1681858286,49152,962.497331,0.000000,0.000000,0.000000,events/second
1681858289,49152,909.263158,0.000000,0.000000,0.000000,events/second
1681858292,49152,861.118709,0.000000,0.000000,0.000000,events/second
1681858295,49152,817.301217,0.000000,0.000000,0.000000,events/second
1681858298,49152,779.249493,0.000000,0.000000,0.000000,events/second
1681858301,49152,743.739112,0.000000,0.000000,0.000000,events/second
1681858304,49152,711.607053,0.000000,0.000000,0.000000,events/second
1681858307,49152,682.022083,0.000000,0.000000,0.000000,events/second
1681858310,49152,654.856846,0.000000,0.000000,0.000000,events/second
1681858313,49152,629.525256,0.000000,0.000000,0.000000,events/second
1681858316,49152,606.369495,0.000000,0.000000,0.000000,events/second
1681858319,49152,584.655143,0.000000,0.000000,0.000000,events/second
1681858322,49152,564.265405,0.000000,0.000000,0.000000,events/second
1681858325,49152,545.469916,0.000000,0.000000,0.000000,events/second
1681858328,49152,527.981303,0.000000,0.000000,0.000000,events/second
1681858331,49152,511.820034,0.000000,0.000000,0.000000,events/second
1681858334,49152,496.310260,0.000000,0.000000,0.000000,events/second
1681858337,49152,481.736109,0.000000,0.000000,0.000000,events/second
1681858340,49152,467.964861,0.000000,0.000000,0.000000,events/second
1681858343,49152,454.919680,0.000000,0.000000,0.000000,events/second
1681858346,49152,442.650000,0.000000,0.000000,0.000000,events/second
1681858349,49152,431.032313,0.000000,0.000000,0.000000,events/second
1681858352,49152,419.912340,0.000000,0.000000,0.000000,events/second
1681858355,49152,409.457798,0.000000,0.000000,0.000000,events/second
1681858358,49152,399.515449,0.000000,0.000000,0.000000,events/second
1681858361,49152,389.959260,0.000000,0.000000,0.000000,events/second
1681858364,49152,380.933968,0.000000,0.000000,0.000000,events/second
1681858367,49152,372.280674,0.000000,0.000000,0.000000,events/second
1681858370,49152,363.993231,0.000000,0.000000,0.000000,events/second
1681858373,49152,355.858552,0.000000,0.000000,0.000000,events/second
1681858376,49152,348.477923,0.000000,0.000000,0.000000,events/second
1681858379,49152,341.190108,0.000000,0.000000,0.000000,events/second
1681858382,49152,334.266258,0.000000,0.000000,0.000000,events/second
1681858385,49152,327.596180,0.000000,0.000000,0.000000,events/second
1681858388,49152,321.112309,0.000000,0.000000,0.000000,events/second
1681858391,49152,314.990048,0.000000,0.000000,0.000000,events/second
1681858394,49152,309.055628,0.000000,0.000000,0.000000,events/second
1681858397,49152,303.347408,0.000000,0.000000,0.000000,events/second
1681858400,49152,297.798588,0.000000,0.000000,0.000000,events/second
1681858403,49152,292.502512,0.000000,0.000000,0.000000,events/second
1681858406,49152,287.367038,0.000000,0.000000,0.000000,events/second
1681858409,49152,282.430888,0.000000,0.000000,0.000000,events/second
1681858412,49152,277.633482,0.000000,0.000000,0.000000,events/second
1681858415,49152,273.008053,0.000000,0.000000,0.000000,events/second
1681858418,49152,268.521566,0.000000,0.000000,0.000000,events/second
1681858421,49152,264.201300,0.000000,0.000000,0.000000,events/second
1681858424,49152,260.022829,0.000000,0.000000,0.000000,events/second
1681858427,49152,255.941306,0.000000,0.000000,0.000000,events/second
1681858430,49152,252.018329,0.000000,0.000000,0.000000,events/second
1681858433,49152,248.193864,0.000000,0.000000,0.000000,events/second
1681858436,49152,244.484389,0.000000,0.000000,0.000000,events/second
1681858439,49152,240.905511,0.000000,0.000000,0.000000,events/second
1681858442,49152,237.405653,0.000000,0.000000,0.000000,events/second
1681858445,49152,234.024302,0.000000,0.000000,0.000000,events/second
1681858448,49152,230.710918,0.000000,0.000000,0.000000,events/second
1681858451,49152,227.511530,0.000000,0.000000,0.000000,events/second
1681858454,49152,224.397618,0.000000,0.000000,0.000000,events/second
1681858457,49152,221.371046,0.000000,0.000000,0.000000,events/second
