t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,3325786,978486.591032,0.000000,0.000000,0.000000,events/second
1681858241,3325786,539849.179224,0.000000,0.000000,0.000000,events/second
1681858244,3325786,365202.452838,0.000000,0.000000,0.000000,events/second
1681858247,3325786,269788.523537,0.000000,0.000000,0.000000,events/second
1681858250,3325786,220617.802897,0.000000,0.000000,0.000000,events/second
1681858253,3325786,183849.968772,0.000000,0.000000,0.000000,events/second
1681858256,3325786,157744.793756,0.000000,0.000000,0.000000,events/second
1681858259,3325786,133282.372856,0.000000,0.000000,0.000000,events/second
1681858262,3325786,122519.599912,0.000000,0.000000,0.000000,events/second
1681858265,3325786,110509.880073,0.000000,0.000000,0.000000,events/second
1681858268,3325786,100618.295950,0.000000,0.000000,0.000000,events/second
1681858271,3325786,92183.093802,0.000000,0.000000,0.000000,events/second
1681858274,3325786,85140.431102,0.000000,0.000000,0.000000,events/second
1681858277,3325786,79050.740226,0.000000,0.000000,0.000000,events/second
1681858280,3325786,73714.809262,0.000000,0.000000,0.000000,events/second
1681858283,3325786,68988.775395,0.000000,0.000000,0.000000,events/second
1681858286,3325786,65125.373510,0.000000,0.000000,0.000000,events/second
1681858289,3325786,61523.255133,0.000000,0.000000,0.000000,events/second
1681858292,3325786,58265.979151,0.000000,0.000000,0.000000,events/second
1681858295,3325786,55300.996729,0.000000,0.000000,0.000000,events/second
1681858298,3325786,52726.316781,0.000000,0.000000,0.000000,events/second
1681858301,3325786,50323.570359,0.000000,0.000000,0.000000,events/second
1681858304,3325786,48149.480197,0.000000,0.000000,0.000000,events/second
1681858307,3325786,46147.700808,0.000000,0.000000,0.000000,events/second
1681858310,3325786,44309.610863,0.000000,0.000000,0.000000,events/second
1681858313,3325786,42595.601532,0.000000,0.000000,0.000000,events/second
1681858316,3325786,41028.819763,0.000000,0.000000,0.000000,events/second
1681858319,3325786,39559.564710,0.000000,0.000000,0.000000,events/second
1681858322,3325786,38179.913632,0.000000,0.000000,0.000000,events/second
1681858325,3325786,36908.006356,0.000000,0.000000,0.000000,events/second
1681858328,3325786,35724.859922,0.000000,0.000000,0.000000,events/second
1681858331,3325786,34631.398619,0.000000,0.000000,0.000000,events/second
1681858334,3325786,33581.963865,0.000000,0.000000,0.000000,events/second
1681858337,3325786,32595.830373,0.000000,0.000000,0.000000,events/second
1681858340,3325786,31664.026346,0.000000,0.000000,0.000000,events/second
1681858343,3325786,30781.341135,0.000000,0.000000,0.000000,events/second
1681858346,3325786,29951.140270,0.000000,0.000000,0.000000,events/second
1681858349,3325786,29165.050760,0.000000,0.000000,0.000000,events/second
1681858352,3325786,28412.636480,0.000000,0.000000,0.000000,events/second
1681858355,3325786,27705.247725,0.000000,0.000000,0.000000,events/second
1681858358,3325786,27032.510238,0.000000,0.000000,0.000000,events/second
1681858361,3325786,26385.879110,0.000000,0.000000,0.000000,events/second
1681858364,3325786,25775.232899,0.000000,0.000000,0.000000,events/second
1681858367,3325786,25189.722952,0.000000,0.000000,0.000000,events/second
1681858370,3325786,24628.940945,0.000000,0.000000,0.000000,events/second
1681858373,3325786,24077.518358,0.000000,0.000000,0.000000,events/second
1681858376,3325786,23579.148310,0.000000,0.000000,0.000000,events/second
1681858379,3325786,23086.033083,0.000000,0.000000,0.000000,events/second
1681858382,3325786,22617.544473,0.000000,0.000000,0.000000,events/second
1681858385,3325786,22166.224961,0.000000,0.000000,0.000000,events/second
1681858388,3325786,21727.497815,0.000000,0.000000,0.000000,events/second
1681858391,3325786,21313.251819,0.000000,0.000000,0.000000,events/second
1681858394,3325786,20911.710055,0.000000,0.000000,0.000000,events/second
1681858397,3325786,20525.473490,0.000000,0.000000,0.000000,events/second
1681858400,3325786,20150.021278,0.000000,0.000000,0.000000,events/second
1681858403,3325786,19791.672507,0.000000,0.000000,0.000000,events/second
1681858406,3325786,19444.191804,0.000000,0.000000,0.000000,events/second
1681858409,3325786,19110.190163,0.000000,0.000000,0.000000,events/second
1681858412,3325786,18785.587720,0.000000,0.000000,0.000000,events/second
1681858415,3325786,18472.615563,0.000000,0.000000,0.000000,events/second
1681858418,3325786,18169.044967,0.000000,0.000000,0.000000,events/second
1681858421,3325786,17876.722783,0.000000,0.000000,0.000000,events/second
1681858424,3325786,17593.993757,0.000000,0.000000,0.000000,events/second
1681858427,3325786,17317.824215,0.000000,0.000000,0.000000,events/second
1681858430,3325786,17052.383440,0.000000,0.000000,0.000000,events/second
1681858433,3325786,16793.605883,0.000000,0.000000,0.000000,events/second
1681858436,3325786,16542.601392,0.000000,0.000000,0.000000,events/second
1681858439,3325786,16300.454049,0.000000,0.000000,0.000000,events/second
1681858442,3325786,16063.642493,0.000000,0.000000,0.000000,events/second
1681858445,3325786,15834.848506,0.000000,0.000000,0.000000,events/second
1681858448,3325786,15610.651826,0.000000,0.000000,0.000000,events/second
1681858451,3325786,15394.135653,0.000000,0.000000,0.000000,events/second
1681858454,3325786,15183.474813,0.000000,0.000000,0.000000,events/second
1681858457,3325786,14978.681256,0.000000,0.000000,0.000000,events/second
1681858460,3325786,14779.002193,0.000000,0.000000,0.000000,events/second
1681858463,3325786,14584.769660,0.000000,0.000000,0.000000,events/second
1681858466,3325786,14395.153155,0.000000,0.000000,0.000000,events/second
1681858469,3325786,14210.369297,0.000000,0.000000,0.000000,events/second
1681858472,3325786,14030.940300,0.000000,0.000000,0.000000,events/second
1681858475,3325786,13855.197079,0.000000,0.000000,0.000000,events/second
1681858478,3325786,13684.517461,0.000000,0.000000,0.000000,events/second
1681858481,3325786,13517.627850,0.000000,0.000000,0.000000,events/second
1681858484,3325786,13354.786382,0.000000,0.000000,0.000000,events/second
