t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,406,118.903710,0.000000,0.000000,0.000000,events/second
1681858241,406,65.857953,0.000000,0.000000,0.000000,events/second
1681858244,406,44.546326,0.000000,0.000000,0.000000,events/second
1681858247,406,32.921499,0.000000,0.000000,0.000000,events/second
1681858250,406,26.925068,0.000000,0.000000,0.000000,events/second
1681858253,406,22.439055,0.000000,0.000000,0.000000,events/second
1681858256,406,19.252316,0.000000,0.000000,0.000000,events/second
1681858259,406,16.266390,0.000000,0.000000,0.000000,events/second
1681858262,406,14.954449,0.000000,0.000000,0.000000,events/second
1681858265,406,13.488826,0.000000,0.000000,0.000000,events/second
1681858268,406,12.281899,0.000000,0.000000,0.000000,events/second
1681858271,406,11.252197,0.000000,0.000000,0.000000,events/second
1681858274,406,10.392457,0.000000,0.000000,0.000000,events/second
1681858277,406,9.649436,0.000000,0.000000,0.000000,events/second
1681858280,406,8.998090,0.000000,0.000000,0.000000,events/second
1681858283,406,8.420872,0.000000,0.000000,0.000000,events/second
1681858286,406,7.949633,0.000000,0.000000,0.000000,events/second
1681858289,406,7.510003,0.000000,0.000000,0.000000,events/second
1681858292,406,7.112484,0.000000,0.000000,0.000000,events/second
1681858295,406,6.750523,0.000000,0.000000,0.000000,events/second
1681858298,406,6.436185,0.000000,0.000000,0.000000,events/second
1681858301,406,6.142957,0.000000,0.000000,0.000000,events/second
1681858304,406,5.877599,0.000000,0.000000,0.000000,events/second
1681858307,406,5.633263,0.000000,0.000000,0.000000,events/second
1681858310,406,5.408891,0.000000,0.000000,0.000000,events/second
1681858313,406,5.199667,0.000000,0.000000,0.000000,events/second
1681858316,406,5.008410,0.000000,0.000000,0.000000,events/second
1681858319,406,4.829082,0.000000,0.000000,0.000000,events/second
1681858322,406,4.660643,0.000000,0.000000,0.000000,events/second
1681858325,406,4.505410,0.000000,0.000000,0.000000,events/second
1681858328,406,4.360980,0.000000,0.000000,0.000000,events/second
1681858331,406,4.227535,0.000000,0.000000,0.000000,events/second
1681858334,406,4.099437,0.000000,0.000000,0.000000,events/second
1681858337,406,3.979060,0.000000,0.000000,0.000000,events/second
1681858340,406,3.865317,0.000000,0.000000,0.000000,events/second
1681858343,406,3.757566,0.000000,0.000000,0.000000,events/second
1681858346,406,3.656226,0.000000,0.000000,0.000000,events/second
1681858349,406,3.560268,0.000000,0.000000,0.000000,events/second
1681858352,406,3.468421,0.000000,0.000000,0.000000,events/second
1681858355,406,3.382066,0.000000,0.000000,0.000000,events/second
1681858358,406,3.299949,0.000000,0.000000,0.000000,events/second
1681858361,406,3.221001,0.000000,0.000000,0.000000,events/second
1681858364,406,3.146472,0.000000,0.000000,0.000000,events/second
1681858367,406,3.074998,0.000000,0.000000,0.000000,events/second
1681858370,406,3.006537,0.000000,0.000000,0.000000,events/second
1681858373,406,2.939213,0.000000,0.000000,0.000000,events/second
1681858376,406,2.878330,0.000000,0.000000,0.000000,events/second
1681858379,406,2.818199,0.000000,0.000000,0.000000,events/second
1681858382,406,2.761010,0.000000,0.000000,0.000000,events/second
1681858385,406,2.705917,0.000000,0.000000,0.000000,events/second
1681858388,406,2.652356,0.000000,0.000000,0.000000,events/second
1681858391,406,2.601791,0.000000,0.000000,0.000000,events/second
1681858394,406,2.552776,0.000000,0.000000,0.000000,events/second
1681858397,406,2.505624,0.000000,0.000000,0.000000,events/second
1681858400,406,2.459790,0.000000,0.000000,0.000000,events/second
1681858403,406,2.416051,0.000000,0.000000,0.000000,events/second
1681858406,406,2.373634,0.000000,0.000000,0.000000,events/second
1681858409,406,2.332862,0.000000,0.000000,0.000000,events/second
1681858412,406,2.293236,0.000000,0.000000,0.000000,events/second
1681858415,406,2.255032,0.000000,0.000000,0.000000,events/second
1681858418,406,2.217973,0.000000,0.000000,0.000000,events/second
1681858421,406,2.182290,0.000000,0.000000,0.000000,events/second
1681858424,406,2.147776,0.000000,0.000000,0.000000,events/second
1681858427,406,2.114057,0.000000,0.000000,0.000000,events/second
1681858430,406,2.081660,0.000000,0.000000,0.000000,events/second
1681858433,406,2.050070,0.000000,0.000000,0.000000,events/second
1681858436,406,2.019426,0.000000,0.000000,0.000000,events/second
1681858439,406,1.989871,0.000000,0.000000,0.000000,events/second
1681858442,406,1.960961,0.000000,0.000000,0.000000,events/second
1681858445,406,1.933033,0.000000,0.000000,0.000000,events/second
1681858448,406,1.905661,0.000000,0.000000,0.000000,events/second
1681858451,406,1.879230,0.000000,0.000000,0.000000,events/second
1681858454,406,1.853517,0.000000,0.000000,0.000000,events/second
1681858457,406,1.828515,0.000000,0.000000,0.000000,events/second
1681858460,406,1.804142,0.000000,0.000000,0.000000,events/second
1681858463,406,1.780432,0.000000,0.000000,0.000000,events/second
1681858466,406,1.757285,0.000000,0.000000,0.000000,events/second
1681858469,406,1.734726,0.000000,0.000000,0.000000,events/second
1681858472,406,1.712824,0.000000,0.000000,0.000000,events/second
1681858475,406,1.691371,0.000000,0.000000,0.000000,events/second
1681858478,406,1.670535,0.000000,0.000000,0.000000,events/second
1681858481,406,1.650162,0.000000,0.000000,0.000000,events/second
1681858484,406,1.630284,0.000000,0.000000,0.000000,events/second
1681858487,406,1.610863,0.000000,0.000000,0.000000,events/second
1681858490,406,1.591954,0.000000,0.000000,0.000000,events/second
1681858493,406,1.573460,0.000000,0.000000,0.000000,events/second
1681858496,406,1.555384,0.000000,0.000000,0.000000,events/second
1681858499,406,1.537641,0.000000,0.000000,0.000000,events/second
1681858502,406,1.520413,0.000000,0.000000,0.000000,events/second
1681858505,406,1.503469,0.000000,0.000000,0.000000,events/second
1681858508,406,1.487017,0.000000,0.000000,0.000000,events/second
1681858511,406,1.470828,0.000000,0.000000,0.000000,events/second
1681858514,406,1.454990,0.000000,0.000000,0.000000,events/second
1681858517,406,1.439528,0.000000,0.000000,0.000000,events/second
1681858520,406,1.424383,0.000000,0.000000,0.000000,events/second
1681858523,406,1.409528,0.000000,0.000000,0.000000,events/second
1681858526,406,1.395011,0.000000,0.000000,0.000000,events/second
1681858529,406,1.380792,0.000000,0.000000,0.000000,events/second
1681858532,406,1.366826,0.000000,0.000000,0.000000,events/second
