t,value
1681858238,0.0
1681858241,1.0
1681858244,1.0
1681858247,1.0
1681858250,1.0
1681858253,1.0
1681858256,1.0
1681858259,1.0
1681858262,1.0
1681858265,1.0
1681858268,1.0
1681858271,0.9923857868020305
1681858274,0.9967248908296943
1681858277,0.9973830552829571
1681858280,0.9979966611018364
1681858283,0.9982162575384353
1681858286,0.9984003199360127
1681858289,0.9985148514851485
1681858292,0.9985580053958508
1681858295,0.998637950114923
1681858298,0.9988398698076117
1681858301,0.9990926479964687
1681858304,0.9991867482771905
1681858307,0.999276867166061
1681858310,0.9993612214691906
1681858313,0.9994350356715849
1681858316,0.9995454499540399
1681858319,0.9996034056485161
1681858322,0.999642250245953
1681858325,0.9996720587349498
1681858328,0.9997335723108969
1681858331,0.9997387840397048
1681858334,0.9997704856644138
1681858337,0.9997915606589135
1681858340,0.9998003070279445
1681858343,0.999815823902247
1681858346,0.9998314184194829
1681858349,0.9998477335469477
1681858352,0.9998713896015108
1681858355,0.9998767224611675
1681858358,0.9998988987181802
1681858361,0.9998990103009493
1681858364,0.9999022514743736
1681858367,0.9999048080584305
1681858370,0.999914530726204
1681858373,0.9999290770081846
1681858376,0.9999291543867603
1681858379,0.9999435012288482
1681858382,0.9999435012288482
1681858385,0.9999503722084367
1681858388,1.0
1681858391,1.0
1681858394,1.0
1681858397,1.0
1681858400,1.0
1681858403,1.0
1681858406,1.0
1681858409,1.0
1681858412,1.0
1681858415,1.0
1681858418,1.0
1681858421,1.0
1681858424,1.0
1681858427,1.0
1681858430,1.0
1681858433,1.0
1681858436,1.0
1681858439,1.0
1681858442,1.0
1681858445,1.0
1681858448,1.0
1681858451,1.0
1681858454,1.0
1681858457,1.0
1681858460,1.0
1681858463,1.0
1681858466,1.0
1681858469,1.0
1681858472,1.0
1681858475,1.0
1681858478,1.0
1681858481,1.0
1681858484,1.0
1681858487,1.0
1681858490,1.0
1681858493,1.0
1681858496,1.0
1681858499,1.0
1681858502,1.0
1681858505,1.0
1681858508,1.0
1681858511,1.0
1681858514,1.0
1681858517,1.0
1681858520,1.0
1681858523,1.0
1681858526,1.0
1681858529,1.0
1681858532,0.0
1681858535,1.0
1681858538,1.0
1681858541,1.0
1681858544,1.0
1681858547,1.0
1681858550,1.0
1681858553,1.0
1681858556,1.0
1681858559,1.0
1681858562,1.0
1681858565,1.0
1681858568,1.0
1681858571,1.0
1681858574,1.0
1681858577,1.0
1681858580,1.0
1681858583,1.0
1681858586,1.0
1681858589,1.0
1681858592,0.0
1681858595,1.0
1681858598,1.0
1681858601,1.0
1681858604,1.0
1681858607,1.0
1681858610,1.0
1681858613,1.0
1681858616,1.0
1681858619,1.0
1681858622,1.0
1681858625,1.0
1681858628,1.0
1681858631,1.0
1681858634,1.0
1681858637,1.0
1681858640,1.0
1681858643,1.0
1681858646,1.0
1681858649,1.0
1681858652,1.0
1681858655,1.0
1681858658,1.0
1681858661,1.0
1681858664,1.0
1681858667,1.0
1681858670,1.0
1681858673,1.0
1681858676,1.0
1681858679,1.0
1681858682,1.0
1681858685,1.0
1681858688,1.0
1681858691,1.0
1681858694,1.0
1681858697,1.0
1681858700,1.0
1681858703,1.0
1681858706,1.0
1681858709,1.0
1681858712,1.0
1681858715,1.0
1681858718,1.0
1681858721,1.0
1681858724,1.0
1681858727,1.0
1681858730,1.0
1681858733,1.0
1681858736,1.0
1681858739,1.0
1681858742,1.0
1681858745,1.0
1681858748,1.0
1681858751,1.0
1681858754,1.0
1681858757,1.0
1681858760,1.0
1681858763,1.0
1681858766,1.0
1681858769,1.0
1681858772,0.0
1681858775,1.0
1681858778,1.0
1681858781,1.0
1681858784,1.0
1681858787,1.0
1681858790,1.0
1681858793,1.0
1681858796,1.0
1681858799,1.0
1681858802,1.0
1681858805,1.0
1681858808,1.0
1681858811,1.0
1681858814,1.0
1681858817,1.0
1681858820,1.0
1681858823,1.0
1681858826,1.0
1681858829,1.0
1681858832,1.0
1681858835,1.0
1681858838,1.0
1681858841,1.0
1681858844,1.0
1681858847,1.0
1681858850,1.0
1681858853,1.0
1681858856,1.0
1681858859,1.0
1681858862,1.0
1681858865,1.0
1681858868,1.0
1681858871,1.0
1681858874,1.0
1681858877,1.0
1681858880,1.0
1681858883,1.0
1681858886,1.0
1681858889,1.0
1681858892,1.0
1681858895,1.0
1681858898,1.0
1681858901,1.0
1681858904,1.0
1681858907,1.0
1681858910,1.0
1681858913,1.0
1681858916,1.0
1681858919,1.0
1681858922,1.0
1681858925,1.0
1681858928,1.0
1681858931,1.0
1681858934,1.0
1681858937,1.0
1681858940,1.0
1681858943,1.0
1681858946,1.0
1681858949,1.0
1681858952,1.0
1681858955,1.0
1681858958,1.0
1681858961,1.0
1681858964,1.0
1681858967,1.0
1681858970,1.0
1681858973,1.0
1681858976,1.0
1681858979,1.0
1681858982,1.0
1681858985,1.0
1681858988,1.0
1681858991,1.0
1681858994,1.0
1681858997,1.0
1681859000,1.0
1681859003,1.0
1681859006,1.0
1681859009,1.0
1681859012,0.0
1681859015,1.0
1681859018,1.0
1681859021,1.0
1681859024,1.0
1681859027,1.0
1681859030,1.0
1681859033,1.0
1681859036,1.0
1681859039,1.0
1681859042,1.0
1681859045,1.0
1681859048,1.0
1681859051,1.0
1681859054,1.0
1681859057,1.0
1681859060,1.0
1681859063,1.0
1681859066,1.0
1681859069,1.0
1681859072,1.0
1681859075,1.0
1681859078,1.0
1681859081,1.0
1681859084,1.0
1681859087,1.0
1681859090,1.0
1681859093,1.0
1681859096,1.0
1681859099,1.0
1681859102,1.0
1681859105,1.0
1681859108,1.0
1681859111,1.0
1681859114,1.0
1681859117,1.0
1681859120,1.0
1681859123,1.0
1681859126,1.0
1681859129,1.0
1681859132,0.0
1681859135,1.0
1681859138,1.0
1681859141,1.0
1681859144,1.0
1681859147,1.0
1681859150,1.0
1681859153,1.0
1681859156,1.0
1681859159,1.0
1681859162,1.0
1681859165,0.9946380697050938
1681859168,0.9946666666666667
1681859171,0.9946949602122016
1681859174,0.9947229551451188
1681859177,0.994750656167979
1681859180,0.9947780678851175
1681859183,0.9948051948051948
1681859186,0.9948320413436692
1681859189,0.9948586118251928
1681859192,0.9948849104859335
1681859195,0.9949367088607595
1681859198,0.9949622166246851
1681859201,0.9949874686716792
1681859204,0.9950124688279302
1681859207,0.9950372208436724
1681859210,0.9950617283950617
1681859213,0.995085995085995
1681859216,0.9951100244498777
1681859219,0.9951338199513382
1681859222,1.0
1681859225,1.0
1681859228,1.0
1681859231,1.0
1681859234,1.0
1681859237,1.0
1681859240,1.0
1681859243,1.0
1681859246,1.0
1681859249,1.0
1681859252,1.0
1681859255,1.0
1681859258,1.0
1681859261,1.0
1681859264,1.0
1681859267,1.0
1681859270,1.0
1681859273,1.0
1681859276,1.0
1681859279,1.0
1681859282,1.0
1681859285,1.0
1681859288,1.0
1681859291,1.0
1681859294,1.0
1681859297,1.0
1681859300,1.0
1681859303,1.0
1681859306,1.0
1681859309,1.0
1681859312,1.0
1681859315,1.0
1681859318,1.0
1681859321,1.0
1681859324,1.0
1681859327,1.0
1681859330,1.0
1681859333,1.0
1681859336,1.0
1681859339,1.0
1681859342,1.0
1681859345,1.0
1681859348,1.0
1681859351,1.0
1681859354,1.0
1681859357,1.0
1681859360,1.0
1681859363,1.0
1681859366,1.0
1681859369,1.0
1681859372,1.0
1681859375,1.0
1681859378,1.0
1681859381,1.0
1681859384,1.0
1681859387,1.0
