t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,1621,474.294746,0.000000,0.000000,0.000000,events/second
1681858241,1623,263.235892,0.000000,0.000000,0.000000,events/second
1681858244,1637,179.595829,0.000000,0.000000,0.000000,events/second
1681858247,1639,132.894530,0.000000,0.000000,0.000000,events/second
1681858250,1641,108.823082,0.000000,0.000000,0.000000,events/second
1681858253,1643,90.803434,0.000000,0.000000,0.000000,events/second
1681858256,1645,78.001973,0.000000,0.000000,0.000000,events/second
1681858259,1647,65.982250,0.000000,0.000000,0.000000,events/second
1681858262,1649,60.736977,0.000000,0.000000,0.000000,events/second
1681858265,1651,54.851190,0.000000,0.000000,0.000000,events/second
1681858268,1653,50.004231,0.000000,0.000000,0.000000,events/second
1681858271,2441,67.650684,0.000000,0.000000,0.000000,events/second
1681858274,5307,135.840029,0.000000,0.000000,0.000000,events/second
1681858277,7751,184.216620,0.000000,0.000000,0.000000,events/second
1681858280,10646,235.942153,0.000000,0.000000,0.000000,events/second
1681858283,13533,280.684172,0.000000,0.000000,0.000000,events/second
1681858286,16650,326.007881,0.000000,0.000000,0.000000,events/second
1681858289,19814,366.505846,0.000000,0.000000,0.000000,events/second
1681858292,23136,405.303378,0.000000,0.000000,0.000000,events/second
1681858295,25107,417.447485,0.000000,0.000000,0.000000,events/second
1681858298,32714,518.589357,0.000000,0.000000,0.000000,events/second
1681858301,42436,642.069385,0.000000,0.000000,0.000000,events/second
1681858304,48478,701.802131,0.000000,0.000000,0.000000,events/second
1681858307,55623,771.764375,0.000000,0.000000,0.000000,events/second
1681858310,65876,877.611904,0.000000,0.000000,0.000000,events/second
1681858313,77836,996.843461,0.000000,0.000000,0.000000,events/second
1681858316,101319,1249.860520,0.000000,0.000000,0.000000,events/second
1681858319,120316,1431.062812,0.000000,0.000000,0.000000,events/second
1681858322,136060,1561.878340,0.000000,0.000000,0.000000,events/second
1681858325,151232,1678.221218,0.000000,0.000000,0.000000,events/second
1681858328,167893,1803.380804,0.000000,0.000000,0.000000,events/second
1681858331,170802,1778.493380,0.000000,0.000000,0.000000,events/second
1681858334,170802,1724.604530,0.000000,0.000000,0.000000,events/second
1681858337,170802,1673.963092,0.000000,0.000000,0.000000,events/second
1681858340,170802,1626.111835,0.000000,0.000000,0.000000,events/second
1681858343,170802,1580.782105,0.000000,0.000000,0.000000,events/second
1681858346,170802,1538.149439,0.000000,0.000000,0.000000,events/second
1681858349,170802,1497.780386,0.000000,0.000000,0.000000,events/second
1681858352,170802,1459.140884,0.000000,0.000000,0.000000,events/second
1681858355,171077,1425.103393,0.000000,0.000000,0.000000,events/second
1681858358,171077,1390.501331,0.000000,0.000000,0.000000,events/second
1681858361,171077,1357.233763,0.000000,0.000000,0.000000,events/second
1681858364,171077,1325.831220,0.000000,0.000000,0.000000,events/second
1681858367,171077,1295.714158,0.000000,0.000000,0.000000,events/second
1681858370,171077,1266.866665,0.000000,0.000000,0.000000,events/second
1681858373,171093,1238.612202,0.000000,0.000000,0.000000,events/second
1681858376,171170,1213.494509,0.000000,0.000000,0.000000,events/second
1681858379,171170,1188.152481,0.000000,0.000000,0.000000,events/second
1681858382,171170,1164.041768,0.000000,0.000000,0.000000,events/second
1681858385,171170,1140.814410,0.000000,0.000000,0.000000,events/second
1681858388,177717,1161.003492,0.000000,0.000000,0.000000,events/second
1681858391,177717,1138.870420,0.000000,0.000000,0.000000,events/second
1681858394,177717,1117.415161,0.000000,0.000000,0.000000,events/second
1681858397,177717,1096.775084,0.000000,0.000000,0.000000,events/second
1681858400,177717,1076.710983,0.000000,0.000000,0.000000,events/second
1681858403,177717,1057.567017,0.000000,0.000000,0.000000,events/second
1681858406,177717,1039.000419,0.000000,0.000000,0.000000,events/second
1681858409,177717,1021.153366,0.000000,0.000000,0.000000,events/second
1681858412,177717,1003.808230,0.000000,0.000000,0.000000,events/second
1681858415,177992,988.612663,0.000000,0.000000,0.000000,events/second
1681858418,177992,972.366007,0.000000,0.000000,0.000000,events/second
1681858421,177992,956.722115,0.000000,0.000000,0.000000,events/second
1681858424,177992,941.591553,0.000000,0.000000,0.000000,events/second
1681858427,177992,926.809086,0.000000,0.000000,0.000000,events/second
1681858430,177992,912.606395,0.000000,0.000000,0.000000,events/second
1681858433,177992,898.756887,0.000000,0.000000,0.000000,events/second
1681858436,177992,885.322191,0.000000,0.000000,0.000000,events/second
1681858439,177992,872.365496,0.000000,0.000000,0.000000,events/second
1681858442,177992,859.691700,0.000000,0.000000,0.000000,events/second
1681858445,177992,847.447669,0.000000,0.000000,0.000000,events/second
1681858448,177992,835.447002,0.000000,0.000000,0.000000,events/second
1681858451,177992,823.859958,0.000000,0.000000,0.000000,events/second
1681858454,177992,812.587292,0.000000,0.000000,0.000000,events/second
1681858457,177992,801.626588,0.000000,0.000000,0.000000,events/second
1681858460,177992,790.941822,0.000000,0.000000,0.000000,events/second
1681858463,177992,780.547048,0.000000,0.000000,0.000000,events/second
1681858466,177992,770.399091,0.000000,0.000000,0.000000,events/second
1681858469,177992,760.509058,0.000000,0.000000,0.000000,events/second
1681858472,177992,750.907789,0.000000,0.000000,0.000000,events/second
1681858475,178267,742.648013,0.000000,0.000000,0.000000,events/second
1681858478,178267,733.499728,0.000000,0.000000,0.000000,events/second
1681858481,178267,724.554358,0.000000,0.000000,0.000000,events/second
1681858484,178267,715.825997,0.000000,0.000000,0.000000,events/second
1681858487,178267,707.298904,0.000000,0.000000,0.000000,events/second
1681858490,178267,698.996138,0.000000,0.000000,0.000000,events/second
1681858493,178267,690.875649,0.000000,0.000000,0.000000,events/second
1681858496,178267,682.938994,0.000000,0.000000,0.000000,events/second
1681858499,178267,675.148226,0.000000,0.000000,0.000000,events/second
1681858502,178267,667.583956,0.000000,0.000000,0.000000,events/second
1681858505,178267,660.144073,0.000000,0.000000,0.000000,events/second
1681858508,178267,652.920244,0.000000,0.000000,0.000000,events/second
1681858511,178267,645.812247,0.000000,0.000000,0.000000,events/second
1681858514,178267,638.858206,0.000000,0.000000,0.000000,events/second
1681858517,178267,632.069069,0.000000,0.000000,0.000000,events/second
1681858520,178267,625.419018,0.000000,0.000000,0.000000,events/second
