t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,66,19.291915,0.000000,0.000000,0.000000,events/second
1681858241,66,10.702538,0.000000,0.000000,0.000000,events/second
1681858244,66,7.239932,0.000000,0.000000,0.000000,events/second
1681858247,66,5.350832,0.000000,0.000000,0.000000,events/second
1681858250,66,4.376459,0.000000,0.000000,0.000000,events/second
1681858253,66,3.647397,0.000000,0.000000,0.000000,events/second
1681858256,66,3.129344,0.000000,0.000000,0.000000,events/second
1681858259,66,2.643543,0.000000,0.000000,0.000000,events/second
1681858262,66,2.430846,0.000000,0.000000,0.000000,events/second
1681858265,66,2.192639,0.000000,0.000000,0.000000,events/second
1681858268,66,1.996484,0.000000,0.000000,0.000000,events/second
1681858271,72,1.995372,0.000000,0.000000,0.000000,events/second
1681858274,78,1.996461,0.000000,0.000000,0.000000,events/second
1681858277,82,1.948838,0.000000,0.000000,0.000000,events/second
1681858280,84,1.861607,0.000000,0.000000,0.000000,events/second
1681858283,87,1.804396,0.000000,0.000000,0.000000,events/second
1681858286,90,1.762158,0.000000,0.000000,0.000000,events/second
1681858289,93,1.720212,0.000000,0.000000,0.000000,events/second
1681858292,97,1.699247,0.000000,0.000000,0.000000,events/second
1681858295,98,1.629390,0.000000,0.000000,0.000000,events/second
1681858298,102,1.616898,0.000000,0.000000,0.000000,events/second
1681858301,103,1.558395,0.000000,0.000000,0.000000,events/second
1681858304,104,1.505554,0.000000,0.000000,0.000000,events/second
1681858307,105,1.456844,0.000000,0.000000,0.000000,events/second
1681858310,107,1.425451,0.000000,0.000000,0.000000,events/second
1681858313,109,1.395941,0.000000,0.000000,0.000000,events/second
1681858316,111,1.369266,0.000000,0.000000,0.000000,events/second
1681858319,113,1.344026,0.000000,0.000000,0.000000,events/second
1681858322,114,1.308625,0.000000,0.000000,0.000000,events/second
1681858325,115,1.276139,0.000000,0.000000,0.000000,events/second
1681858328,116,1.245971,0.000000,0.000000,0.000000,events/second
1681858331,116,1.207851,0.000000,0.000000,0.000000,events/second
1681858334,116,1.171253,0.000000,0.000000,0.000000,events/second
1681858337,116,1.136861,0.000000,0.000000,0.000000,events/second
1681858340,116,1.104363,0.000000,0.000000,0.000000,events/second
1681858343,116,1.073578,0.000000,0.000000,0.000000,events/second
1681858346,116,1.044624,0.000000,0.000000,0.000000,events/second
1681858349,116,1.017208,0.000000,0.000000,0.000000,events/second
1681858352,116,0.990966,0.000000,0.000000,0.000000,events/second
1681858355,116,0.966295,0.000000,0.000000,0.000000,events/second
1681858358,116,0.942833,0.000000,0.000000,0.000000,events/second
1681858361,116,0.920275,0.000000,0.000000,0.000000,events/second
1681858364,116,0.898983,0.000000,0.000000,0.000000,events/second
1681858367,116,0.878563,0.000000,0.000000,0.000000,events/second
1681858370,116,0.859003,0.000000,0.000000,0.000000,events/second
1681858373,116,0.839765,0.000000,0.000000,0.000000,events/second
1681858376,116,0.822358,0.000000,0.000000,0.000000,events/second
1681858379,116,0.805193,0.000000,0.000000,0.000000,events/second
1681858382,116,0.788854,0.000000,0.000000,0.000000,events/second
1681858385,116,0.773113,0.000000,0.000000,0.000000,events/second
1681858388,116,0.757809,0.000000,0.000000,0.000000,events/second
1681858391,116,0.743363,0.000000,0.000000,0.000000,events/second
1681858394,116,0.729359,0.000000,0.000000,0.000000,events/second
1681858397,116,0.715886,0.000000,0.000000,0.000000,events/second
1681858400,116,0.702789,0.000000,0.000000,0.000000,events/second
1681858403,116,0.690295,0.000000,0.000000,0.000000,events/second
1681858406,116,0.678176,0.000000,0.000000,0.000000,events/second
1681858409,116,0.666527,0.000000,0.000000,0.000000,events/second
1681858412,116,0.655206,0.000000,0.000000,0.000000,events/second
1681858415,116,0.644290,0.000000,0.000000,0.000000,events/second
1681858418,116,0.633702,0.000000,0.000000,0.000000,events/second
1681858421,116,0.623507,0.000000,0.000000,0.000000,events/second
1681858424,116,0.613646,0.000000,0.000000,0.000000,events/second
1681858427,116,0.604012,0.000000,0.000000,0.000000,events/second
1681858430,116,0.594756,0.000000,0.000000,0.000000,events/second
1681858433,116,0.585730,0.000000,0.000000,0.000000,events/second
1681858436,116,0.576974,0.000000,0.000000,0.000000,events/second
1681858439,116,0.568531,0.000000,0.000000,0.000000,events/second
1681858442,116,0.560271,0.000000,0.000000,0.000000,events/second
1681858445,116,0.552292,0.000000,0.000000,0.000000,events/second
1681858448,116,0.544470,0.000000,0.000000,0.000000,events/second
1681858451,116,0.536919,0.000000,0.000000,0.000000,events/second
1681858454,116,0.529573,0.000000,0.000000,0.000000,events/second
1681858457,116,0.522430,0.000000,0.000000,0.000000,events/second
1681858460,116,0.515466,0.000000,0.000000,0.000000,events/second
1681858463,116,0.508692,0.000000,0.000000,0.000000,events/second
1681858466,116,0.502078,0.000000,0.000000,0.000000,events/second
1681858469,116,0.495633,0.000000,0.000000,0.000000,events/second
1681858472,116,0.489376,0.000000,0.000000,0.000000,events/second
1681858475,116,0.483246,0.000000,0.000000,0.000000,events/second
1681858478,116,0.477293,0.000000,0.000000,0.000000,events/second
1681858481,116,0.471473,0.000000,0.000000,0.000000,events/second
1681858484,116,0.465793,0.000000,0.000000,0.000000,events/second
1681858487,116,0.460244,0.000000,0.000000,0.000000,events/second
1681858490,116,0.454842,0.000000,0.000000,0.000000,events/second
1681858493,116,0.449558,0.000000,0.000000,0.000000,events/second
1681858496,116,0.444393,0.000000,0.000000,0.000000,events/second
1681858499,116,0.439324,0.000000,0.000000,0.000000,events/second
1681858502,116,0.434402,0.000000,0.000000,0.000000,events/second
1681858505,116,0.429561,0.000000,0.000000,0.000000,events/second
1681858508,116,0.424860,0.000000,0.000000,0.000000,events/second
1681858511,116,0.420235,0.000000,0.000000,0.000000,events/second
1681858514,116,0.415710,0.000000,0.000000,0.000000,events/second
1681858517,116,0.411292,0.000000,0.000000,0.000000,events/second
1681858520,116,0.406965,0.000000,0.000000,0.000000,events/second
1681858523,116,0.402720,0.000000,0.000000,0.000000,events/second
