t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,1687,492.836935,0.000000,0.000000,0.000000,events/second
1681858241,1689,273.866829,0.000000,0.000000,0.000000,events/second
1681858244,1703,186.806281,0.000000,0.000000,0.000000,events/second
1681858247,1705,138.225125,0.000000,0.000000,0.000000,events/second
1681858250,1707,113.189500,0.000000,0.000000,0.000000,events/second
1681858253,1709,94.444719,0.000000,0.000000,0.000000,events/second
1681858256,1711,81.123502,0.000000,0.000000,0.000000,events/second
1681858259,1713,68.596324,0.000000,0.000000,0.000000,events/second
1681858262,1715,63.164695,0.000000,0.000000,0.000000,events/second
1681858265,1717,57.041639,0.000000,0.000000,0.000000,events/second
1681858268,1719,51.999401,0.000000,0.000000,0.000000,events/second
1681858271,2513,69.643797,0.000000,0.000000,0.000000,events/second
1681858274,5385,137.831654,0.000000,0.000000,0.000000,events/second
1681858277,7833,186.161826,0.000000,0.000000,0.000000,events/second
1681858280,10730,237.795055,0.000000,0.000000,0.000000,events/second
1681858283,13620,282.479750,0.000000,0.000000,0.000000,events/second
1681858286,16740,327.759966,0.000000,0.000000,0.000000,events/second
1681858289,19915,368.364486,0.000000,0.000000,0.000000,events/second
1681858292,23233,406.996099,0.000000,0.000000,0.000000,events/second
1681858295,25205,419.067983,0.000000,0.000000,0.000000,events/second
1681858298,32816,520.191808,0.000000,0.000000,0.000000,events/second
1681858301,42539,643.614917,0.000000,0.000000,0.000000,events/second
1681858304,48582,703.294256,0.000000,0.000000,0.000000,events/second
1681858307,55728,773.208770,0.000000,0.000000,0.000000,events/second
1681858310,65983,879.022259,0.000000,0.000000,0.000000,events/second
1681858313,77945,998.214921,0.000000,0.000000,0.000000,events/second
1681858316,101430,1251.211151,0.000000,0.000000,0.000000,events/second
1681858319,120499,1433.218294,0.000000,0.000000,0.000000,events/second
1681858322,136174,1563.157538,0.000000,0.000000,0.000000,events/second
1681858325,151347,1679.474992,0.000000,0.000000,0.000000,events/second
1681858328,168009,1804.604934,0.000000,0.000000,0.000000,events/second
1681858331,170918,1779.685476,0.000000,0.000000,0.000000,events/second
1681858334,170918,1725.762448,0.000000,0.000000,0.000000,events/second
1681858337,170918,1675.087334,0.000000,0.000000,0.000000,events/second
1681858340,170918,1627.204566,0.000000,0.000000,0.000000,events/second
1681858343,170918,1581.844175,0.000000,0.000000,0.000000,events/second
1681858346,170918,1539.183551,0.000000,0.000000,0.000000,events/second
1681858349,170918,1498.787795,0.000000,0.000000,0.000000,events/second
1681858352,170918,1460.121039,0.000000,0.000000,0.000000,events/second
1681858355,171193,1426.060612,0.000000,0.000000,0.000000,events/second
1681858358,171193,1391.435714,0.000000,0.000000,0.000000,events/second
1681858361,171193,1358.142307,0.000000,0.000000,0.000000,events/second
1681858364,171193,1326.722336,0.000000,0.000000,0.000000,events/second
1681858367,171193,1296.585284,0.000000,0.000000,0.000000,events/second
1681858370,171193,1267.717377,0.000000,0.000000,0.000000,events/second
1681858373,171209,1239.441227,0.000000,0.000000,0.000000,events/second
1681858376,171286,1214.292153,0.000000,0.000000,0.000000,events/second
1681858379,171286,1188.951001,0.000000,0.000000,0.000000,events/second
1681858382,171286,1164.824616,0.000000,0.000000,0.000000,events/second
1681858385,171286,1141.581618,0.000000,0.000000,0.000000,events/second
1681858388,177833,1161.754528,0.000000,0.000000,0.000000,events/second
1681858391,177833,1139.607961,0.000000,0.000000,0.000000,events/second
1681858394,177833,1118.138970,0.000000,0.000000,0.000000,events/second
1681858397,177833,1097.484392,0.000000,0.000000,0.000000,events/second
1681858400,177833,1077.405496,0.000000,0.000000,0.000000,events/second
1681858403,177833,1058.251882,0.000000,0.000000,0.000000,events/second
1681858406,177833,1039.673895,0.000000,0.000000,0.000000,events/second
1681858409,177833,1021.815135,0.000000,0.000000,0.000000,events/second
1681858412,177833,1004.459078,0.000000,0.000000,0.000000,events/second
1681858415,178108,989.252776,0.000000,0.000000,0.000000,events/second
1681858418,178108,972.995508,0.000000,0.000000,0.000000,events/second
1681858421,178108,957.341135,0.000000,0.000000,0.000000,events/second
1681858424,178108,942.201346,0.000000,0.000000,0.000000,events/second
1681858427,178108,927.408134,0.000000,0.000000,0.000000,events/second
