t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,1686,492.262458,0.000000,0.000000,0.000000,events/second
1681858241,1688,273.654013,0.000000,0.000000,0.000000,events/second
1681858244,1702,186.685420,0.000000,0.000000,0.000000,events/second
1681858247,1704,138.136512,0.000000,0.000000,0.000000,events/second
1681858250,1706,113.120213,0.000000,0.000000,0.000000,events/second
1681858253,1708,94.387589,0.000000,0.000000,0.000000,events/second
1681858256,1710,81.074311,0.000000,0.000000,0.000000,events/second
1681858259,1712,68.552291,0.000000,0.000000,0.000000,events/second
1681858262,1714,63.127067,0.000000,0.000000,0.000000,events/second
1681858265,1716,57.007738,0.000000,0.000000,0.000000,events/second
1681858268,1718,51.968918,0.000000,0.000000,0.000000,events/second
1681858271,2512,69.615341,0.000000,0.000000,0.000000,events/second
1681858274,5384,137.804472,0.000000,0.000000,0.000000,events/second
1681858277,7832,186.137358,0.000000,0.000000,0.000000,events/second
1681858280,10729,237.765499,0.000000,0.000000,0.000000,events/second
1681858283,13619,282.455657,0.000000,0.000000,0.000000,events/second
1681858286,16739,327.736831,0.000000,0.000000,0.000000,events/second
1681858289,19914,368.343785,0.000000,0.000000,0.000000,events/second
1681858292,23232,406.977133,0.000000,0.000000,0.000000,events/second
1681858295,25204,419.048810,0.000000,0.000000,0.000000,events/second
1681858298,32815,520.162635,0.000000,0.000000,0.000000,events/second
1681858301,42538,643.596442,0.000000,0.000000,0.000000,events/second
1681858304,48581,703.276065,0.000000,0.000000,0.000000,events/second
1681858307,55727,773.191759,0.000000,0.000000,0.000000,events/second
1681858310,65982,879.004887,0.000000,0.000000,0.000000,events/second
1681858313,77944,998.196934,0.000000,0.000000,0.000000,events/second
1681858316,101429,1251.193788,0.000000,0.000000,0.000000,events/second
1681858319,120498,1433.201654,0.000000,0.000000,0.000000,events/second
1681858322,136173,1563.135417,0.000000,0.000000,0.000000,events/second
1681858325,151371,1679.726141,0.000000,0.000000,0.000000,events/second
1681858328,168008,1804.588547,0.000000,0.000000,0.000000,events/second
1681858331,170917,1779.672450,0.000000,0.000000,0.000000,events/second
1681858334,170917,1725.750690,0.000000,0.000000,0.000000,events/second
1681858337,170917,1675.075956,0.000000,0.000000,0.000000,events/second
1681858340,170917,1627.193706,0.000000,0.000000,0.000000,events/second
1681858343,170917,1581.833331,0.000000,0.000000,0.000000,events/second
1681858346,170917,1539.173280,0.000000,0.000000,0.000000,events/second
1681858349,170917,1498.777902,0.000000,0.000000,0.000000,events/second
1681858352,170917,1460.111375,0.000000,0.000000,0.000000,events/second
1681858355,171192,1426.051126,0.000000,0.000000,0.000000,events/second
1681858358,171192,1391.426498,0.000000,0.000000,0.000000,events/second
1681858361,171192,1358.132474,0.000000,0.000000,0.000000,events/second
1681858364,171192,1326.713550,0.000000,0.000000,0.000000,events/second
1681858367,171192,1296.576544,0.000000,0.000000,0.000000,events/second
1681858370,171192,1267.708655,0.000000,0.000000,0.000000,events/second
1681858373,171208,1239.431433,0.000000,0.000000,0.000000,events/second
1681858376,171285,1214.277562,0.000000,0.000000,0.000000,events/second
1681858379,171285,1188.943180,0.000000,0.000000,0.000000,events/second
1681858382,171285,1164.817083,0.000000,0.000000,0.000000,events/second
1681858385,171285,1141.574195,0.000000,0.000000,0.000000,events/second
1681858388,177832,1161.746787,0.000000,0.000000,0.000000,events/second
1681858391,177832,1139.600751,0.000000,0.000000,0.000000,events/second
1681858394,177832,1118.131914,0.000000,0.000000,0.000000,events/second
1681858397,177832,1097.476822,0.000000,0.000000,0.000000,events/second
1681858400,177832,1077.397980,0.000000,0.000000,0.000000,events/second
1681858403,177832,1058.244905,0.000000,0.000000,0.000000,events/second
1681858406,177832,1039.667422,0.000000,0.000000,0.000000,events/second
1681858409,177832,1021.808555,0.000000,0.000000,0.000000,events/second
1681858412,177832,1004.452864,0.000000,0.000000,0.000000,events/second
1681858415,178107,989.246710,0.000000,0.000000,0.000000,events/second
1681858418,178107,972.989057,0.000000,0.000000,0.000000,events/second
1681858421,178107,957.334790,0.000000,0.000000,0.000000,events/second
1681858424,178107,942.195455,0.000000,0.000000,0.000000,events/second
1681858427,178107,927.402342,0.000000,0.000000,0.000000,events/second
1681858430,178107,913.191954,0.000000,0.000000,0.000000,events/second
1681858433,178107,899.332484,0.000000,0.000000,0.000000,events/second
