t,value
1681858238,12
1681858241,12
1681858244,12
1681858247,12
1681858250,12
1681858253,12
1681858256,12
1681858259,12
1681858262,12
1681858265,12
1681858268,12
1681858271,12
1681858274,12
1681858277,12
1681858280,12
1681858283,12
1681858286,12
1681858289,12
1681858292,12
1681858295,12
1681858298,12
1681858301,12
1681858304,12
1681858307,12
1681858310,12
1681858313,12
1681858316,12
1681858319,12
1681858322,12
1681858325,12
1681858328,12
1681858331,12
1681858334,12
1681858337,12
1681858340,12
1681858343,12
1681858346,12
1681858349,12
1681858352,12
1681858355,12
1681858358,12
1681858361,12
1681858364,12
1681858367,12
1681858370,12
1681858373,12
1681858376,12
1681858379,12
1681858382,12
1681858385,12
1681858388,12
1681858391,12
1681858394,12
1681858397,12
1681858400,12
1681858403,12
1681858406,12
1681858409,12
1681858412,12
1681858415,12
1681858418,12
1681858421,12
1681858424,12
1681858427,12
1681858430,12
1681858433,12
1681858436,12
1681858439,12
1681858442,12
1681858445,12
1681858448,12
1681858451,12
1681858454,12
1681858457,12
1681858460,12
1681858463,12
1681858466,12
1681858469,12
1681858472,12
1681858475,12
1681858478,12
1681858481,12
1681858484,12
1681858487,12
1681858490,12
1681858493,12
1681858496,12
1681858499,12
1681858502,12
1681858505,12
1681858508,12
1681858511,12
1681858514,12
1681858517,12
1681858520,12
1681858523,12
1681858526,12
1681858529,12
1681858532,12
1681858535,12
1681858538,12
1681858541,12
1681858544,12
1681858547,12
1681858550,12
1681858553,12
1681858556,12
1681858559,12
1681858562,12
1681858565,12
1681858568,12
1681858571,12
1681858574,12
1681858577,12
1681858580,12
1681858583,12
1681858586,12
1681858589,12
1681858592,12
1681858595,12
1681858598,12
1681858601,12
1681858604,12
1681858607,12
1681858610,12
1681858613,12
1681858616,12
1681858619,12
1681858622,12
1681858625,12
1681858628,12
1681858631,12
1681858634,12
1681858637,12
1681858640,12
1681858643,12
1681858646,12
1681858649,12
1681858652,12
1681858655,12
1681858658,12
1681858661,12
1681858664,12
1681858667,12
1681858670,12
1681858673,12
1681858676,12
1681858679,12
1681858682,12
1681858685,12
1681858688,12
1681858691,12
1681858694,12
1681858697,12
1681858700,12
1681858703,12
1681858706,12
1681858709,12
1681858712,12
1681858715,12
1681858718,12
1681858721,12
1681858724,12
1681858727,12
1681858730,12
1681858733,12
1681858736,12
1681858739,12
1681858742,12
1681858745,12
1681858748,12
1681858751,12
1681858754,12
1681858757,12
1681858760,12
1681858763,12
1681858766,12
1681858769,12
1681858772,12
1681858775,12
1681858778,12
1681858781,12
1681858784,12
1681858787,12
1681858790,12
1681858793,12
1681858796,12
1681858799,12
1681858802,12
1681858805,12
1681858808,12
1681858811,12
1681858814,12
1681858817,12
1681858820,12
1681858823,12
1681858826,12
1681858829,12
1681858832,12
1681858835,12
1681858838,12
1681858841,12
1681858844,12
1681858847,12
1681858850,12
1681858853,12
1681858856,12
1681858859,12
1681858862,12
1681858865,12
1681858868,12
