t,value
1681858238,6
1681858241,6
1681858244,6
1681858247,6
1681858250,6
1681858253,6
1681858256,6
1681858259,6
1681858262,6
1681858265,6
1681858268,6
1681858271,5
1681858274,5
1681858277,5
1681858280,5
1681858283,5
1681858286,5
1681858289,5
1681858292,5
1681858295,5
1681858298,5
1681858301,5
1681858304,6
1681858307,5
1681858310,5
1681858313,5
1681858316,5
1681858319,5
1681858322,5
1681858325,5
1681858328,5
1681858331,6
1681858334,6
1681858337,6
1681858340,6
1681858343,6
1681858346,6
1681858349,6
1681858352,6
1681858355,6
1681858358,6
1681858361,6
1681858364,6
1681858367,6
1681858370,6
1681858373,6
1681858376,6
1681858379,6
1681858382,6
1681858385,6
1681858388,6
1681858391,7
1681858394,7
1681858397,7
1681858400,7
1681858403,7
1681858406,7
1681858409,7
1681858412,7
1681858415,7
1681858418,7
1681858421,7
1681858424,7
1681858427,7
1681858430,7
1681858433,7
1681858436,7
1681858439,7
1681858442,7
1681858445,7
1681858448,7
1681858451,7
1681858454,7
1681858457,7
1681858460,7
1681858463,7
1681858466,7
1681858469,7
1681858472,7
1681858475,7
1681858478,7
1681858481,7
1681858484,7
1681858487,7
1681858490,7
1681858493,7
1681858496,7
1681858499,7
1681858502,7
1681858505,7
1681858508,7
1681858511,7
1681858514,7
1681858517,7
1681858520,7
1681858523,7
1681858526,7
1681858529,7
1681858532,7
1681858535,7
1681858538,7
1681858541,7
1681858544,7
1681858547,7
1681858550,7
1681858553,7
1681858556,7
1681858559,7
1681858562,7
1681858565,7
1681858568,7
1681858571,7
1681858574,7
1681858577,7
1681858580,7
1681858583,7
1681858586,7
1681858589,7
1681858592,7
1681858595,7
1681858598,7
1681858601,7
1681858604,7
1681858607,7
1681858610,7
1681858613,7
1681858616,7
1681858619,7
1681858622,7
1681858625,7
1681858628,7
1681858631,7
1681858634,7
1681858637,7
1681858640,7
1681858643,7
1681858646,7
1681858649,7
1681858652,7
1681858655,7
1681858658,7
1681858661,7
1681858664,7
1681858667,7
1681858670,7
1681858673,7
1681858676,7
1681858679,7
1681858682,7
1681858685,7
1681858688,7
1681858691,7
1681858694,7
1681858697,7
1681858700,7
1681858703,7
1681858706,7
1681858709,7
1681858712,7
1681858715,7
1681858718,7
1681858721,7
1681858724,7
1681858727,7
1681858730,7
1681858733,7
1681858736,7
1681858739,7
1681858742,7
1681858745,7
1681858748,7
1681858751,7
1681858754,7
1681858757,7
1681858760,7
1681858763,7
1681858766,7
1681858769,7
1681858772,7
1681858775,7
1681858778,7
1681858781,7
1681858784,7
1681858787,7
1681858790,7
1681858793,7
1681858796,7
1681858799,7
1681858802,7
1681858805,7
1681858808,7
1681858811,7
1681858814,7
1681858817,7
1681858820,7
1681858823,7
1681858826,7
1681858829,7
1681858832,7
1681858835,7
1681858838,7
1681858841,7
1681858844,7
1681858847,7
1681858850,7
1681858853,7
1681858856,7
1681858859,7
1681858862,7
1681858865,7
1681858868,7
1681858871,7
1681858874,7
1681858877,7
1681858880,7
1681858883,7
1681858886,7
1681858889,7
1681858892,7
1681858895,7
1681858898,7
1681858901,7
1681858904,7
1681858907,7
1681858910,7
1681858913,7
1681858916,7
1681858919,7
1681858922,7
1681858925,7
1681858928,7
1681858931,7
1681858934,7
1681858937,7
1681858940,7
1681858943,7
1681858946,7
1681858949,7
1681858952,7
1681858955,7
1681858958,7
1681858961,7
1681858964,7
1681858967,7
1681858970,7
1681858973,7
1681858976,7
1681858979,7
1681858982,7
1681858985,7
1681858988,7
1681858991,7
1681858994,7
1681858997,7
1681859000,7
1681859003,7
1681859006,7
1681859009,7
1681859012,7
1681859015,7
1681859018,7
1681859021,7
1681859024,7
1681859027,7
1681859030,7
1681859033,7
1681859036,7
1681859039,7
1681859042,7
1681859045,7
1681859048,7
1681859051,7
1681859054,7
1681859057,7
1681859060,7
1681859063,7
1681859066,7
1681859069,7
1681859072,7
1681859075,7
1681859078,7
1681859081,7
1681859084,7
1681859087,7
1681859090,7
1681859093,7
1681859096,7
1681859099,7
1681859102,7
1681859105,7
1681859108,7
1681859111,7
1681859114,7
