t,value
1681858238,80
1681858241,80
1681858244,80
1681858247,80
1681858250,80
1681858253,80
1681858256,80
1681858259,80
1681858262,80
1681858265,80
1681858268,80
1681858271,80
1681858274,80
1681858277,80
1681858280,80
1681858283,80
1681858286,80
1681858289,80
1681858292,80
1681858295,80
1681858298,80
1681858301,80
1681858304,80
1681858307,80
1681858310,80
1681858313,80
1681858316,80
1681858319,80
1681858322,80
1681858325,80
1681858328,80
1681858331,80
1681858334,80
1681858337,80
1681858340,80
1681858343,80
1681858346,80
1681858349,80
1681858352,80
1681858355,80
1681858358,80
1681858361,80
1681858364,80
1681858367,80
1681858370,80
1681858373,80
1681858376,80
1681858379,80
1681858382,80
1681858385,80
1681858388,80
1681858391,80
1681858394,80
1681858397,80
1681858400,80
1681858403,80
1681858406,80
1681858409,80
1681858412,80
1681858415,80
1681858418,80
1681858421,80
1681858424,80
1681858427,80
1681858430,80
1681858433,80
1681858436,80
1681858439,80
1681858442,80
1681858445,80
1681858448,80
1681858451,80
1681858454,80
1681858457,80
1681858460,80
1681858463,80
1681858466,80
1681858469,80
1681858472,80
1681858475,80
1681858478,80
1681858481,80
1681858484,80
1681858487,80
1681858490,80
1681858493,80
1681858496,80
1681858499,80
1681858502,80
1681858505,80
1681858508,80
1681858511,80
1681858514,80
1681858517,80
1681858520,80
1681858523,80
1681858526,80
1681858529,80
1681858532,80
1681858535,80
1681858538,80
1681858541,80
1681858544,80
1681858547,80
1681858550,80
1681858553,80
1681858556,80
1681858559,80
1681858562,80
1681858565,80
1681858568,80
1681858571,80
1681858574,80
1681858577,80
1681858580,80
1681858583,80
1681858586,80
1681858589,80
1681858592,80
1681858595,80
1681858598,80
1681858601,80
1681858604,80
1681858607,80
1681858610,80
1681858613,80
1681858616,80
1681858619,80
1681858622,80
1681858625,80
1681858628,80
1681858631,80
1681858634,80
1681858637,80
1681858640,80
1681858643,80
1681858646,80
1681858649,80
1681858652,80
1681858655,80
1681858658,80
1681858661,80
1681858664,80
1681858667,80
1681858670,80
1681858673,80
1681858676,80
1681858679,80
1681858682,80
1681858685,80
1681858688,80
1681858691,80
1681858694,80
1681858697,80
1681858700,80
1681858703,80
1681858706,80
1681858709,80
1681858712,80
1681858715,80
1681858718,80
1681858721,80
1681858724,80
1681858727,80
1681858730,80
1681858733,80
1681858736,80
1681858739,80
1681858742,80
1681858745,80
1681858748,80
1681858751,80
1681858754,80
1681858757,80
1681858760,80
1681858763,80
1681858766,80
1681858769,80
1681858772,80
1681858775,80
1681858778,80
1681858781,80
1681858784,80
1681858787,80
1681858790,80
1681858793,80
1681858796,80
1681858799,80
1681858802,80
1681858805,80
1681858808,80
1681858811,80
1681858814,80
1681858817,80
1681858820,80
1681858823,80
1681858826,80
1681858829,80
1681858832,80
1681858835,80
1681858838,80
1681858841,80
1681858844,80
1681858847,80
1681858850,80
1681858853,80
1681858856,80
1681858859,80
1681858862,80
1681858865,80
1681858868,80
1681858871,80
1681858874,80
1681858877,80
1681858880,80
1681858883,80
1681858886,80
1681858889,80
1681858892,80
1681858895,80
1681858898,80
1681858901,80
1681858904,80
1681858907,80
1681858910,80
1681858913,80
1681858916,80
1681858919,80
1681858922,80
1681858925,80
1681858928,80
1681858931,80
1681858934,80
1681858937,80
1681858940,80
1681858943,80
1681858946,80
1681858949,80
1681858952,80
1681858955,80
1681858958,80
1681858961,80
1681858964,80
1681858967,80
1681858970,80
1681858973,80
1681858976,80
1681858979,80
1681858982,80
1681858985,80
1681858988,80
1681858991,80
1681858994,80
1681858997,80
1681859000,80
1681859003,80
1681859006,80
1681859009,80
1681859012,80
1681859015,80
1681859018,80
1681859021,80
1681859024,80
1681859027,80
1681859030,80
1681859033,80
1681859036,80
1681859039,80
1681859042,80
1681859045,80
1681859048,80
1681859051,80
1681859054,80
1681859057,80
1681859060,80
1681859063,80
1681859066,80
1681859069,80
1681859072,80
1681859075,80
1681859078,80
1681859081,80
1681859084,80
1681859087,80
1681859090,80
1681859093,80
1681859096,80
1681859099,80
1681859102,80
1681859105,80
1681859108,80
1681859111,80
1681859114,80
1681859117,80
1681859120,80
1681859123,80
1681859126,80
1681859129,80
1681859132,80
1681859135,80
1681859138,80
1681859141,80
1681859144,80
1681859147,80
1681859150,80
1681859153,80
1681859156,80
1681859159,80
1681859162,80
1681859165,80
1681859168,80
1681859171,80
1681859174,80
1681859177,80
1681859180,80
1681859183,80
1681859186,80
1681859189,80
1681859192,80
1681859195,80
1681859198,80
1681859201,80
1681859204,80
1681859207,80
1681859210,80
1681859213,80
1681859216,80
1681859219,80
1681859222,80
1681859225,80
1681859228,80
1681859231,80
1681859234,80
1681859237,80
1681859240,80
1681859243,80
1681859246,80
1681859249,80
1681859252,80
1681859255,80
1681859258,80
1681859261,80
1681859264,80
1681859267,80
1681859270,80
1681859273,80
1681859276,80
1681859279,80
1681859282,80
1681859285,80
1681859288,80
1681859291,80
1681859294,80
1681859297,80
1681859300,80
1681859303,80
1681859306,80
1681859309,80
1681859312,80
1681859315,80
1681859318,80
1681859321,80
1681859324,80
1681859327,80
1681859330,80
1681859333,80
1681859336,80
1681859339,80
1681859342,80
1681859345,80
1681859348,80
1681859351,80
1681859354,80
1681859357,80
1681859360,80
1681859363,80
1681859366,80
1681859369,80
1681859372,80
1681859375,80
