t,value
1681858238,61
1681858241,61
1681858244,61
1681858247,61
1681858250,61
1681858253,61
1681858256,61
1681858259,61
1681858262,61
1681858265,61
1681858268,61
1681858271,61
1681858274,61
1681858277,61
1681858280,61
1681858283,61
1681858286,61
1681858289,61
1681858292,61
1681858295,61
1681858298,61
1681858301,61
1681858304,61
1681858307,61
1681858310,61
1681858313,61
1681858316,61
1681858319,61
1681858322,61
1681858325,61
1681858328,61
1681858331,61
1681858334,61
1681858337,61
1681858340,61
1681858343,61
1681858346,61
1681858349,61
1681858352,61
1681858355,61
1681858358,61
1681858361,61
1681858364,61
1681858367,61
1681858370,61
1681858373,61
1681858376,61
1681858379,61
1681858382,61
1681858385,61
1681858388,61
1681858391,61
1681858394,61
1681858397,61
1681858400,61
1681858403,61
1681858406,61
1681858409,61
1681858412,61
1681858415,61
1681858418,61
1681858421,61
1681858424,61
1681858427,61
1681858430,61
1681858433,61
1681858436,61
1681858439,61
1681858442,61
1681858445,61
1681858448,61
1681858451,61
1681858454,61
1681858457,61
1681858460,61
1681858463,61
1681858466,61
1681858469,61
1681858472,61
1681858475,61
1681858478,61
1681858481,61
1681858484,61
1681858487,61
1681858490,61
1681858493,61
1681858496,61
1681858499,61
1681858502,61
1681858505,61
1681858508,61
1681858511,61
1681858514,61
1681858517,61
1681858520,61
1681858523,61
1681858526,61
1681858529,61
1681858532,61
1681858535,61
1681858538,61
1681858541,61
1681858544,61
1681858547,61
1681858550,61
1681858553,61
1681858556,61
1681858559,61
1681858562,61
1681858565,61
1681858568,61
1681858571,61
1681858574,61
1681858577,61
1681858580,61
1681858583,61
1681858586,61
1681858589,61
1681858592,61
1681858595,61
1681858598,61
1681858601,61
1681858604,61
1681858607,61
1681858610,61
1681858613,61
1681858616,61
1681858619,61
1681858622,61
1681858625,61
1681858628,61
1681858631,61
1681858634,61
1681858637,61
1681858640,61
1681858643,61
1681858646,61
1681858649,61
1681858652,61
1681858655,61
1681858658,61
1681858661,61
1681858664,61
1681858667,61
1681858670,61
1681858673,61
1681858676,61
1681858679,61
1681858682,61
1681858685,61
1681858688,61
1681858691,61
1681858694,61
1681858697,61
1681858700,61
1681858703,61
1681858706,61
1681858709,61
1681858712,61
1681858715,61
1681858718,61
1681858721,61
1681858724,61
1681858727,61
1681858730,61
1681858733,61
1681858736,61
1681858739,61
1681858742,61
1681858745,61
1681858748,61
1681858751,61
1681858754,61
1681858757,61
1681858760,61
1681858763,61
1681858766,61
1681858769,61
1681858772,61
1681858775,61
1681858778,61
1681858781,61
1681858784,61
1681858787,61
1681858790,61
1681858793,61
1681858796,61
1681858799,61
1681858802,61
1681858805,61
1681858808,61
1681858811,61
1681858814,61
1681858817,61
1681858820,61
1681858823,61
1681858826,61
1681858829,61
1681858832,61
1681858835,61
1681858838,61
1681858841,61
1681858844,61
1681858847,61
1681858850,61
1681858853,61
1681858856,61
1681858859,61
1681858862,61
1681858865,61
1681858868,61
1681858871,61
1681858874,61
1681858877,61
1681858880,61
1681858883,61
1681858886,61
1681858889,61
1681858892,61
1681858895,61
1681858898,61
1681858901,61
1681858904,61
1681858907,61
1681858910,61
1681858913,61
1681858916,61
1681858919,61
1681858922,61
1681858925,61
1681858928,61
1681858931,61
1681858934,61
1681858937,61
1681858940,61
1681858943,61
1681858946,61
1681858949,61
1681858952,61
1681858955,61
1681858958,61
1681858961,61
1681858964,61
1681858967,61
1681858970,61
1681858973,61
1681858976,61
1681858979,61
1681858982,61
1681858985,61
1681858988,61
1681858991,61
1681858994,61
1681858997,61
1681859000,61
1681859003,61
1681859006,61
1681859009,61
1681859012,61
1681859015,61
1681859018,61
1681859021,61
1681859024,61
1681859027,61
1681859030,61
1681859033,61
1681859036,61
1681859039,61
1681859042,61
1681859045,61
1681859048,61
1681859051,61
1681859054,61
1681859057,61
1681859060,61
1681859063,61
1681859066,61
1681859069,61
1681859072,61
1681859075,61
1681859078,61
1681859081,61
1681859084,61
1681859087,61
1681859090,61
1681859093,61
1681859096,61
1681859099,61
1681859102,61
1681859105,61
1681859108,61
1681859111,61
1681859114,61
1681859117,61
1681859120,61
1681859123,61
1681859126,61
1681859129,61
1681859132,61
1681859135,61
1681859138,61
1681859141,61
1681859144,61
1681859147,61
1681859150,61
1681859153,61
1681859156,61
1681859159,61
1681859162,61
1681859165,61
1681859168,61
1681859171,61
1681859174,61
1681859177,61
1681859180,61
1681859183,61
1681859186,61
1681859189,61
1681859192,61
1681859195,61
1681859198,61
1681859201,61
1681859204,61
1681859207,61
1681859210,61
1681859213,61
1681859216,61
1681859219,61
1681859222,61
1681859225,61
1681859228,61
1681859231,61
1681859234,61
1681859237,61
1681859240,61
1681859243,61
1681859246,61
1681859249,61
1681859252,61
1681859255,61
1681859258,61
1681859261,61
1681859264,61
1681859267,61
1681859270,61
1681859273,61
1681859276,61
1681859279,61
1681859282,61
1681859285,61
1681859288,61
1681859291,61
1681859294,61
1681859297,61
1681859300,61
1681859303,61
1681859306,61
1681859309,61
1681859312,61
1681859315,61
1681859318,61
1681859321,61
1681859324,61
1681859327,61
1681859330,61
1681859333,61
1681859336,61
1681859339,61
1681859342,61
1681859345,61
1681859348,61
1681859351,61
1681859354,61
1681859357,61
1681859360,61
1681859363,61
1681859366,61
1681859369,61
1681859372,61
1681859375,61
1681859378,61
1681859381,61
1681859384,61
1681859387,61
1681859390,61
1681859393,61
1681859396,61
1681859399,61
1681859402,61
1681859405,61
1681859408,61
1681859411,61
1681859414,61
1681859417,61
1681859420,61
1681859423,61
1681859426,61
1681859429,61
1681859432,61
1681859435,61
1681859438,61
1681859441,61
1681859444,61
1681859447,61
1681859450,61
1681859453,61
1681859456,61
1681859459,61
1681859462,61
1681859465,61
1681859468,61
1681859471,61
1681859474,61
1681859477,61
1681859480,61
1681859483,61
1681859486,61
1681859489,61
1681859492,61
1681859495,61
1681859498,61
1681859501,61
1681859504,61
1681859507,61
1681859510,61
1681859513,61
1681859516,61
1681859519,61
1681859522,61
1681859525,61
1681859528,61
1681859531,61
1681859534,61
1681859537,61
1681859540,61
1681859543,61
1681859546,61
1681859549,61
1681859552,61
1681859555,61
1681859558,61
1681859561,61
1681859564,61
1681859567,61
1681859570,61
1681859573,61
1681859576,61
1681859579,61
1681859582,61
1681859585,61
1681859588,61
1681859591,61
1681859594,61
1681859597,61
1681859600,61
1681859603,61
1681859606,61
1681859609,61
1681859612,61
1681859615,61
1681859618,61
1681859621,61
1681859624,61
1681859627,61
1681859630,61
1681859633,61
1681859636,61
1681859639,61
1681859642,61
1681859645,61
1681859648,61
1681859651,61
1681859654,61
1681859657,61
1681859660,61
1681859663,61
1681859666,61
1681859669,61
1681859672,61
1681859675,61
1681859678,61
1681859681,61
1681859684,61
1681859687,61
1681859690,61
1681859693,61
1681859696,61
1681859699,61
1681859702,61
1681859705,61
1681859708,61
1681859711,61
1681859714,61
1681859717,61
1681859720,61
1681859723,61
1681859726,61
1681859729,61
1681859732,61
1681859735,61
1681859738,61
1681859741,61
1681859744,61
1681859747,61
1681859750,61
1681859753,61
1681859756,61
1681859759,61
1681859762,61
1681859765,61
1681859768,61
1681859771,61
1681859774,61
1681859777,61
1681859780,61
1681859783,61
1681859786,61
1681859789,61
1681859792,61
1681859795,61
1681859798,61
1681859801,61
1681859804,61
1681859807,61
1681859810,61
1681859813,61
1681859816,61
1681859819,61
1681859822,61
1681859825,61
1681859828,61
1681859831,61
1681859834,61
1681859837,61
1681859840,61
1681859843,61
1681859846,61
1681859849,61
1681859852,61
1681859855,61
1681859858,61
1681859861,61
1681859864,61
1681859867,61
1681859870,61
1681859873,61
1681859876,61
1681859879,61
1681859882,61
1681859885,61
1681859888,61
1681859891,61
1681859894,61
1681859897,61
1681859900,61
1681859903,61
1681859906,61
1681859909,61
1681859912,61
1681859915,61
1681859918,61
1681859921,61
1681859924,61
1681859927,61
1681859930,61
1681859933,61
1681859936,61
1681859939,61
1681859942,61
1681859945,61
1681859948,61
1681859951,61
1681859954,61
1681859957,61
1681859960,61
1681859963,61
1681859966,61
1681859969,61
1681859972,61
1681859975,61
1681859978,61
1681859981,61
1681859984,61
1681859987,61
1681859990,61
1681859993,61
1681859996,61
1681859999,61
1681860002,61
1681860005,61
1681860008,61
1681860011,61
1681860014,61
1681860017,61
1681860020,61
1681860023,61
1681860026,61
1681860029,61
1681860032,61
1681860035,61
1681860038,61
1681860041,61
1681860044,61
1681860047,61
1681860050,61
1681860053,61
1681860056,61
1681860059,61
1681860062,61
1681860065,61
1681860068,61
1681860071,61
1681860074,61
1681860077,61
1681860080,61
1681860083,61
1681860086,61
1681860089,61
1681860092,61
1681860095,61
1681860098,61
1681860101,61
1681860104,61
1681860107,61
1681860110,61
1681860113,61
1681860116,61
1681860119,61
1681860122,61
1681860125,61
1681860128,61
1681860131,61
1681860134,61
1681860137,61
1681860140,61
1681860143,61
1681860146,61
1681860149,61
1681860152,61
1681860155,61
1681860158,61
1681860161,61
1681860164,61
1681860167,61
1681860170,61
1681860173,61
1681860176,61
1681860179,61
1681860182,61
1681860185,61
1681860188,61
1681860191,61
1681860194,61
1681860197,61
1681860200,61
1681860203,61
1681860206,61
1681860209,61
1681860212,61
1681860215,61
1681860218,61
1681860221,61
1681860224,61
1681860227,61
1681860230,61
1681860233,61
1681860236,61
1681860239,61
1681860242,61
1681860245,61
1681860248,61
1681860251,61
1681860254,61
1681860257,61
1681860260,61
1681860263,61
1681860266,61
1681860269,61
1681860272,61
1681860275,61
1681860278,61
1681860281,61
1681860284,61
1681860287,61
1681860290,61
1681860293,61
1681860296,61
1681860299,61
1681860302,61
1681860305,61
1681860308,61
1681860311,61
1681860314,61
1681860317,61
1681860320,61
1681860323,61
1681860326,61
1681860329,61
1681860332,61
1681860335,61
