t,value
1681858238,6
1681858241,6
1681858244,6
1681858247,6
1681858250,6
1681858253,6
1681858256,6
1681858259,6
1681858262,6
1681858265,6
1681858268,6
1681858271,6
1681858274,6
1681858277,6
1681858280,6
1681858283,6
1681858286,6
1681858289,6
1681858292,6
1681858295,6
1681858298,6
1681858301,6
1681858304,6
1681858307,6
1681858310,6
1681858313,6
1681858316,6
1681858319,6
1681858322,6
1681858325,6
1681858328,6
1681858331,6
1681858334,6
1681858337,6
1681858340,6
1681858343,6
1681858346,6
1681858349,6
1681858352,6
1681858355,6
1681858358,6
1681858361,6
1681858364,6
1681858367,6
1681858370,6
1681858373,6
1681858376,6
1681858379,6
1681858382,6
1681858385,6
1681858388,6
1681858391,6
1681858394,6
1681858397,6
1681858400,6
1681858403,6
1681858406,6
1681858409,6
1681858412,6
1681858415,6
1681858418,6
1681858421,6
1681858424,6
1681858427,6
1681858430,6
1681858433,6
1681858436,6
1681858439,6
1681858442,6
1681858445,6
1681858448,6
1681858451,6
1681858454,6
1681858457,6
1681858460,6
1681858463,6
1681858466,6
1681858469,6
1681858472,6
1681858475,6
1681858478,6
1681858481,6
1681858484,6
1681858487,6
1681858490,6
1681858493,6
1681858496,6
1681858499,6
1681858502,6
1681858505,6
1681858508,6
1681858511,6
1681858514,6
1681858517,6
1681858520,6
1681858523,6
1681858526,6
1681858529,6
1681858532,6
1681858535,6
1681858538,6
1681858541,6
1681858544,6
1681858547,6
1681858550,6
1681858553,6
1681858556,6
1681858559,6
1681858562,6
1681858565,6
1681858568,6
1681858571,6
1681858574,6
1681858577,6
1681858580,6
1681858583,6
1681858586,6
1681858589,6
1681858592,6
1681858595,6
1681858598,6
1681858601,6
1681858604,6
1681858607,6
1681858610,6
1681858613,6
1681858616,6
1681858619,6
1681858622,6
1681858625,6
1681858628,6
1681858631,6
1681858634,6
1681858637,6
1681858640,6
1681858643,6
1681858646,6
1681858649,6
1681858652,6
1681858655,6
1681858658,6
1681858661,6
1681858664,6
1681858667,6
1681858670,6
1681858673,6
1681858676,6
1681858679,6
1681858682,6
1681858685,6
1681858688,6
1681858691,6
1681858694,6
1681858697,6
1681858700,6
1681858703,6
1681858706,6
1681858709,6
1681858712,6
1681858715,6
1681858718,6
1681858721,6
1681858724,6
1681858727,6
1681858730,6
1681858733,6
1681858736,6
1681858739,6
1681858742,6
1681858745,6
1681858748,6
1681858751,6
1681858754,6
1681858757,6
1681858760,6
1681858763,6
1681858766,6
1681858769,6
1681858772,6
1681858775,6
1681858778,6
1681858781,6
1681858784,6
1681858787,6
1681858790,6
1681858793,6
1681858796,6
1681858799,6
1681858802,6
1681858805,6
1681858808,6
1681858811,6
1681858814,6
1681858817,6
1681858820,6
1681858823,6
1681858826,6
1681858829,6
1681858832,6
1681858835,6
1681858838,6
1681858841,6
1681858844,6
1681858847,6
1681858850,6
1681858853,6
1681858856,6
1681858859,6
1681858862,6
1681858865,6
1681858868,6
1681858871,6
1681858874,6
1681858877,6
1681858880,6
1681858883,6
1681858886,6
1681858889,6
1681858892,6
1681858895,6
1681858898,6
1681858901,6
1681858904,6
1681858907,6
1681858910,6
1681858913,6
1681858916,6
1681858919,6
1681858922,6
1681858925,6
1681858928,6
1681858931,6
1681858934,6
1681858937,6
1681858940,6
1681858943,6
1681858946,6
1681858949,6
1681858952,6
1681858955,6
1681858958,6
1681858961,6
1681858964,6
1681858967,6
1681858970,6
1681858973,6
1681858976,6
1681858979,6
1681858982,6
1681858985,6
1681858988,6
1681858991,6
1681858994,6
1681858997,6
1681859000,6
1681859003,6
1681859006,6
1681859009,6
1681859012,6
1681859015,6
1681859018,6
1681859021,6
1681859024,6
1681859027,6
1681859030,6
1681859033,6
1681859036,6
1681859039,6
1681859042,6
1681859045,6
1681859048,6
1681859051,6
1681859054,6
1681859057,6
1681859060,6
1681859063,6
1681859066,6
1681859069,6
1681859072,6
1681859075,6
1681859078,6
1681859081,6
1681859084,6
1681859087,6
1681859090,6
1681859093,6
1681859096,6
1681859099,6
1681859102,6
1681859105,6
1681859108,6
1681859111,6
1681859114,6
