t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,32466,6829.144465,0.000000,0.000000,0.000000,events/second
1681858241,32466,4334.783446,0.000000,0.000000,0.000000,events/second
1681858244,32466,3110.150781,0.000000,0.000000,0.000000,events/second
1681858247,32466,2375.760673,0.000000,0.000000,0.000000,events/second
1681858250,32466,1979.328485,0.000000,0.000000,0.000000,events/second
1681858253,32466,1672.064232,0.000000,0.000000,0.000000,events/second
1681858256,32466,1448.538734,0.000000,0.000000,0.000000,events/second
1681858259,32466,1234.161949,0.000000,0.000000,0.000000,events/second
1681858262,32466,1139.999662,0.000000,0.000000,0.000000,events/second
1681858265,32466,1033.209349,0.000000,0.000000,0.000000,events/second
1681858268,32466,944.376325,0.000000,0.000000,0.000000,events/second
1681858271,32466,867.959936,0.000000,0.000000,0.000000,events/second
1681858274,32466,803.780284,0.000000,0.000000,0.000000,events/second
1681858277,32466,748.118226,0.000000,0.000000,0.000000,events/second
1681858280,32466,699.019563,0.000000,0.000000,0.000000,events/second
1681858283,32466,655.383476,0.000000,0.000000,0.000000,events/second
1681858286,32466,619.616918,0.000000,0.000000,0.000000,events/second
1681858289,32466,586.189817,0.000000,0.000000,0.000000,events/second
1681858292,32466,555.882194,0.000000,0.000000,0.000000,events/second
1681858295,32466,528.180472,0.000000,0.000000,0.000000,events/second
1681858298,32466,504.073737,0.000000,0.000000,0.000000,events/second
1681858301,32466,481.585939,0.000000,0.000000,0.000000,events/second
1681858304,32466,461.170038,0.000000,0.000000,0.000000,events/second
1681858307,32466,442.349111,0.000000,0.000000,0.000000,events/second
1681858310,32466,425.028747,0.000000,0.000000,0.000000,events/second
1681858313,32466,408.862117,0.000000,0.000000,0.000000,events/second
1681858316,32466,394.070040,0.000000,0.000000,0.000000,events/second
1681858319,32466,380.179450,0.000000,0.000000,0.000000,events/second
1681858322,32466,367.110414,0.000000,0.000000,0.000000,events/second
1681858325,32466,355.062542,0.000000,0.000000,0.000000,events/second
1681858328,32466,343.842771,0.000000,0.000000,0.000000,events/second
1681858331,32466,333.468801,0.000000,0.000000,0.000000,events/second
1681858334,32466,323.498881,0.000000,0.000000,0.000000,events/second
1681858337,32466,314.120959,0.000000,0.000000,0.000000,events/second
1681858340,32466,305.253258,0.000000,0.000000,0.000000,events/second
1681858343,32466,296.846354,0.000000,0.000000,0.000000,events/second
1681858346,32466,288.935060,0.000000,0.000000,0.000000,events/second
1681858349,32466,281.438745,0.000000,0.000000,0.000000,events/second
1681858352,32466,274.258938,0.000000,0.000000,0.000000,events/second
1681858355,32466,267.505128,0.000000,0.000000,0.000000,events/second
1681858358,32466,261.078942,0.000000,0.000000,0.000000,events/second
1681858361,32466,254.896274,0.000000,0.000000,0.000000,events/second
1681858364,32466,249.059587,0.000000,0.000000,0.000000,events/second
1681858367,32466,243.457938,0.000000,0.000000,0.000000,events/second
1681858370,32466,238.089465,0.000000,0.000000,0.000000,events/second
1681858373,32466,232.800394,0.000000,0.000000,0.000000,events/second
1681858376,32466,228.021004,0.000000,0.000000,0.000000,events/second
1681858379,32466,223.310702,0.000000,0.000000,0.000000,events/second
1681858382,32466,218.819206,0.000000,0.000000,0.000000,events/second
1681858385,32466,214.491456,0.000000,0.000000,0.000000,events/second
1681858388,32466,210.280150,0.000000,0.000000,0.000000,events/second
1681858391,32466,206.307052,0.000000,0.000000,0.000000,events/second
1681858394,32466,202.452391,0.000000,0.000000,0.000000,events/second
1681858397,32466,198.742305,0.000000,0.000000,0.000000,events/second
1681858400,32466,195.134937,0.000000,0.000000,0.000000,events/second
1681858403,32466,191.693478,0.000000,0.000000,0.000000,events/second
1681858406,32466,188.354165,0.000000,0.000000,0.000000,events/second
1681858409,32466,185.143052,0.000000,0.000000,0.000000,events/second
1681858412,32466,182.021356,0.000000,0.000000,0.000000,events/second
1681858415,32466,179.011283,0.000000,0.000000,0.000000,events/second
1681858418,32466,176.090390,0.000000,0.000000,0.000000,events/second
1681858421,32466,173.277044,0.000000,0.000000,0.000000,events/second
1681858424,32466,170.556124,0.000000,0.000000,0.000000,events/second
1681858427,32466,167.894966,0.000000,0.000000,0.000000,events/second
1681858430,32466,165.341183,0.000000,0.000000,0.000000,events/second
1681858433,32466,162.847812,0.000000,0.000000,0.000000,events/second
1681858436,32466,160.429762,0.000000,0.000000,0.000000,events/second
1681858439,32466,158.097454,0.000000,0.000000,0.000000,events/second
1681858442,32466,155.815121,0.000000,0.000000,0.000000,events/second
1681858445,32466,153.609863,0.000000,0.000000,0.000000,events/second
1681858448,32466,151.446996,0.000000,0.000000,0.000000,events/second
1681858451,32466,149.359462,0.000000,0.000000,0.000000,events/second
1681858454,32466,147.327759,0.000000,0.000000,0.000000,events/second
1681858457,32466,145.352477,0.000000,0.000000,0.000000,events/second
1681858460,32466,143.427239,0.000000,0.000000,0.000000,events/second
1681858463,32466,141.553041,0.000000,0.000000,0.000000,events/second
1681858466,32466,139.723033,0.000000,0.000000,0.000000,events/second
1681858469,32466,137.939279,0.000000,0.000000,0.000000,events/second
1681858472,32466,136.207821,0.000000,0.000000,0.000000,events/second
1681858475,32466,134.510892,0.000000,0.000000,0.000000,events/second
1681858478,32466,132.863110,0.000000,0.000000,0.000000,events/second
1681858481,32466,131.251418,0.000000,0.000000,0.000000,events/second
1681858484,32466,129.678559,0.000000,0.000000,0.000000,events/second
1681858487,32466,128.141788,0.000000,0.000000,0.000000,events/second
1681858490,32466,126.645458,0.000000,0.000000,0.000000,events/second
1681858493,32466,125.181652,0.000000,0.000000,0.000000,events/second
1681858496,32466,123.750794,0.000000,0.000000,0.000000,events/second
1681858499,32466,122.346082,0.000000,0.000000,0.000000,events/second
1681858502,32466,120.982144,0.000000,0.000000,0.000000,events/second
1681858505,32466,119.640402,0.000000,0.000000,0.000000,events/second
1681858508,32466,118.337515,0.000000,0.000000,0.000000,events/second
1681858511,32466,117.055281,0.000000,0.000000,0.000000,events/second
1681858514,32466,115.800521,0.000000,0.000000,0.000000,events/second
1681858517,32466,114.575853,0.000000,0.000000,0.000000,events/second
1681858520,32466,113.376077,0.000000,0.000000,0.000000,events/second
1681858523,32466,112.199009,0.000000,0.000000,0.000000,events/second
1681858526,32466,111.048553,0.000000,0.000000,0.000000,events/second
1681858529,32466,109.921455,0.000000,0.000000,0.000000,events/second
1681858532,32466,108.814958,0.000000,0.000000,0.000000,events/second
1681858535,32466,107.730843,0.000000,0.000000,0.000000,events/second
1681858538,32466,106.672910,0.000000,0.000000,0.000000,events/second
1681858541,32466,105.627300,0.000000,0.000000,0.000000,events/second
1681858544,32466,104.603089,0.000000,0.000000,0.000000,events/second
1681858547,32466,103.607172,0.000000,0.000000,0.000000,events/second
1681858550,32466,102.621715,0.000000,0.000000,0.000000,events/second
1681858553,32466,101.657818,0.000000,0.000000,0.000000,events/second
1681858556,32466,100.713665,0.000000,0.000000,0.000000,events/second
1681858559,32466,99.774780,0.000000,0.000000,0.000000,events/second
1681858562,32466,98.872782,0.000000,0.000000,0.000000,events/second
1681858565,32466,97.975661,0.000000,0.000000,0.000000,events/second
1681858568,32466,97.096740,0.000000,0.000000,0.000000,events/second
