t,value
1681858238,32
1681858241,32
1681858244,32
1681858247,32
1681858250,32
1681858253,32
1681858256,32
1681858259,32
1681858262,32
1681858265,32
1681858268,32
1681858271,32
1681858274,32
1681858277,32
1681858280,32
1681858283,32
1681858286,32
1681858289,32
1681858292,32
1681858295,32
1681858298,32
1681858301,32
1681858304,32
1681858307,32
1681858310,32
1681858313,32
1681858316,32
1681858319,32
1681858322,32
1681858325,32
1681858328,32
1681858331,32
1681858334,32
1681858337,32
1681858340,32
1681858343,32
1681858346,32
1681858349,32
1681858352,32
1681858355,32
1681858358,32
1681858361,32
1681858364,32
1681858367,32
1681858370,32
1681858373,32
1681858376,32
1681858379,32
1681858382,32
1681858385,32
1681858388,32
1681858391,32
1681858394,32
1681858397,32
1681858400,32
1681858403,32
1681858406,32
1681858409,32
1681858412,32
1681858415,32
1681858418,32
1681858421,32
1681858424,32
1681858427,32
1681858430,32
1681858433,32
1681858436,32
1681858439,32
1681858442,32
1681858445,32
1681858448,32
1681858451,32
1681858454,32
1681858457,32
1681858460,32
1681858463,32
1681858466,32
1681858469,32
1681858472,32
1681858475,32
1681858478,32
1681858481,32
1681858484,32
1681858487,32
1681858490,32
1681858493,32
1681858496,32
1681858499,32
1681858502,32
1681858505,32
1681858508,32
1681858511,32
1681858514,32
1681858517,32
1681858520,32
1681858523,32
1681858526,32
1681858529,32
1681858532,32
1681858535,32
1681858538,32
1681858541,32
1681858544,32
1681858547,32
1681858550,32
1681858553,32
1681858556,32
1681858559,32
1681858562,32
1681858565,32
1681858568,32
1681858571,32
1681858574,32
1681858577,32
1681858580,32
1681858583,32
1681858586,32
1681858589,32
1681858592,32
1681858595,32
1681858598,32
1681858601,32
1681858604,32
1681858607,32
1681858610,32
1681858613,32
1681858616,32
1681858619,32
1681858622,32
1681858625,32
1681858628,32
1681858631,32
1681858634,32
1681858637,32
1681858640,32
1681858643,32
1681858646,32
1681858649,32
1681858652,32
1681858655,32
1681858658,32
1681858661,32
1681858664,32
1681858667,32
1681858670,32
1681858673,32
1681858676,32
1681858679,32
1681858682,32
1681858685,32
1681858688,32
1681858691,32
1681858694,32
1681858697,32
1681858700,32
1681858703,32
1681858706,32
1681858709,32
1681858712,32
1681858715,32
1681858718,32
1681858721,32
1681858724,32
1681858727,32
1681858730,32
1681858733,32
1681858736,32
1681858739,32
1681858742,32
1681858745,32
1681858748,32
1681858751,32
1681858754,32
1681858757,32
1681858760,32
1681858763,32
1681858766,32
1681858769,32
1681858772,32
1681858775,32
1681858778,32
1681858781,32
1681858784,32
1681858787,32
1681858790,32
1681858793,32
1681858796,32
1681858799,32
1681858802,32
1681858805,32
