t,value
1681858238,810925
1681858241,810925
1681858244,810925
1681858247,810925
1681858250,810925
1681858253,810925
1681858256,810925
1681858259,810925
1681858262,810925
1681858265,810925
1681858268,810925
1681858271,810925
1681858274,810925
1681858277,810925
1681858280,810925
1681858283,810925
1681858286,810925
1681858289,810925
1681858292,810925
1681858295,810925
1681858298,810925
1681858301,810925
1681858304,810925
1681858307,810925
1681858310,810925
1681858313,810925
1681858316,810925
1681858319,810925
1681858322,810925
1681858325,810925
1681858328,810925
1681858331,810925
1681858334,810925
1681858337,810925
1681858340,810925
1681858343,810925
1681858346,810925
1681858349,810925
1681858352,810925
1681858355,810925
1681858358,810925
1681858361,810925
1681858364,810925
1681858367,810925
1681858370,810925
1681858373,810925
1681858376,810925
1681858379,810925
1681858382,810925
1681858385,810925
1681858388,810925
1681858391,810925
1681858394,810925
1681858397,810925
1681858400,810925
1681858403,810925
1681858406,810925
1681858409,810925
1681858412,810925
1681858415,810925
1681858418,810925
1681858421,810925
1681858424,810925
1681858427,810925
1681858430,810925
1681858433,810925
1681858436,810925
1681858439,810925
1681858442,810925
1681858445,810925
1681858448,810925
1681858451,810925
1681858454,810925
1681858457,810925
1681858460,810925
1681858463,810925
1681858466,810925
1681858469,810925
1681858472,810925
1681858475,810925
1681858478,810925
1681858481,810925
1681858484,810925
1681858487,810925
1681858490,810925
1681858493,810925
1681858496,810925
1681858499,810925
1681858502,810925
1681858505,810925
1681858508,810925
1681858511,810925
1681858514,810925
1681858517,810925
1681858520,810925
1681858523,810925
1681858526,810925
1681858529,810925
1681858532,810925
1681858535,810925
1681858538,810925
1681858541,810925
1681858544,810925
1681858547,810925
1681858550,810925
1681858553,810925
1681858556,810925
1681858559,810925
1681858562,810925
1681858565,810925
1681858568,810925
1681858571,810925
1681858574,810925
1681858577,810925
1681858580,810925
1681858583,810925
1681858586,810925
1681858589,810925
1681858592,810925
1681858595,810925
1681858598,810925
1681858601,810925
1681858604,810925
1681858607,810925
1681858610,810925
1681858613,810925
1681858616,810925
1681858619,810925
1681858622,810925
1681858625,810925
1681858628,810925
1681858631,810925
1681858634,810925
1681858637,810925
1681858640,810925
1681858643,810925
1681858646,810925
1681858649,810925
1681858652,810925
1681858655,810925
1681858658,810925
1681858661,810925
1681858664,810925
1681858667,810925
1681858670,810925
1681858673,810925
1681858676,810925
1681858679,810925
1681858682,810925
1681858685,810925
1681858688,810925
1681858691,810925
1681858694,810925
1681858697,810925
1681858700,810925
1681858703,810925
1681858706,810925
1681858709,810925
1681858712,810925
1681858715,810925
1681858718,810925
1681858721,810925
1681858724,810925
1681858727,810925
1681858730,810925
1681858733,810925
1681858736,810925
1681858739,810925
1681858742,810925
1681858745,810925
1681858748,810925
1681858751,810925
1681858754,810925
1681858757,810925
1681858760,810925
1681858763,810925
1681858766,810925
1681858769,810925
1681858772,810925
1681858775,810925
1681858778,810925
1681858781,810925
1681858784,810925
1681858787,810925
1681858790,810925
1681858793,810925
1681858796,810925
1681858799,810925
1681858802,810925
1681858805,810925
1681858808,810925
1681858811,810925
1681858814,810925
1681858817,810925
1681858820,810925
1681858823,810925
1681858826,810925
1681858829,810925
1681858832,810925
1681858835,975219
1681858838,975219
1681858841,975219
1681858844,975219
1681858847,975219
1681858850,975219
1681858853,975219
1681858856,975219
1681858859,975219
1681858862,975219
1681858865,975219
1681858868,975219
1681858871,975219
1681858874,975219
1681858877,975219
1681858880,975219
1681858883,975219
1681858886,975219
1681858889,975219
1681858892,975219
1681858895,975219
1681858898,975219
1681858901,975219
1681858904,975219
1681858907,975219
1681858910,975219
1681858913,975219
1681858916,975219
1681858919,975219
1681858922,975219
1681858925,975219
1681858928,975219
1681858931,975219
1681858934,975219
1681858937,975219
1681858940,975219
1681858943,975219
1681858946,975219
1681858949,975219
1681858952,975219
1681858955,975219
1681858958,975219
1681858961,975219
1681858964,975219
1681858967,975219
1681858970,975219
1681858973,975219
1681858976,975219
1681858979,975219
1681858982,975219
1681858985,975219
1681858988,975219
1681858991,975219
1681858994,975219
1681858997,975219
1681859000,975219
1681859003,975219
1681859006,975219
1681859009,975219
1681859012,975219
1681859015,975219
1681859018,975219
1681859021,975219
1681859024,975219
1681859027,975219
1681859030,975219
1681859033,975219
1681859036,975219
1681859039,975219
1681859042,975219
1681859045,975219
1681859048,975219
1681859051,975219
1681859054,975219
1681859057,975219
1681859060,975219
1681859063,975219
1681859066,975219
1681859069,975219
1681859072,975219
1681859075,975219
1681859078,975219
1681859081,975219
1681859084,975219
1681859087,975219
1681859090,975219
1681859093,975219
1681859096,975219
1681859099,975219
1681859102,975219
1681859105,975219
1681859108,975219
1681859111,975219
1681859114,975219
1681859117,975219
1681859120,975219
1681859123,975219
1681859126,975219
1681859129,975219
1681859132,975219
1681859135,975219
1681859138,975219
1681859141,975219
1681859144,975219
1681859147,975219
1681859150,975219
1681859153,975219
1681859156,975219
1681859159,975219
1681859162,975219
1681859165,975219
1681859168,975219
1681859171,975219
1681859174,975219
1681859177,975219
1681859180,975219
1681859183,975219
1681859186,975219
1681859189,975219
1681859192,975219
1681859195,975219
1681859198,975219
1681859201,975219
1681859204,975219
1681859207,975219
1681859210,975219
1681859213,975219
1681859216,975219
1681859219,975219
1681859222,975219
1681859225,975219
1681859228,975219
1681859231,975219
1681859234,975219
1681859237,975219
1681859240,975219
1681859243,975219
1681859246,975219
1681859249,975219
1681859252,975219
1681859255,975219
1681859258,975219
1681859261,975219
1681859264,975219
1681859267,975219
1681859270,975219
1681859273,975219
1681859276,975219
1681859279,975219
1681859282,975219
1681859285,975219
1681859288,975219
1681859291,975219
1681859294,975219
1681859297,975219
1681859300,975219
1681859303,975219
1681859306,975219
1681859309,975219
1681859312,975219
1681859315,975219
1681859318,975219
1681859321,975219
1681859324,975219
1681859327,975219
1681859330,975219
1681859333,975219
1681859336,975219
1681859339,975219
1681859342,975219
1681859345,975219
1681859348,975219
1681859351,975219
1681859354,975219
1681859357,975219
1681859360,975219
1681859363,975219
1681859366,975219
1681859369,975219
1681859372,975219
1681859375,975219
1681859378,975219
1681859381,975219
1681859384,975219
1681859387,975219
1681859390,975219
1681859393,975219
1681859396,975219
1681859399,975219
1681859402,975219
1681859405,975219
1681859408,975219
1681859411,975219
1681859414,975219
1681859417,975219
1681859420,975219
1681859423,975219
1681859426,975219
1681859429,975219
1681859432,975219
1681859435,1073472
1681859438,1073472
1681859441,1073472
1681859444,1073472
1681859447,1073472
1681859450,1073472
1681859453,1073472
1681859456,1073472
1681859459,1073472
1681859462,1073472
1681859465,1073472
1681859468,1073472
1681859471,1073472
1681859474,1073472
1681859477,1073472
1681859480,1073472
1681859483,1073472
1681859486,1073472
1681859489,1073472
1681859492,1073472
1681859495,1073472
1681859498,1073472
1681859501,1073472
1681859504,1073472
1681859507,1073472
1681859510,1073472
1681859513,1073472
1681859516,1073472
1681859519,1073472
1681859522,1073472
1681859525,1073472
1681859528,1073472
1681859531,1073472
1681859534,1073472
1681859537,1073472
1681859540,1073472
1681859543,1073472
1681859546,1073472
1681859549,1073472
1681859552,1073472
1681859555,1073472
1681859558,1073472
1681859561,1073472
1681859564,1073472
1681859567,1073472
1681859570,1073472
1681859573,1073472
1681859576,1073472
1681859579,1073472
1681859582,1073472
1681859585,1073472
1681859588,1073472
1681859591,1073472
1681859594,1073472
1681859597,1073472
1681859600,1073472
1681859603,1073472
1681859606,1073472
1681859609,1073472
1681859612,1073472
1681859615,1073472
1681859618,1073472
1681859621,1073472
1681859624,1073472
1681859627,1073472
1681859630,1073472
1681859633,1073472
1681859636,1073472
1681859639,1073472
1681859642,1073472
1681859645,1073472
1681859648,1073472
1681859651,1073472
1681859654,1073472
1681859657,1073472
1681859660,1073472
1681859663,1073472
1681859666,1073472
1681859669,1073472
1681859672,1073472
1681859675,1073472
1681859678,1073472
1681859681,1073472
1681859684,1073472
1681859687,1073472
1681859690,1073472
1681859693,1073472
1681859696,1073472
1681859699,1073472
1681859702,1073472
1681859705,1073472
1681859708,1073472
1681859711,1073472
1681859714,1073472
1681859717,1073472
1681859720,1073472
1681859723,1073472
1681859726,1073472
1681859729,1073472
1681859732,1073472
1681859735,1073472
1681859738,1073472
1681859741,1073472
1681859744,1073472
1681859747,1073472
1681859750,1073472
1681859753,1073472
1681859756,1073472
1681859759,1073472
1681859762,1073472
1681859765,1073472
1681859768,1073472
1681859771,1073472
1681859774,1073472
1681859777,1073472
1681859780,1073472
1681859783,1073472
1681859786,1073472
1681859789,1073472
1681859792,1073472
1681859795,1073472
1681859798,1073472
1681859801,1073472
1681859804,1073472
1681859807,1073472
1681859810,1073472
1681859813,1073472
1681859816,1073472
1681859819,1073472
1681859822,1073472
1681859825,1073472
1681859828,1073472
1681859831,1073472
1681859834,1073472
1681859837,1073472
1681859840,1073472
1681859843,1073472
1681859846,1073472
1681859849,1073472
1681859852,1073472
1681859855,1073472
1681859858,1073472
1681859861,1073472
1681859864,1073472
1681859867,1073472
1681859870,1073472
1681859873,1073472
1681859876,1073472
1681859879,1073472
1681859882,1073472
1681859885,1073472
1681859888,1073472
1681859891,1073472
1681859894,1073472
1681859897,1073472
1681859900,1073472
1681859903,1073472
1681859906,1073472
1681859909,1073472
1681859912,1073472
1681859915,1073472
1681859918,1073472
1681859921,1073472
1681859924,1073472
1681859927,1073472
1681859930,1073472
1681859933,1073472
1681859936,1073472
1681859939,1073472
1681859942,1073472
1681859945,1073472
1681859948,1073472
1681859951,1073472
1681859954,1073472
1681859957,1073472
1681859960,1073472
1681859963,1073472
1681859966,1073472
1681859969,1073472
1681859972,1073472
1681859975,1073472
1681859978,1073472
1681859981,1073472
1681859984,1073472
1681859987,1073472
1681859990,1073472
1681859993,1073472
1681859996,1073472
1681859999,1073472
1681860002,1073472
1681860005,1073472
1681860008,1073472
1681860011,1073472
1681860014,1073472
1681860017,1073472
1681860020,1073472
1681860023,1073472
1681860026,1073472
1681860029,1073472
1681860032,1073472
1681860035,1073472
1681860038,1073472
1681860041,1073472
1681860044,1073472
