t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,143,30.032145,0.000000,0.000000,0.000000,events/second
1681858241,143,19.086012,0.000000,0.000000,0.000000,events/second
1681858244,143,13.691994,0.000000,0.000000,0.000000,events/second
1681858247,143,10.461689,0.000000,0.000000,0.000000,events/second
1681858250,143,8.716568,0.000000,0.000000,0.000000,events/second
1681858253,143,7.363605,0.000000,0.000000,0.000000,events/second
1681858256,143,6.379396,0.000000,0.000000,0.000000,events/second
1681858259,143,5.434793,0.000000,0.000000,0.000000,events/second
1681858262,143,5.019048,0.000000,0.000000,0.000000,events/second
1681858265,143,4.550478,0.000000,0.000000,0.000000,events/second
1681858268,143,4.159298,0.000000,0.000000,0.000000,events/second
1681858271,143,3.822744,0.000000,0.000000,0.000000,events/second
1681858274,143,3.540040,0.000000,0.000000,0.000000,events/second
1681858277,143,3.294979,0.000000,0.000000,0.000000,events/second
1681858280,143,3.078716,0.000000,0.000000,0.000000,events/second
1681858283,143,2.886517,0.000000,0.000000,0.000000,events/second
1681858286,143,2.728999,0.000000,0.000000,0.000000,events/second
1681858289,143,2.581798,0.000000,0.000000,0.000000,events/second
1681858292,143,2.448340,0.000000,0.000000,0.000000,events/second
1681858295,143,2.326312,0.000000,0.000000,0.000000,events/second
1681858298,143,2.220148,0.000000,0.000000,0.000000,events/second
1681858301,143,2.121119,0.000000,0.000000,0.000000,events/second
1681858304,143,2.031188,0.000000,0.000000,0.000000,events/second
1681858307,143,1.948299,0.000000,0.000000,0.000000,events/second
1681858310,143,1.872020,0.000000,0.000000,0.000000,events/second
1681858313,143,1.800808,0.000000,0.000000,0.000000,events/second
1681858316,143,1.735670,0.000000,0.000000,0.000000,events/second
1681858319,143,1.674487,0.000000,0.000000,0.000000,events/second
1681858322,143,1.616927,0.000000,0.000000,0.000000,events/second
1681858325,143,1.563866,0.000000,0.000000,0.000000,events/second
1681858328,143,1.514448,0.000000,0.000000,0.000000,events/second
1681858331,143,1.468765,0.000000,0.000000,0.000000,events/second
1681858334,143,1.424855,0.000000,0.000000,0.000000,events/second
1681858337,143,1.383551,0.000000,0.000000,0.000000,events/second
