t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,98,20.572059,0.000000,0.000000,0.000000,events/second
1681858241,98,13.079065,0.000000,0.000000,0.000000,events/second
1681858244,98,9.382617,0.000000,0.000000,0.000000,events/second
1681858247,98,7.169280,0.000000,0.000000,0.000000,events/second
1681858250,98,5.973382,0.000000,0.000000,0.000000,events/second
1681858253,98,5.046255,0.000000,0.000000,0.000000,events/second
1681858256,98,4.371811,0.000000,0.000000,0.000000,events/second
1681858259,98,3.724319,0.000000,0.000000,0.000000,events/second
1681858262,98,3.439530,0.000000,0.000000,0.000000,events/second
1681858265,98,3.118466,0.000000,0.000000,0.000000,events/second
1681858268,98,2.850395,0.000000,0.000000,0.000000,events/second
1681858271,98,2.619761,0.000000,0.000000,0.000000,events/second
1681858274,98,2.426007,0.000000,0.000000,0.000000,events/second
1681858277,98,2.258078,0.000000,0.000000,0.000000,events/second
1681858280,98,2.109868,0.000000,0.000000,0.000000,events/second
1681858283,98,1.978151,0.000000,0.000000,0.000000,events/second
1681858286,98,1.870207,0.000000,0.000000,0.000000,events/second
1681858289,98,1.769326,0.000000,0.000000,0.000000,events/second
1681858292,98,1.677874,0.000000,0.000000,0.000000,events/second
1681858295,98,1.594240,0.000000,0.000000,0.000000,events/second
1681858298,98,1.521491,0.000000,0.000000,0.000000,events/second
1681858301,98,1.453625,0.000000,0.000000,0.000000,events/second
1681858304,98,1.391996,0.000000,0.000000,0.000000,events/second
1681858307,98,1.335193,0.000000,0.000000,0.000000,events/second
1681858310,98,1.282919,0.000000,0.000000,0.000000,events/second
1681858313,98,1.234114,0.000000,0.000000,0.000000,events/second
1681858316,98,1.189474,0.000000,0.000000,0.000000,events/second
1681858319,98,1.147546,0.000000,0.000000,0.000000,events/second
1681858322,98,1.108099,0.000000,0.000000,0.000000,events/second
1681858325,98,1.071736,0.000000,0.000000,0.000000,events/second
1681858328,98,1.037869,0.000000,0.000000,0.000000,events/second
1681858331,98,1.006564,0.000000,0.000000,0.000000,events/second
1681858334,98,0.976473,0.000000,0.000000,0.000000,events/second
1681858337,98,0.948166,0.000000,0.000000,0.000000,events/second
1681858340,98,0.921400,0.000000,0.000000,0.000000,events/second
1681858343,98,0.896024,0.000000,0.000000,0.000000,events/second
1681858346,98,0.872145,0.000000,0.000000,0.000000,events/second
1681858349,98,0.849518,0.000000,0.000000,0.000000,events/second
1681858352,98,0.827846,0.000000,0.000000,0.000000,events/second
1681858355,98,0.807460,0.000000,0.000000,0.000000,events/second
1681858358,98,0.788063,0.000000,0.000000,0.000000,events/second
1681858361,98,0.769401,0.000000,0.000000,0.000000,events/second
1681858364,98,0.751784,0.000000,0.000000,0.000000,events/second
1681858367,98,0.734875,0.000000,0.000000,0.000000,events/second
1681858370,98,0.718668,0.000000,0.000000,0.000000,events/second
1681858373,98,0.702696,0.000000,0.000000,0.000000,events/second
1681858376,98,0.688272,0.000000,0.000000,0.000000,events/second
1681858379,98,0.674061,0.000000,0.000000,0.000000,events/second
1681858382,98,0.660502,0.000000,0.000000,0.000000,events/second
1681858385,98,0.647442,0.000000,0.000000,0.000000,events/second
1681858388,98,0.634728,0.000000,0.000000,0.000000,events/second
1681858391,98,0.622737,0.000000,0.000000,0.000000,events/second
1681858394,98,0.611100,0.000000,0.000000,0.000000,events/second
1681858397,98,0.599903,0.000000,0.000000,0.000000,events/second
1681858400,98,0.589014,0.000000,0.000000,0.000000,events/second
1681858403,98,0.578627,0.000000,0.000000,0.000000,events/second
1681858406,98,0.568547,0.000000,0.000000,0.000000,events/second
1681858409,98,0.558854,0.000000,0.000000,0.000000,events/second
1681858412,98,0.549432,0.000000,0.000000,0.000000,events/second
1681858415,98,0.540346,0.000000,0.000000,0.000000,events/second
1681858418,98,0.531530,0.000000,0.000000,0.000000,events/second
1681858421,98,0.523038,0.000000,0.000000,0.000000,events/second
