t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,45,9.442567,0.000000,0.000000,0.000000,events/second
1681858241,45,6.005289,0.000000,0.000000,0.000000,events/second
1681858244,45,4.308069,0.000000,0.000000,0.000000,events/second
1681858247,45,3.291782,0.000000,0.000000,0.000000,events/second
1681858250,45,2.742800,0.000000,0.000000,0.000000,events/second
1681858253,45,2.317101,0.000000,0.000000,0.000000,events/second
1681858256,45,2.007427,0.000000,0.000000,0.000000,events/second
1681858259,45,1.709826,0.000000,0.000000,0.000000,events/second
1681858262,45,1.579339,0.000000,0.000000,0.000000,events/second
1681858265,45,1.431932,0.000000,0.000000,0.000000,events/second
1681858268,45,1.308839,0.000000,0.000000,0.000000,events/second
1681858271,45,1.202939,0.000000,0.000000,0.000000,events/second
1681858274,45,1.113965,0.000000,0.000000,0.000000,events/second
1681858277,45,1.036864,0.000000,0.000000,0.000000,events/second
1681858280,45,0.968808,0.000000,0.000000,0.000000,events/second
1681858283,45,0.908324,0.000000,0.000000,0.000000,events/second
1681858286,45,0.858757,0.000000,0.000000,0.000000,events/second
1681858289,45,0.812439,0.000000,0.000000,0.000000,events/second
1681858292,45,0.770448,0.000000,0.000000,0.000000,events/second
1681858295,45,0.732044,0.000000,0.000000,0.000000,events/second
1681858298,45,0.698637,0.000000,0.000000,0.000000,events/second
1681858301,45,0.667477,0.000000,0.000000,0.000000,events/second
1681858304,45,0.639178,0.000000,0.000000,0.000000,events/second
1681858307,45,0.613096,0.000000,0.000000,0.000000,events/second
1681858310,45,0.589093,0.000000,0.000000,0.000000,events/second
1681858313,45,0.566683,0.000000,0.000000,0.000000,events/second
1681858316,45,0.546185,0.000000,0.000000,0.000000,events/second
1681858319,45,0.526931,0.000000,0.000000,0.000000,events/second
1681858322,45,0.508819,0.000000,0.000000,0.000000,events/second
1681858325,45,0.492122,0.000000,0.000000,0.000000,events/second
1681858328,45,0.476571,0.000000,0.000000,0.000000,events/second
1681858331,45,0.462197,0.000000,0.000000,0.000000,events/second
1681858334,45,0.448380,0.000000,0.000000,0.000000,events/second
1681858337,45,0.435382,0.000000,0.000000,0.000000,events/second
1681858340,45,0.423091,0.000000,0.000000,0.000000,events/second
1681858343,45,0.411439,0.000000,0.000000,0.000000,events/second
1681858346,45,0.400474,0.000000,0.000000,0.000000,events/second
1681858349,45,0.390084,0.000000,0.000000,0.000000,events/second
1681858352,45,0.380133,0.000000,0.000000,0.000000,events/second
1681858355,45,0.370772,0.000000,0.000000,0.000000,events/second
1681858358,45,0.361865,0.000000,0.000000,0.000000,events/second
1681858361,45,0.353296,0.000000,0.000000,0.000000,events/second
1681858364,45,0.345206,0.000000,0.000000,0.000000,events/second
1681858367,45,0.337442,0.000000,0.000000,0.000000,events/second
1681858370,45,0.330000,0.000000,0.000000,0.000000,events/second
1681858373,45,0.322665,0.000000,0.000000,0.000000,events/second
1681858376,45,0.316043,0.000000,0.000000,0.000000,events/second
1681858379,45,0.309517,0.000000,0.000000,0.000000,events/second
1681858382,45,0.303291,0.000000,0.000000,0.000000,events/second
1681858385,45,0.297294,0.000000,0.000000,0.000000,events/second
1681858388,45,0.291456,0.000000,0.000000,0.000000,events/second
1681858391,45,0.285950,0.000000,0.000000,0.000000,events/second
1681858394,45,0.280607,0.000000,0.000000,0.000000,events/second
1681858397,45,0.275465,0.000000,0.000000,0.000000,events/second
1681858400,45,0.270465,0.000000,0.000000,0.000000,events/second
1681858403,45,0.265696,0.000000,0.000000,0.000000,events/second
1681858406,45,0.261067,0.000000,0.000000,0.000000,events/second
1681858409,45,0.256616,0.000000,0.000000,0.000000,events/second
1681858412,45,0.252290,0.000000,0.000000,0.000000,events/second
1681858415,45,0.248118,0.000000,0.000000,0.000000,events/second
1681858418,45,0.244070,0.000000,0.000000,0.000000,events/second
1681858421,45,0.240170,0.000000,0.000000,0.000000,events/second
1681858424,45,0.236398,0.000000,0.000000,0.000000,events/second
1681858427,45,0.232710,0.000000,0.000000,0.000000,events/second
1681858430,45,0.229171,0.000000,0.000000,0.000000,events/second
1681858433,45,0.225714,0.000000,0.000000,0.000000,events/second
1681858436,45,0.222363,0.000000,0.000000,0.000000,events/second
1681858439,45,0.219131,0.000000,0.000000,0.000000,events/second
1681858442,45,0.215967,0.000000,0.000000,0.000000,events/second
1681858445,45,0.212911,0.000000,0.000000,0.000000,events/second
1681858448,45,0.209912,0.000000,0.000000,0.000000,events/second
1681858451,45,0.207019,0.000000,0.000000,0.000000,events/second
1681858454,45,0.204203,0.000000,0.000000,0.000000,events/second
1681858457,45,0.201465,0.000000,0.000000,0.000000,events/second
1681858460,45,0.198797,0.000000,0.000000,0.000000,events/second
1681858463,45,0.196199,0.000000,0.000000,0.000000,events/second
1681858466,45,0.193663,0.000000,0.000000,0.000000,events/second
1681858469,45,0.191190,0.000000,0.000000,0.000000,events/second
1681858472,45,0.188791,0.000000,0.000000,0.000000,events/second
1681858475,45,0.186439,0.000000,0.000000,0.000000,events/second
1681858478,45,0.184155,0.000000,0.000000,0.000000,events/second
1681858481,45,0.181921,0.000000,0.000000,0.000000,events/second
1681858484,45,0.179741,0.000000,0.000000,0.000000,events/second
1681858487,45,0.177611,0.000000,0.000000,0.000000,events/second
1681858490,45,0.175537,0.000000,0.000000,0.000000,events/second
1681858493,45,0.173508,0.000000,0.000000,0.000000,events/second
1681858496,45,0.171525,0.000000,0.000000,0.000000,events/second
1681858499,45,0.169578,0.000000,0.000000,0.000000,events/second
1681858502,45,0.167688,0.000000,0.000000,0.000000,events/second
1681858505,45,0.165828,0.000000,0.000000,0.000000,events/second
1681858508,45,0.164022,0.000000,0.000000,0.000000,events/second
1681858511,45,0.162245,0.000000,0.000000,0.000000,events/second
1681858514,45,0.160506,0.000000,0.000000,0.000000,events/second
1681858517,45,0.158808,0.000000,0.000000,0.000000,events/second
1681858520,45,0.157145,0.000000,0.000000,0.000000,events/second
1681858523,45,0.155514,0.000000,0.000000,0.000000,events/second
1681858526,45,0.153919,0.000000,0.000000,0.000000,events/second
1681858529,45,0.152357,0.000000,0.000000,0.000000,events/second
1681858532,45,0.150823,0.000000,0.000000,0.000000,events/second
1681858535,45,0.149320,0.000000,0.000000,0.000000,events/second
1681858538,45,0.147854,0.000000,0.000000,0.000000,events/second
1681858541,45,0.146405,0.000000,0.000000,0.000000,events/second
1681858544,45,0.144985,0.000000,0.000000,0.000000,events/second
1681858547,45,0.143605,0.000000,0.000000,0.000000,events/second
1681858550,45,0.142239,0.000000,0.000000,0.000000,events/second
1681858553,45,0.140903,0.000000,0.000000,0.000000,events/second
1681858556,45,0.139595,0.000000,0.000000,0.000000,events/second
1681858559,45,0.138293,0.000000,0.000000,0.000000,events/second
1681858562,45,0.137043,0.000000,0.000000,0.000000,events/second
1681858565,45,0.135800,0.000000,0.000000,0.000000,events/second
1681858568,45,0.134581,0.000000,0.000000,0.000000,events/second
1681858571,45,0.133385,0.000000,0.000000,0.000000,events/second
1681858574,45,0.132214,0.000000,0.000000,0.000000,events/second
1681858577,45,0.131055,0.000000,0.000000,0.000000,events/second
1681858580,45,0.129919,0.000000,0.000000,0.000000,events/second
1681858583,45,0.128808,0.000000,0.000000,0.000000,events/second
1681858586,45,0.127712,0.000000,0.000000,0.000000,events/second
1681858589,45,0.126630,0.000000,0.000000,0.000000,events/second
1681858592,45,0.125571,0.000000,0.000000,0.000000,events/second
1681858595,45,0.124532,0.000000,0.000000,0.000000,events/second
1681858598,45,0.123507,0.000000,0.000000,0.000000,events/second
1681858601,45,0.122485,0.000000,0.000000,0.000000,events/second
1681858604,45,0.121503,0.000000,0.000000,0.000000,events/second
1681858607,45,0.120525,0.000000,0.000000,0.000000,events/second
1681858610,45,0.119566,0.000000,0.000000,0.000000,events/second
1681858613,45,0.118622,0.000000,0.000000,0.000000,events/second
1681858616,45,0.117689,0.000000,0.000000,0.000000,events/second
1681858619,45,0.116773,0.000000,0.000000,0.000000,events/second
1681858622,45,0.115873,0.000000,0.000000,0.000000,events/second
1681858625,45,0.114983,0.000000,0.000000,0.000000,events/second
1681858628,45,0.114107,0.000000,0.000000,0.000000,events/second
1681858631,45,0.113248,0.000000,0.000000,0.000000,events/second
1681858634,45,0.112399,0.000000,0.000000,0.000000,events/second
1681858637,45,0.111563,0.000000,0.000000,0.000000,events/second
1681858640,45,0.110740,0.000000,0.000000,0.000000,events/second
1681858643,45,0.109929,0.000000,0.000000,0.000000,events/second
1681858646,45,0.109129,0.000000,0.000000,0.000000,events/second
1681858649,45,0.108341,0.000000,0.000000,0.000000,events/second
1681858652,45,0.107562,0.000000,0.000000,0.000000,events/second
1681858655,45,0.106797,0.000000,0.000000,0.000000,events/second
1681858658,45,0.106040,0.000000,0.000000,0.000000,events/second
1681858661,45,0.105298,0.000000,0.000000,0.000000,events/second
1681858664,45,0.104563,0.000000,0.000000,0.000000,events/second
1681858667,45,0.103838,0.000000,0.000000,0.000000,events/second
1681858670,45,0.103126,0.000000,0.000000,0.000000,events/second
1681858673,45,0.102422,0.000000,0.000000,0.000000,events/second
1681858676,45,0.101727,0.000000,0.000000,0.000000,events/second
1681858679,45,0.101043,0.000000,0.000000,0.000000,events/second
1681858682,45,0.100362,0.000000,0.000000,0.000000,events/second
1681858685,45,0.099698,0.000000,0.000000,0.000000,events/second
1681858688,45,0.099037,0.000000,0.000000,0.000000,events/second
1681858691,45,0.098390,0.000000,0.000000,0.000000,events/second
1681858694,45,0.097751,0.000000,0.000000,0.000000,events/second
1681858697,45,0.097116,0.000000,0.000000,0.000000,events/second
1681858700,45,0.096492,0.000000,0.000000,0.000000,events/second
1681858703,45,0.095875,0.000000,0.000000,0.000000,events/second
1681858706,45,0.095267,0.000000,0.000000,0.000000,events/second
1681858709,45,0.094666,0.000000,0.000000,0.000000,events/second
1681858712,45,0.094072,0.000000,0.000000,0.000000,events/second
1681858715,45,0.093484,0.000000,0.000000,0.000000,events/second
1681858718,45,0.092906,0.000000,0.000000,0.000000,events/second
1681858721,45,0.092334,0.000000,0.000000,0.000000,events/second
1681858724,45,0.091770,0.000000,0.000000,0.000000,events/second
1681858727,45,0.091210,0.000000,0.000000,0.000000,events/second
1681858730,45,0.090661,0.000000,0.000000,0.000000,events/second
1681858733,45,0.090115,0.000000,0.000000,0.000000,events/second
1681858736,45,0.089577,0.000000,0.000000,0.000000,events/second
1681858739,45,0.089045,0.000000,0.000000,0.000000,events/second
1681858742,45,0.088521,0.000000,0.000000,0.000000,events/second
1681858745,45,0.088001,0.000000,0.000000,0.000000,events/second
1681858748,45,0.087488,0.000000,0.000000,0.000000,events/second
1681858751,45,0.086980,0.000000,0.000000,0.000000,events/second
1681858754,45,0.086477,0.000000,0.000000,0.000000,events/second
1681858757,45,0.085981,0.000000,0.000000,0.000000,events/second
1681858760,45,0.085493,0.000000,0.000000,0.000000,events/second
1681858763,45,0.085009,0.000000,0.000000,0.000000,events/second
1681858766,45,0.084530,0.000000,0.000000,0.000000,events/second
1681858769,45,0.084055,0.000000,0.000000,0.000000,events/second
1681858772,45,0.083586,0.000000,0.000000,0.000000,events/second
1681858775,45,0.083124,0.000000,0.000000,0.000000,events/second
1681858778,45,0.082666,0.000000,0.000000,0.000000,events/second
1681858781,45,0.082212,0.000000,0.000000,0.000000,events/second
1681858784,45,0.081764,0.000000,0.000000,0.000000,events/second
