t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,46,9.640332,0.000000,0.000000,0.000000,events/second
1681858241,46,6.137835,0.000000,0.000000,0.000000,events/second
1681858244,46,4.403175,0.000000,0.000000,0.000000,events/second
1681858247,46,3.364658,0.000000,0.000000,0.000000,events/second
1681858250,46,2.803656,0.000000,0.000000,0.000000,events/second
1681858253,46,2.368532,0.000000,0.000000,0.000000,events/second
1681858256,46,2.051995,0.000000,0.000000,0.000000,events/second
1681858259,46,1.747647,0.000000,0.000000,0.000000,events/second
1681858262,46,1.614340,0.000000,0.000000,0.000000,events/second
1681858265,46,1.463712,0.000000,0.000000,0.000000,events/second
1681858268,46,1.337912,0.000000,0.000000,0.000000,events/second
1681858271,46,1.229657,0.000000,0.000000,0.000000,events/second
1681858274,46,1.138696,0.000000,0.000000,0.000000,events/second
1681858277,46,1.059902,0.000000,0.000000,0.000000,events/second
1681858280,46,0.990329,0.000000,0.000000,0.000000,events/second
1681858283,46,0.928489,0.000000,0.000000,0.000000,events/second
1681858286,46,0.877828,0.000000,0.000000,0.000000,events/second
1681858289,46,0.830474,0.000000,0.000000,0.000000,events/second
1681858292,46,0.787566,0.000000,0.000000,0.000000,events/second
1681858295,46,0.748304,0.000000,0.000000,0.000000,events/second
1681858298,46,0.714154,0.000000,0.000000,0.000000,events/second
1681858301,46,0.682307,0.000000,0.000000,0.000000,events/second
1681858304,46,0.653378,0.000000,0.000000,0.000000,events/second
1681858307,46,0.626717,0.000000,0.000000,0.000000,events/second
1681858310,46,0.602184,0.000000,0.000000,0.000000,events/second
1681858313,46,0.579268,0.000000,0.000000,0.000000,events/second
1681858316,46,0.558321,0.000000,0.000000,0.000000,events/second
1681858319,46,0.538638,0.000000,0.000000,0.000000,events/second
1681858322,46,0.520125,0.000000,0.000000,0.000000,events/second
1681858325,46,0.503056,0.000000,0.000000,0.000000,events/second
1681858328,46,0.487160,0.000000,0.000000,0.000000,events/second
1681858331,46,0.472468,0.000000,0.000000,0.000000,events/second
1681858334,46,0.458344,0.000000,0.000000,0.000000,events/second
1681858337,46,0.445057,0.000000,0.000000,0.000000,events/second
1681858340,46,0.432494,0.000000,0.000000,0.000000,events/second
1681858343,46,0.420582,0.000000,0.000000,0.000000,events/second
1681858346,46,0.409374,0.000000,0.000000,0.000000,events/second
1681858349,46,0.398753,0.000000,0.000000,0.000000,events/second
1681858352,46,0.388581,0.000000,0.000000,0.000000,events/second
1681858355,46,0.379012,0.000000,0.000000,0.000000,events/second
1681858358,46,0.369907,0.000000,0.000000,0.000000,events/second
1681858361,46,0.361147,0.000000,0.000000,0.000000,events/second
1681858364,46,0.352878,0.000000,0.000000,0.000000,events/second
1681858367,46,0.344941,0.000000,0.000000,0.000000,events/second
1681858370,46,0.337332,0.000000,0.000000,0.000000,events/second
1681858373,46,0.329833,0.000000,0.000000,0.000000,events/second
1681858376,46,0.323065,0.000000,0.000000,0.000000,events/second
1681858379,46,0.316395,0.000000,0.000000,0.000000,events/second
1681858382,46,0.310031,0.000000,0.000000,0.000000,events/second
1681858385,46,0.303901,0.000000,0.000000,0.000000,events/second
1681858388,46,0.297932,0.000000,0.000000,0.000000,events/second
1681858391,46,0.292305,0.000000,0.000000,0.000000,events/second
1681858394,46,0.286843,0.000000,0.000000,0.000000,events/second
1681858397,46,0.281587,0.000000,0.000000,0.000000,events/second
1681858400,46,0.276475,0.000000,0.000000,0.000000,events/second
1681858403,46,0.271600,0.000000,0.000000,0.000000,events/second
1681858406,46,0.266869,0.000000,0.000000,0.000000,events/second
1681858409,46,0.262319,0.000000,0.000000,0.000000,events/second
1681858412,46,0.257897,0.000000,0.000000,0.000000,events/second
1681858415,46,0.253632,0.000000,0.000000,0.000000,events/second
1681858418,46,0.249493,0.000000,0.000000,0.000000,events/second
1681858421,46,0.245507,0.000000,0.000000,0.000000,events/second
1681858424,46,0.241652,0.000000,0.000000,0.000000,events/second
1681858427,46,0.237881,0.000000,0.000000,0.000000,events/second
1681858430,46,0.234263,0.000000,0.000000,0.000000,events/second
1681858433,46,0.230730,0.000000,0.000000,0.000000,events/second
1681858436,46,0.227304,0.000000,0.000000,0.000000,events/second
1681858439,46,0.224000,0.000000,0.000000,0.000000,events/second
1681858442,46,0.220767,0.000000,0.000000,0.000000,events/second
1681858445,46,0.217642,0.000000,0.000000,0.000000,events/second
1681858448,46,0.214576,0.000000,0.000000,0.000000,events/second
1681858451,46,0.211619,0.000000,0.000000,0.000000,events/second
1681858454,46,0.208741,0.000000,0.000000,0.000000,events/second
1681858457,46,0.205942,0.000000,0.000000,0.000000,events/second
1681858460,46,0.203215,0.000000,0.000000,0.000000,events/second
1681858463,46,0.200559,0.000000,0.000000,0.000000,events/second
1681858466,46,0.197966,0.000000,0.000000,0.000000,events/second
1681858469,46,0.195439,0.000000,0.000000,0.000000,events/second
1681858472,46,0.192986,0.000000,0.000000,0.000000,events/second
1681858475,46,0.190582,0.000000,0.000000,0.000000,events/second
1681858478,46,0.188248,0.000000,0.000000,0.000000,events/second
1681858481,46,0.185964,0.000000,0.000000,0.000000,events/second
1681858484,46,0.183735,0.000000,0.000000,0.000000,events/second
1681858487,46,0.181558,0.000000,0.000000,0.000000,events/second
1681858490,46,0.179438,0.000000,0.000000,0.000000,events/second
1681858493,46,0.177364,0.000000,0.000000,0.000000,events/second
1681858496,46,0.175337,0.000000,0.000000,0.000000,events/second
1681858499,46,0.173347,0.000000,0.000000,0.000000,events/second
1681858502,46,0.171414,0.000000,0.000000,0.000000,events/second
1681858505,46,0.169513,0.000000,0.000000,0.000000,events/second
1681858508,46,0.167667,0.000000,0.000000,0.000000,events/second
1681858511,46,0.165850,0.000000,0.000000,0.000000,events/second
1681858514,46,0.164072,0.000000,0.000000,0.000000,events/second
1681858517,46,0.162337,0.000000,0.000000,0.000000,events/second
1681858520,46,0.160637,0.000000,0.000000,0.000000,events/second
1681858523,46,0.158970,0.000000,0.000000,0.000000,events/second
1681858526,46,0.157340,0.000000,0.000000,0.000000,events/second
1681858529,46,0.155742,0.000000,0.000000,0.000000,events/second
1681858532,46,0.154175,0.000000,0.000000,0.000000,events/second
1681858535,46,0.152638,0.000000,0.000000,0.000000,events/second
1681858538,46,0.151140,0.000000,0.000000,0.000000,events/second
1681858541,46,0.149659,0.000000,0.000000,0.000000,events/second
1681858544,46,0.148207,0.000000,0.000000,0.000000,events/second
1681858547,46,0.146796,0.000000,0.000000,0.000000,events/second
1681858550,46,0.145400,0.000000,0.000000,0.000000,events/second
1681858553,46,0.144034,0.000000,0.000000,0.000000,events/second
1681858556,46,0.142697,0.000000,0.000000,0.000000,events/second
1681858559,46,0.141365,0.000000,0.000000,0.000000,events/second
1681858562,46,0.140089,0.000000,0.000000,0.000000,events/second
1681858565,46,0.138817,0.000000,0.000000,0.000000,events/second
1681858568,46,0.137572,0.000000,0.000000,0.000000,events/second
1681858571,46,0.136350,0.000000,0.000000,0.000000,events/second
1681858574,46,0.135152,0.000000,0.000000,0.000000,events/second
1681858577,46,0.133967,0.000000,0.000000,0.000000,events/second
1681858580,46,0.132806,0.000000,0.000000,0.000000,events/second
1681858583,46,0.131671,0.000000,0.000000,0.000000,events/second
1681858586,46,0.130550,0.000000,0.000000,0.000000,events/second
1681858589,46,0.129444,0.000000,0.000000,0.000000,events/second
1681858592,46,0.128361,0.000000,0.000000,0.000000,events/second
1681858595,46,0.127299,0.000000,0.000000,0.000000,events/second
1681858598,46,0.126252,0.000000,0.000000,0.000000,events/second
1681858601,46,0.125207,0.000000,0.000000,0.000000,events/second
1681858604,46,0.124204,0.000000,0.000000,0.000000,events/second
1681858607,46,0.123204,0.000000,0.000000,0.000000,events/second
1681858610,46,0.122223,0.000000,0.000000,0.000000,events/second
1681858613,46,0.121258,0.000000,0.000000,0.000000,events/second
1681858616,46,0.120304,0.000000,0.000000,0.000000,events/second
1681858619,46,0.119368,0.000000,0.000000,0.000000,events/second
1681858622,46,0.118448,0.000000,0.000000,0.000000,events/second
1681858625,46,0.117538,0.000000,0.000000,0.000000,events/second
1681858628,46,0.116643,0.000000,0.000000,0.000000,events/second
1681858631,46,0.115765,0.000000,0.000000,0.000000,events/second
1681858634,46,0.114897,0.000000,0.000000,0.000000,events/second
1681858637,46,0.114042,0.000000,0.000000,0.000000,events/second
1681858640,46,0.113201,0.000000,0.000000,0.000000,events/second
1681858643,46,0.112372,0.000000,0.000000,0.000000,events/second
1681858646,46,0.111554,0.000000,0.000000,0.000000,events/second
1681858649,46,0.110749,0.000000,0.000000,0.000000,events/second
1681858652,46,0.109953,0.000000,0.000000,0.000000,events/second
1681858655,46,0.109171,0.000000,0.000000,0.000000,events/second
1681858658,46,0.108397,0.000000,0.000000,0.000000,events/second
1681858661,46,0.107638,0.000000,0.000000,0.000000,events/second
1681858664,46,0.106887,0.000000,0.000000,0.000000,events/second
1681858667,46,0.106145,0.000000,0.000000,0.000000,events/second
1681858670,46,0.105418,0.000000,0.000000,0.000000,events/second
1681858673,46,0.104698,0.000000,0.000000,0.000000,events/second
1681858676,46,0.103987,0.000000,0.000000,0.000000,events/second
1681858679,46,0.103288,0.000000,0.000000,0.000000,events/second
1681858682,46,0.102592,0.000000,0.000000,0.000000,events/second
1681858685,46,0.101914,0.000000,0.000000,0.000000,events/second
1681858688,46,0.101238,0.000000,0.000000,0.000000,events/second
1681858691,46,0.100576,0.000000,0.000000,0.000000,events/second
1681858694,46,0.099923,0.000000,0.000000,0.000000,events/second
1681858697,46,0.099275,0.000000,0.000000,0.000000,events/second
1681858700,46,0.098636,0.000000,0.000000,0.000000,events/second
1681858703,46,0.098005,0.000000,0.000000,0.000000,events/second
1681858706,46,0.097384,0.000000,0.000000,0.000000,events/second
1681858709,46,0.096770,0.000000,0.000000,0.000000,events/second
1681858712,46,0.096163,0.000000,0.000000,0.000000,events/second
1681858715,46,0.095562,0.000000,0.000000,0.000000,events/second
1681858718,46,0.094970,0.000000,0.000000,0.000000,events/second
1681858721,46,0.094385,0.000000,0.000000,0.000000,events/second
1681858724,46,0.093809,0.000000,0.000000,0.000000,events/second
1681858727,46,0.093237,0.000000,0.000000,0.000000,events/second
