t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,2,0.418868,0.000000,0.000000,0.000000,events/second
1681858241,2,0.266791,0.000000,0.000000,0.000000,events/second
1681858244,2,0.191406,0.000000,0.000000,0.000000,events/second
1681858247,2,0.146264,0.000000,0.000000,0.000000,events/second
1681858250,2,0.121884,0.000000,0.000000,0.000000,events/second
1681858253,2,0.102970,0.000000,0.000000,0.000000,events/second
1681858256,2,0.089210,0.000000,0.000000,0.000000,events/second
1681858259,2,0.075882,0.000000,0.000000,0.000000,events/second
1681858262,2,0.070176,0.000000,0.000000,0.000000,events/second
1681858265,2,0.063636,0.000000,0.000000,0.000000,events/second
1681858268,2,0.058167,0.000000,0.000000,0.000000,events/second
1681858271,2,0.053461,0.000000,0.000000,0.000000,events/second
1681858274,2,0.049506,0.000000,0.000000,0.000000,events/second
1681858277,2,0.046081,0.000000,0.000000,0.000000,events/second
1681858280,2,0.043056,0.000000,0.000000,0.000000,events/second
1681858283,2,0.040366,0.000000,0.000000,0.000000,events/second
1681858286,2,0.038165,0.000000,0.000000,0.000000,events/second
1681858289,2,0.036106,0.000000,0.000000,0.000000,events/second
1681858292,2,0.034241,0.000000,0.000000,0.000000,events/second
1681858295,2,0.032534,0.000000,0.000000,0.000000,events/second
1681858298,2,0.031049,0.000000,0.000000,0.000000,events/second
1681858301,2,0.029665,0.000000,0.000000,0.000000,events/second
1681858304,2,0.028407,0.000000,0.000000,0.000000,events/second
1681858307,2,0.027248,0.000000,0.000000,0.000000,events/second
1681858310,2,0.026181,0.000000,0.000000,0.000000,events/second
1681858313,2,0.025185,0.000000,0.000000,0.000000,events/second
1681858316,2,0.024274,0.000000,0.000000,0.000000,events/second
1681858319,2,0.023419,0.000000,0.000000,0.000000,events/second
1681858322,2,0.022614,0.000000,0.000000,0.000000,events/second
1681858325,2,0.021872,0.000000,0.000000,0.000000,events/second
1681858328,2,0.021180,0.000000,0.000000,0.000000,events/second
1681858331,2,0.020542,0.000000,0.000000,0.000000,events/second
1681858334,2,0.019928,0.000000,0.000000,0.000000,events/second
1681858337,2,0.019350,0.000000,0.000000,0.000000,events/second
1681858340,2,0.018804,0.000000,0.000000,0.000000,events/second
1681858343,2,0.018286,0.000000,0.000000,0.000000,events/second
1681858346,2,0.017799,0.000000,0.000000,0.000000,events/second
1681858349,2,0.017337,0.000000,0.000000,0.000000,events/second
1681858352,2,0.016895,0.000000,0.000000,0.000000,events/second
1681858355,2,0.016479,0.000000,0.000000,0.000000,events/second
1681858358,2,0.016083,0.000000,0.000000,0.000000,events/second
1681858361,2,0.015702,0.000000,0.000000,0.000000,events/second
1681858364,2,0.015342,0.000000,0.000000,0.000000,events/second
1681858367,2,0.014997,0.000000,0.000000,0.000000,events/second
1681858370,2,0.014666,0.000000,0.000000,0.000000,events/second
1681858373,2,0.014340,0.000000,0.000000,0.000000,events/second
1681858376,2,0.014046,0.000000,0.000000,0.000000,events/second
