t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,1,0.209386,0.000000,0.000000,0.000000,events/second
1681858241,1,0.133399,0.000000,0.000000,0.000000,events/second
1681858244,1,0.095702,0.000000,0.000000,0.000000,events/second
1681858247,1,0.073096,0.000000,0.000000,0.000000,events/second
1681858250,1,0.060943,0.000000,0.000000,0.000000,events/second
1681858253,1,0.051486,0.000000,0.000000,0.000000,events/second
1681858256,1,0.044605,0.000000,0.000000,0.000000,events/second
1681858259,1,0.037940,0.000000,0.000000,0.000000,events/second
1681858262,1,0.035088,0.000000,0.000000,0.000000,events/second
1681858265,1,0.031818,0.000000,0.000000,0.000000,events/second
1681858268,1,0.029084,0.000000,0.000000,0.000000,events/second
1681858271,1,0.026731,0.000000,0.000000,0.000000,events/second
1681858274,1,0.024753,0.000000,0.000000,0.000000,events/second
1681858277,1,0.023041,0.000000,0.000000,0.000000,events/second
1681858280,1,0.021528,0.000000,0.000000,0.000000,events/second
1681858283,1,0.020183,0.000000,0.000000,0.000000,events/second
1681858286,1,0.019083,0.000000,0.000000,0.000000,events/second
1681858289,1,0.018053,0.000000,0.000000,0.000000,events/second
1681858292,1,0.017121,0.000000,0.000000,0.000000,events/second
1681858295,1,0.016267,0.000000,0.000000,0.000000,events/second
1681858298,1,0.015525,0.000000,0.000000,0.000000,events/second
1681858301,1,0.014832,0.000000,0.000000,0.000000,events/second
1681858304,1,0.014204,0.000000,0.000000,0.000000,events/second
1681858307,1,0.013624,0.000000,0.000000,0.000000,events/second
1681858310,1,0.013091,0.000000,0.000000,0.000000,events/second
1681858313,1,0.012592,0.000000,0.000000,0.000000,events/second
1681858316,1,0.012137,0.000000,0.000000,0.000000,events/second
1681858319,1,0.011709,0.000000,0.000000,0.000000,events/second
1681858322,1,0.011307,0.000000,0.000000,0.000000,events/second
1681858325,1,0.010936,0.000000,0.000000,0.000000,events/second
1681858328,1,0.010590,0.000000,0.000000,0.000000,events/second
1681858331,1,0.010271,0.000000,0.000000,0.000000,events/second
1681858334,1,0.009964,0.000000,0.000000,0.000000,events/second
1681858337,1,0.009675,0.000000,0.000000,0.000000,events/second
1681858340,1,0.009402,0.000000,0.000000,0.000000,events/second
1681858343,1,0.009143,0.000000,0.000000,0.000000,events/second
1681858346,1,0.008899,0.000000,0.000000,0.000000,events/second
1681858349,1,0.008668,0.000000,0.000000,0.000000,events/second
1681858352,1,0.008447,0.000000,0.000000,0.000000,events/second
1681858355,1,0.008239,0.000000,0.000000,0.000000,events/second
1681858358,1,0.008041,0.000000,0.000000,0.000000,events/second
1681858361,1,0.007851,0.000000,0.000000,0.000000,events/second
1681858364,1,0.007671,0.000000,0.000000,0.000000,events/second
1681858367,1,0.007499,0.000000,0.000000,0.000000,events/second
1681858370,1,0.007333,0.000000,0.000000,0.000000,events/second
1681858373,1,0.007170,0.000000,0.000000,0.000000,events/second
1681858376,1,0.007023,0.000000,0.000000,0.000000,events/second
1681858379,1,0.006878,0.000000,0.000000,0.000000,events/second
1681858382,1,0.006740,0.000000,0.000000,0.000000,events/second
1681858385,1,0.006606,0.000000,0.000000,0.000000,events/second
1681858388,1,0.006477,0.000000,0.000000,0.000000,events/second
1681858391,1,0.006354,0.000000,0.000000,0.000000,events/second
1681858394,1,0.006236,0.000000,0.000000,0.000000,events/second
1681858397,1,0.006121,0.000000,0.000000,0.000000,events/second
1681858400,1,0.006010,0.000000,0.000000,0.000000,events/second
1681858403,1,0.005904,0.000000,0.000000,0.000000,events/second
1681858406,1,0.005801,0.000000,0.000000,0.000000,events/second
1681858409,1,0.005703,0.000000,0.000000,0.000000,events/second
1681858412,1,0.005606,0.000000,0.000000,0.000000,events/second
1681858415,1,0.005514,0.000000,0.000000,0.000000,events/second
1681858418,1,0.005424,0.000000,0.000000,0.000000,events/second
1681858421,1,0.005337,0.000000,0.000000,0.000000,events/second
1681858424,1,0.005253,0.000000,0.000000,0.000000,events/second
1681858427,1,0.005171,0.000000,0.000000,0.000000,events/second
1681858430,1,0.005093,0.000000,0.000000,0.000000,events/second
1681858433,1,0.005016,0.000000,0.000000,0.000000,events/second
1681858436,1,0.004941,0.000000,0.000000,0.000000,events/second
1681858439,1,0.004870,0.000000,0.000000,0.000000,events/second
1681858442,1,0.004799,0.000000,0.000000,0.000000,events/second
1681858445,1,0.004731,0.000000,0.000000,0.000000,events/second
1681858448,1,0.004665,0.000000,0.000000,0.000000,events/second
1681858451,1,0.004600,0.000000,0.000000,0.000000,events/second
1681858454,1,0.004538,0.000000,0.000000,0.000000,events/second
1681858457,1,0.004477,0.000000,0.000000,0.000000,events/second
1681858460,1,0.004418,0.000000,0.000000,0.000000,events/second
1681858463,1,0.004360,0.000000,0.000000,0.000000,events/second
1681858466,1,0.004304,0.000000,0.000000,0.000000,events/second
1681858469,1,0.004249,0.000000,0.000000,0.000000,events/second
1681858472,1,0.004195,0.000000,0.000000,0.000000,events/second
1681858475,1,0.004143,0.000000,0.000000,0.000000,events/second
1681858478,1,0.004092,0.000000,0.000000,0.000000,events/second
1681858481,1,0.004043,0.000000,0.000000,0.000000,events/second
1681858484,1,0.003994,0.000000,0.000000,0.000000,events/second
1681858487,1,0.003947,0.000000,0.000000,0.000000,events/second
1681858490,1,0.003901,0.000000,0.000000,0.000000,events/second
1681858493,1,0.003856,0.000000,0.000000,0.000000,events/second
1681858496,1,0.003812,0.000000,0.000000,0.000000,events/second
1681858499,1,0.003768,0.000000,0.000000,0.000000,events/second
1681858502,1,0.003726,0.000000,0.000000,0.000000,events/second
1681858505,1,0.003685,0.000000,0.000000,0.000000,events/second
1681858508,1,0.003645,0.000000,0.000000,0.000000,events/second
1681858511,1,0.003605,0.000000,0.000000,0.000000,events/second
1681858514,1,0.003567,0.000000,0.000000,0.000000,events/second
1681858517,1,0.003529,0.000000,0.000000,0.000000,events/second
1681858520,1,0.003492,0.000000,0.000000,0.000000,events/second
1681858523,1,0.003456,0.000000,0.000000,0.000000,events/second
1681858526,1,0.003420,0.000000,0.000000,0.000000,events/second
1681858529,1,0.003386,0.000000,0.000000,0.000000,events/second
1681858532,1,0.003352,0.000000,0.000000,0.000000,events/second
1681858535,1,0.003318,0.000000,0.000000,0.000000,events/second
1681858538,1,0.003286,0.000000,0.000000,0.000000,events/second
1681858541,1,0.003253,0.000000,0.000000,0.000000,events/second
1681858544,1,0.003222,0.000000,0.000000,0.000000,events/second
1681858547,1,0.003191,0.000000,0.000000,0.000000,events/second
1681858550,1,0.003161,0.000000,0.000000,0.000000,events/second
1681858553,1,0.003131,0.000000,0.000000,0.000000,events/second
1681858556,1,0.003102,0.000000,0.000000,0.000000,events/second
1681858559,1,0.003073,0.000000,0.000000,0.000000,events/second
1681858562,1,0.003045,0.000000,0.000000,0.000000,events/second
1681858565,1,0.003018,0.000000,0.000000,0.000000,events/second
1681858568,1,0.002991,0.000000,0.000000,0.000000,events/second
1681858571,1,0.002964,0.000000,0.000000,0.000000,events/second
1681858574,1,0.002938,0.000000,0.000000,0.000000,events/second
1681858577,1,0.002912,0.000000,0.000000,0.000000,events/second
1681858580,1,0.002887,0.000000,0.000000,0.000000,events/second
1681858583,1,0.002862,0.000000,0.000000,0.000000,events/second
1681858586,1,0.002838,0.000000,0.000000,0.000000,events/second
1681858589,1,0.002814,0.000000,0.000000,0.000000,events/second
1681858592,1,0.002790,0.000000,0.000000,0.000000,events/second
1681858595,1,0.002767,0.000000,0.000000,0.000000,events/second
1681858598,1,0.002745,0.000000,0.000000,0.000000,events/second
1681858601,1,0.002722,0.000000,0.000000,0.000000,events/second
1681858604,1,0.002700,0.000000,0.000000,0.000000,events/second
1681858607,1,0.002678,0.000000,0.000000,0.000000,events/second
1681858610,1,0.002657,0.000000,0.000000,0.000000,events/second
1681858613,1,0.002636,0.000000,0.000000,0.000000,events/second
1681858616,1,0.002615,0.000000,0.000000,0.000000,events/second
1681858619,1,0.002595,0.000000,0.000000,0.000000,events/second
1681858622,1,0.002575,0.000000,0.000000,0.000000,events/second
1681858625,1,0.002555,0.000000,0.000000,0.000000,events/second
1681858628,1,0.002536,0.000000,0.000000,0.000000,events/second
1681858631,1,0.002517,0.000000,0.000000,0.000000,events/second
1681858634,1,0.002498,0.000000,0.000000,0.000000,events/second
1681858637,1,0.002479,0.000000,0.000000,0.000000,events/second
1681858640,1,0.002461,0.000000,0.000000,0.000000,events/second
1681858643,1,0.002443,0.000000,0.000000,0.000000,events/second
1681858646,1,0.002425,0.000000,0.000000,0.000000,events/second
1681858649,1,0.002408,0.000000,0.000000,0.000000,events/second
1681858652,1,0.002390,0.000000,0.000000,0.000000,events/second
1681858655,1,0.002373,0.000000,0.000000,0.000000,events/second
1681858658,1,0.002356,0.000000,0.000000,0.000000,events/second
1681858661,1,0.002340,0.000000,0.000000,0.000000,events/second
1681858664,1,0.002324,0.000000,0.000000,0.000000,events/second
1681858667,1,0.002307,0.000000,0.000000,0.000000,events/second
1681858670,1,0.002292,0.000000,0.000000,0.000000,events/second
1681858673,1,0.002276,0.000000,0.000000,0.000000,events/second
1681858676,1,0.002261,0.000000,0.000000,0.000000,events/second
1681858679,1,0.002245,0.000000,0.000000,0.000000,events/second
1681858682,1,0.002230,0.000000,0.000000,0.000000,events/second
1681858685,1,0.002216,0.000000,0.000000,0.000000,events/second
1681858688,1,0.002201,0.000000,0.000000,0.000000,events/second
1681858691,1,0.002186,0.000000,0.000000,0.000000,events/second
1681858694,1,0.002172,0.000000,0.000000,0.000000,events/second
1681858697,1,0.002158,0.000000,0.000000,0.000000,events/second
1681858700,1,0.002144,0.000000,0.000000,0.000000,events/second
1681858703,1,0.002131,0.000000,0.000000,0.000000,events/second
1681858706,1,0.002117,0.000000,0.000000,0.000000,events/second
1681858709,1,0.002104,0.000000,0.000000,0.000000,events/second
1681858712,1,0.002090,0.000000,0.000000,0.000000,events/second
1681858715,1,0.002077,0.000000,0.000000,0.000000,events/second
1681858718,1,0.002065,0.000000,0.000000,0.000000,events/second
1681858721,1,0.002052,0.000000,0.000000,0.000000,events/second
1681858724,1,0.002039,0.000000,0.000000,0.000000,events/second
1681858727,1,0.002027,0.000000,0.000000,0.000000,events/second
1681858730,1,0.002015,0.000000,0.000000,0.000000,events/second
1681858733,1,0.002003,0.000000,0.000000,0.000000,events/second
1681858736,1,0.001991,0.000000,0.000000,0.000000,events/second
1681858739,1,0.001979,0.000000,0.000000,0.000000,events/second
1681858742,1,0.001967,0.000000,0.000000,0.000000,events/second
1681858745,1,0.001956,0.000000,0.000000,0.000000,events/second
1681858748,1,0.001944,0.000000,0.000000,0.000000,events/second
1681858751,1,0.001933,0.000000,0.000000,0.000000,events/second
1681858754,1,0.001922,0.000000,0.000000,0.000000,events/second
1681858757,1,0.001911,0.000000,0.000000,0.000000,events/second
1681858760,1,0.001900,0.000000,0.000000,0.000000,events/second
1681858763,1,0.001889,0.000000,0.000000,0.000000,events/second
1681858766,1,0.001878,0.000000,0.000000,0.000000,events/second
1681858769,1,0.001868,0.000000,0.000000,0.000000,events/second
1681858772,1,0.001857,0.000000,0.000000,0.000000,events/second
1681858775,1,0.001847,0.000000,0.000000,0.000000,events/second
1681858778,1,0.001837,0.000000,0.000000,0.000000,events/second
1681858781,1,0.001827,0.000000,0.000000,0.000000,events/second
1681858784,1,0.001817,0.000000,0.000000,0.000000,events/second
1681858787,1,0.001807,0.000000,0.000000,0.000000,events/second
1681858790,1,0.001797,0.000000,0.000000,0.000000,events/second
1681858793,1,0.001788,0.000000,0.000000,0.000000,events/second
1681858796,1,0.001778,0.000000,0.000000,0.000000,events/second
1681858799,1,0.001769,0.000000,0.000000,0.000000,events/second
1681858802,1,0.001759,0.000000,0.000000,0.000000,events/second
1681858805,1,0.001750,0.000000,0.000000,0.000000,events/second
1681858808,1,0.001741,0.000000,0.000000,0.000000,events/second
1681858811,1,0.001732,0.000000,0.000000,0.000000,events/second
1681858814,1,0.001723,0.000000,0.000000,0.000000,events/second
1681858817,1,0.001714,0.000000,0.000000,0.000000,events/second
1681858820,1,0.001705,0.000000,0.000000,0.000000,events/second
1681858823,1,0.001697,0.000000,0.000000,0.000000,events/second
1681858826,1,0.001688,0.000000,0.000000,0.000000,events/second
1681858829,1,0.001680,0.000000,0.000000,0.000000,events/second
1681858832,1,0.001671,0.000000,0.000000,0.000000,events/second
1681858835,1,0.001663,0.000000,0.000000,0.000000,events/second
1681858838,1,0.001655,0.000000,0.000000,0.000000,events/second
1681858841,1,0.001646,0.000000,0.000000,0.000000,events/second
1681858844,1,0.001638,0.000000,0.000000,0.000000,events/second
1681858847,1,0.001630,0.000000,0.000000,0.000000,events/second
1681858850,1,0.001622,0.000000,0.000000,0.000000,events/second
1681858853,1,0.001615,0.000000,0.000000,0.000000,events/second
1681858856,1,0.001607,0.000000,0.000000,0.000000,events/second
1681858859,1,0.001599,0.000000,0.000000,0.000000,events/second
1681858862,1,0.001591,0.000000,0.000000,0.000000,events/second
1681858865,1,0.001584,0.000000,0.000000,0.000000,events/second
1681858868,1,0.001576,0.000000,0.000000,0.000000,events/second
1681858871,1,0.001569,0.000000,0.000000,0.000000,events/second
1681858874,1,0.001562,0.000000,0.000000,0.000000,events/second
1681858877,1,0.001554,0.000000,0.000000,0.000000,events/second
1681858880,1,0.001547,0.000000,0.000000,0.000000,events/second
1681858883,1,0.001540,0.000000,0.000000,0.000000,events/second
1681858886,1,0.001533,0.000000,0.000000,0.000000,events/second
1681858889,1,0.001526,0.000000,0.000000,0.000000,events/second
1681858892,1,0.001519,0.000000,0.000000,0.000000,events/second
1681858895,1,0.001512,0.000000,0.000000,0.000000,events/second
1681858898,1,0.001505,0.000000,0.000000,0.000000,events/second
1681858901,1,0.001498,0.000000,0.000000,0.000000,events/second
1681858904,1,0.001492,0.000000,0.000000,0.000000,events/second
1681858907,1,0.001485,0.000000,0.000000,0.000000,events/second
1681858910,1,0.001479,0.000000,0.000000,0.000000,events/second
1681858913,1,0.001472,0.000000,0.000000,0.000000,events/second
1681858916,1,0.001466,0.000000,0.000000,0.000000,events/second
1681858919,1,0.001459,0.000000,0.000000,0.000000,events/second
1681858922,1,0.001453,0.000000,0.000000,0.000000,events/second
1681858925,1,0.001446,0.000000,0.000000,0.000000,events/second
1681858928,1,0.001440,0.000000,0.000000,0.000000,events/second
1681858931,1,0.001434,0.000000,0.000000,0.000000,events/second
1681858934,1,0.001428,0.000000,0.000000,0.000000,events/second
1681858937,1,0.001422,0.000000,0.000000,0.000000,events/second
1681858940,1,0.001416,0.000000,0.000000,0.000000,events/second
1681858943,1,0.001410,0.000000,0.000000,0.000000,events/second
1681858946,1,0.001404,0.000000,0.000000,0.000000,events/second
1681858949,1,0.001398,0.000000,0.000000,0.000000,events/second
1681858952,1,0.001392,0.000000,0.000000,0.000000,events/second
1681858955,1,0.001386,0.000000,0.000000,0.000000,events/second
1681858958,1,0.001381,0.000000,0.000000,0.000000,events/second
1681858961,1,0.001375,0.000000,0.000000,0.000000,events/second
1681858964,1,0.001369,0.000000,0.000000,0.000000,events/second
1681858967,1,0.001364,0.000000,0.000000,0.000000,events/second
1681858970,1,0.001358,0.000000,0.000000,0.000000,events/second
1681858973,1,0.001353,0.000000,0.000000,0.000000,events/second
1681858976,1,0.001347,0.000000,0.000000,0.000000,events/second
1681858979,1,0.001342,0.000000,0.000000,0.000000,events/second
1681858982,1,0.001336,0.000000,0.000000,0.000000,events/second
1681858985,1,0.001331,0.000000,0.000000,0.000000,events/second
1681858988,1,0.001326,0.000000,0.000000,0.000000,events/second
1681858991,1,0.001320,0.000000,0.000000,0.000000,events/second
