t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,144,30.112318,0.000000,0.000000,0.000000,events/second
1681858241,144,19.202773,0.000000,0.000000,0.000000,events/second
1681858244,144,13.772934,0.000000,0.000000,0.000000,events/second
1681858247,144,10.521558,0.000000,0.000000,0.000000,events/second
1681858250,144,8.774414,0.000000,0.000000,0.000000,events/second
1681858253,144,7.412964,0.000000,0.000000,0.000000,events/second
1681858256,144,6.422431,0.000000,0.000000,0.000000,events/second
1681858259,144,5.427507,0.000000,0.000000,0.000000,events/second
1681858262,144,5.052169,0.000000,0.000000,0.000000,events/second
1681858265,144,4.581458,0.000000,0.000000,0.000000,events/second
1681858268,144,4.187813,0.000000,0.000000,0.000000,events/second
1681858271,144,3.848616,0.000000,0.000000,0.000000,events/second
1681858274,144,3.564147,0.000000,0.000000,0.000000,events/second
1681858277,144,3.317718,0.000000,0.000000,0.000000,events/second
1681858280,144,3.099872,0.000000,0.000000,0.000000,events/second
1681858283,144,2.905996,0.000000,0.000000,0.000000,events/second
1681858286,144,2.747774,0.000000,0.000000,0.000000,events/second
1681858289,144,2.599512,0.000000,0.000000,0.000000,events/second
1681858292,144,2.465276,0.000000,0.000000,0.000000,events/second
1681858295,144,2.342332,0.000000,0.000000,0.000000,events/second
1681858298,144,2.235449,0.000000,0.000000,0.000000,events/second
1681858301,144,2.135816,0.000000,0.000000,0.000000,events/second
1681858304,144,2.045246,0.000000,0.000000,0.000000,events/second
1681858307,144,1.961725,0.000000,0.000000,0.000000,events/second
1681858310,144,1.885016,0.000000,0.000000,0.000000,events/second
1681858313,144,1.813228,0.000000,0.000000,0.000000,events/second
1681858316,144,1.747718,0.000000,0.000000,0.000000,events/second
1681858319,144,1.686098,0.000000,0.000000,0.000000,events/second
1681858322,144,1.628114,0.000000,0.000000,0.000000,events/second
1681858325,144,1.574715,0.000000,0.000000,0.000000,events/second
1681858328,144,1.524964,0.000000,0.000000,0.000000,events/second
1681858331,144,1.478988,0.000000,0.000000,0.000000,events/second
1681858334,144,1.434778,0.000000,0.000000,0.000000,events/second
1681858337,144,1.393187,0.000000,0.000000,0.000000,events/second
1681858340,144,1.353860,0.000000,0.000000,0.000000,events/second
1681858343,144,1.316573,0.000000,0.000000,0.000000,events/second
1681858346,144,1.281489,0.000000,0.000000,0.000000,events/second
1681858349,144,1.248242,0.000000,0.000000,0.000000,events/second
1681858352,144,1.216399,0.000000,0.000000,0.000000,events/second
1681858355,144,1.186446,0.000000,0.000000,0.000000,events/second
1681858358,144,1.157945,0.000000,0.000000,0.000000,events/second
1681858361,144,1.130520,0.000000,0.000000,0.000000,events/second
1681858364,144,1.104638,0.000000,0.000000,0.000000,events/second
1681858367,144,1.079794,0.000000,0.000000,0.000000,events/second
1681858370,144,1.055970,0.000000,0.000000,0.000000,events/second
1681858373,144,1.032474,0.000000,0.000000,0.000000,events/second
1681858376,144,1.011299,0.000000,0.000000,0.000000,events/second
1681858379,144,0.990424,0.000000,0.000000,0.000000,events/second
1681858382,144,0.970505,0.000000,0.000000,0.000000,events/second
1681858385,144,0.951325,0.000000,0.000000,0.000000,events/second
1681858388,144,0.932634,0.000000,0.000000,0.000000,events/second
1681858391,144,0.915024,0.000000,0.000000,0.000000,events/second
1681858394,144,0.897927,0.000000,0.000000,0.000000,events/second
1681858397,144,0.881475,0.000000,0.000000,0.000000,events/second
1681858400,144,0.865471,0.000000,0.000000,0.000000,events/second
1681858403,144,0.850214,0.000000,0.000000,0.000000,events/second
1681858406,144,0.835403,0.000000,0.000000,0.000000,events/second
1681858409,144,0.821158,0.000000,0.000000,0.000000,events/second
1681858412,144,0.807315,0.000000,0.000000,0.000000,events/second
1681858415,144,0.793966,0.000000,0.000000,0.000000,events/second
1681858418,144,0.781012,0.000000,0.000000,0.000000,events/second
1681858421,144,0.768534,0.000000,0.000000,0.000000,events/second
1681858424,144,0.756464,0.000000,0.000000,0.000000,events/second
1681858427,144,0.744659,0.000000,0.000000,0.000000,events/second
1681858430,144,0.733335,0.000000,0.000000,0.000000,events/second
1681858433,144,0.722273,0.000000,0.000000,0.000000,events/second
1681858436,144,0.711548,0.000000,0.000000,0.000000,events/second
1681858439,144,0.701209,0.000000,0.000000,0.000000,events/second
1681858442,144,0.691086,0.000000,0.000000,0.000000,events/second
1681858445,144,0.681305,0.000000,0.000000,0.000000,events/second
1681858448,144,0.671706,0.000000,0.000000,0.000000,events/second
1681858451,144,0.662451,0.000000,0.000000,0.000000,events/second
1681858454,144,0.653440,0.000000,0.000000,0.000000,events/second
1681858457,144,0.644680,0.000000,0.000000,0.000000,events/second
1681858460,144,0.636143,0.000000,0.000000,0.000000,events/second
1681858463,144,0.627828,0.000000,0.000000,0.000000,events/second
1681858466,144,0.619712,0.000000,0.000000,0.000000,events/second
1681858469,144,0.611803,0.000000,0.000000,0.000000,events/second
1681858472,144,0.604124,0.000000,0.000000,0.000000,events/second
1681858475,144,0.596595,0.000000,0.000000,0.000000,events/second
1681858478,144,0.589290,0.000000,0.000000,0.000000,events/second
1681858481,144,0.582141,0.000000,0.000000,0.000000,events/second
1681858484,144,0.575166,0.000000,0.000000,0.000000,events/second
1681858487,144,0.568349,0.000000,0.000000,0.000000,events/second
1681858490,144,0.561713,0.000000,0.000000,0.000000,events/second
1681858493,144,0.555219,0.000000,0.000000,0.000000,events/second
1681858496,144,0.548874,0.000000,0.000000,0.000000,events/second
1681858499,144,0.542645,0.000000,0.000000,0.000000,events/second
1681858502,144,0.536595,0.000000,0.000000,0.000000,events/second
1681858505,144,0.530644,0.000000,0.000000,0.000000,events/second
1681858508,144,0.524865,0.000000,0.000000,0.000000,events/second
1681858511,144,0.519178,0.000000,0.000000,0.000000,events/second
1681858514,144,0.513613,0.000000,0.000000,0.000000,events/second
