t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,6,1.730545,0.000000,0.000000,0.000000,events/second
1681858241,8,1.294808,0.000000,0.000000,0.000000,events/second
1681858244,8,0.874630,0.000000,0.000000,0.000000,events/second
1681858247,8,0.646673,0.000000,0.000000,0.000000,events/second
1681858250,8,0.530138,0.000000,0.000000,0.000000,events/second
1681858253,8,0.441875,0.000000,0.000000,0.000000,events/second
1681858256,8,0.379138,0.000000,0.000000,0.000000,events/second
1681858259,8,0.316417,0.000000,0.000000,0.000000,events/second
1681858262,8,0.294307,0.000000,0.000000,0.000000,events/second
1681858265,8,0.265693,0.000000,0.000000,0.000000,events/second
1681858268,8,0.241957,0.000000,0.000000,0.000000,events/second
1681858271,8,0.221634,0.000000,0.000000,0.000000,events/second
1681858274,9,0.230287,0.000000,0.000000,0.000000,events/second
1681858277,9,0.213871,0.000000,0.000000,0.000000,events/second
1681858280,10,0.221566,0.000000,0.000000,0.000000,events/second
1681858283,11,0.227969,0.000000,0.000000,0.000000,events/second
1681858286,11,0.215316,0.000000,0.000000,0.000000,events/second
1681858289,12,0.221918,0.000000,0.000000,0.000000,events/second
1681858292,13,0.227714,0.000000,0.000000,0.000000,events/second
1681858295,14,0.232727,0.000000,0.000000,0.000000,events/second
1681858298,15,0.237718,0.000000,0.000000,0.000000,events/second
1681858301,17,0.257186,0.000000,0.000000,0.000000,events/second
1681858304,19,0.275020,0.000000,0.000000,0.000000,events/second
1681858307,21,0.291327,0.000000,0.000000,0.000000,events/second
1681858310,23,0.306379,0.000000,0.000000,0.000000,events/second
1681858313,26,0.332901,0.000000,0.000000,0.000000,events/second
1681858316,28,0.345373,0.000000,0.000000,0.000000,events/second
1681858319,31,0.368683,0.000000,0.000000,0.000000,events/second
1681858322,33,0.378757,0.000000,0.000000,0.000000,events/second
1681858325,35,0.388353,0.000000,0.000000,0.000000,events/second
1681858328,37,0.397392,0.000000,0.000000,0.000000,events/second
1681858331,38,0.395662,0.000000,0.000000,0.000000,events/second
1681858334,38,0.383677,0.000000,0.000000,0.000000,events/second
1681858337,38,0.372411,0.000000,0.000000,0.000000,events/second
1681858340,38,0.361767,0.000000,0.000000,0.000000,events/second
1681858343,38,0.351681,0.000000,0.000000,0.000000,events/second
1681858346,38,0.342198,0.000000,0.000000,0.000000,events/second
1681858349,38,0.333216,0.000000,0.000000,0.000000,events/second
1681858352,38,0.324620,0.000000,0.000000,0.000000,events/second
1681858355,38,0.316539,0.000000,0.000000,0.000000,events/second
1681858358,38,0.308853,0.000000,0.000000,0.000000,events/second
1681858361,38,0.301459,0.000000,0.000000,0.000000,events/second
1681858364,38,0.294489,0.000000,0.000000,0.000000,events/second
1681858367,38,0.287799,0.000000,0.000000,0.000000,events/second
1681858370,38,0.281386,0.000000,0.000000,0.000000,events/second
1681858373,38,0.275064,0.000000,0.000000,0.000000,events/second
1681858376,38,0.269366,0.000000,0.000000,0.000000,events/second
1681858379,38,0.263759,0.000000,0.000000,0.000000,events/second
1681858382,38,0.258408,0.000000,0.000000,0.000000,events/second
1681858385,38,0.253256,0.000000,0.000000,0.000000,events/second
1681858388,38,0.248236,0.000000,0.000000,0.000000,events/second
1681858391,38,0.243511,0.000000,0.000000,0.000000,events/second
1681858394,38,0.238923,0.000000,0.000000,0.000000,events/second
1681858397,38,0.234509,0.000000,0.000000,0.000000,events/second
1681858400,38,0.230217,0.000000,0.000000,0.000000,events/second
1681858403,38,0.226127,0.000000,0.000000,0.000000,events/second
1681858406,38,0.222158,0.000000,0.000000,0.000000,events/second
1681858409,38,0.218341,0.000000,0.000000,0.000000,events/second
1681858412,38,0.214633,0.000000,0.000000,0.000000,events/second
1681858415,39,0.216612,0.000000,0.000000,0.000000,events/second
1681858418,39,0.213052,0.000000,0.000000,0.000000,events/second
1681858421,39,0.209624,0.000000,0.000000,0.000000,events/second
1681858424,39,0.206309,0.000000,0.000000,0.000000,events/second
1681858427,39,0.203066,0.000000,0.000000,0.000000,events/second
1681858430,39,0.199958,0.000000,0.000000,0.000000,events/second
1681858433,39,0.196921,0.000000,0.000000,0.000000,events/second
1681858436,39,0.193978,0.000000,0.000000,0.000000,events/second
1681858439,39,0.191142,0.000000,0.000000,0.000000,events/second
1681858442,39,0.188365,0.000000,0.000000,0.000000,events/second
1681858445,39,0.185682,0.000000,0.000000,0.000000,events/second
1681858448,39,0.183049,0.000000,0.000000,0.000000,events/second
