t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,48,13.829124,0.000000,0.000000,0.000000,events/second
1681858241,90,14.563069,0.000000,0.000000,0.000000,events/second
1681858244,90,9.838193,0.000000,0.000000,0.000000,events/second
1681858247,90,7.274067,0.000000,0.000000,0.000000,events/second
1681858250,90,5.963570,0.000000,0.000000,0.000000,events/second
1681858253,90,4.970743,0.000000,0.000000,0.000000,events/second
1681858256,90,4.265064,0.000000,0.000000,0.000000,events/second
1681858259,90,3.559462,0.000000,0.000000,0.000000,events/second
1681858262,90,3.310557,0.000000,0.000000,0.000000,events/second
1681858265,90,2.988924,0.000000,0.000000,0.000000,events/second
1681858268,90,2.721944,0.000000,0.000000,0.000000,events/second
1681858271,90,2.493288,0.000000,0.000000,0.000000,events/second
1681858274,101,2.584257,0.000000,0.000000,0.000000,events/second
1681858277,101,2.400046,0.000000,0.000000,0.000000,events/second
1681858280,110,2.437153,0.000000,0.000000,0.000000,events/second
1681858283,121,2.507589,0.000000,0.000000,0.000000,events/second
1681858286,121,2.368405,0.000000,0.000000,0.000000,events/second
1681858289,132,2.441051,0.000000,0.000000,0.000000,events/second
1681858292,144,2.522329,0.000000,0.000000,0.000000,events/second
1681858295,158,2.626399,0.000000,0.000000,0.000000,events/second
1681858298,170,2.694093,0.000000,0.000000,0.000000,events/second
1681858301,196,2.965160,0.000000,0.000000,0.000000,events/second
1681858304,221,3.198866,0.000000,0.000000,0.000000,events/second
1681858307,246,3.412613,0.000000,0.000000,0.000000,events/second
1681858310,266,3.543302,0.000000,0.000000,0.000000,events/second
1681858313,302,3.866703,0.000000,0.000000,0.000000,events/second
1681858316,325,4.008731,0.000000,0.000000,0.000000,events/second
1681858319,356,4.233843,0.000000,0.000000,0.000000,events/second
1681858322,375,4.304013,0.000000,0.000000,0.000000,events/second
1681858325,395,4.382776,0.000000,0.000000,0.000000,events/second
1681858328,414,4.446447,0.000000,0.000000,0.000000,events/second
1681858331,424,4.414718,0.000000,0.000000,0.000000,events/second
1681858334,424,4.280997,0.000000,0.000000,0.000000,events/second
1681858337,424,4.155298,0.000000,0.000000,0.000000,events/second
1681858340,424,4.036529,0.000000,0.000000,0.000000,events/second
1681858343,424,3.923993,0.000000,0.000000,0.000000,events/second
1681858346,424,3.818186,0.000000,0.000000,0.000000,events/second
1681858349,424,3.717974,0.000000,0.000000,0.000000,events/second
1681858352,424,3.622060,0.000000,0.000000,0.000000,events/second
1681858355,424,3.531887,0.000000,0.000000,0.000000,events/second
1681858358,424,3.446133,0.000000,0.000000,0.000000,events/second
1681858361,424,3.363626,0.000000,0.000000,0.000000,events/second
1681858364,424,3.285862,0.000000,0.000000,0.000000,events/second
1681858367,424,3.211208,0.000000,0.000000,0.000000,events/second
1681858370,424,3.139661,0.000000,0.000000,0.000000,events/second
1681858373,424,3.069106,0.000000,0.000000,0.000000,events/second
1681858376,424,3.005514,0.000000,0.000000,0.000000,events/second
1681858379,424,2.942978,0.000000,0.000000,0.000000,events/second
1681858382,424,2.883276,0.000000,0.000000,0.000000,events/second
1681858385,424,2.825787,0.000000,0.000000,0.000000,events/second
1681858388,424,2.769752,0.000000,0.000000,0.000000,events/second
1681858391,424,2.717056,0.000000,0.000000,0.000000,events/second
1681858394,424,2.665867,0.000000,0.000000,0.000000,events/second
1681858397,424,2.616613,0.000000,0.000000,0.000000,events/second
1681858400,424,2.568723,0.000000,0.000000,0.000000,events/second
1681858403,424,2.523094,0.000000,0.000000,0.000000,events/second
1681858406,424,2.478805,0.000000,0.000000,0.000000,events/second
1681858409,424,2.436216,0.000000,0.000000,0.000000,events/second
1681858412,424,2.394839,0.000000,0.000000,0.000000,events/second
1681858415,438,2.432707,0.000000,0.000000,0.000000,events/second
1681858418,438,2.392730,0.000000,0.000000,0.000000,events/second
1681858421,438,2.354228,0.000000,0.000000,0.000000,events/second
1681858424,438,2.316999,0.000000,0.000000,0.000000,events/second
1681858427,438,2.280582,0.000000,0.000000,0.000000,events/second
1681858430,438,2.245674,0.000000,0.000000,0.000000,events/second
1681858433,438,2.211566,0.000000,0.000000,0.000000,events/second
1681858436,438,2.178510,0.000000,0.000000,0.000000,events/second
1681858439,438,2.146662,0.000000,0.000000,0.000000,events/second
1681858442,438,2.115473,0.000000,0.000000,0.000000,events/second
1681858445,438,2.085342,0.000000,0.000000,0.000000,events/second
1681858448,438,2.055776,0.000000,0.000000,0.000000,events/second
1681858451,438,2.027274,0.000000,0.000000,0.000000,events/second
1681858454,438,1.999532,0.000000,0.000000,0.000000,events/second
1681858457,438,1.972575,0.000000,0.000000,0.000000,events/second
1681858460,438,1.946298,0.000000,0.000000,0.000000,events/second
1681858463,438,1.920706,0.000000,0.000000,0.000000,events/second
1681858466,438,1.895734,0.000000,0.000000,0.000000,events/second
1681858469,438,1.871405,0.000000,0.000000,0.000000,events/second
1681858472,438,1.847789,0.000000,0.000000,0.000000,events/second
1681858475,438,1.824630,0.000000,0.000000,0.000000,events/second
1681858478,438,1.802170,0.000000,0.000000,0.000000,events/second
1681858481,438,1.780185,0.000000,0.000000,0.000000,events/second
1681858484,438,1.758743,0.000000,0.000000,0.000000,events/second
1681858487,438,1.737792,0.000000,0.000000,0.000000,events/second
1681858490,438,1.717398,0.000000,0.000000,0.000000,events/second
1681858493,438,1.697438,0.000000,0.000000,0.000000,events/second
1681858496,438,1.677946,0.000000,0.000000,0.000000,events/second
1681858499,438,1.658807,0.000000,0.000000,0.000000,events/second
1681858502,438,1.640220,0.000000,0.000000,0.000000,events/second
1681858505,438,1.621938,0.000000,0.000000,0.000000,events/second
1681858508,438,1.604194,0.000000,0.000000,0.000000,events/second
1681858511,438,1.586729,0.000000,0.000000,0.000000,events/second
1681858514,438,1.569637,0.000000,0.000000,0.000000,events/second
1681858517,438,1.552952,0.000000,0.000000,0.000000,events/second
1681858520,438,1.536625,0.000000,0.000000,0.000000,events/second
1681858523,438,1.520600,0.000000,0.000000,0.000000,events/second
1681858526,438,1.504935,0.000000,0.000000,0.000000,events/second
1681858529,438,1.489586,0.000000,0.000000,0.000000,events/second
1681858532,438,1.474525,0.000000,0.000000,0.000000,events/second
1681858535,438,1.459765,0.000000,0.000000,0.000000,events/second
1681858538,438,1.445380,0.000000,0.000000,0.000000,events/second
1681858541,438,1.431150,0.000000,0.000000,0.000000,events/second
1681858544,438,1.417206,0.000000,0.000000,0.000000,events/second
1681858547,438,1.403665,0.000000,0.000000,0.000000,events/second
1681858550,438,1.390249,0.000000,0.000000,0.000000,events/second
