t,value
1681858238,536870912
1681858241,536870912
1681858244,536870912
1681858247,536870912
1681858250,536870912
1681858253,536870912
1681858256,536870912
1681858259,536870912
1681858262,536870912
1681858265,536870912
1681858268,536870912
1681858271,536870912
1681858274,536870912
1681858277,536870912
1681858280,536870912
1681858283,536870912
1681858286,536870912
1681858289,536870912
1681858292,536870912
1681858295,536870912
1681858298,536870912
1681858301,536870912
1681858304,536870912
1681858307,536870912
1681858310,536870912
1681858313,536870912
1681858316,536870912
1681858319,536870912
1681858322,536870912
1681858325,536870912
1681858328,536870912
1681858331,536870912
1681858334,536870912
1681858337,536870912
1681858340,536870912
1681858343,536870912
1681858346,536870912
1681858349,536870912
1681858352,536870912
1681858355,536870912
1681858358,536870912
1681858361,536870912
1681858364,536870912
1681858367,536870912
1681858370,536870912
1681858373,536870912
1681858376,536870912
1681858379,536870912
1681858382,536870912
1681858385,536870912
1681858388,536870912
1681858391,536870912
1681858394,536870912
1681858397,536870912
1681858400,536870912
1681858403,536870912
1681858406,536870912
1681858409,536870912
1681858412,536870912
1681858415,536870912
1681858418,536870912
1681858421,536870912
1681858424,536870912
1681858427,536870912
1681858430,536870912
1681858433,536870912
1681858436,536870912
1681858439,536870912
1681858442,536870912
1681858445,536870912
1681858448,536870912
1681858451,536870912
1681858454,536870912
1681858457,536870912
1681858460,536870912
1681858463,536870912
1681858466,536870912
1681858469,536870912
1681858472,536870912
1681858475,536870912
1681858478,536870912
1681858481,536870912
1681858484,536870912
1681858487,536870912
1681858490,536870912
1681858493,536870912
1681858496,536870912
1681858499,536870912
1681858502,536870912
1681858505,536870912
1681858508,536870912
1681858511,536870912
1681858514,536870912
1681858517,536870912
1681858520,536870912
1681858523,536870912
1681858526,536870912
1681858529,536870912
1681858532,536870912
1681858535,536870912
1681858538,536870912
1681858541,536870912
1681858544,536870912
1681858547,536870912
1681858550,536870912
1681858553,536870912
1681858556,536870912
1681858559,536870912
1681858562,536870912
1681858565,536870912
1681858568,536870912
1681858571,536870912
