t,value
1681858238,1073741824
1681858241,1073741824
1681858244,1073741824
1681858247,1073741824
1681858250,1073741824
1681858253,1073741824
1681858256,1073741824
1681858259,1073741824
1681858262,1073741824
1681858265,1073741824
1681858268,1073741824
1681858271,1073741824
1681858274,1073741824
1681858277,1073741824
1681858280,1073741824
1681858283,1073741824
1681858286,1073741824
1681858289,1073741824
1681858292,1073741824
1681858295,1073741824
1681858298,1073741824
1681858301,1073741824
1681858304,1073741824
1681858307,1073741824
1681858310,1073741824
1681858313,1073741824
1681858316,1073741824
1681858319,1073741824
1681858322,1073741824
1681858325,1073741824
1681858328,1073741824
1681858331,1073741824
1681858334,1073741824
1681858337,1073741824
1681858340,1073741824
1681858343,1073741824
1681858346,1073741824
1681858349,1073741824
1681858352,1073741824
1681858355,1073741824
1681858358,1073741824
1681858361,1073741824
1681858364,1073741824
1681858367,1073741824
1681858370,1073741824
1681858373,1073741824
1681858376,1073741824
1681858379,1073741824
1681858382,1073741824
1681858385,1073741824
1681858388,1073741824
1681858391,1073741824
1681858394,1073741824
1681858397,1073741824
1681858400,1073741824
1681858403,1073741824
1681858406,1073741824
1681858409,1073741824
1681858412,1073741824
1681858415,1073741824
1681858418,1073741824
1681858421,1073741824
1681858424,1073741824
1681858427,1073741824
1681858430,1073741824
1681858433,1073741824
1681858436,1073741824
1681858439,1073741824
1681858442,1073741824
1681858445,1073741824
1681858448,1073741824
1681858451,1073741824
1681858454,1073741824
1681858457,1073741824
1681858460,1073741824
1681858463,1073741824
1681858466,1073741824
1681858469,1073741824
1681858472,1073741824
1681858475,1073741824
1681858478,1073741824
1681858481,1073741824
1681858484,1073741824
1681858487,1073741824
1681858490,1073741824
1681858493,1073741824
1681858496,1073741824
1681858499,1073741824
1681858502,1073741824
1681858505,1073741824
1681858508,1073741824
1681858511,1073741824
1681858514,1073741824
1681858517,1073741824
1681858520,1073741824
1681858523,1073741824
1681858526,1073741824
1681858529,1073741824
1681858532,1073741824
1681858535,1073741824
1681858538,1073741824
1681858541,1073741824
1681858544,1073741824
1681858547,1073741824
1681858550,1073741824
1681858553,1073741824
1681858556,1073741824
1681858559,1073741824
1681858562,1073741824
1681858565,1073741824
1681858568,1073741824
1681858571,1073741824
1681858574,1073741824
1681858577,1073741824
1681858580,1073741824
1681858583,1073741824
1681858586,1073741824
1681858589,1073741824
1681858592,1073741824
1681858595,1073741824
1681858598,1073741824
1681858601,1073741824
1681858604,1073741824
1681858607,1073741824
1681858610,1073741824
1681858613,1073741824
1681858616,1073741824
1681858619,1073741824
1681858622,1073741824
1681858625,1073741824
1681858628,1073741824
1681858631,1073741824
1681858634,1073741824
1681858637,1073741824
1681858640,1073741824
1681858643,1073741824
1681858646,1073741824
1681858649,1073741824
1681858652,1073741824
1681858655,1073741824
1681858658,1073741824
1681858661,1073741824
1681858664,1073741824
1681858667,1073741824
1681858670,1073741824
1681858673,1073741824
1681858676,1073741824
1681858679,1073741824
1681858682,1073741824
1681858685,1073741824
1681858688,1073741824
1681858691,1073741824
1681858694,1073741824
1681858697,1073741824
1681858700,1073741824
1681858703,1073741824
1681858706,1073741824
1681858709,1073741824
1681858712,1073741824
1681858715,1073741824
1681858718,1073741824
1681858721,1073741824
1681858724,1073741824
1681858727,1073741824
1681858730,1073741824
1681858733,1073741824
1681858736,1073741824
1681858739,1073741824
1681858742,1073741824
1681858745,1073741824
1681858748,1073741824
1681858751,1073741824
1681858754,1073741824
1681858757,1073741824
1681858760,1073741824
1681858763,1073741824
1681858766,1073741824
1681858769,1073741824
1681858772,1073741824
1681858775,1073741824
1681858778,1073741824
1681858781,1073741824
1681858784,1073741824
1681858787,1073741824
1681858790,1073741824
1681858793,1073741824
1681858796,1073741824
1681858799,1073741824
1681858802,1073741824
1681858805,1073741824
1681858808,1073741824
1681858811,1073741824
1681858814,1073741824
1681858817,1073741824
1681858820,1073741824
1681858823,1073741824
1681858826,1073741824
1681858829,1073741824
1681858832,1073741824
1681858835,1073741824
1681858838,1073741824
1681858841,1073741824
1681858844,1073741824
1681858847,1073741824
1681858850,1073741824
1681858853,1073741824
1681858856,1073741824
1681858859,1073741824
1681858862,1073741824
1681858865,1073741824
1681858868,1073741824
1681858871,1073741824
1681858874,1073741824
1681858877,1073741824
1681858880,1073741824
1681858883,1073741824
1681858886,1073741824
1681858889,1073741824
1681858892,1073741824
1681858895,1073741824
1681858898,1073741824
1681858901,1073741824
1681858904,1073741824
1681858907,1073741824
1681858910,1073741824
1681858913,1073741824
1681858916,1073741824
1681858919,1073741824
1681858922,1073741824
1681858925,1073741824
1681858928,1073741824
1681858931,1073741824
1681858934,1073741824
1681858937,1073741824
1681858940,1073741824
1681858943,1073741824
1681858946,1073741824
1681858949,1073741824
1681858952,1073741824
1681858955,1073741824
1681858958,1073741824
1681858961,1073741824
1681858964,1073741824
1681858967,1073741824
1681858970,1073741824
1681858973,1073741824
1681858976,1073741824
1681858979,1073741824
1681858982,1073741824
1681858985,1073741824
1681858988,1073741824
1681858991,1073741824
1681858994,1073741824
1681858997,1073741824
1681859000,1073741824
1681859003,1073741824
1681859006,1073741824
1681859009,1073741824
1681859012,1073741824
1681859015,1073741824
1681859018,1073741824
1681859021,1073741824
1681859024,1073741824
1681859027,1073741824
1681859030,1073741824
1681859033,1073741824
1681859036,1073741824
1681859039,1073741824
1681859042,1073741824
1681859045,1073741824
1681859048,1073741824
1681859051,1073741824
1681859054,1073741824
1681859057,1073741824
1681859060,1073741824
1681859063,1073741824
1681859066,1073741824
1681859069,1073741824
1681859072,1073741824
1681859075,1073741824
1681859078,1073741824
1681859081,1073741824
1681859084,1073741824
1681859087,1073741824
1681859090,1073741824
1681859093,1073741824
1681859096,1073741824
1681859099,1073741824
1681859102,1073741824
1681859105,1073741824
1681859108,1073741824
1681859111,1073741824
1681859114,1073741824
1681859117,1073741824
1681859120,1073741824
1681859123,1073741824
1681859126,1073741824
1681859129,1073741824
1681859132,1073741824
1681859135,1073741824
1681859138,1073741824
1681859141,1073741824
1681859144,1073741824
1681859147,1073741824
1681859150,1073741824
1681859153,1073741824
1681859156,1073741824
1681859159,1073741824
1681859162,1073741824
1681859165,1073741824
1681859168,1073741824
1681859171,1073741824
1681859174,1073741824
1681859177,1073741824
1681859180,1073741824
1681859183,1073741824
1681859186,1073741824
1681859189,1073741824
1681859192,1073741824
1681859195,1073741824
1681859198,1073741824
1681859201,1073741824
1681859204,1073741824
1681859207,1073741824
1681859210,1073741824
1681859213,1073741824
1681859216,1073741824
1681859219,1073741824
1681859222,1073741824
1681859225,1073741824
1681859228,1073741824
1681859231,1073741824
1681859234,1073741824
1681859237,1073741824
1681859240,1073741824
1681859243,1073741824
1681859246,1073741824
1681859249,1073741824
1681859252,1073741824
1681859255,1073741824
1681859258,1073741824
1681859261,1073741824
1681859264,1073741824
1681859267,1073741824
1681859270,1073741824
1681859273,1073741824
1681859276,1073741824
1681859279,1073741824
1681859282,1073741824
1681859285,1073741824
1681859288,1073741824
1681859291,1073741824
1681859294,1073741824
1681859297,1073741824
1681859300,1073741824
1681859303,1073741824
1681859306,1073741824
1681859309,1073741824
1681859312,1073741824
1681859315,1073741824
1681859318,1073741824
1681859321,1073741824
1681859324,1073741824
1681859327,1073741824
1681859330,1073741824
1681859333,1073741824
1681859336,1073741824
1681859339,1073741824
1681859342,1073741824
1681859345,1073741824
1681859348,1073741824
1681859351,1073741824
1681859354,1073741824
1681859357,1073741824
1681859360,1073741824
1681859363,1073741824
1681859366,1073741824
1681859369,1073741824
1681859372,1073741824
1681859375,1073741824
1681859378,1073741824
1681859381,1073741824
1681859384,1073741824
1681859387,1073741824
1681859390,1073741824
1681859393,1073741824
1681859396,1073741824
