t,value
1681858238,301730816
1681858241,70481408
1681858244,143881728
1681858247,143881728
1681858250,144930304
1681858253,145978880
1681858256,147027456
1681858259,147027456
1681858262,148076032
1681858265,149124608
1681858268,150173184
1681858271,226719232
1681858274,121337344
1681858277,321615360
1681858280,229152192
1681858283,109625584
1681858286,327729392
1681858289,263943680
1681858292,213612032
1681858295,163670904
1681858298,276953680
1681858301,267580280
1681858304,266134744
1681858307,273361536
1681858310,313729616
1681858313,86902784
1681858316,249495024
1681858319,88551184
1681858322,129684680
1681858325,194649600
1681858328,290149448
1681858331,145388032
1681858334,146436608
1681858337,147485184
1681858340,148533760
1681858343,148533760
1681858346,149582336
1681858349,150630912
1681858352,151679488
1681858355,174748160
1681858358,175796736
1681858361,176845312
1681858364,177893888
1681858367,178942464
1681858370,193622528
1681858373,199913984
1681858376,251294208
1681858379,252342784
1681858382,252342784
1681858385,259682816
1681858388,382366208
1681858391,383414784
1681858394,383414784
1681858397,384463360
1681858400,385511936
1681858403,386560512
1681858406,387609088
1681858409,387609088
1681858412,388657664
1681858415,120910032
1681858418,120910032
1681858421,121958608
1681858424,123007184
1681858427,124055760
1681858430,124055760
1681858433,125104336
1681858436,126152912
1681858439,127201488
1681858442,127201488
1681858445,128250064
1681858448,129298640
1681858451,132444368
1681858454,133492944
1681858457,133492944
1681858460,134541520
1681858463,135590096
1681858466,136638672
1681858469,136638672
1681858472,137687248
1681858475,160755920
1681858478,161804496
1681858481,162853072
1681858484,162853072
1681858487,163901648
1681858490,164950224
1681858493,164950224
1681858496,165998800
1681858499,167047376
1681858502,168095952
1681858505,168095952
1681858508,169144528
1681858511,170193104
1681858514,171241680
1681858517,171241680
1681858520,172290256
1681858523,173338832
1681858526,173338832
1681858529,174387408
1681858532,175435984
1681858535,198504656
1681858538,199553232
1681858541,199553232
1681858544,200601808
1681858547,201650384
1681858550,202698960
1681858553,202698960
1681858556,203747536
1681858559,204796112
1681858562,205844688
1681858565,205844688
1681858568,206893264
1681858571,207941840
1681858574,208990416
1681858577,208990416
1681858580,210038992
1681858583,211087568
1681858586,211087568
1681858589,212136144
1681858592,213184720
1681858595,236253392
1681858598,237301968
1681858601,238350544
1681858604,239399120
1681858607,239399120
1681858610,240447696
1681858613,241496272
1681858616,241496272
1681858619,242544848
1681858622,243593424
1681858625,244642000
1681858628,244642000
1681858631,245690576
1681858634,246739152
1681858637,247787728
1681858640,247787728
1681858643,248836304
1681858646,249884880
1681858649,249884880
1681858652,250933456
1681858655,275050704
1681858658,275050704
1681858661,276099280
1681858664,277147856
1681858667,278196432
1681858670,278196432
1681858673,279245008
1681858676,280293584
1681858679,280293584
1681858682,281342160
1681858685,282390736
1681858688,283439312
1681858691,283439312
1681858694,284487888
1681858697,285536464
1681858700,286585040
1681858703,286585040
1681858706,287633616
1681858709,288682192
1681858712,289730768
1681858715,312799440
1681858718,312799440
1681858721,313848016
1681858724,314896592
1681858727,315945168
1681858730,315945168
1681858733,316993744
1681858736,318042320
1681858739,318042320
1681858742,319090896
1681858745,320139472
1681858748,321188048
1681858751,321188048
1681858754,322236624
1681858757,323285200
1681858760,324333776
1681858763,324333776
1681858766,325382352
1681858769,326430928
1681858772,326430928
1681858775,350548176
1681858778,350548176
1681858781,351596752
1681858784,352645328
1681858787,353693904
1681858790,353693904
1681858793,354742480
1681858796,355791056
1681858799,355791056
1681858802,356839632
1681858805,357888208
1681858808,358936784
1681858811,358936784
1681858814,359985360
1681858817,361033936
1681858820,362082512
1681858823,362082512
1681858826,363131088
1681858829,364179664
1681858832,364179664
1681858835,388296912
1681858838,389345488
1681858841,389345488
1681858844,390394064
1681858847,391442640
1681858850,391442640
1681858853,392491216
1681858856,393539792
1681858859,394588368
1681858862,394588368
1681858865,396685520
1681858868,396685520
1681858871,397734096
1681858874,398782672
1681858877,114681344
1681858880,115729920
1681858883,116778496
1681858886,117827072
1681858889,117827072
1681858892,118875648
1681858895,153478656
1681858898,154527232
1681858901,155575808
1681858904,155575808
1681858907,156624384
1681858910,157672960
1681858913,158721536
1681858916,158721536
1681858919,159770112
1681858922,160818688
1681858925,161867264
1681858928,161867264
1681858931,165012992
1681858934,165012992
1681858937,166061568
1681858940,167110144
1681858943,167110144
1681858946,168158720
1681858949,169207296
1681858952,170255872
1681858955,193324544
1681858958,193324544
1681858961,194373120
1681858964,195421696
1681858967,196470272
1681858970,196470272
1681858973,197518848
1681858976,198567424
1681858979,198567424
1681858982,199616000
1681858985,200664576
1681858988,201713152
1681858991,201713152
1681858994,202761728
1681858997,203810304
1681859000,203810304
1681859003,204858880
1681859006,205907456
1681859009,206956032
1681859012,206956032
1681859015,231073280
