t,value
1681858238,10453
1681858241,10570
1681858244,10651
1681858247,10651
1681858250,10651
1681858253,10651
1681858256,10651
1681858259,10651
1681858262,10651
1681858265,10651
1681858268,10651
1681858271,103428
1681858274,103428
1681858277,103428
1681858280,103428
1681858283,103428
1681858286,103428
1681858289,103428
1681858292,103428
1681858295,103634
1681858298,103634
1681858301,103634
1681858304,103634
1681858307,103634
1681858310,103634
1681858313,103634
1681858316,103634
1681858319,103634
1681858322,103634
1681858325,103634
1681858328,103634
1681858331,103634
1681858334,103634
1681858337,103634
1681858340,103634
1681858343,103634
1681858346,103634
1681858349,103634
1681858352,103634
1681858355,103634
1681858358,103634
1681858361,103634
1681858364,103634
1681858367,103634
1681858370,103761
1681858373,103763
1681858376,103991
1681858379,103991
1681858382,103991
1681858385,103991
1681858388,111516
1681858391,111516
1681858394,111516
1681858397,111516
1681858400,111516
1681858403,111516
1681858406,111516
1681858409,111516
1681858412,111516
1681858415,111516
1681858418,111516
1681858421,111516
1681858424,111516
1681858427,111516
1681858430,111516
1681858433,111516
1681858436,111516
1681858439,111516
1681858442,111516
1681858445,111516
1681858448,111516
1681858451,111516
1681858454,111516
1681858457,111516
1681858460,111516
1681858463,111516
1681858466,111516
1681858469,111516
1681858472,111516
1681858475,111516
1681858478,111516
1681858481,111516
1681858484,111516
1681858487,111516
1681858490,111516
1681858493,111516
1681858496,111516
1681858499,111516
1681858502,111516
1681858505,111516
1681858508,111516
1681858511,111516
1681858514,111516
1681858517,111516
1681858520,111516
1681858523,111516
1681858526,111516
1681858529,111516
1681858532,111516
1681858535,111516
1681858538,111516
1681858541,111516
1681858544,111516
1681858547,111516
1681858550,111516
1681858553,111516
1681858556,111516
1681858559,111516
1681858562,111516
1681858565,111516
1681858568,111516
1681858571,111516
1681858574,111516
1681858577,111516
1681858580,111516
1681858583,111516
1681858586,111516
1681858589,111516
1681858592,111516
1681858595,111516
1681858598,111516
1681858601,111516
1681858604,111516
1681858607,111516
1681858610,111516
1681858613,111516
1681858616,111516
1681858619,111516
1681858622,111516
1681858625,111516
1681858628,111516
1681858631,111516
1681858634,111516
1681858637,111516
1681858640,111516
1681858643,111516
1681858646,111516
1681858649,111516
1681858652,111516
1681858655,111516
1681858658,111516
1681858661,111516
1681858664,111516
1681858667,111516
1681858670,111516
1681858673,111516
1681858676,111516
1681858679,111516
1681858682,111516
1681858685,111516
1681858688,111516
1681858691,111516
1681858694,111516
1681858697,111516
1681858700,111516
1681858703,111516
1681858706,111516
1681858709,111516
1681858712,111516
1681858715,111516
1681858718,111516
1681858721,111516
1681858724,111516
1681858727,111516
1681858730,111516
1681858733,111516
1681858736,111516
1681858739,111516
1681858742,111516
1681858745,111516
1681858748,111516
1681858751,111516
1681858754,111516
1681858757,111516
1681858760,111516
1681858763,111516
1681858766,111516
1681858769,111516
1681858772,111516
1681858775,111516
1681858778,111516
1681858781,111516
1681858784,111516
1681858787,111516
1681858790,111516
1681858793,111516
1681858796,111516
1681858799,111516
1681858802,111516
1681858805,111516
1681858808,111516
1681858811,111516
1681858814,111516
1681858817,111516
1681858820,111516
1681858823,111516
1681858826,111516
1681858829,111516
1681858832,111516
1681858835,111516
1681858838,111516
1681858841,111516
1681858844,111516
1681858847,111516
1681858850,111516
1681858853,111516
1681858856,111516
1681858859,111516
1681858862,111516
1681858865,111516
1681858868,111516
1681858871,111516
1681858874,111516
1681858877,111516
1681858880,111516
1681858883,111516
1681858886,111516
1681858889,111516
1681858892,111516
1681858895,111516
1681858898,111516
1681858901,111516
1681858904,111516
1681858907,111516
1681858910,111516
1681858913,111516
1681858916,111516
1681858919,111516
1681858922,111516
1681858925,111516
1681858928,111516
1681858931,111516
1681858934,111516
1681858937,111516
1681858940,111516
1681858943,111516
1681858946,111516
1681858949,111516
1681858952,111516
1681858955,111516
1681858958,111516
1681858961,111516
1681858964,111516
1681858967,111516
1681858970,111516
1681858973,111516
1681858976,111516
1681858979,111516
1681858982,111516
1681858985,111516
1681858988,111516
1681858991,111516
1681858994,111516
1681858997,111516
1681859000,111516
1681859003,111516
1681859006,111516
1681859009,111516
1681859012,111516
1681859015,111516
1681859018,111516
1681859021,111516
1681859024,111516
1681859027,111516
1681859030,111516
1681859033,111516
1681859036,111516
1681859039,111516
1681859042,111516
1681859045,111516
1681859048,111516
1681859051,111516
1681859054,111516
1681859057,111516
1681859060,111516
1681859063,111516
1681859066,111516
1681859069,111516
1681859072,111516
1681859075,111516
1681859078,111516
1681859081,111516
1681859084,111516
1681859087,111516
1681859090,111516
1681859093,111516
1681859096,111516
1681859099,111516
1681859102,111516
1681859105,111516
1681859108,111516
1681859111,111516
1681859114,111516
1681859117,111516
1681859120,111516
1681859123,111516
1681859126,111516
1681859129,111516
1681859132,111516
1681859135,111516
1681859138,111516
1681859141,111516
1681859144,111516
1681859147,111516
1681859150,111516
1681859153,111516
1681859156,111516
1681859159,111516
1681859162,111516
1681859165,111711
1681859168,111711
1681859171,111711
1681859174,111711
1681859177,111711
1681859180,111711
1681859183,111711
1681859186,111711
1681859189,111711
1681859192,111711
1681859195,111711
1681859198,111711
1681859201,111711
1681859204,111711
1681859207,111711
1681859210,111711
1681859213,111711
1681859216,111711
1681859219,111711
1681859222,111711
1681859225,111711
1681859228,111711
1681859231,111711
1681859234,111711
1681859237,111711
1681859240,111711
1681859243,111711
1681859246,111711
1681859249,111711
1681859252,111711
1681859255,111711
1681859258,111711
1681859261,111711
1681859264,111711
1681859267,111711
1681859270,111711
1681859273,111711
1681859276,111711
1681859279,111711
1681859282,111711
1681859285,111711
1681859288,111711
1681859291,111711
1681859294,111711
1681859297,111711
1681859300,111711
1681859303,111711
1681859306,111711
1681859309,111711
1681859312,111711
1681859315,111711
1681859318,111711
1681859321,111711
1681859324,111711
1681859327,111711
1681859330,111711
1681859333,111711
1681859336,111711
1681859339,111711
1681859342,111711
1681859345,111711
1681859348,111711
1681859351,111711
1681859354,111711
1681859357,111711
1681859360,111711
1681859363,111711
1681859366,111711
1681859369,111711
1681859372,111711
1681859375,111711
1681859378,111711
1681859381,111711
1681859384,111711
1681859387,111711
1681859390,111711
1681859393,111711
1681859396,111711
1681859399,111711
1681859402,111711
1681859405,111711
1681859408,111711
1681859411,111711
1681859414,111711
1681859417,111711
1681859420,111711
1681859423,111711
1681859426,111711
1681859429,111711
1681859432,111711
1681859435,111711
1681859438,111711
1681859441,111711
1681859444,111711
1681859447,111711
1681859450,111711
1681859453,111711
1681859456,111711
1681859459,111711
1681859462,111711
1681859465,111711
1681859468,111711
1681859471,111711
1681859474,111711
1681859477,111711
1681859480,111711
1681859483,111711
1681859486,111711
1681859489,111711
1681859492,111711
1681859495,111711
1681859498,111711
1681859501,111711
1681859504,111711
1681859507,111711
1681859510,111711
1681859513,111711
1681859516,111711
1681859519,111711
1681859522,111711
1681859525,111711
1681859528,111711
1681859531,111711
1681859534,111711
1681859537,111711
1681859540,111711
1681859543,111711
1681859546,111711
1681859549,111711
1681859552,111711
1681859555,111711
1681859558,111711
1681859561,111711
1681859564,111711
1681859567,111711
1681859570,111711
1681859573,111711
1681859576,111711
1681859579,111711
1681859582,111711
1681859585,111711
1681859588,111711
1681859591,111711
1681859594,111711
1681859597,111711
1681859600,111711
1681859603,111711
1681859606,111711
1681859609,111711
1681859612,111711
1681859615,111711
1681859618,111711
1681859621,111711
1681859624,111711
1681859627,111711
1681859630,111711
1681859633,111711
1681859636,111711
1681859639,111711
1681859642,111711
1681859645,111711
1681859648,111711
1681859651,111711
1681859654,111711
1681859657,111711
1681859660,111711
1681859663,111711
1681859666,111711
1681859669,111711
1681859672,111711
1681859675,111711
1681859678,111711
1681859681,111711
1681859684,111711
1681859687,111711
1681859690,111711
1681859693,111711
1681859696,111711
1681859699,111711
1681859702,111711
1681859705,111711
1681859708,111711
1681859711,111711
1681859714,111711
1681859717,111711
1681859720,111711
1681859723,111711
1681859726,111711
1681859729,111711
1681859732,111711
1681859735,111711
1681859738,111711
1681859741,111711
1681859744,111711
1681859747,111711
1681859750,111711
1681859753,111711
1681859756,111711
1681859759,111711
1681859762,111711
1681859765,111711
1681859768,111711
1681859771,111711
1681859774,111711
1681859777,111711
1681859780,111711
1681859783,111711
1681859786,111711
1681859789,111711
1681859792,111711
1681859795,111711
1681859798,111711
1681859801,111711
1681859804,111711
1681859807,111711
1681859810,111711
1681859813,111711
1681859816,111711
1681859819,111711
