t,value
1681858238,13
1681858241,13
1681858244,13
1681858247,13
1681858250,13
1681858253,13
1681858256,13
1681858259,13
1681858262,13
1681858265,13
1681858268,13
1681858271,28
1681858274,28
1681858277,28
1681858280,28
1681858283,28
1681858286,28
1681858289,28
1681858292,28
1681858295,26
1681858298,26
1681858301,26
1681858304,26
1681858307,26
1681858310,26
1681858313,26
1681858316,26
1681858319,26
1681858322,26
1681858325,26
1681858328,26
1681858331,26
1681858334,26
1681858337,26
1681858340,26
1681858343,26
1681858346,26
1681858349,26
1681858352,26
1681858355,26
1681858358,26
1681858361,26
1681858364,26
1681858367,26
1681858370,26
1681858373,26
1681858376,26
1681858379,26
1681858382,26
1681858385,26
1681858388,26
1681858391,26
1681858394,26
1681858397,26
1681858400,26
1681858403,26
1681858406,26
1681858409,26
1681858412,26
1681858415,26
1681858418,26
1681858421,26
1681858424,26
1681858427,26
1681858430,26
1681858433,26
1681858436,26
1681858439,26
1681858442,26
1681858445,26
1681858448,26
1681858451,26
1681858454,26
1681858457,26
1681858460,26
1681858463,26
1681858466,26
1681858469,26
1681858472,26
1681858475,26
1681858478,26
1681858481,26
1681858484,26
1681858487,26
1681858490,26
1681858493,26
1681858496,26
1681858499,26
1681858502,26
1681858505,26
1681858508,26
1681858511,26
1681858514,26
1681858517,26
1681858520,26
1681858523,26
1681858526,26
1681858529,26
1681858532,26
1681858535,26
1681858538,26
1681858541,26
1681858544,26
1681858547,26
1681858550,26
1681858553,26
1681858556,26
1681858559,26
1681858562,26
1681858565,26
1681858568,26
1681858571,26
1681858574,26
1681858577,26
1681858580,26
1681858583,26
1681858586,26
1681858589,26
1681858592,26
1681858595,26
1681858598,26
1681858601,26
1681858604,26
1681858607,26
1681858610,26
1681858613,26
1681858616,26
1681858619,26
1681858622,26
1681858625,26
1681858628,26
1681858631,26
1681858634,26
1681858637,26
1681858640,26
1681858643,26
1681858646,26
1681858649,26
1681858652,26
1681858655,26
1681858658,26
1681858661,26
1681858664,26
1681858667,26
1681858670,26
1681858673,26
1681858676,26
1681858679,26
1681858682,26
1681858685,26
1681858688,26
1681858691,26
1681858694,26
1681858697,26
1681858700,26
1681858703,26
1681858706,26
1681858709,26
1681858712,26
1681858715,26
1681858718,26
1681858721,26
1681858724,26
1681858727,26
1681858730,26
1681858733,26
1681858736,26
1681858739,26
1681858742,26
1681858745,26
1681858748,26
1681858751,26
1681858754,26
1681858757,26
1681858760,26
1681858763,26
1681858766,26
1681858769,26
1681858772,26
1681858775,26
1681858778,26
1681858781,26
1681858784,26
1681858787,26
1681858790,26
1681858793,26
1681858796,26
1681858799,26
1681858802,26
1681858805,26
1681858808,26
1681858811,26
1681858814,26
1681858817,26
1681858820,26
1681858823,26
1681858826,26
1681858829,26
1681858832,26
1681858835,26
1681858838,26
1681858841,26
1681858844,26
1681858847,26
1681858850,26
1681858853,26
1681858856,26
1681858859,26
1681858862,26
1681858865,26
1681858868,26
1681858871,26
1681858874,26
1681858877,26
1681858880,26
1681858883,26
1681858886,26
1681858889,26
1681858892,26
1681858895,26
1681858898,26
1681858901,26
1681858904,26
1681858907,26
1681858910,26
1681858913,26
1681858916,26
1681858919,26
1681858922,26
1681858925,26
1681858928,26
1681858931,26
1681858934,26
1681858937,26
1681858940,26
1681858943,26
1681858946,26
1681858949,26
1681858952,26
1681858955,26
1681858958,26
1681858961,26
1681858964,26
1681858967,26
1681858970,26
1681858973,26
1681858976,26
1681858979,26
1681858982,26
1681858985,26
1681858988,26
1681858991,26
1681858994,26
1681858997,26
1681859000,26
1681859003,26
1681859006,26
1681859009,26
1681859012,26
1681859015,26
1681859018,26
1681859021,26
1681859024,26
1681859027,26
1681859030,26
1681859033,26
1681859036,26
1681859039,26
1681859042,26
1681859045,26
1681859048,26
1681859051,26
1681859054,26
1681859057,26
1681859060,26
1681859063,26
1681859066,26
1681859069,26
1681859072,26
1681859075,26
1681859078,26
1681859081,26
1681859084,26
1681859087,26
1681859090,26
1681859093,26
1681859096,26
1681859099,26
1681859102,26
1681859105,26
1681859108,26
1681859111,26
1681859114,26
1681859117,26
1681859120,26
1681859123,26
1681859126,26
1681859129,26
1681859132,26
1681859135,26
1681859138,26
1681859141,26
1681859144,26
1681859147,26
1681859150,26
1681859153,26
1681859156,26
1681859159,26
1681859162,26
1681859165,27
1681859168,27
1681859171,27
1681859174,27
1681859177,27
1681859180,27
1681859183,27
1681859186,27
1681859189,27
1681859192,27
1681859195,27
1681859198,27
1681859201,27
1681859204,27
1681859207,27
1681859210,27
1681859213,27
1681859216,27
1681859219,27
1681859222,27
1681859225,27
1681859228,27
1681859231,27
1681859234,27
1681859237,27
1681859240,27
1681859243,27
1681859246,27
1681859249,27
1681859252,27
1681859255,27
1681859258,27
1681859261,27
1681859264,27
1681859267,27
1681859270,27
1681859273,27
1681859276,27
1681859279,27
1681859282,27
1681859285,27
1681859288,27
1681859291,27
1681859294,27
1681859297,27
1681859300,27
1681859303,27
1681859306,27
1681859309,27
1681859312,27
1681859315,27
1681859318,27
1681859321,27
1681859324,27
1681859327,27
1681859330,27
1681859333,27
1681859336,27
1681859339,27
1681859342,27
1681859345,27
1681859348,27
1681859351,27
1681859354,27
1681859357,27
1681859360,27
1681859363,27
1681859366,27
1681859369,27
1681859372,27
1681859375,27
1681859378,27
1681859381,27
1681859384,27
1681859387,27
1681859390,27
1681859393,27
1681859396,27
1681859399,27
1681859402,27
1681859405,27
1681859408,27
1681859411,27
1681859414,27
1681859417,27
1681859420,27
1681859423,27
1681859426,27
1681859429,27
1681859432,27
1681859435,27
1681859438,27
1681859441,27
1681859444,27
1681859447,27
1681859450,27
1681859453,27
1681859456,27
1681859459,27
1681859462,27
1681859465,27
1681859468,27
1681859471,27
1681859474,27
1681859477,27
1681859480,27
1681859483,27
1681859486,27
1681859489,27
1681859492,27
1681859495,27
1681859498,27
1681859501,27
1681859504,27
1681859507,27
1681859510,27
1681859513,27
1681859516,27
1681859519,27
1681859522,27
1681859525,27
1681859528,27
1681859531,27
1681859534,27
1681859537,27
1681859540,27
1681859543,27
1681859546,27
1681859549,27
1681859552,27
1681859555,27
1681859558,27
1681859561,27
1681859564,27
1681859567,27
1681859570,27
1681859573,27
1681859576,27
1681859579,27
1681859582,27
1681859585,27
1681859588,27
1681859591,27
1681859594,27
1681859597,27
1681859600,27
1681859603,27
1681859606,27
1681859609,27
1681859612,27
1681859615,27
1681859618,27
1681859621,27
1681859624,27
1681859627,27
1681859630,27
1681859633,27
1681859636,27
1681859639,27
1681859642,27
1681859645,27
1681859648,27
1681859651,27
1681859654,27
1681859657,27
1681859660,27
1681859663,27
1681859666,27
1681859669,27
1681859672,27
1681859675,27
1681859678,27
1681859681,27
1681859684,27
1681859687,27
1681859690,27
1681859693,27
1681859696,27
1681859699,27
1681859702,27
1681859705,27
1681859708,27
1681859711,27
1681859714,27
1681859717,27
1681859720,27
1681859723,27
1681859726,27
1681859729,27
1681859732,27
1681859735,27
1681859738,27
1681859741,27
1681859744,27
1681859747,27
1681859750,27
1681859753,27
1681859756,27
1681859759,27
1681859762,27
1681859765,27
1681859768,27
1681859771,27
1681859774,27
1681859777,27
1681859780,27
1681859783,27
1681859786,27
1681859789,27
1681859792,27
1681859795,27
1681859798,27
1681859801,27
1681859804,27
1681859807,27
1681859810,27
1681859813,27
1681859816,27
1681859819,27
1681859822,27
1681859825,27
1681859828,27
1681859831,27
1681859834,27
1681859837,27
1681859840,27
1681859843,27
1681859846,27
1681859849,27
1681859852,27
1681859855,27
1681859858,27
1681859861,27
1681859864,27
1681859867,27
1681859870,27
1681859873,27
1681859876,27
1681859879,27
1681859882,27
