t,value
1681858238,10454
1681858241,10571
1681858244,10652
1681858247,10652
1681858250,10652
1681858253,10652
1681858256,10652
1681858259,10652
1681858262,10652
1681858265,10652
1681858268,10652
1681858271,103429
1681858274,103429
1681858277,103429
1681858280,103429
1681858283,103429
1681858286,103429
1681858289,103429
1681858292,103429
1681858295,103635
1681858298,103635
1681858301,103635
1681858304,103635
1681858307,103635
1681858310,103635
1681858313,103635
1681858316,103635
1681858319,103635
1681858322,103635
1681858325,103635
1681858328,103635
1681858331,103635
1681858334,103635
1681858337,103635
1681858340,103635
1681858343,103635
1681858346,103635
1681858349,103635
1681858352,103635
1681858355,103635
1681858358,103635
1681858361,103635
1681858364,103635
1681858367,103635
1681858370,103762
1681858373,103764
1681858376,103992
1681858379,103992
1681858382,103992
1681858385,103992
1681858388,111517
1681858391,111517
1681858394,111517
1681858397,111517
1681858400,111517
1681858403,111517
1681858406,111517
1681858409,111517
1681858412,111517
1681858415,111517
1681858418,111517
1681858421,111517
1681858424,111517
1681858427,111517
1681858430,111517
1681858433,111517
1681858436,111517
1681858439,111517
1681858442,111517
1681858445,111517
1681858448,111517
1681858451,111517
1681858454,111517
1681858457,111517
1681858460,111517
1681858463,111517
1681858466,111517
1681858469,111517
1681858472,111517
1681858475,111517
1681858478,111517
1681858481,111517
1681858484,111517
1681858487,111517
1681858490,111517
1681858493,111517
1681858496,111517
1681858499,111517
1681858502,111517
1681858505,111517
1681858508,111517
1681858511,111517
1681858514,111517
1681858517,111517
1681858520,111517
1681858523,111517
1681858526,111517
1681858529,111517
1681858532,111517
1681858535,111517
1681858538,111517
1681858541,111517
1681858544,111517
1681858547,111517
1681858550,111517
1681858553,111517
1681858556,111517
1681858559,111517
1681858562,111517
1681858565,111517
1681858568,111517
1681858571,111517
1681858574,111517
1681858577,111517
1681858580,111517
1681858583,111517
1681858586,111517
1681858589,111517
1681858592,111517
1681858595,111517
1681858598,111517
1681858601,111517
1681858604,111517
1681858607,111517
1681858610,111517
1681858613,111517
1681858616,111517
1681858619,111517
1681858622,111517
1681858625,111517
1681858628,111517
1681858631,111517
1681858634,111517
1681858637,111517
1681858640,111517
1681858643,111517
1681858646,111517
1681858649,111517
1681858652,111517
1681858655,111517
1681858658,111517
1681858661,111517
1681858664,111517
1681858667,111517
1681858670,111517
1681858673,111517
1681858676,111517
1681858679,111517
1681858682,111517
1681858685,111517
1681858688,111517
1681858691,111517
1681858694,111517
1681858697,111517
1681858700,111517
1681858703,111517
1681858706,111517
1681858709,111517
1681858712,111517
1681858715,111517
1681858718,111517
1681858721,111517
1681858724,111517
1681858727,111517
1681858730,111517
1681858733,111517
1681858736,111517
1681858739,111517
1681858742,111517
1681858745,111517
1681858748,111517
1681858751,111517
1681858754,111517
1681858757,111517
1681858760,111517
1681858763,111517
1681858766,111517
1681858769,111517
1681858772,111517
1681858775,111517
1681858778,111517
1681858781,111517
1681858784,111517
1681858787,111517
1681858790,111517
1681858793,111517
1681858796,111517
1681858799,111517
1681858802,111517
1681858805,111517
1681858808,111517
1681858811,111517
1681858814,111517
1681858817,111517
1681858820,111517
1681858823,111517
1681858826,111517
1681858829,111517
1681858832,111517
1681858835,111517
1681858838,111517
1681858841,111517
1681858844,111517
1681858847,111517
1681858850,111517
1681858853,111517
1681858856,111517
1681858859,111517
1681858862,111517
1681858865,111517
1681858868,111517
1681858871,111517
1681858874,111517
1681858877,111517
1681858880,111517
1681858883,111517
1681858886,111517
1681858889,111517
1681858892,111517
1681858895,111517
1681858898,111517
1681858901,111517
1681858904,111517
1681858907,111517
1681858910,111517
1681858913,111517
1681858916,111517
1681858919,111517
1681858922,111517
1681858925,111517
1681858928,111517
1681858931,111517
1681858934,111517
1681858937,111517
1681858940,111517
1681858943,111517
1681858946,111517
1681858949,111517
1681858952,111517
1681858955,111517
1681858958,111517
1681858961,111517
1681858964,111517
1681858967,111517
1681858970,111517
1681858973,111517
1681858976,111517
