t,value
1681858238,1456640
1681858241,1470080
1681858244,1497984
1681858247,1497984
1681858250,1497984
1681858253,1497984
1681858256,1497984
1681858259,1497984
1681858262,1497984
1681858265,1497984
1681858268,1497984
1681858271,1503872
1681858274,1503872
1681858277,1503872
1681858280,1503872
1681858283,1508224
1681858286,1508224
1681858289,1508224
1681858292,1534336
1681858295,1508224
1681858298,1510912
1681858301,1510912
1681858304,1510912
1681858307,1510912
1681858310,1510912
1681858313,1510912
1681858316,1510912
1681858319,1510912
1681858322,1510912
1681858325,1510912
1681858328,1510912
1681858331,1510912
1681858334,1510912
1681858337,1510912
1681858340,1510912
1681858343,1510912
1681858346,1510912
1681858349,1510912
1681858352,1510912
1681858355,1510912
1681858358,1510912
1681858361,1510912
1681858364,1510912
1681858367,1510912
1681858370,1510912
1681858373,1510912
1681858376,1514880
1681858379,1514880
1681858382,1514880
1681858385,1514880
1681858388,1516800
1681858391,1516800
1681858394,1516800
1681858397,1516800
1681858400,1516800
1681858403,1516800
1681858406,1516800
1681858409,1516800
1681858412,1516800
1681858415,1516800
1681858418,1516800
1681858421,1516800
1681858424,1516800
1681858427,1516800
1681858430,1516800
1681858433,1516800
1681858436,1516800
1681858439,1516800
1681858442,1516800
1681858445,1516800
1681858448,1516800
1681858451,1516800
1681858454,1516800
1681858457,1516800
1681858460,1516800
1681858463,1516800
1681858466,1516800
1681858469,1516800
1681858472,1516800
1681858475,1516800
1681858478,1516800
1681858481,1516800
1681858484,1516800
1681858487,1516800
1681858490,1516800
1681858493,1516800
1681858496,1516800
1681858499,1516800
1681858502,1516800
1681858505,1516800
1681858508,1516800
1681858511,1516800
1681858514,1516800
1681858517,1516800
1681858520,1516800
1681858523,1516800
1681858526,1516800
1681858529,1516800
1681858532,1516800
1681858535,1516800
1681858538,1516800
1681858541,1516800
1681858544,1516800
1681858547,1516800
1681858550,1516800
1681858553,1516800
1681858556,1516800
1681858559,1516800
1681858562,1516800
1681858565,1516800
1681858568,1516800
1681858571,1516800
1681858574,1516800
1681858577,1516800
1681858580,1516800
1681858583,1516800
1681858586,1516800
1681858589,1516800
1681858592,1516800
1681858595,1516800
1681858598,1516800
1681858601,1516800
1681858604,1516800
1681858607,1516800
1681858610,1516800
1681858613,1516800
1681858616,1516800
1681858619,1516800
1681858622,1516800
1681858625,1516800
1681858628,1516800
1681858631,1516800
1681858634,1516800
1681858637,1516800
1681858640,1516800
1681858643,1516800
1681858646,1516800
1681858649,1516800
1681858652,1516800
1681858655,1516800
1681858658,1516800
1681858661,1516800
1681858664,1516800
1681858667,1516800
1681858670,1516800
1681858673,1516800
1681858676,1516800
1681858679,1516800
1681858682,1516800
1681858685,1516800
1681858688,1516800
1681858691,1516800
1681858694,1516800
1681858697,1516800
1681858700,1516800
1681858703,1516800
1681858706,1516800
1681858709,1516800
1681858712,1516800
1681858715,1516800
1681858718,1516800
1681858721,1516800
1681858724,1516800
1681858727,1516800
1681858730,1516800
1681858733,1516800
1681858736,1516800
1681858739,1516800
1681858742,1516800
1681858745,1516800
1681858748,1516800
1681858751,1516800
1681858754,1516800
1681858757,1516800
1681858760,1516800
1681858763,1516800
1681858766,1516800
1681858769,1516800
1681858772,1516800
1681858775,1516800
1681858778,1516800
1681858781,1516800
1681858784,1516800
1681858787,1516800
1681858790,1516800
1681858793,1516800
1681858796,1516800
1681858799,1516800
1681858802,1516800
1681858805,1516800
1681858808,1516800
1681858811,1516800
1681858814,1516800
1681858817,1516800
1681858820,1516800
1681858823,1516800
1681858826,1516800
1681858829,1516800
1681858832,1516800
1681858835,1516800
1681858838,1516800
1681858841,1516800
1681858844,1516800
1681858847,1516800
1681858850,1516800
1681858853,1516800
1681858856,1516800
1681858859,1516800
1681858862,1516800
1681858865,1516800
1681858868,1516800
1681858871,1516800
1681858874,1516800
1681858877,1516800
1681858880,1516800
1681858883,1516800
1681858886,1516800
1681858889,1516800
1681858892,1516800
1681858895,1516800
1681858898,1516800
1681858901,1516800
1681858904,1516800
1681858907,1516800
1681858910,1516800
1681858913,1516800
1681858916,1516800
1681858919,1516800
1681858922,1516800
1681858925,1516800
1681858928,1516800
1681858931,1516800
1681858934,1516800
1681858937,1516800
1681858940,1516800
1681858943,1516800
1681858946,1516800
1681858949,1516800
1681858952,1516800
1681858955,1516800
1681858958,1516800
1681858961,1516800
1681858964,1516800
1681858967,1516800
1681858970,1516800
1681858973,1516800
1681858976,1516800
1681858979,1516800
1681858982,1516800
1681858985,1516800
1681858988,1516800
1681858991,1516800
1681858994,1516800
1681858997,1516800
1681859000,1516800
1681859003,1516800
1681859006,1516800
1681859009,1516800
1681859012,1516800
1681859015,1516800
1681859018,1516800
1681859021,1516800
1681859024,1516800
1681859027,1516800
1681859030,1516800
1681859033,1516800
1681859036,1516800
1681859039,1516800
1681859042,1516800
1681859045,1516800
1681859048,1516800
1681859051,1516800
1681859054,1516800
1681859057,1516800
1681859060,1516800
1681859063,1516800
1681859066,1516800
1681859069,1516800
1681859072,1516800
1681859075,1516800
1681859078,1516800
1681859081,1516800
1681859084,1516800
1681859087,1516800
1681859090,1516800
1681859093,1516800
