t,value
1681858238,4790784
1681858241,5436160
1681858244,6073216
1681858247,6148864
1681858250,6238592
1681858253,6249856
1681858256,6251392
1681858259,6255744
1681858262,6258048
1681858265,6262400
1681858268,6269056
1681858271,7370624
1681858274,8555776
1681858277,9743232
1681858280,10228224
1681858283,10934016
1681858286,11511680
1681858289,12393856
1681858292,13227904
1681858295,14389632
1681858298,16302976
1681858301,17251328
1681858304,17926912
1681858307,18349312
1681858310,18728320
1681858313,19250048
1681858316,19834240
1681858319,20255360
1681858322,21021824
1681858325,20309120
1681858328,20787456
1681858331,20921728
1681858334,20928256
1681858337,20980608
1681858340,20983936
1681858343,20983936
1681858346,20983936
1681858349,20983936
1681858352,20986112
1681858355,21024512
1681858358,21026048
1681858361,21027200
1681858364,21027200
1681858367,21027968
1681858370,21268736
1681858373,21292928
1681858376,21793280
1681858379,21793280
1681858382,21793280
1681858385,21901056
1681858388,22939776
1681858391,23025024
1681858394,23025024
1681858397,23025024
1681858400,23026560
1681858403,23038080
1681858406,23038080
1681858409,23047040
1681858412,23047808
1681858415,23068288
1681858418,23162752
1681858421,23162752
1681858424,23162752
1681858427,23164288
1681858430,23165824
1681858433,23167744
1681858436,23167744
1681858439,23167744
1681858442,23167744
1681858445,23197056
1681858448,23204352
1681858451,23211264
1681858454,23211264
1681858457,23211264
1681858460,23211264
1681858463,23211264
1681858466,23211264
1681858469,23211264
1681858472,23211264
1681858475,23225600
1681858478,23245824
1681858481,23245824
1681858484,23248256
1681858487,23249792
1681858490,23249792
1681858493,23249792
1681858496,23249792
1681858499,23251456
1681858502,23251456
1681858505,23251456
1681858508,23252736
1681858511,23257600
1681858514,23257600
1681858517,23264000
1681858520,23269120
1681858523,23274368
1681858526,23274368
1681858529,23275264
1681858532,23280128
1681858535,23281152
1681858538,23281152
1681858541,23281152
1681858544,23282688
1681858547,23282688
1681858550,23282688
1681858553,23282688
1681858556,23282688
1681858559,23282688
1681858562,23282688
1681858565,23282688
1681858568,23282688
1681858571,23282688
1681858574,23282688
1681858577,23282688
1681858580,23282688
1681858583,23282688
1681858586,23283584
1681858589,23283584
1681858592,23286656
1681858595,23292416
1681858598,23292416
1681858601,23298688
1681858604,23298688
1681858607,23299456
1681858610,23299456
1681858613,23299456
1681858616,23299456
1681858619,23299456
1681858622,23299456
1681858625,23301248
1681858628,23301248
1681858631,23301248
1681858634,23302016
1681858637,23302016
1681858640,23302016
1681858643,23302016
1681858646,23302016
1681858649,23302016
1681858652,23302016
1681858655,23303168
1681858658,23303168
1681858661,23303168
1681858664,23304704
1681858667,23306240
1681858670,23306240
1681858673,23306240
1681858676,23307520
1681858679,23307520
1681858682,23307520
1681858685,23307520
1681858688,23307520
1681858691,23307520
1681858694,23307520
1681858697,23307520
1681858700,23307520
1681858703,23307520
1681858706,23308288
1681858709,23308288
1681858712,23308288
1681858715,23308288
1681858718,23308288
1681858721,23308288
1681858724,23308288
1681858727,23308288
1681858730,23308288
1681858733,23309440
1681858736,23309440
1681858739,23309440
1681858742,23309440
1681858745,23309440
1681858748,23309440
1681858751,23309440
1681858754,23309440
1681858757,23309440
1681858760,23309440
1681858763,23309440
1681858766,23309440
1681858769,23309440
1681858772,23309440
1681858775,23350912
1681858778,23350912
1681858781,23350912
1681858784,23350912
1681858787,23350912
1681858790,23350912
1681858793,23350912
1681858796,23350912
1681858799,23350912
1681858802,23350912
1681858805,23350912
1681858808,23350912
1681858811,23354240
1681858814,23361792
1681858817,23367168
1681858820,23367168
1681858823,23369600
1681858826,23446144
1681858829,23446144
1681858832,23446144
1681858835,23457152
1681858838,23457152
1681858841,23457152
1681858844,23457152
1681858847,23457152
1681858850,23457152
1681858853,23457920
1681858856,23457920
1681858859,23457920
1681858862,23457920
1681858865,23459456
1681858868,23459456
1681858871,23459456
1681858874,23459456
1681858877,23628928
1681858880,23628928
1681858883,23628928
1681858886,23638784
1681858889,23638784
1681858892,23638784
