t,value
1681858238,15074304
1681858241,16107520
1681858244,18360448
1681858247,18495616
1681858250,18553600
1681858253,18574592
1681858256,18587392
1681858259,18613120
1681858262,18657664
1681858265,18705792
1681858268,18712320
1681858271,24758784
1681858274,30343040
1681858277,34333696
1681858280,35437824
1681858283,36809856
1681858286,38013184
1681858289,38408320
1681858292,38285056
1681858295,39549568
1681858298,41781120
1681858301,40344576
1681858304,40852864
1681858307,38016640
1681858310,38096640
1681858313,38374016
1681858316,38487040
1681858319,38535680
1681858322,38560128
1681858325,36895104
1681858328,36918784
1681858331,36931712
1681858334,36948480
1681858337,36948480
1681858340,36948480
1681858343,36948480
1681858346,36948480
1681858349,36948480
1681858352,36950528
1681858355,37038720
1681858358,37038720
1681858361,37038720
1681858364,37044736
1681858367,37068160
1681858370,37868288
1681858373,38058624
1681858376,37638400
1681858379,37638400
1681858382,37638400
1681858385,37813120
1681858388,39425152
1681858391,39427072
1681858394,39430016
1681858397,39433984
1681858400,39433984
1681858403,39433984
1681858406,39436928
1681858409,39436928
1681858412,39436928
1681858415,39525504
1681858418,39525504
1681858421,39525504
1681858424,39527808
1681858427,39535744
1681858430,39559936
1681858433,39561856
1681858436,39566080
1681858439,39566080
1681858442,39570816
1681858445,39570816
1681858448,39570816
1681858451,39570816
1681858454,39570816
1681858457,39570816
1681858460,39570816
1681858463,39570816
1681858466,39570816
1681858469,39570816
1681858472,39570816
1681858475,39614848
1681858478,39614848
1681858481,39614848
1681858484,39616512
1681858487,39620608
1681858490,39639168
1681858493,39639168
1681858496,39667072
1681858499,39667072
1681858502,39670144
1681858505,39675264
1681858508,39675264
1681858511,39675264
1681858514,39675264
1681858517,39675264
1681858520,39675264
1681858523,39675264
1681858526,39675264
1681858529,39675264
1681858532,39675264
1681858535,39710208
1681858538,39710208
1681858541,39710208
1681858544,39710208
1681858547,39710208
1681858550,39730560
1681858553,39732608
1681858556,39736448
1681858559,39736448
1681858562,39736448
1681858565,39750016
1681858568,39750016
1681858571,39750016
1681858574,39750016
1681858577,39750016
1681858580,39750016
1681858583,39750016
1681858586,39750016
1681858589,39750016
1681858592,39750016
1681858595,39760128
1681858598,39760128
1681858601,39760128
1681858604,39761664
1681858607,39764096
1681858610,39765632
1681858613,39766784
1681858616,39766784
1681858619,39836416
1681858622,39853696
1681858625,39853696
1681858628,39857408
1681858631,39857408
1681858634,39857408
1681858637,39857408
1681858640,39857408
1681858643,39857408
1681858646,39857408
1681858649,39865216
1681858652,39868416
1681858655,39912320
1681858658,39912320
1681858661,39912320
1681858664,39912320
1681858667,39912320
1681858670,39912320
1681858673,39912320
1681858676,39912320
1681858679,39912320
1681858682,39914240
1681858685,39914240
1681858688,39914240
1681858691,39914240
1681858694,39914240
1681858697,39928576
1681858700,39928576
1681858703,39931008
1681858706,39931008
1681858709,39931008
1681858712,39931008
1681858715,39931008
1681858718,39931008
1681858721,39931008
1681858724,39931008
1681858727,39931008
1681858730,39931008
1681858733,39931008
1681858736,39932672
1681858739,39932672
1681858742,39932672
1681858745,39934336
1681858748,39935488
1681858751,39935488
1681858754,39955712
1681858757,39955712
1681858760,39955712
1681858763,39955712
1681858766,39957376
1681858769,39957376
1681858772,39957376
1681858775,39970432
1681858778,39970432
1681858781,39970432
1681858784,39970432
1681858787,39970432
1681858790,39970432
1681858793,39970432
1681858796,39970432
1681858799,39970432
1681858802,39972224
1681858805,39973888
1681858808,39973888
1681858811,40004352
1681858814,40004352
1681858817,40004352
1681858820,40004352
1681858823,40005504
1681858826,40005504
1681858829,40005504
1681858832,40005504
1681858835,40006784
1681858838,40018816
1681858841,40018816
1681858844,40018816
1681858847,40018816
1681858850,40018816
1681858853,40018816
1681858856,40018816
1681858859,40020608
1681858862,40020608
1681858865,40020608
1681858868,40021632
1681858871,40021632
1681858874,40021632
1681858877,37444608
1681858880,37444608
1681858883,37444608
1681858886,37444608
1681858889,37444608
1681858892,37444608
1681858895,37640960
1681858898,37640960
1681858901,37640960
1681858904,37640960
1681858907,37640960
1681858910,37640960
1681858913,37640960
1681858916,37640960
1681858919,37640960
1681858922,37640960
1681858925,37642752
1681858928,37642752
1681858931,37642752
1681858934,37642752
1681858937,37642752
1681858940,37642752
1681858943,37642752
1681858946,37642752
1681858949,37642752
1681858952,37642752
1681858955,37642752
1681858958,37642752
1681858961,37642752
1681858964,37642752
1681858967,37642752
1681858970,37642752
1681858973,37642752
1681858976,37642752
1681858979,37642752
1681858982,37642752
1681858985,37642752
1681858988,37645184
1681858991,37656960
1681858994,37659392
1681858997,37662720
1681859000,37663744
1681859003,37718784
1681859006,37727872
1681859009,37727872
1681859012,37727872
1681859015,37727872
1681859018,37734400
1681859021,37734400
1681859024,37734400
1681859027,37734400
1681859030,37734400
1681859033,37734400
1681859036,37734400
1681859039,37734400
1681859042,37734400
1681859045,37734400
1681859048,37736448
1681859051,37736448
1681859054,37736448
1681859057,37736448
1681859060,37736448
1681859063,37736448
1681859066,37737856
1681859069,37737856
1681859072,37737856
1681859075,37737856
1681859078,37737856
1681859081,37737856
1681859084,37739136
1681859087,37739136
1681859090,37739136
1681859093,37739136
1681859096,37746944
1681859099,37746944
1681859102,37746944
1681859105,37746944
1681859108,37746944
1681859111,37746944
1681859114,37746944
1681859117,37746944
1681859120,37746944
1681859123,37746944
1681859126,37746944
1681859129,37746944
1681859132,37746944
1681859135,37746944
1681859138,37746944
1681859141,37746944
1681859144,37746944
1681859147,37751936
1681859150,37751936
1681859153,37751936
1681859156,37751936
1681859159,37751936
1681859162,37751936
1681859165,37839872
1681859168,37839872
1681859171,37839872
1681859174,37839872
1681859177,37839872
1681859180,37839872
1681859183,37839872
1681859186,37843584
1681859189,37843584
1681859192,37843584
1681859195,37843584
1681859198,37843584
1681859201,37847168
1681859204,37850624
1681859207,37850624
1681859210,37855360
1681859213,37855360
1681859216,37855360
1681859219,37855360
1681859222,37855360
1681859225,37858816
1681859228,37884544
1681859231,37884544
1681859234,37884544
1681859237,37884544
1681859240,37904768
1681859243,37904768
1681859246,37904768
1681859249,37904768
1681859252,37908608
1681859255,37908608
1681859258,37908608
1681859261,37908608
1681859264,37910656
1681859267,37910656
1681859270,37910656
1681859273,37910656
1681859276,37910656
1681859279,37910656
1681859282,37910656
1681859285,37910656
1681859288,37910656
1681859291,37910656
1681859294,37910656
1681859297,37910656
1681859300,37910656
1681859303,37910656
1681859306,37915904
1681859309,37915904
1681859312,37915904
1681859315,37916928
1681859318,37916928
1681859321,37918336
1681859324,37918336
1681859327,37922176
1681859330,37922176
1681859333,37922176
1681859336,37922176
1681859339,37922176
1681859342,37922176
1681859345,37922176
1681859348,37934336
1681859351,37934336
1681859354,37941888
1681859357,37947520
1681859360,37947520
1681859363,37947520
1681859366,37947520
1681859369,37947520
1681859372,37962112
1681859375,37962112
1681859378,37962112
1681859381,37979776
1681859384,37979776
1681859387,38011392
1681859390,38011392
1681859393,38011392
1681859396,38011392
1681859399,38011392
1681859402,38011392
1681859405,38020736
1681859408,38020736
1681859411,38020736
1681859414,38020736
1681859417,38020736
1681859420,38020736
1681859423,38020736
1681859426,38022528
1681859429,38022528
1681859432,38022528
1681859435,38039168
1681859438,38039168
1681859441,38039168
1681859444,38039168
1681859447,38048384
1681859450,38048384
1681859453,38048384
1681859456,38048384
1681859459,38048384
1681859462,38048384
1681859465,38048384
1681859468,38048384
1681859471,38063616
1681859474,38063616
1681859477,38063616
1681859480,38063616
1681859483,38063616
1681859486,38067968
1681859489,38067968
1681859492,38067968
1681859495,38071552
1681859498,38071552
1681859501,38071552
1681859504,38071552
1681859507,38089472
1681859510,38089472
1681859513,38089472
1681859516,38105344
1681859519,38105344
1681859522,38105344
1681859525,38105344
1681859528,38105344
1681859531,38105344
1681859534,38105344
1681859537,38105344
1681859540,38105344
1681859543,38105344
1681859546,38108672
1681859549,38108672
1681859552,38108672
1681859555,38112256
1681859558,38112256
1681859561,38112256
1681859564,38112256
1681859567,38112256
1681859570,38112256
1681859573,38112256
1681859576,38112256
1681859579,38112256
1681859582,38112256
1681859585,38112256
1681859588,38112256
1681859591,38112256
1681859594,38112256
1681859597,38112256
1681859600,38112256
1681859603,38112256
1681859606,38112256
1681859609,38112256
1681859612,38112256
1681859615,38112256
1681859618,38112256
1681859621,38112256
1681859624,38112256
1681859627,38112256
1681859630,38112256
1681859633,38112256
1681859636,38112256
1681859639,38112256
1681859642,38112256
1681859645,38112256
1681859648,38112256
1681859651,38112256
1681859654,38112256
1681859657,38112256
1681859660,38112256
1681859663,38112256
1681859666,38112256
1681859669,38112256
1681859672,38112256
1681859675,38112256
1681859678,38112256
1681859681,38112256
1681859684,38112256
1681859687,38112256
1681859690,38112256
1681859693,38112256
1681859696,38112256
1681859699,38112256
1681859702,38112256
1681859705,38112256
1681859708,38112256
1681859711,38113152
1681859714,38113152
1681859717,38113152
1681859720,38113152
1681859723,38113152
1681859726,38113152
1681859729,38113152
1681859732,38113152
1681859735,38113152
1681859738,38113152
1681859741,38113152
1681859744,38113152
1681859747,38113152
1681859750,38113152
1681859753,38113152
1681859756,38113152
1681859759,38113152
1681859762,38113152
1681859765,38113152
1681859768,38113152
1681859771,38132224
1681859774,38132224
1681859777,38132224
1681859780,38132224
1681859783,38132224
1681859786,38132224
1681859789,38142720
1681859792,38142720
1681859795,38142720
1681859798,38142720
1681859801,38142720
1681859804,38142720
1681859807,38142720
1681859810,38142720
1681859813,38142720
1681859816,38142720
1681859819,38142720
1681859822,38142720
1681859825,38142720
1681859828,38142720
1681859831,38142720
