t,value
1681858238,11206088
1681858241,14438880
1681858244,16003424
1681858247,16003424
1681858250,16003424
1681858253,16003424
1681858256,16003424
1681858259,16003424
1681858262,16003424
1681858265,16003424
1681858268,16003424
1681858271,16349904
1681858274,16353720
1681858277,16354728
1681858280,16355248
1681858283,16362320
1681858286,16362320
1681858289,16362320
1681858292,16362848
1681858295,16588616
1681858298,16991936
1681858301,16992456
1681858304,16992456
1681858307,16992456
1681858310,16992456
1681858313,16992456
1681858316,17000056
1681858319,17000056
1681858322,17000056
1681858325,17000576
1681858328,17000576
1681858331,17000576
1681858334,17000576
1681858337,17000576
1681858340,17000576
1681858343,17000576
1681858346,17000576
1681858349,17000576
1681858352,17000576
1681858355,17000576
1681858358,17000576
1681858361,17000576
1681858364,17000576
1681858367,17000576
1681858370,17176936
1681858373,17200680
1681858376,17619072
1681858379,17619072
1681858382,17619072
1681858385,17635824
1681858388,17732904
1681858391,17732904
1681858394,17732904
1681858397,17732904
1681858400,17732904
1681858403,17732904
1681858406,17732904
1681858409,17732904
1681858412,17732904
1681858415,17732904
1681858418,17732904
1681858421,17732904
1681858424,17732904
1681858427,17732904
1681858430,17732904
1681858433,17732904
1681858436,17732904
1681858439,17732904
1681858442,17732904
1681858445,17732904
1681858448,17732904
1681858451,17732904
1681858454,17732904
1681858457,17732904
1681858460,17732904
1681858463,17732904
1681858466,17732904
1681858469,17732904
1681858472,17732904
1681858475,17732904
1681858478,17732904
1681858481,17732904
1681858484,17732904
1681858487,17732904
1681858490,17732904
1681858493,17732904
1681858496,17732904
1681858499,17732904
1681858502,17732904
1681858505,17732904
1681858508,17732904
1681858511,17732904
1681858514,17732904
1681858517,17732904
1681858520,17732904
1681858523,17732904
1681858526,17732904
1681858529,17732904
1681858532,17732904
1681858535,17733912
1681858538,17733912
1681858541,17733912
1681858544,17733912
1681858547,17733912
1681858550,17733912
1681858553,17733912
1681858556,17733912
1681858559,17733912
1681858562,17733912
1681858565,17733912
1681858568,17733912
1681858571,17733912
1681858574,17733912
1681858577,17733912
1681858580,17733912
1681858583,17733912
1681858586,17733912
1681858589,17733912
1681858592,17733912
1681858595,17733912
1681858598,17733912
1681858601,17733912
1681858604,17733912
1681858607,17733912
1681858610,17733912
1681858613,17733912
1681858616,17733912
1681858619,17733912
1681858622,17733912
1681858625,17733912
1681858628,17733912
1681858631,17733912
1681858634,17733912
1681858637,17733912
1681858640,17733912
1681858643,17733912
1681858646,17733912
1681858649,17733912
1681858652,17733912
1681858655,17734464
1681858658,17734464
1681858661,17734464
1681858664,17734464
1681858667,17734464
1681858670,17734464
1681858673,17734464
1681858676,17734464
1681858679,17734464
1681858682,17734464
1681858685,17734464
1681858688,17734464
1681858691,17734464
1681858694,17734464
1681858697,17734464
1681858700,17734464
1681858703,17734464
1681858706,17734464
1681858709,17734464
1681858712,17734464
1681858715,17734464
1681858718,17734464
1681858721,17734464
1681858724,17734464
1681858727,17734464
1681858730,17734464
1681858733,17734464
1681858736,17734464
1681858739,17734464
1681858742,17734464
1681858745,17734464
1681858748,17734464
1681858751,17734464
1681858754,17734464
1681858757,17734464
1681858760,17734464
1681858763,17734464
1681858766,17734464
1681858769,17734464
1681858772,17734464
1681858775,17734464
1681858778,17734464
1681858781,17734464
1681858784,17734464
1681858787,17734464
1681858790,17734464
1681858793,17734464
1681858796,17734464
1681858799,17734464
1681858802,17734464
1681858805,17734464
1681858808,17734464
1681858811,17734464
1681858814,17734464
1681858817,17734464
1681858820,17734464
1681858823,17734464
1681858826,17734464
1681858829,17734464
1681858832,17734464
1681858835,17734464
1681858838,17734464
1681858841,17734464
1681858844,17734464
1681858847,17734464
1681858850,17734464
1681858853,17734464
1681858856,17734464
1681858859,17734464
1681858862,17734464
1681858865,17734464
1681858868,17734464
1681858871,17734464
1681858874,17734464
1681858877,17763848
1681858880,17763848
1681858883,17763848
1681858886,17763848
1681858889,17763848
1681858892,17763848
1681858895,17785232
1681858898,17785232
1681858901,17785232
1681858904,17785232
1681858907,17785232
1681858910,17785232
1681858913,17785232
1681858916,17785232
1681858919,17785232
1681858922,17785232
1681858925,17785232
1681858928,17785232
1681858931,17785232
1681858934,17785232
1681858937,17785232
1681858940,17785232
1681858943,17785232
1681858946,17785232
1681858949,17785232
1681858952,17785232
1681858955,17785232
1681858958,17785232
1681858961,17785232
1681858964,17785232
1681858967,17785232
1681858970,17785232
1681858973,17785232
1681858976,17785232
1681858979,17785232
1681858982,17785232
1681858985,17785232
1681858988,17785232
1681858991,17785232
1681858994,17785232
1681858997,17785232
1681859000,17785232
1681859003,17785232
1681859006,17785232
1681859009,17785232
1681859012,17785232
1681859015,17785232
1681859018,17785232
1681859021,17785232
1681859024,17785232
1681859027,17785232
1681859030,17785232
1681859033,17785232
1681859036,17785232
1681859039,17785232
1681859042,17785232
1681859045,17785232
1681859048,17785232
1681859051,17785232
1681859054,17785232
1681859057,17785232
1681859060,17785232
1681859063,17785232
1681859066,17785232
1681859069,17785232
1681859072,17785232
1681859075,17785232
1681859078,17785232
1681859081,17785232
1681859084,17785232
1681859087,17785232
1681859090,17785232
1681859093,17785232
1681859096,17785232
1681859099,17785232
1681859102,17785232
1681859105,17785232
1681859108,17785232
1681859111,17785232
1681859114,17785232
1681859117,17785232
1681859120,17785232
1681859123,17785232
1681859126,17785232
1681859129,17785232
1681859132,17785232
1681859135,17785232
1681859138,17785232
1681859141,17785232
1681859144,17785232
1681859147,17785232
1681859150,17785232
1681859153,17785232
1681859156,17785232
1681859159,17785232
1681859162,17785232
1681859165,17829816
1681859168,17829816
1681859171,17829816
1681859174,17829816
1681859177,17829816
1681859180,17829816
1681859183,17829816
1681859186,17829816
1681859189,17829816
1681859192,17829816
1681859195,17829816
1681859198,17829816
1681859201,17829816
1681859204,17829816
1681859207,17829816
1681859210,17829816
1681859213,17829816
1681859216,17829816
1681859219,17829816
1681859222,17829816
1681859225,17829816
1681859228,17829816
1681859231,17829816
1681859234,17829816
1681859237,17829816
1681859240,17829816
1681859243,17829816
1681859246,17829816
1681859249,17829816
1681859252,17829816
1681859255,17829816
1681859258,17829816
1681859261,17829816
1681859264,17829816
1681859267,17829816
1681859270,17829816
1681859273,17829816
1681859276,17829816
1681859279,17829816
1681859282,17829816
1681859285,17829816
1681859288,17829816
1681859291,17829816
1681859294,17829816
1681859297,17829816
1681859300,17829816
1681859303,17829816
1681859306,17829816
1681859309,17829816
1681859312,17829816
1681859315,17829816
1681859318,17829816
1681859321,17829816
1681859324,17829816
1681859327,17829816
1681859330,17829816
1681859333,17829816
1681859336,17829816
1681859339,17829816
1681859342,17829816
1681859345,17829816
1681859348,17829816
1681859351,17829816
1681859354,17829816
1681859357,17829816
1681859360,17829816
1681859363,17829816
1681859366,17829816
1681859369,17829816
1681859372,17829816
1681859375,17829816
1681859378,17829816
1681859381,17829816
1681859384,17829816
1681859387,17829816
1681859390,17829816
1681859393,17829816
1681859396,17829816
1681859399,17829816
1681859402,17829816
1681859405,17829816
1681859408,17829816
1681859411,17829816
1681859414,17829816
1681859417,17829816
1681859420,17829816
1681859423,17829816
1681859426,17829816
1681859429,17829816
1681859432,17829816
1681859435,17829816
1681859438,17829816
1681859441,17829816
1681859444,17829816
1681859447,17829816
1681859450,17829816
1681859453,17829816
1681859456,17829816
1681859459,17829816
