t,value
1681858238,246415360
1681858241,18874368
1681858244,92274688
1681858247,92274688
1681858250,93323264
1681858253,94371840
1681858256,95420416
1681858259,95420416
1681858262,96468992
1681858265,97517568
1681858268,98566144
1681858271,175112192
1681858274,66060288
1681858277,267386880
1681858280,169869312
1681858283,48234496
1681858286,267386880
1681858289,201326592
1681858292,148897792
1681858295,97517568
1681858298,210763776
1681858301,199229440
1681858304,196083712
1681858307,199229440
1681858310,238026752
1681858313,6291456
1681858316,166723584
1681858319,2097152
1681858322,41943040
1681858325,105906176
1681858328,197132288
1681858331,49283072
1681858334,50331648
1681858337,51380224
1681858340,52428800
1681858343,52428800
1681858346,53477376
1681858349,54525952
1681858352,55574528
1681858355,78643200
1681858358,79691776
1681858361,80740352
1681858364,81788928
1681858367,82837504
1681858370,97517568
1681858373,103809024
1681858376,155189248
1681858379,156237824
1681858382,156237824
1681858385,163577856
1681858388,286261248
1681858391,287309824
1681858394,287309824
1681858397,288358400
1681858400,289406976
1681858403,290455552
1681858406,291504128
1681858409,291504128
1681858412,292552704
1681858415,13631488
1681858418,14680064
1681858421,14680064
1681858424,15728640
1681858427,16777216
1681858430,17825792
1681858433,17825792
1681858436,18874368
1681858439,19922944
1681858442,20971520
1681858445,20971520
1681858448,22020096
1681858451,25165824
1681858454,26214400
1681858457,26214400
1681858460,27262976
1681858463,28311552
1681858466,29360128
1681858469,29360128
1681858472,30408704
1681858475,53477376
1681858478,54525952
1681858481,55574528
1681858484,55574528
1681858487,56623104
1681858490,57671680
1681858493,57671680
1681858496,58720256
1681858499,59768832
1681858502,60817408
1681858505,60817408
1681858508,61865984
1681858511,62914560
1681858514,63963136
1681858517,63963136
1681858520,65011712
1681858523,66060288
1681858526,67108864
1681858529,67108864
1681858532,68157440
1681858535,91226112
1681858538,92274688
1681858541,93323264
1681858544,93323264
1681858547,94371840
1681858550,95420416
1681858553,95420416
1681858556,96468992
1681858559,97517568
1681858562,98566144
1681858565,98566144
1681858568,99614720
1681858571,100663296
1681858574,101711872
1681858577,101711872
1681858580,102760448
1681858583,103809024
1681858586,103809024
1681858589,104857600
1681858592,105906176
1681858595,128974848
1681858598,130023424
1681858601,131072000
1681858604,132120576
1681858607,132120576
1681858610,133169152
1681858613,134217728
1681858616,134217728
1681858619,135266304
1681858622,136314880
1681858625,137363456
1681858628,137363456
1681858631,138412032
1681858634,139460608
1681858637,140509184
1681858640,140509184
