t,value
1681858238,33295360
1681858241,45315584
1681858244,45315584
1681858247,45315584
1681858250,45315584
1681858253,45315584
1681858256,45315584
1681858259,45315584
1681858262,45315584
1681858265,45315584
1681858268,45315584
1681858271,45315584
1681858274,45839872
1681858277,45839872
1681858280,46699968
1681858283,46711024
1681858286,46711024
1681858289,46888448
1681858292,46888448
1681858295,46230392
1681858298,46266960
1681858301,46330744
1681858304,50128088
1681858307,54209152
1681858310,53682768
1681858313,60688384
1681858316,62848496
1681858319,66531088
1681858322,68867272
1681858325,71966208
1681858328,74142792
1681858331,77230592
1681858334,77230592
1681858337,77230592
1681858340,77230592
1681858343,77230592
1681858346,77230592
1681858349,77230592
1681858352,77230592
1681858355,77230592
1681858358,77230592
1681858361,77230592
1681858364,77230592
1681858367,77230592
1681858370,77230592
1681858373,77230592
1681858376,77230592
1681858379,77230592
1681858382,77230592
1681858385,77230592
1681858388,77230592
1681858391,77230592
1681858394,77230592
1681858397,77230592
1681858400,77230592
1681858403,77230592
1681858406,77230592
1681858409,77230592
1681858412,77230592
1681858415,80015568
1681858418,80015568
1681858421,80015568
1681858424,80015568
1681858427,80015568
1681858430,80015568
1681858433,80015568
1681858436,80015568
1681858439,80015568
1681858442,80015568
1681858445,80015568
1681858448,80015568
1681858451,80015568
1681858454,80015568
1681858457,80015568
1681858460,80015568
1681858463,80015568
1681858466,80015568
1681858469,80015568
1681858472,80015568
1681858475,80015568
1681858478,80015568
1681858481,80015568
1681858484,80015568
1681858487,80015568
1681858490,80015568
1681858493,80015568
1681858496,80015568
1681858499,80015568
1681858502,80015568
1681858505,80015568
1681858508,80015568
1681858511,80015568
1681858514,80015568
1681858517,80015568
1681858520,80015568
1681858523,80015568
1681858526,80015568
1681858529,80015568
1681858532,80015568
1681858535,80015568
1681858538,80015568
1681858541,80015568
1681858544,80015568
1681858547,80015568
1681858550,80015568
1681858553,80015568
1681858556,80015568
1681858559,80015568
1681858562,80015568
1681858565,80015568
1681858568,80015568
1681858571,80015568
1681858574,80015568
1681858577,80015568
1681858580,80015568
1681858583,80015568
1681858586,80015568
1681858589,80015568
1681858592,80015568
1681858595,80015568
1681858598,80015568
1681858601,80015568
1681858604,80015568
1681858607,80015568
1681858610,80015568
1681858613,80015568
1681858616,80015568
1681858619,80015568
1681858622,80015568
1681858625,80015568
1681858628,80015568
1681858631,80015568
1681858634,80015568
1681858637,80015568
1681858640,80015568
1681858643,80015568
1681858646,80015568
1681858649,80015568
1681858652,80015568
1681858655,80015568
1681858658,80015568
1681858661,80015568
1681858664,80015568
1681858667,80015568
1681858670,80015568
1681858673,80015568
1681858676,80015568
1681858679,80015568
1681858682,80015568
1681858685,80015568
1681858688,80015568
1681858691,80015568
1681858694,80015568
1681858697,80015568
1681858700,80015568
1681858703,80015568
1681858706,80015568
1681858709,80015568
1681858712,80015568
1681858715,80015568
1681858718,80015568
1681858721,80015568
1681858724,80015568
1681858727,80015568
1681858730,80015568
1681858733,80015568
1681858736,80015568
1681858739,80015568
1681858742,80015568
1681858745,80015568
1681858748,80015568
1681858751,80015568
1681858754,80015568
1681858757,80015568
1681858760,80015568
1681858763,80015568
1681858766,80015568
1681858769,80015568
1681858772,80015568
1681858775,80015568
1681858778,80015568
1681858781,80015568
1681858784,80015568
1681858787,80015568
1681858790,80015568
1681858793,80015568
1681858796,80015568
1681858799,80015568
1681858802,80015568
1681858805,80015568
1681858808,80015568
1681858811,80015568
1681858814,80015568
1681858817,80015568
1681858820,80015568
1681858823,80015568
1681858826,80015568
1681858829,80015568
1681858832,80015568
1681858835,80015568
1681858838,80015568
1681858841,80015568
1681858844,80015568
1681858847,80015568
1681858850,80015568
1681858853,80015568
1681858856,80015568
1681858859,80015568
1681858862,80015568
1681858865,80015568
1681858868,80015568
1681858871,80015568
1681858874,80015568
1681858877,86369792
1681858880,86369792
1681858883,86369792
1681858886,86369792
1681858889,86369792
1681858892,86369792
1681858895,86369792
1681858898,86369792
1681858901,86369792
1681858904,86369792
1681858907,86369792
1681858910,86369792
1681858913,86369792
1681858916,86369792
1681858919,86369792
1681858922,86369792
1681858925,86369792
1681858928,86369792
1681858931,86369792
1681858934,86369792
1681858937,86369792
1681858940,86369792
1681858943,86369792
1681858946,86369792
1681858949,86369792
1681858952,86369792
1681858955,86369792
1681858958,86369792
1681858961,86369792
1681858964,86369792
1681858967,86369792
1681858970,86369792
1681858973,86369792
1681858976,86369792
1681858979,86369792
1681858982,86369792
1681858985,86369792
1681858988,86369792
1681858991,86369792
1681858994,86369792
1681858997,86369792
1681859000,86369792
1681859003,86369792
1681859006,86369792
1681859009,86369792
1681859012,86369792
1681859015,86369792
1681859018,86369792
1681859021,86369792
1681859024,86369792
1681859027,86369792
1681859030,86369792
1681859033,86369792
1681859036,86369792
1681859039,86369792
1681859042,86369792
1681859045,86369792
1681859048,86369792
1681859051,86369792
1681859054,86369792
1681859057,86369792
1681859060,86369792
1681859063,86369792
1681859066,86369792
1681859069,86369792
1681859072,86369792
1681859075,86369792
1681859078,86369792
1681859081,86369792
1681859084,86369792
1681859087,86369792
1681859090,86369792
1681859093,86369792
1681859096,86369792
1681859099,86369792
1681859102,86369792
1681859105,86369792
1681859108,86369792
1681859111,86369792
1681859114,86369792
1681859117,86369792
1681859120,86369792
1681859123,86369792
1681859126,86369792
1681859129,86369792
1681859132,86369792
1681859135,86369792
1681859138,86369792
1681859141,86369792
1681859144,86369792
1681859147,86369792
1681859150,86369792
1681859153,86369792
1681859156,86369792
1681859159,86369792
1681859162,86369792
1681859165,86369792
1681859168,86369792
1681859171,86369792
1681859174,86369792
1681859177,86369792
1681859180,86369792
1681859183,86369792
1681859186,86369792
1681859189,86369792
1681859192,86369792
1681859195,86369792
1681859198,86369792
1681859201,86369792
1681859204,86369792
1681859207,86369792
1681859210,86369792
1681859213,86369792
1681859216,86369792
1681859219,86369792
1681859222,86369792
1681859225,86369792
1681859228,86369792
1681859231,86369792
1681859234,86369792
1681859237,86369792
1681859240,86369792
1681859243,86369792
1681859246,86369792
1681859249,86369792
1681859252,86369792
1681859255,86369792
1681859258,86369792
1681859261,86369792
1681859264,86369792
1681859267,86369792
1681859270,86369792
1681859273,86369792
1681859276,86369792
1681859279,86369792
1681859282,86369792
1681859285,86369792
1681859288,86369792
1681859291,86369792
1681859294,86369792
1681859297,86369792
1681859300,86369792
1681859303,86369792
1681859306,86369792
1681859309,86369792
1681859312,85832504
1681859315,85832504
1681859318,85832504
1681859321,85832504
1681859324,85832504
1681859327,85832504
1681859330,85832504
1681859333,85832504
1681859336,85832504
1681859339,85832504
1681859342,85832504
1681859345,85832504
1681859348,85832504
1681859351,85832504
1681859354,85832504
1681859357,85832504
1681859360,85832504
1681859363,85832504
1681859366,85832504
1681859369,85832504
1681859372,85832504
1681859375,85832504
1681859378,85832504
1681859381,85832504
1681859384,85832504
1681859387,85832504
1681859390,85832504
1681859393,85832504
1681859396,85832504
1681859399,85832504
1681859402,85832504
1681859405,85832504
1681859408,85832504
1681859411,85832504
1681859414,85832504
1681859417,85832504
1681859420,85832504
1681859423,85832504
1681859426,85832504
1681859429,85832504
1681859432,85832504
1681859435,85832504
1681859438,85832504
1681859441,85832504
1681859444,85832504
1681859447,85832504
1681859450,85832504
1681859453,85832504
1681859456,85832504
1681859459,85832504
1681859462,85832504
1681859465,85832504
1681859468,85832504
1681859471,85832504
1681859474,85832504
1681859477,85832504
1681859480,85832504
1681859483,85832504
1681859486,85832504
1681859489,85832504
1681859492,85832504
1681859495,85832504
1681859498,85832504
1681859501,85832504
1681859504,85832504
1681859507,85832504
1681859510,85832504
1681859513,85832504
1681859516,85832504
1681859519,85832504
1681859522,85832504
1681859525,85832504
1681859528,85832504
1681859531,85832504
1681859534,85832504
1681859537,85832504
1681859540,85832504
1681859543,85832504
1681859546,85832504
1681859549,85832504
1681859552,85832504
1681859555,85832504
1681859558,85832504
1681859561,85832504
1681859564,85832504
1681859567,85832504
1681859570,85832504
1681859573,85832504
1681859576,85832504
1681859579,85832504
1681859582,85832504
1681859585,85832504
1681859588,85832504
1681859591,85832504
1681859594,85832504
1681859597,85832504
1681859600,85832504
1681859603,85832504
1681859606,85832504
1681859609,85832504
1681859612,85832504
1681859615,85832504
1681859618,85832504
1681859621,85832504
1681859624,85832504
1681859627,85832504
1681859630,85832504
1681859633,85832504
1681859636,85832504
1681859639,85832504
1681859642,85832504
1681859645,85832504
1681859648,85832504
1681859651,85832504
1681859654,85832504
1681859657,85832504
1681859660,85832504
1681859663,85832504
1681859666,85832504
1681859669,85832504
1681859672,85832504
1681859675,85832504
1681859678,85832504
1681859681,85832504
1681859684,85832504
1681859687,85832504
1681859690,85832504
1681859693,85832504
1681859696,85832504
1681859699,85832504
1681859702,85832504
1681859705,85832504
1681859708,85832504
1681859711,85832504
1681859714,85832504
1681859717,85832504
1681859720,85832504
1681859723,85832504
1681859726,85832504
1681859729,85832504
1681859732,85832504
1681859735,85832504
1681859738,85832504
1681859741,85832504
1681859744,85832504
1681859747,85832504
1681859750,85832504
1681859753,85832504
1681859756,85832504
1681859759,85832504
1681859762,85832504
1681859765,85832504
1681859768,85832504
1681859771,85832504
1681859774,85832504
1681859777,85832504
1681859780,86317648
1681859783,86317648
1681859786,86317648
1681859789,86317648
1681859792,86317648
1681859795,86317648
1681859798,86317648
1681859801,86317648
1681859804,86317648
1681859807,86317648
1681859810,86317648
1681859813,86317648
1681859816,86317648
1681859819,86317648
1681859822,86317648
1681859825,86317648
1681859828,86317648
1681859831,86317648
1681859834,86317648
1681859837,86317648
1681859840,86317648
1681859843,86317648
1681859846,86317648
1681859849,86317648
1681859852,86317648
1681859855,86317648
1681859858,86317648
1681859861,86317648
1681859864,86317648
1681859867,86317648
1681859870,86317648
1681859873,86317648
1681859876,86317648
1681859879,86317648
1681859882,86317648
1681859885,86317648
1681859888,86317648
1681859891,86317648
1681859894,86317648
1681859897,86317648
1681859900,86317648
1681859903,86317648
1681859906,86317648
1681859909,86317648
1681859912,86317648
1681859915,86317648
1681859918,86317648
1681859921,86317648
1681859924,86317648
1681859927,86317648
1681859930,86317648
1681859933,86317648
1681859936,86317648
1681859939,86317648
1681859942,86317648
1681859945,86317648
1681859948,86317648
1681859951,86317648
1681859954,86317648
1681859957,86317648
1681859960,86317648
1681859963,86317648
1681859966,86317648
1681859969,86317648
1681859972,86317648
1681859975,86317648
1681859978,86317648
1681859981,86317648
1681859984,86317648
1681859987,86317648
1681859990,86317648
1681859993,86317648
1681859996,86317648
1681859999,86317648
1681860002,86317648
1681860005,86317648
1681860008,86317648
1681860011,86317648
1681860014,86317648
1681860017,86317648
1681860020,86317648
1681860023,86317648
1681860026,86317648
1681860029,86317648
1681860032,86317648
1681860035,86317648
1681860038,86317648
1681860041,86317648
1681860044,86317648
1681860047,86317648
1681860050,86317648
1681860053,86317648
1681860056,86317648
1681860059,86317648
1681860062,86317648
1681860065,86317648
1681860068,86317648
1681860071,86317648
1681860074,86317648
1681860077,86317648
1681860080,86317648
1681860083,86317648
1681860086,86317648
1681860089,86317648
1681860092,86317648
1681860095,86317648
1681860098,86317648
1681860101,86317648
1681860104,86317648
1681860107,86317648
1681860110,86317648
1681860113,86317648
1681860116,86317648
1681860119,86317648
1681860122,86317648
1681860125,86317648
1681860128,86317648
1681860131,86317648
1681860134,86317648
1681860137,86317648
1681860140,86317648
1681860143,86317648
1681860146,86317648
1681860149,86317648
1681860152,86317648
1681860155,86317648
1681860158,86317648
1681860161,86317648
1681860164,86317648
1681860167,86317648
1681860170,86317648
1681860173,86317648
1681860176,86317648
1681860179,86317648
1681860182,86317648
1681860185,86317648
1681860188,86317648
1681860191,86317648
1681860194,86317648
1681860197,86317648
1681860200,86317648
1681860203,86317648
1681860206,86317648
1681860209,86317648
1681860212,86317648
1681860215,85812144
1681860218,85812144
1681860221,85812144
1681860224,85812144
1681860227,85812144
1681860230,85812144
1681860233,85812144
1681860236,85812144
1681860239,85812144
1681860242,85812144
1681860245,85812144
1681860248,85812144
1681860251,85812144
1681860254,85812144
1681860257,85812144
1681860260,85812144
1681860263,85812144
1681860266,85812144
1681860269,85812144
1681860272,85812144
1681860275,85812144
1681860278,85812144
1681860281,85812144
1681860284,85812144
1681860287,85812144
1681860290,85812144
1681860293,85812144
1681860296,85812144
1681860299,85812144
1681860302,85812144
1681860305,85812144
1681860308,85812144
1681860311,85812144
1681860314,85812144
1681860317,85812144
1681860320,85812144
1681860323,85812144
1681860326,85812144
1681860329,85812144
1681860332,85812144
1681860335,85812144
1681860338,85812144
1681860341,85812144
1681860344,85812144
1681860347,85812144
1681860350,85812144
1681860353,85812144
1681860356,85812144
1681860359,85812144
1681860362,85812144
1681860365,85812144
1681860368,85812144
1681860371,85812144
1681860374,85812144
1681860377,85812144
1681860380,85812144
1681860383,85812144
1681860386,85812144
1681860389,85812144
1681860392,85812144
1681860395,85812144
1681860398,85812144
1681860401,85812144
1681860404,85812144
1681860407,85812144
1681860410,85812144
1681860413,85812144
1681860416,85812144
1681860419,85812144
1681860422,85812144
1681860425,85812144
1681860428,85812144
1681860431,85812144
1681860434,85812144
1681860437,85812144
1681860440,85812144
1681860443,85812144
1681860446,85812144
1681860449,85812144
1681860452,85812144
1681860455,85812144
1681860458,85812144
1681860461,85812144
1681860464,85812144
1681860467,85812144
1681860470,85812144
1681860473,85812144
1681860476,85812144
1681860479,85812144
1681860482,85812144
1681860485,85812144
1681860488,85812144
1681860491,85812144
1681860494,85812144
1681860497,85812144
1681860500,85812144
1681860503,85812144
1681860506,85812144
1681860509,85812144
1681860512,85812144
1681860515,85812144
1681860518,85812144
1681860521,85812144
1681860524,85812144
1681860527,85812144
1681860530,85812144
1681860533,85812144
1681860536,85812144
