t,value
1681858238,24117248
1681858241,6291456
1681858244,6291456
1681858247,6291456
1681858250,6291456
1681858253,6291456
1681858256,6291456
1681858259,6291456
1681858262,6291456
1681858265,6291456
1681858268,6291456
1681858271,6291456
1681858274,9437184
1681858277,9437184
1681858280,12582912
1681858283,14680064
1681858286,14680064
1681858289,15728640
1681858292,17825792
1681858295,19922944
1681858298,20971520
1681858301,23068672
1681858304,22020096
1681858307,20971520
1681858310,24117248
1681858313,22020096
1681858316,20971520
1681858319,22020096
1681858322,20971520
1681858325,19922944
1681858328,19922944
1681858331,18874368
1681858334,18874368
1681858337,18874368
1681858340,18874368
1681858343,18874368
1681858346,18874368
1681858349,18874368
1681858352,18874368
1681858355,18874368
1681858358,18874368
1681858361,18874368
1681858364,18874368
1681858367,18874368
1681858370,18874368
1681858373,18874368
1681858376,18874368
1681858379,18874368
1681858382,18874368
1681858385,18874368
1681858388,18874368
1681858391,18874368
1681858394,18874368
1681858397,18874368
1681858400,18874368
1681858403,18874368
1681858406,18874368
1681858409,18874368
1681858412,18874368
1681858415,27262976
1681858418,27262976
1681858421,27262976
1681858424,27262976
1681858427,27262976
1681858430,27262976
1681858433,27262976
1681858436,27262976
1681858439,27262976
1681858442,27262976
1681858445,27262976
1681858448,27262976
1681858451,27262976
1681858454,27262976
1681858457,27262976
1681858460,27262976
1681858463,27262976
1681858466,27262976
1681858469,27262976
1681858472,27262976
1681858475,27262976
1681858478,27262976
1681858481,27262976
1681858484,27262976
1681858487,27262976
1681858490,27262976
1681858493,27262976
1681858496,27262976
1681858499,27262976
1681858502,27262976
1681858505,27262976
1681858508,27262976
1681858511,27262976
1681858514,27262976
1681858517,27262976
1681858520,27262976
1681858523,27262976
1681858526,27262976
1681858529,27262976
1681858532,27262976
1681858535,27262976
1681858538,27262976
1681858541,27262976
1681858544,27262976
1681858547,27262976
1681858550,27262976
1681858553,27262976
1681858556,27262976
1681858559,27262976
1681858562,27262976
1681858565,27262976
1681858568,27262976
1681858571,27262976
1681858574,27262976
1681858577,27262976
1681858580,27262976
1681858583,27262976
1681858586,27262976
1681858589,27262976
1681858592,27262976
1681858595,27262976
1681858598,27262976
1681858601,27262976
1681858604,27262976
1681858607,27262976
1681858610,27262976
1681858613,27262976
1681858616,27262976
1681858619,27262976
1681858622,27262976
1681858625,27262976
1681858628,27262976
1681858631,27262976
1681858634,27262976
1681858637,27262976
1681858640,27262976
1681858643,27262976
1681858646,27262976
1681858649,27262976
1681858652,27262976
1681858655,27262976
1681858658,27262976
1681858661,27262976
1681858664,27262976
1681858667,27262976
1681858670,27262976
1681858673,27262976
1681858676,27262976
1681858679,27262976
1681858682,27262976
1681858685,27262976
1681858688,27262976
1681858691,27262976
1681858694,27262976
1681858697,27262976
1681858700,27262976
1681858703,27262976
1681858706,27262976
1681858709,27262976
1681858712,27262976
1681858715,27262976
1681858718,27262976
1681858721,27262976
1681858724,27262976
1681858727,27262976
1681858730,27262976
1681858733,27262976
1681858736,27262976
1681858739,27262976
1681858742,27262976
1681858745,27262976
1681858748,27262976
1681858751,27262976
1681858754,27262976
1681858757,27262976
1681858760,27262976
1681858763,27262976
1681858766,27262976
1681858769,27262976
1681858772,27262976
1681858775,27262976
1681858778,27262976
1681858781,27262976
1681858784,27262976
1681858787,27262976
1681858790,27262976
1681858793,27262976
1681858796,27262976
1681858799,27262976
1681858802,27262976
1681858805,27262976
1681858808,27262976
1681858811,27262976
1681858814,27262976
1681858817,27262976
1681858820,27262976
1681858823,27262976
1681858826,27262976
1681858829,27262976
1681858832,27262976
1681858835,27262976
1681858838,27262976
1681858841,27262976
1681858844,27262976
1681858847,27262976
1681858850,27262976
1681858853,27262976
1681858856,27262976
1681858859,27262976
1681858862,27262976
1681858865,27262976
1681858868,27262976
1681858871,27262976
1681858874,27262976
1681858877,20971520
1681858880,20971520
1681858883,20971520
1681858886,20971520
1681858889,20971520
1681858892,20971520
1681858895,20971520
1681858898,20971520
1681858901,20971520
1681858904,20971520
1681858907,20971520
1681858910,20971520
1681858913,20971520
1681858916,20971520
1681858919,20971520
1681858922,20971520
1681858925,20971520
1681858928,20971520
1681858931,20971520
1681858934,20971520
1681858937,20971520
1681858940,20971520
1681858943,20971520
1681858946,20971520
1681858949,20971520
1681858952,20971520
1681858955,20971520
1681858958,20971520
1681858961,20971520
1681858964,20971520
1681858967,20971520
1681858970,20971520
1681858973,20971520
1681858976,20971520
1681858979,20971520
1681858982,20971520
1681858985,20971520
1681858988,20971520
1681858991,20971520
1681858994,20971520
1681858997,20971520
1681859000,20971520
1681859003,20971520
1681859006,20971520
1681859009,20971520
1681859012,20971520
1681859015,20971520
1681859018,20971520
1681859021,20971520
1681859024,20971520
1681859027,20971520
1681859030,20971520
1681859033,20971520
1681859036,20971520
1681859039,20971520
1681859042,20971520
1681859045,20971520
1681859048,20971520
1681859051,20971520
1681859054,20971520
1681859057,20971520
1681859060,20971520
1681859063,20971520
1681859066,20971520
1681859069,20971520
1681859072,20971520
1681859075,20971520
1681859078,20971520
1681859081,20971520
1681859084,20971520
1681859087,20971520
1681859090,20971520
1681859093,20971520
1681859096,20971520
1681859099,20971520
1681859102,20971520
1681859105,20971520
1681859108,20971520
1681859111,20971520
1681859114,20971520
1681859117,20971520
1681859120,20971520
1681859123,20971520
1681859126,20971520
1681859129,20971520
1681859132,20971520
1681859135,20971520
1681859138,20971520
1681859141,20971520
1681859144,20971520
1681859147,20971520
1681859150,20971520
1681859153,20971520
1681859156,20971520
1681859159,20971520
1681859162,20971520
1681859165,20971520
1681859168,20971520
1681859171,20971520
1681859174,20971520
1681859177,20971520
1681859180,20971520
1681859183,20971520
1681859186,20971520
1681859189,20971520
1681859192,20971520
1681859195,20971520
1681859198,20971520
1681859201,20971520
1681859204,20971520
1681859207,20971520
1681859210,20971520
1681859213,20971520
1681859216,20971520
1681859219,20971520
1681859222,20971520
1681859225,20971520
1681859228,20971520
1681859231,20971520
1681859234,20971520
1681859237,20971520
1681859240,20971520
1681859243,20971520
1681859246,20971520
1681859249,20971520
1681859252,20971520
1681859255,20971520
1681859258,20971520
1681859261,20971520
1681859264,20971520
1681859267,20971520
1681859270,20971520
1681859273,20971520
1681859276,20971520
1681859279,20971520
1681859282,20971520
1681859285,20971520
1681859288,20971520
1681859291,20971520
1681859294,20971520
1681859297,20971520
1681859300,20971520
1681859303,20971520
1681859306,20971520
1681859309,20971520
1681859312,22020096
1681859315,22020096
1681859318,22020096
1681859321,22020096
1681859324,22020096
1681859327,22020096
1681859330,22020096
1681859333,22020096
1681859336,22020096
1681859339,22020096
1681859342,22020096
1681859345,22020096
1681859348,22020096
1681859351,22020096
1681859354,22020096
1681859357,22020096
1681859360,22020096
1681859363,22020096
1681859366,22020096
1681859369,22020096
1681859372,22020096
1681859375,22020096
1681859378,22020096
1681859381,22020096
1681859384,22020096
1681859387,22020096
1681859390,22020096
1681859393,22020096
1681859396,22020096
1681859399,22020096
1681859402,22020096
1681859405,22020096
1681859408,22020096
1681859411,22020096
1681859414,22020096
1681859417,22020096
1681859420,22020096
1681859423,22020096
1681859426,22020096
1681859429,22020096
1681859432,22020096
1681859435,22020096
1681859438,22020096
1681859441,22020096
1681859444,22020096
1681859447,22020096
1681859450,22020096
1681859453,22020096
1681859456,22020096
1681859459,22020096
1681859462,22020096
1681859465,22020096
1681859468,22020096
1681859471,22020096
1681859474,22020096
1681859477,22020096
1681859480,22020096
1681859483,22020096
1681859486,22020096
1681859489,22020096
1681859492,22020096
1681859495,22020096
1681859498,22020096
1681859501,22020096
1681859504,22020096
1681859507,22020096
1681859510,22020096
1681859513,22020096
1681859516,22020096
1681859519,22020096
1681859522,22020096
1681859525,22020096
1681859528,22020096
1681859531,22020096
1681859534,22020096
1681859537,22020096
1681859540,22020096
1681859543,22020096
1681859546,22020096
1681859549,22020096
1681859552,22020096
1681859555,22020096
1681859558,22020096
1681859561,22020096
1681859564,22020096
1681859567,22020096
1681859570,22020096
1681859573,22020096
1681859576,22020096
1681859579,22020096
1681859582,22020096
1681859585,22020096
1681859588,22020096
1681859591,22020096
1681859594,22020096
1681859597,22020096
1681859600,22020096
1681859603,22020096
1681859606,22020096
1681859609,22020096
1681859612,22020096
1681859615,22020096
1681859618,22020096
